3291-T,東証1部,飯田GHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1900,1936,1865,1905,602200,1141704500
2015-10-01,1863,1962,1863,1929,706400,1363753400
2015-09-30,1860,1898,1837,1863,844900,1579383900
2015-09-29,1869,1889,1799,1825,1028000,1881478400
2015-09-28,1907,1917,1861,1904,1100300,2084930800
2015-09-25,1840,1932,1780,1925,1606200,2996225300
2015-09-24,1841,1934,1833,1857,1060700,1991432100
2015-09-18,1860,1919,1855,1862,1166500,2194175400
2015-09-17,1811,1906,1811,1890,1347800,2533087900
2015-09-16,1863,1863,1780,1786,1368500,2466869900
2015-09-15,1937,1940,1878,1878,1263800,2397340700
2015-09-14,1978,1993,1927,1937,834300,1626282800
2015-09-11,1855,2037,1852,1978,2332900,4565011500
2015-09-10,1829,1847,1785,1815,1887100,3429543200
2015-09-09,1860,1915,1843,1878,1491700,2792701000
2015-09-08,1884,1888,1791,1817,1671100,3060795400
2015-09-07,1893,1904,1837,1886,754300,1416533600
2015-09-04,2055,2065,1877,1920,849200,1636901500
2015-09-03,2026,2071,2021,2032,820200,1674656000
2015-09-02,1950,2038,1928,1980,1318200,2617174800
2015-09-01,2121,2126,2015,2015,994700,2060696600
2015-08-31,2064,2157,2064,2148,1472400,3128051700
2015-08-28,2065,2084,2043,2068,926100,1911116200
2015-08-27,2008,2058,1999,2023,1347700,2731780800
2015-08-26,1912,1982,1889,1968,1101800,2128668800
2015-08-25,1900,1999,1884,1894,1598300,3101020200
2015-08-24,2045,2116,1991,1991,1499200,3056530100
2015-08-21,2192,2193,2084,2138,1355700,2899988700
2015-08-20,2320,2320,2244,2256,1093000,2475135000
2015-08-19,2399,2424,2327,2328,698800,1644201200
2015-08-18,2393,2459,2392,2431,1465300,3565731500
2015-08-17,2334,2420,2322,2417,1763500,4214955300
2015-08-14,2250,2308,2239,2284,1037400,2372273900
2015-08-13,2290,2299,2215,2242,1170100,2621555900
2015-08-12,2266,2355,2260,2268,2759200,6309934400
2015-08-11,2107,2184,2107,2159,1230500,2656085200
2015-08-10,2013,2090,1987,2086,1056200,2177389800
2015-08-07,2039,2068,2016,2037,1442000,2942792400
2015-08-06,2200,2205,1988,2050,1993900,4181829000
2015-08-05,2200,2218,2162,2163,790700,1726130900
2015-08-04,2180,2202,2145,2202,687300,1504270300
2015-08-03,2195,2208,2158,2168,630300,1372505200
2015-07-31,2147,2182,2120,2176,1070800,2309757700
2015-07-30,2100,2142,2075,2113,998700,2101578000
2015-07-29,2063,2095,2048,2067,761900,1575863200
2015-07-28,2026,2071,2005,2063,888000,1805494800
2015-07-27,2137,2152,2046,2061,1097400,2308802900
2015-07-24,2118,2152,2098,2107,956900,2028511200
2015-07-23,2113,2117,2045,2103,830400,1729615100
2015-07-22,2107,2130,2097,2122,596100,1261566200
2015-07-21,2150,2153,2082,2107,799900,1683548800
2015-07-17,2131,2150,2108,2134,532200,1135495200
2015-07-16,2104,2127,2076,2125,947600,2002631200
2015-07-15,2145,2156,2071,2098,969400,2041590400
2015-07-14,2157,2157,2099,2135,1003400,2136962000
2015-07-13,2100,2145,2092,2135,1295600,2758455400
2015-07-10,2061,2083,2014,2061,1279500,2625603900
2015-07-09,1919,1968,1885,1963,837700,1618125000
2015-07-08,2079,2103,1978,1978,1234300,2506775800
2015-07-07,2013,2056,2013,2049,709700,1450786100
2015-07-06,2000,2042,1961,1980,555800,1109688000
2015-07-03,2023,2044,1988,2019,556200,1119035000
2015-07-02,2000,2065,1999,2030,1238100,2520525600
2015-07-01,1949,1955,1927,1951,519800,1013043800
2015-06-30,1939,1959,1937,1950,1083500,2110972900
2015-06-29,1954,1959,1918,1926,856800,1657894700
2015-06-26,1981,2011,1976,1995,1382500,2761272700
2015-06-25,1956,1981,1947,1971,1212200,2387365200
2015-06-24,1920,1940,1917,1933,924900,1785538200
2015-06-23,1900,1903,1885,1902,755400,1433343300
2015-06-22,1861,1888,1859,1877,834400,1564434100
