3333-T,東証1部,あさひ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1310,1328,1251,1275,187000,238754900
2015-10-01,1312,1345,1294,1322,108100,142818300
2015-09-30,1330,1384,1273,1305,327100,435289600
2015-09-29,1305,1332,1260,1317,174400,228309100
2015-09-28,1351,1372,1321,1344,326000,439902500
2015-09-25,1242,1262,1183,1255,208800,258620900
2015-09-24,1196,1249,1195,1246,145300,179431500
2015-09-18,1185,1201,1172,1196,65500,77884800
2015-09-17,1189,1210,1173,1191,87800,104741300
2015-09-16,1208,1211,1181,1205,72100,86331700
2015-09-15,1259,1259,1202,1204,77100,94247500
2015-09-14,1267,1267,1236,1238,55600,69375700
2015-09-11,1256,1267,1220,1227,110700,137843300
2015-09-10,1207,1236,1180,1230,86600,105785000
2015-09-09,1188,1233,1179,1230,91700,111116800
2015-09-08,1153,1173,1142,1159,84100,97517400
2015-09-07,1148,1164,1126,1149,38800,44540300
2015-09-04,1188,1189,1148,1153,50000,58171600
2015-09-03,1199,1214,1178,1179,43400,51551900
2015-09-02,1200,1214,1176,1184,74000,88409400
2015-09-01,1261,1264,1219,1219,96500,119774900
2015-08-31,1265,1270,1246,1260,63200,79458600
2015-08-28,1242,1271,1240,1264,101000,127003500
2015-08-27,1194,1249,1191,1233,148900,182716100
2015-08-26,1174,1198,1160,1184,145200,171730700
2015-08-25,1155,1226,1106,1168,173900,204359300
2015-08-24,1206,1239,1188,1190,166800,201725700
2015-08-21,1211,1257,1211,1245,133200,164751700
2015-08-20,1258,1280,1250,1258,64900,82182300
2015-08-19,1256,1269,1237,1259,128700,161383600
2015-08-18,1287,1295,1261,1265,256200,327645400
2015-08-17,1347,1350,1281,1308,234000,306178400
2015-08-14,1333,1358,1328,1347,100200,134621700
2015-08-13,1339,1353,1322,1342,86600,115911900
2015-08-12,1360,1365,1337,1340,142000,191156100
2015-08-11,1351,1387,1339,1364,237300,324626600
2015-08-10,1325,1354,1321,1343,81300,108817300
2015-08-07,1333,1348,1317,1333,105200,139976500
2015-08-06,1342,1353,1320,1340,127100,170095600
2015-08-05,1378,1378,1333,1341,237800,320190300
2015-08-04,1398,1406,1330,1379,395900,544976400
2015-08-03,1480,1488,1392,1399,307700,441339200
2015-07-31,1439,1485,1429,1485,174300,255275600
2015-07-30,1410,1447,1401,1432,115900,165545500
2015-07-29,1427,1427,1389,1405,120500,170089400
2015-07-28,1416,1428,1401,1419,118800,168342600
2015-07-27,1484,1484,1424,1432,101200,146107200
2015-07-24,1467,1487,1445,1486,162100,236913600
2015-07-23,1476,1530,1467,1470,251900,376164500
2015-07-22,1468,1478,1433,1465,154300,225709600
2015-07-21,1450,1497,1450,1486,140800,208645000
2015-07-17,1431,1469,1428,1447,146400,213011100
2015-07-16,1436,1444,1430,1444,138300,198951400
2015-07-15,1398,1444,1398,1436,177300,253207500
2015-07-14,1420,1442,1394,1413,211400,300490400
2015-07-13,1440,1443,1412,1419,116400,166398400
2015-07-10,1462,1464,1403,1436,211400,302425100
2015-07-09,1387,1470,1332,1465,413200,583248100
2015-07-08,1418,1438,1388,1417,405300,575036500
2015-07-07,1322,1430,1320,1421,734200,1021550900
2015-07-06,1300,1300,1264,1292,132600,170367600
2015-07-03,1293,1327,1291,1311,189200,248393500
2015-07-02,1270,1323,1270,1304,272400,355062200
2015-07-01,1275,1280,1259,1270,118300,150380000
2015-06-30,1260,1297,1257,1292,220300,282515300
2015-06-29,1207,1270,1207,1270,242600,302698600
2015-06-26,1267,1295,1260,1281,315700,404551400
2015-06-25,1239,1265,1231,1258,242700,303856400
2015-06-24,1210,1250,1206,1248,383700,471186200
2015-06-23,1160,1210,1158,1208,660000,787151900
2015-06-22,1114,1157,1110,1157,258300,293039000
2015-06-19,1127,1138,1110,1125,153200,171561100
2015-06-18,1141,1149,1126,1130,96700,109892700
