3388-T,東証1部,明治電機,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1137,1156,1131,1154,7500,8619500
2015-10-01,1129,1149,1120,1143,7200,8200700
2015-09-30,1133,1146,1109,1120,15400,17286900
2015-09-29,1152,1152,1118,1125,23600,26649500
2015-09-28,1186,1187,1164,1168,11900,13948700
2015-09-25,1172,1189,1172,1189,16700,19677100
2015-09-24,1193,1193,1170,1173,15500,18294100
2015-09-18,1221,1221,1196,1209,21600,26163900
2015-09-17,1217,1219,1204,1219,18300,22200300
2015-09-16,1211,1212,1196,1211,10500,12660600
2015-09-15,1219,1223,1194,1195,13200,15956700
2015-09-14,1212,1220,1208,1208,25200,30610400
2015-09-11,1196,1208,1185,1198,33200,39850200
2015-09-10,1180,1201,1174,1189,21800,25915400
2015-09-09,1188,1208,1184,1208,47900,57454300
2015-09-08,1187,1187,1161,1165,22700,26679400
2015-09-07,1167,1185,1151,1185,32500,37971900
2015-09-04,1155,1180,1145,1175,38400,44618900
2015-09-03,1180,1180,1155,1159,15400,17978500
2015-09-02,1115,1186,1105,1164,46900,54507700
2015-09-01,1158,1158,1132,1136,21300,24359200
2015-08-31,1130,1177,1129,1176,47000,54727500
2015-08-28,1139,1140,1114,1129,22700,25584100
2015-08-27,1150,1150,1103,1107,41200,46186000
2015-08-26,1050,1084,1050,1084,37000,39447100
2015-08-25,1000,1091,956,1031,83200,84723300
2015-08-24,1095,1124,1042,1042,77600,83876500
2015-08-21,1140,1150,1125,1127,60200,68379000
2015-08-20,1161,1167,1148,1148,34800,40167300
2015-08-19,1200,1200,1160,1160,70000,82165400
2015-08-18,1200,1200,1186,1189,29100,34654900
2015-08-17,1179,1202,1177,1200,34100,40571500
2015-08-14,1181,1190,1172,1177,31200,36788400
2015-08-13,1178,1190,1171,1177,39200,46166000
2015-08-12,1225,1225,1168,1178,97700,115988500
2015-08-11,1235,1247,1221,1230,33500,41239600
2015-08-10,1222,1238,1202,1221,27700,33782700
2015-08-07,1240,1240,1214,1220,48300,59050700
2015-08-06,1241,1254,1240,1242,27700,34524900
2015-08-05,1209,1237,1209,1231,39600,48548200
2015-08-04,1239,1239,1191,1206,129900,157066900
2015-08-03,1300,1300,1239,1251,111300,141038900
2015-07-31,1350,1363,1305,1306,121600,161354500
2015-07-30,1365,1402,1362,1402,77500,107600600
2015-07-29,1370,1370,1339,1365,16000,21701100
2015-07-28,1312,1357,1303,1352,53000,70390900
2015-07-27,1369,1369,1344,1345,23100,31346900
2015-07-24,1362,1374,1348,1360,16900,23005000
2015-07-23,1347,1367,1344,1365,38700,52514200
2015-07-22,1325,1343,1311,1338,34100,45302300
2015-07-21,1333,1335,1324,1330,25500,33897900
2015-07-17,1308,1320,1306,1309,23500,30839200
2015-07-16,1310,1316,1265,1297,38700,50142900
2015-07-15,1298,1310,1289,1295,21300,27691600
2015-07-14,1260,1288,1252,1285,22200,28232600
2015-07-13,1260,1264,1247,1250,22200,27812900
2015-07-10,1280,1280,1232,1237,38900,48683000
2015-07-09,1238,1279,1198,1275,46300,57293100
2015-07-08,1324,1327,1271,1278,45600,59042300
2015-07-07,1340,1353,1300,1326,42400,56252900
2015-07-06,1316,1328,1298,1322,35000,46009700
2015-07-03,1320,1350,1315,1342,43700,58237800
2015-07-02,1313,1328,1309,1323,19700,25988100
2015-07-01,1297,1303,1277,1303,27300,35387900
2015-06-30,1299,1302,1278,1297,36300,46819300
2015-06-29,1307,1318,1296,1299,34600,45140400
2015-06-26,1342,1347,1334,1342,35200,47159300
2015-06-25,1341,1365,1340,1342,28500,38447200
2015-06-24,1337,1377,1337,1351,46100,62510300
2015-06-23,1337,1340,1328,1337,19500,26033800
2015-06-22,1332,1339,1321,1334,21600,28713000
2015-06-19,1330,1350,1322,1332,27100,36135500
2015-06-18,1335,1340,1316,1326,19200,25494900
2015-06-17,1353,1353,1330,1333,29700,39959700
2015-06-16,1351,1358,1338,1342,38400,51617800
2015-06-15,1335,1359,1320,1338,25300,33865400
2015-06-12,1359,1359,1318,1339,42000,56232800
2015-06-11,1335,1347,1322,1346,18700,24971900
2015-06-10,1340,1358,1324,1329,33900,45214500
2015-06-09,1370,1374,1339,1347,47800,64891300
2015-06-08,1375,1379,1360,1374,28200,38615700
2015-06-05,1332,1388,1330,1369,106000,144327500
2015-06-04,1311,1343,1303,1332,46100,61351100
2015-06-03,1305,1310,1280,1303,39500,51380000
2015-06-02,1317,1338,1315,1315,26400,34955300
2015-06-01,1333,1333,1309,1325,32500,42937800
2015-05-29,1310,1346,1308,1334,50200,66885800
2015-05-28,1346,1350,1308,1313,53200,70960200
2015-05-27,1347,1349,1321,1337,47900,64122400
2015-05-26,1300,1349,1267,1346,139700,185241100
2015-05-25,1249,1300,1249,1286,71700,91533500
2015-05-22,1251,1257,1226,1241,48800,60591700
2015-05-21,1263,1267,1236,1250,67500,84697100
2015-05-20,1290,1320,1263,1268,96200,123562600
2015-05-19,1301,1320,1269,1280,205400,264327500
2015-05-18,1255,1310,1236,1300,363600,461629400
2015-05-15,1112,1149,1090,1141,74300,84080500
2015-05-14,1134,1134,1112,1112,41700,46957400
2015-05-13,1114,1132,1114,1125,24600,27669400
2015-05-12,1106,1117,1100,1114,8900,9877700
2015-05-11,1117,1118,1098,1105,32000,35467900
2015-05-08,1089,1100,1089,1096,19100,20931100
2015-05-07,1084,1123,1077,1098,44300,48890200
2015-05-01,1072,1078,1060,1075,25900,27643700
2015-04-30,1078,1095,1070,1072,41100,44301100
2015-04-28,1098,1098,1077,1082,32500,35181700
2015-04-27,1083,1100,1083,1086,9100,9912200
2015-04-24,1095,1096,1081,1091,16300,17740400
2015-04-23,1095,1107,1090,1097,36100,39669500
2015-04-22,1089,1097,1085,1094,20800,22712700
2015-04-21,1089,1097,1080,1089,36700,39981200
2015-04-20,1070,1085,1070,1076,15600,16784400
2015-04-17,1078,1081,1070,1071,25600,27506300
2015-04-16,1089,1089,1075,1078,21400,23118800
2015-04-15,1085,1093,1080,1083,12400,13459300
2015-04-14,1073,1083,1073,1081,15100,16267900
2015-04-13,1068,1076,1067,1073,16900,18102800
2015-04-10,1082,1086,1066,1069,39900,42785600
2015-04-09,1104,1104,1050,1091,45300,49214200
2015-04-08,1130,1135,1083,1101,95200,105044200
2015-04-07,1133,1139,1100,1133,34800,39191900
2015-04-06,1102,1133,1100,1130,24700,27772500
2015-04-03,1120,1127,1111,1114,38700,43333400
2015-04-02,1078,1112,1063,1097,36100,39324900
2015-04-01,1070,1078,1045,1068,39400,41845600
2015-03-31,1095,1095,1067,1075,11300,12210500
2015-03-30,1090,1115,1062,1079,22400,24223100
2015-03-27,1100,1125,1091,1094,40800,45060500
2015-03-26,1137,1154,1114,1122,76600,87010600
