3395-T,東証1部,サンマルクHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,3730,3745,3615,3625,65900,241022500
2015-10-01,3695,3755,3670,3705,46200,171614000
2015-09-30,3605,3700,3605,3650,61000,223494500
2015-09-29,3640,3650,3560,3575,84100,302196000
2015-09-28,3640,3715,3640,3660,33700,123854000
2015-09-25,3600,3680,3600,3680,48300,176155500
2015-09-24,3595,3670,3585,3600,50200,181654500
2015-09-18,3640,3675,3600,3630,41500,150872500
2015-09-17,3695,3695,3635,3645,50000,182913000
2015-09-16,3690,3690,3635,3670,28800,105508000
2015-09-15,3630,3690,3630,3635,24800,90563500
2015-09-14,3680,3690,3630,3630,35100,128139000
2015-09-11,3585,3665,3570,3640,53800,194586500
2015-09-10,3600,3615,3550,3605,50200,180229500
2015-09-09,3575,3620,3535,3620,74900,268692500
2015-09-08,3550,3605,3455,3475,72200,253295000
2015-09-07,3500,3580,3455,3540,90400,318761500
2015-09-04,3610,3630,3505,3510,79900,282445000
2015-09-03,3550,3625,3550,3575,43200,154996000
2015-09-02,3510,3625,3505,3540,106900,380086500
2015-09-01,3735,3740,3595,3595,101400,371650500
2015-08-31,3790,3790,3705,3740,69500,259239000
2015-08-28,3815,3815,3750,3790,82300,311582000
2015-08-27,3730,3740,3650,3695,116900,432750500
2015-08-26,3605,3695,3560,3595,162500,588867000
2015-08-25,3490,3775,3415,3585,163500,586369000
2015-08-24,3850,3855,3680,3690,117500,443314000
2015-08-21,4000,4015,3925,3925,91500,362787000
2015-08-20,4015,4090,4000,4035,74500,301619000
2015-08-19,4045,4070,4005,4015,67900,274130500
2015-08-18,4020,4085,4020,4055,72900,295787000
2015-08-17,4030,4050,3980,4035,97400,392521000
2015-08-14,4040,4040,4020,4030,38400,154797500
2015-08-13,4050,4070,4000,4040,97000,391636000
2015-08-12,4035,4060,4010,4050,107100,432409500
2015-08-11,4085,4090,4030,4030,109900,445617000
2015-08-10,4070,4090,4040,4085,83900,341206000
2015-08-07,4055,4075,4005,4050,116500,470946500
2015-08-06,4255,4275,4025,4045,376600,1540372500
2015-08-05,4400,4435,4365,4385,78300,344239000
2015-08-04,4330,4380,4325,4375,50900,221793000
2015-08-03,4295,4365,4280,4315,78800,341737000
2015-07-31,4285,4320,4235,4320,48100,206393000
2015-07-30,4295,4300,4235,4245,48100,205102000
2015-07-29,4295,4340,4270,4295,36000,154820500
2015-07-28,4235,4290,4200,4275,53100,225849000
2015-07-27,4290,4365,4265,4285,80700,348045500
2015-07-24,4190,4285,4190,4270,87000,369938000
2015-07-23,4170,4175,4135,4175,49900,207349500
2015-07-22,4200,4210,4150,4150,46700,195083500
2015-07-21,4190,4220,4180,4210,34500,145171500
2015-07-17,4185,4190,4120,4150,44900,186209000
2015-07-16,4200,4200,4175,4200,48300,202379500
2015-07-15,4155,4200,4150,4200,48000,200735000
2015-07-14,4100,4180,4085,4155,67000,277078000
2015-07-13,4030,4065,3995,4040,55100,222267500
2015-07-10,4060,4090,3990,4010,75900,306199000
2015-07-09,3975,4025,3870,4015,103300,409057500
2015-07-08,4095,4100,4005,4005,74600,300822500
2015-07-07,4050,4125,4050,4115,67700,277438500
2015-07-06,4020,4075,4010,4010,89100,359310500
2015-07-03,4070,4070,4010,4010,79900,321917000
2015-07-02,4080,4080,4015,4030,92400,373227500
