3512-T,東証1部,日フエルト,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,489,500,487,499,8200,4056500
2015-10-01,489,497,487,497,6000,2958900
2015-09-30,489,491,484,488,8500,4143200
2015-09-29,493,495,486,486,14500,7107500
2015-09-28,497,500,494,498,8500,4229000
2015-09-25,499,500,493,500,17300,8613200
2015-09-24,496,496,492,492,10400,5133900
2015-09-18,498,498,494,496,5900,2925200
2015-09-17,500,500,495,498,6000,2984600
2015-09-16,496,497,494,497,4900,2425600
2015-09-15,498,498,494,495,6700,3325100
2015-09-14,495,497,493,493,7700,3812300
2015-09-11,495,498,493,494,18600,9207400
2015-09-10,493,495,490,493,6300,3105900
2015-09-09,492,499,486,499,11200,5542400
2015-09-08,490,492,484,484,21900,10667400
2015-09-07,492,496,489,493,18500,9097500
2015-09-04,501,503,498,499,15000,7499500
2015-09-03,501,504,500,501,11000,5515800
2015-09-02,506,508,500,500,15600,7848800
2015-09-01,519,520,509,510,10900,5612200
2015-08-31,520,525,517,525,10800,5631900
2015-08-28,510,524,510,519,9200,4758900
2015-08-27,508,514,507,509,11200,5711700
2015-08-26,492,514,488,503,24700,12231100
2015-08-25,491,509,481,485,38700,18968700
2015-08-24,510,512,501,501,33300,16888400
2015-08-21,520,522,516,516,19900,10324000
2015-08-20,528,530,525,525,12000,6320000
2015-08-19,529,531,527,528,12000,6348000
2015-08-18,530,530,527,529,6200,3276800
2015-08-17,529,534,528,529,10700,5672300
2015-08-14,527,530,527,529,7700,4069300
2015-08-13,526,529,526,527,8400,4431700
2015-08-12,530,530,527,527,10400,5501000
2015-08-11,534,534,529,531,8400,4465000
2015-08-10,530,532,528,532,8000,4240500
2015-08-07,529,532,528,529,5900,3124500
2015-08-06,532,533,529,530,7800,4146500
2015-08-05,529,532,526,530,7600,4015700
2015-08-04,535,535,526,527,16800,8893300
2015-08-03,530,533,529,532,8200,4350800
2015-07-31,527,534,527,533,8100,4299200
2015-07-30,526,530,526,526,18500,9743800
2015-07-29,528,530,528,529,2900,1534100
2015-07-28,528,532,527,528,6800,3593200
2015-07-27,530,535,530,530,10700,5690800
2015-07-24,535,535,531,531,18500,9887700
2015-07-23,529,534,529,534,8800,4681100
2015-07-22,529,530,528,528,9600,5078800
2015-07-21,529,530,528,529,10100,5345500
2015-07-17,530,530,527,529,7200,3805000
2015-07-16,526,528,523,527,9700,5105000
2015-07-15,524,530,522,525,15800,8303700
2015-07-14,527,527,521,525,12500,6561700
2015-07-13,519,522,517,520,10500,5462600
2015-07-10,520,526,515,516,24200,12552600
2015-07-09,520,522,511,519,48500,25112100
2015-07-08,530,532,525,525,22500,11865400
2015-07-07,529,532,529,530,7800,4136900
2015-07-06,532,533,529,529,29600,15705200
