3553-T,東証1部,共和レザ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1048,1055,1032,1053,24200,25374300
2015-10-01,1044,1056,1021,1054,64500,67214000
2015-09-30,1020,1049,1006,1039,52700,54375800
2015-09-29,984,1012,980,1002,85300,85224700
2015-09-28,1026,1041,993,1005,67400,68571900
2015-09-25,1050,1065,1011,1036,63300,65663000
2015-09-24,1070,1070,1034,1038,60300,63345400
2015-09-18,1045,1074,1023,1074,103200,108919200
2015-09-17,1029,1040,1021,1040,65700,67941500
2015-09-16,1019,1027,1004,1027,54900,55844300
2015-09-15,1010,1029,993,1013,64400,64941400
2015-09-14,1006,1043,982,999,77100,78118700
2015-09-11,995,1007,989,1006,95700,95536200
2015-09-10,960,990,954,988,50300,49164400
2015-09-09,972,994,964,987,102400,100494000
2015-09-08,953,961,936,945,40700,38488200
2015-09-07,936,958,931,955,48700,46118500
2015-09-04,949,949,938,942,59800,56331400
2015-09-03,918,946,918,942,54800,51321100
2015-09-02,903,929,903,904,62700,57381000
2015-09-01,941,959,918,933,109600,103041800
2015-08-31,897,952,886,939,105300,96336700
2015-08-28,859,859,842,853,21200,18027200
2015-08-27,836,849,833,836,28700,24113400
2015-08-26,797,840,774,823,48500,38944500
2015-08-25,770,845,760,792,49900,39747600
2015-08-24,846,859,820,820,55300,46491600
2015-08-21,897,898,873,880,46700,41380000
2015-08-20,920,926,912,912,23600,21645800
2015-08-19,953,955,925,932,19800,18595300
2015-08-18,948,960,940,953,21300,20266000
2015-08-17,925,944,925,942,18500,17341900
2015-08-14,922,934,918,924,20000,18496300
2015-08-13,923,925,912,922,20700,19032600
2015-08-12,954,957,912,924,57300,53224800
2015-08-11,968,972,949,962,15800,15225100
2015-08-10,950,969,945,966,29100,27836900
2015-08-07,970,970,942,943,59100,56226300
2015-08-06,984,998,975,975,40600,39963200
2015-08-05,990,992,958,985,62100,60901700
2015-08-04,1008,1015,986,997,52300,52421500
2015-08-03,980,1010,966,1005,132500,130489800
2015-07-31,957,969,956,965,79200,76063700
2015-07-30,927,930,916,929,32100,29652600
2015-07-29,914,923,909,910,19500,17806900
2015-07-28,901,916,901,914,28700,26095500
2015-07-27,907,927,901,907,36100,32926200
2015-07-24,919,925,918,922,39100,36041400
2015-07-23,918,927,916,920,39100,35962000
2015-07-22,926,935,915,916,48500,44822000
2015-07-21,928,940,926,929,39700,37000300
2015-07-17,939,939,920,928,39600,36689400
2015-07-16,936,942,925,940,29600,27672200
2015-07-15,941,943,931,933,33600,31487500
2015-07-14,935,947,934,944,18600,17501800
2015-07-13,932,935,920,923,29100,26979100
2015-07-10,924,924,910,915,39400,36167300
2015-07-09,870,909,854,898,83800,74144600
2015-07-08,958,959,907,912,61000,56503200
2015-07-07,959,976,955,960,33300,32130600
2015-07-06,958,969,952,954,34200,32834900
2015-07-03,999,999,970,976,37200,36412400
2015-07-02,998,1000,993,997,26100,26027700
2015-07-01,979,996,970,990,19400,19089500
2015-06-30,967,981,967,978,26500,25845700
2015-06-29,960,983,957,975,47900,46625400
2015-06-26,1007,1011,995,1001,46100,46213900
2015-06-25,1028,1031,1011,1011,44300,45171800
2015-06-24,1035,1039,1029,1030,33900,35015000
2015-06-23,1044,1047,1029,1029,59500,61664000
2015-06-22,1019,1036,1018,1031,70300,72248200
2015-06-19,1001,1009,993,1009,42600,42805100
2015-06-18,1006,1010,986,989,48500,48333400
2015-06-17,996,1014,995,1006,75900,76331900
2015-06-16,998,1006,990,990,34600,34514600
2015-06-15,987,1001,987,996,34500,34321800
2015-06-12,988,1007,988,996,54600,54231700
2015-06-11,996,1009,988,992,59300,59182500
2015-06-10,1000,1011,994,994,49000,49130400
2015-06-09,1009,1030,1005,1005,55400,56248700
2015-06-08,999,1015,999,1014,43300,43679900
2015-06-05,994,1004,992,995,28500,28411500
2015-06-04,993,1011,993,994,48800,48705300
2015-06-03,1007,1018,1001,1002,40000,40309800
2015-06-02,1013,1025,1003,1020,46600,47317700
2015-06-01,990,1015,990,1013,53000,53225900
2015-05-29,1003,1014,986,999,100600,100553600
2015-05-28,1000,1022,1000,1017,115300,116750300
2015-05-27,974,999,966,999,113100,111540400
2015-05-26,973,976,966,971,49800,48386300
2015-05-25,974,974,960,968,58200,56311200
2015-05-22,959,980,956,975,85300,82793300
2015-05-21,975,976,939,955,100200,96271000
2015-05-20,968,977,953,975,131700,127036500
2015-05-19,920,968,920,950,149200,140979700
2015-05-18,890,913,888,911,105300,95267900
2015-05-15,880,894,880,881,75500,66900300
2015-05-14,883,883,872,881,45900,40329700
2015-05-13,888,888,870,879,89300,78765300
2015-05-12,850,887,848,887,172300,149387300
2015-05-11,839,852,838,844,61800,52169200
2015-05-08,827,831,825,830,34000,28150200
2015-05-07,821,835,821,826,26400,21840100
2015-05-01,826,838,817,827,87200,71969200
2015-04-30,846,848,835,841,78400,65914800
2015-04-28,864,866,849,852,85700,73223700
2015-04-27,868,868,846,861,130200,111945300
2015-04-24,880,895,841,848,417900,358795900
2015-04-23,801,801,785,791,24600,19502900
2015-04-22,794,799,785,798,25700,20408800
2015-04-21,790,799,788,791,20300,16056600
2015-04-20,798,798,787,787,28100,22243000
2015-04-17,798,805,794,798,20900,16724800
2015-04-16,799,800,796,798,20200,16110100
2015-04-15,796,804,796,797,32900,26278500
2015-04-14,791,797,790,796,23300,18476300
2015-04-13,794,798,791,793,20000,15879800
2015-04-10,798,799,789,792,27300,21643600
2015-04-09,792,800,780,793,30900,24453100
2015-04-08,783,795,781,789,19900,15686400
2015-04-07,792,798,784,785,37700,29756500
2015-04-06,801,801,790,794,27700,22023200
2015-04-03,807,808,786,796,54100,43070400
2015-04-02,768,804,768,800,77700,61394400
2015-04-01,772,774,751,760,39600,30143700
2015-03-31,771,780,767,771,40900,31598100
2015-03-30,776,784,770,772,44100,34169700
2015-03-27,792,808,766,786,56400,44519700
2015-03-26,825,827,799,806,62100,50556300
2015-03-25,843,843,821,830,59100,49138800
2015-03-24,817,850,812,838,124600,103717400
2015-03-23,795,815,795,814,56500,45562700
2015-03-20,788,791,786,789,35100,27675200
2015-03-19,799,800,789,791,23200,18407000
2015-03-18,795,803,792,795,44000,35068300
2015-03-17,794,798,792,792,29700,23592000
2015-03-16,795,796,788,794,62800,49768200
2015-03-13,800,800,786,789,77100,61358100
2015-03-12,780,793,780,787,34200,26841600
2015-03-11,768,779,768,778,18500,14335500
2015-03-10,779,780,770,771,15900,12306600
2015-03-09,770,777,770,773,10200,7889300
2015-03-06,780,780,768,777,24200,18737800
2015-03-05,776,783,770,773,18400,14282900
2015-03-04,775,779,763,776,36400,28096300
2015-03-03,785,787,775,776,26600,20756600
2015-03-02,791,791,785,785,22500,17734700
2015-02-27,794,795,778,782,45900,36037500
2015-02-26,781,791,780,790,60000,47182800
2015-02-25,786,786,774,780,31400,24560600
2015-02-24,775,780,773,776,18100,14061600
2015-02-23,790,794,778,780,35300,27685600
2015-02-20,799,800,758,789,91700,72379000
2015-02-19,779,806,776,794,92400,73235400
2015-02-18,769,773,763,766,37300,28621600
2015-02-17,773,774,760,768,28600,21902100
2015-02-16,776,785,768,775,54000,41934500
2015-02-13,757,785,738,776,140000,107921500
2015-02-12,747,752,745,745,59800,44685200
2015-02-10,754,754,746,750,39900,29886900
2015-02-09,751,754,748,751,22400,16805300
