3569-T,東証1部,セーレン,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1334,1346,1323,1343,60400,80642300
2015-10-01,1314,1349,1312,1341,110500,147501600
2015-09-30,1293,1330,1293,1323,107200,141222000
2015-09-29,1303,1303,1266,1268,111300,142980000
2015-09-28,1324,1328,1296,1321,70000,92141000
2015-09-25,1287,1314,1270,1310,124300,161024300
2015-09-24,1305,1328,1280,1281,154900,200722800
2015-09-18,1315,1336,1287,1321,130800,172702400
2015-09-17,1290,1322,1272,1315,133800,174135400
2015-09-16,1277,1285,1249,1259,36400,45901700
2015-09-15,1260,1279,1240,1266,62500,79142300
2015-09-14,1295,1295,1258,1260,44400,56276000
2015-09-11,1239,1295,1239,1279,119700,150026700
2015-09-10,1250,1273,1234,1267,76100,95360400
2015-09-09,1258,1280,1250,1280,88800,112637300
2015-09-08,1230,1257,1212,1212,76200,93444900
2015-09-07,1224,1259,1210,1235,71500,87811500
2015-09-04,1268,1288,1228,1239,138700,173454500
2015-09-03,1299,1315,1262,1265,143100,183826100
2015-09-02,1287,1330,1273,1285,130800,170326400
2015-09-01,1365,1375,1329,1333,185100,249471600
2015-08-31,1370,1382,1342,1364,222500,302986000
2015-08-28,1330,1348,1294,1342,200700,266244700
2015-08-27,1282,1312,1267,1276,167700,215921300
2015-08-26,1234,1260,1217,1248,219200,271470900
2015-08-25,1214,1288,1206,1226,183200,228349600
2015-08-24,1316,1342,1284,1284,128200,167701500
2015-08-21,1377,1387,1361,1367,122500,168467300
2015-08-20,1417,1438,1406,1411,106000,150705000
2015-08-19,1464,1480,1418,1428,129100,185999900
2015-08-18,1449,1489,1446,1463,267200,392593900
2015-08-17,1440,1449,1426,1443,203800,293701400
2015-08-14,1391,1429,1386,1410,218600,308669300
2015-08-13,1374,1385,1345,1379,102900,140938000
2015-08-12,1383,1401,1363,1374,159500,220645800
2015-08-11,1390,1407,1372,1383,195100,270948000
2015-08-10,1341,1385,1339,1381,192300,262289900
