3593-T,東証1部,ホギメディ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,5630,5660,5540,5570,40400,225682000
2015-10-01,5540,5620,5510,5570,29200,162270000
2015-09-30,5450,5510,5440,5480,25900,141679000
2015-09-29,5570,5590,5430,5450,38200,209229000
2015-09-28,5600,5720,5540,5620,32500,182211000
2015-09-25,5540,5630,5510,5630,60200,334947000
2015-09-24,5580,5600,5510,5510,46500,257992000
2015-09-18,5700,5760,5600,5620,45000,254573000
2015-09-17,5780,5830,5680,5780,36600,210843000
2015-09-16,5760,5830,5670,5780,33100,191066000
2015-09-15,5670,5730,5640,5660,14600,83036000
2015-09-14,5780,5780,5620,5640,25300,143487000
2015-09-11,5670,5740,5660,5680,42200,239751000
2015-09-10,5600,5780,5560,5740,44100,250775000
2015-09-09,5600,5680,5550,5630,51300,287343000
2015-09-08,5690,5700,5510,5540,61100,339797000
2015-09-07,5770,5830,5640,5680,27400,156330000
2015-09-04,5900,5900,5750,5830,88100,513573000
2015-09-03,5780,5900,5780,5840,38200,223096000
2015-09-02,5750,5860,5670,5750,119100,688619000
2015-09-01,5830,5870,5760,5760,35400,205924000
2015-08-31,5860,5990,5850,5890,57300,338619000
2015-08-28,5830,5910,5750,5760,78800,457814000
2015-08-27,5630,5880,5610,5730,56400,325174000
2015-08-26,5500,5570,5460,5530,87200,480619000
2015-08-25,5530,5670,5460,5460,71400,394955000
2015-08-24,5900,5910,5720,5720,56900,330640000
2015-08-21,5980,6010,5900,5930,23400,139142000
2015-08-20,6180,6200,6040,6050,19000,115886000
2015-08-19,6160,6220,6120,6200,25600,158145000
2015-08-18,6250,6260,6150,6180,25700,159192000
2015-08-17,6280,6290,6230,6270,19500,122119000
2015-08-14,6200,6310,6200,6280,13700,85816000
2015-08-13,6200,6240,6150,6230,26700,165626000
2015-08-12,6190,6320,6190,6230,20500,127992000
2015-08-11,6280,6330,6180,6240,32000,200282000
2015-08-10,6200,6310,6180,6310,28800,180445000
2015-08-07,6190,6210,6150,6170,18200,112322000
2015-08-06,6190,6250,6170,6220,25300,157322000
2015-08-05,6180,6180,6090,6150,43500,267414000
2015-08-04,6160,6200,6140,6170,31800,196080000
2015-08-03,6080,6130,6040,6120,42400,258696000
2015-07-31,5950,6040,5950,6030,49300,295790000
2015-07-30,5910,5950,5900,5930,37700,223175000
2015-07-29,5990,6000,5870,5900,65900,389969000
