3608-T,東証1部,TSIHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,861,871,854,864,126700,109642800
2015-10-01,870,879,859,864,223500,193650900
2015-09-30,853,875,853,863,410000,355021500
2015-09-29,870,884,845,848,488900,420596500
2015-09-28,887,890,867,883,344900,304357800
2015-09-25,868,887,866,887,318400,279796300
2015-09-24,871,888,868,868,230200,201416100
2015-09-18,893,903,877,886,406400,360933500
2015-09-17,894,909,885,905,616300,555154300
2015-09-16,901,907,871,882,439200,386774600
2015-09-15,885,912,881,892,779800,698367000
2015-09-14,880,910,879,881,440000,391766600
2015-09-11,853,891,853,876,519600,452912400
2015-09-10,851,867,850,864,388200,332680100
2015-09-09,871,873,853,871,334900,288526800
2015-09-08,867,873,850,851,244600,209807300
2015-09-07,864,880,854,866,307800,266879900
2015-09-04,880,880,854,864,529600,458805000
2015-09-03,899,915,866,869,660000,583136500
2015-09-02,880,923,864,899,825100,742668800
2015-09-01,933,937,890,890,399400,361959000
2015-08-31,938,946,920,938,531500,495362200
2015-08-28,938,939,919,938,540800,503317700
2015-08-27,945,963,915,920,1075700,1003787500
2015-08-26,929,955,908,948,1182100,1108998800
2015-08-25,899,973,887,929,860600,804484800
2015-08-24,935,953,928,929,636300,597907400
2015-08-21,955,982,948,955,403600,387828600
2015-08-20,991,1016,982,985,644100,640351300
2015-08-19,974,1002,954,999,542200,537210800
2015-08-18,985,999,973,981,350700,344378900
2015-08-17,980,995,975,980,373500,366860600
2015-08-14,964,977,956,974,186000,180258600
2015-08-13,966,988,947,964,481100,460941900
2015-08-12,948,992,948,981,902400,881226500
2015-08-11,950,963,939,950,487900,464422500
2015-08-10,930,944,925,943,471000,441062700
2015-08-07,900,931,894,927,1142800,1047141000
2015-08-06,899,907,883,902,410000,368649800
2015-08-05,900,906,887,894,331200,296154300
2015-08-04,882,899,864,899,272600,242686500
2015-08-03,880,888,869,887,274600,241871700
2015-07-31,859,879,854,878,739700,641954000
2015-07-30,835,858,834,856,1006900,855333300
2015-07-29,826,839,819,838,609000,504675900
2015-07-28,823,830,811,825,662300,544709400
2015-07-27,848,850,832,835,356300,299234500
2015-07-24,857,864,847,852,483200,413757000
2015-07-23,875,875,858,864,461600,399502600
2015-07-22,876,892,869,875,793500,700012100
2015-07-21,862,878,840,875,686700,590176100
2015-07-17,870,898,851,860,1183700,1037085700
2015-07-16,838,860,826,855,569000,481234000
2015-07-15,855,873,825,841,1484700,1254009700
2015-07-14,837,850,832,846,402700,338263900
2015-07-13,818,829,813,822,462800,379885100
2015-07-10,836,848,814,818,636500,527935900
