3640-T,東証1部,電算,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2213,2215,2168,2175,3000,6564600
2015-10-01,2199,2223,2199,2209,2500,5531700
2015-09-30,2173,2192,2170,2191,1200,2620500
2015-09-29,2153,2175,2150,2155,1800,3878500
2015-09-28,2134,2185,2134,2175,1900,4124300
2015-09-25,2100,2145,2100,2134,2500,5292300
2015-09-24,2133,2171,2130,2132,2300,4920000
2015-09-18,2157,2157,2141,2152,1600,3437200
2015-09-17,2161,2161,2149,2157,1500,3230700
2015-09-16,2170,2170,2149,2149,500,1081500
2015-09-15,2135,2174,2135,2137,3500,7499800
2015-09-14,2163,2163,2133,2133,1200,2567100
2015-09-11,2143,2144,2104,2134,5500,11762000
2015-09-10,2075,2093,2064,2093,3300,6840000
2015-09-09,2081,2100,2080,2089,3700,7716400
2015-09-08,2134,2139,2057,2057,2900,6090600
2015-09-07,2102,2125,2059,2084,4700,9832400
2015-09-04,2179,2196,2111,2117,4000,8543900
2015-09-03,2200,2244,2169,2183,3400,7457000
2015-09-02,2200,2200,2121,2200,3300,7182100
2015-09-01,2253,2260,2221,2222,4300,9660000
2015-08-31,2249,2252,2241,2252,2000,4496200
2015-08-28,2250,2252,2236,2248,3700,8314500
2015-08-27,2185,2235,2185,2223,3900,8677000
2015-08-26,2181,2181,2100,2174,3400,7333200
2015-08-25,2001,2137,2000,2081,9500,19470100
2015-08-24,2186,2230,2161,2161,5200,11373600
2015-08-21,2234,2236,2214,2216,5400,12025700
2015-08-20,2254,2255,2236,2236,2400,5385200
2015-08-19,2236,2253,2236,2238,3200,7184200
2015-08-18,2247,2250,2235,2235,2500,5610100
2015-08-17,2247,2251,2245,2248,2300,5170600
2015-08-14,2247,2247,2239,2245,1200,2692600
2015-08-13,2234,2245,2234,2241,3100,6942700
2015-08-12,2237,2237,2232,2234,1400,3127300
2015-08-11,2235,2244,2231,2232,2100,4693800
2015-08-10,2231,2239,2230,2239,3700,8262100
2015-08-07,2237,2240,2232,2233,2300,5140100
2015-08-06,2248,2248,2236,2237,2100,4705900
2015-08-05,2236,2255,2234,2234,4200,9418200
2015-08-04,2253,2253,2231,2237,3100,6943600
2015-08-03,2248,2248,2230,2236,2700,6040500
2015-07-31,2255,2267,2230,2238,6700,15015700
2015-07-30,2259,2260,2255,2256,2400,5418100
2015-07-29,2251,2279,2251,2267,2300,5224700
2015-07-28,2263,2275,2250,2259,2900,6555900
2015-07-27,2271,2274,2263,2269,2700,6125000
2015-07-24,2265,2291,2265,2280,4100,9327900
2015-07-23,2285,2301,2277,2296,5100,11691400
2015-07-22,2271,2276,2271,2275,1300,2955300
2015-07-21,2281,2288,2274,2287,2900,6620300
2015-07-17,2277,2277,2258,2265,2100,4762200
2015-07-16,2292,2292,2255,2267,5300,12033900
2015-07-15,2287,2294,2282,2291,4500,10297500
2015-07-14,2283,2299,2274,2294,7100,16231200
2015-07-13,2251,2293,2246,2264,11800,26750000
2015-07-10,2224,2247,2224,2237,3900,8733500
2015-07-09,2211,2250,2198,2249,6200,13761900
2015-07-08,2254,2255,2238,2238,4400,9887000
2015-07-07,2252,2265,2252,2254,2400,5416000
2015-07-06,2252,2267,2252,2252,1900,4284900
2015-07-03,2265,2271,2251,2252,4800,10837500
2015-07-02,2255,2275,2255,2274,2500,5666700
2015-07-01,2261,2268,2255,2255,2600,5872600
2015-06-30,2244,2265,2244,2257,2900,6543000
2015-06-29,2250,2270,2234,2253,3200,7203700
2015-06-26,2265,2293,2261,2274,2800,6365800
2015-06-25,2255,2288,2255,2265,2000,4523000
2015-06-24,2280,2291,2275,2280,3600,8213300
2015-06-23,2267,2283,2267,2283,4500,10229400
2015-06-22,2258,2269,2258,2267,2600,5885300
2015-06-19,2256,2266,2250,2258,4100,9254100
2015-06-18,2269,2270,2256,2256,3200,7235000
