3655-T,東証1部,ブレインP,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,467,485,467,482,44900,21414700
2015-10-01,464,484,463,475,42000,19829200
2015-09-30,461,473,458,466,44900,20954200
2015-09-29,470,471,454,455,114500,52904500
2015-09-28,478,484,469,482,79800,38130900
2015-09-25,491,495,464,474,129700,61864700
2015-09-24,494,498,475,475,134700,65440100
2015-09-18,555,572,503,507,1432300,766137100
2015-09-17,519,539,512,539,286500,151022300
2015-09-16,468,470,450,459,73300,33493200
2015-09-15,461,471,454,454,50300,23223100
2015-09-14,485,492,452,461,168700,79417400
2015-09-11,479,500,479,488,135200,65817100
2015-09-10,470,482,461,475,94900,44796700
2015-09-09,485,498,460,475,266000,126653800
2015-09-08,472,501,470,480,70500,34322400
2015-09-07,466,477,454,472,113300,53077600
2015-09-04,500,503,479,480,96100,46968300
2015-09-03,517,517,500,504,165500,84123500
2015-09-02,487,517,486,493,134300,67027600
2015-09-01,536,545,502,502,349300,182899600
2015-08-31,553,554,537,540,109300,59456800
2015-08-28,546,578,544,560,180100,100240400
2015-08-27,558,558,533,533,177600,95929300
2015-08-26,530,576,525,538,170200,91551000
2015-08-25,547,604,517,530,135200,74368700
2015-08-24,588,588,551,554,99600,57354600
2015-08-21,595,600,586,589,77600,45873800
2015-08-20,630,630,605,611,79600,49219200
2015-08-19,643,648,631,631,143900,91958200
2015-08-18,664,673,661,670,81600,54377900
2015-08-17,652,664,631,664,183200,118661200
2015-08-14,669,679,644,653,481900,317860100
2015-08-13,791,807,772,794,44000,34689300
2015-08-12,798,809,788,796,51300,40766000
2015-08-11,813,816,806,812,29700,24118000
2015-08-10,799,807,795,798,25600,20476700
2015-08-07,804,850,798,803,81600,66583900
2015-08-06,806,812,802,804,11900,9622300
2015-08-05,805,818,799,806,34900,28308700
2015-08-04,802,807,790,790,51300,40819500
2015-08-03,815,820,803,803,59300,48138100
2015-07-31,811,850,800,817,168200,136630100
2015-07-30,800,949,799,826,1445800,1269538900
2015-07-29,810,830,796,799,47700,38689800
2015-07-28,802,818,795,804,47200,37874500
2015-07-27,837,844,800,817,50000,41172200
2015-07-24,828,845,815,837,40100,33318300
2015-07-23,837,854,827,830,73900,61866500
2015-07-22,818,866,816,848,92100,77441000
2015-07-21,820,830,805,820,59100,48382400
2015-07-17,815,824,783,799,86000,68971500
2015-07-16,800,805,788,799,74300,59329400
2015-07-15,816,817,785,796,159100,127589800
2015-07-14,826,864,826,834,45100,37738700
2015-07-13,831,836,822,825,44800,37109100
2015-07-10,845,860,821,838,37200,31076400
2015-07-09,845,848,810,845,86900,72230400
2015-07-08,890,898,860,860,61000,53537500
2015-07-07,861,883,860,872,48100,41820900
2015-07-06,908,908,864,869,60200,53120800
2015-07-03,953,955,926,927,21500,20171400
2015-07-02,976,984,952,955,40700,39266700
2015-07-01,980,998,971,973,20800,20326500
2015-06-30,977,990,977,990,20400,20015400
2015-06-29,1000,1017,992,992,28300,28239100
2015-06-26,1060,1060,1012,1017,38600,39496000
2015-06-25,1123,1123,1061,1068,13600,14699800
2015-06-24,1130,1135,1070,1120,56200,62376900
2015-06-23,1025,1159,1024,1090,34300,37189200
2015-06-22,1015,1026,1011,1019,6100,6210000
2015-06-19,1008,1026,995,1004,10500,10578200
2015-06-18,1021,1026,992,1007,30800,30866000
2015-06-17,1031,1035,1024,1026,6400,6589800
2015-06-16,1055,1055,1031,1040,8900,9246500
2015-06-15,1044,1054,1032,1036,13100,13626400
2015-06-12,1071,1071,1042,1043,36800,38862900
2015-06-11,1065,1092,1065,1092,5200,5600600
2015-06-10,1081,1090,1070,1080,10500,11314100
2015-06-09,1095,1097,1080,1080,8600,9335700
2015-06-08,1120,1120,1098,1099,13200,14562800
2015-06-05,1116,1120,1110,1120,3900,4355600
2015-06-04,1109,1120,1109,1115,2500,2782900
2015-06-03,1109,1118,1104,1118,3300,3654500
2015-06-02,1111,1120,1107,1110,10500,11660700
2015-06-01,1102,1116,1102,1111,3000,3323800
2015-05-29,1118,1120,1100,1116,4200,4680000
2015-05-28,1106,1113,1100,1106,2200,2429800
2015-05-27,1105,1124,1096,1117,6400,7098100
2015-05-26,1114,1120,1105,1109,6400,7119400
2015-05-25,1129,1129,1111,1120,3200,3596100
2015-05-22,1121,1129,1115,1127,3800,4257600
2015-05-21,1131,1133,1115,1129,6100,6854300
2015-05-20,1145,1145,1120,1131,4600,5200400
2015-05-19,1144,1149,1130,1140,5500,6276900
2015-05-18,1130,1145,1128,1144,2400,2729900
2015-05-15,1140,1143,1125,1137,3000,3406900
2015-05-14,1149,1150,1140,1140,2800,3200500
2015-05-13,1137,1147,1135,1144,4500,5130900
2015-05-12,1142,1145,1137,1137,3100,3533800
2015-05-11,1163,1163,1140,1145,5700,6544400
2015-05-08,1132,1145,1122,1137,4700,5323700
2015-05-07,1149,1149,1122,1136,4700,5331800
2015-05-01,1132,1139,1119,1129,7400,8350200
2015-04-30,1150,1150,1131,1143,4400,5041100
2015-04-28,1135,1148,1125,1148,8300,9451300
2015-04-27,1141,1142,1132,1135,3700,4204600
2015-04-24,1161,1167,1142,1143,10200,11783500
2015-04-23,1125,1143,1114,1141,8600,9739900
2015-04-22,1120,1120,1101,1111,14600,16198900
2015-04-21,1127,1138,1088,1099,21800,24332700
2015-04-20,1128,1137,1126,1126,22300,25170400
2015-04-17,1164,1165,1158,1158,11100,12876000
2015-04-16,1200,1200,1146,1166,24100,28025700
2015-04-15,1160,1236,1136,1218,28800,33952500
2015-04-14,1146,1146,1135,1136,5300,6042500
2015-04-13,1141,1141,1125,1136,7100,8057000
2015-04-10,1140,1145,1140,1142,6000,6849400
2015-04-09,1145,1147,1140,1143,8100,9252500
2015-04-08,1142,1152,1142,1147,4300,4935200
2015-04-07,1148,1148,1140,1143,4400,5032700
2015-04-06,1148,1158,1148,1148,3500,4029100
2015-04-03,1161,1161,1137,1147,8700,9962400
2015-04-02,1150,1155,1145,1150,5700,6552700
2015-04-01,1152,1158,1152,1153,6800,7850500
2015-03-31,1159,1167,1151,1161,7400,8592700
2015-03-30,1166,1166,1157,1159,2800,3253300
2015-03-27,1157,1188,1157,1166,11700,13636100
2015-03-26,1198,1199,1140,1175,17200,20218700
2015-03-25,1214,1214,1198,1205,5900,7105400
2015-03-24,1201,1201,1198,1200,7500,8994300
2015-03-23,1205,1206,1198,1201,16300,19565100
2015-03-20,1205,1206,1202,1203,2900,3489900
2015-03-19,1219,1219,1202,1204,4700,5664200
2015-03-18,1229,1230,1210,1216,7800,9517500
2015-03-17,1210,1212,1203,1204,5900,7110800
2015-03-16,1203,1209,1203,1206,3500,4219300
2015-03-13,1232,1235,1202,1213,15900,19402900
2015-03-12,1217,1246,1212,1238,22500,27660700
2015-03-11,1215,1217,1201,1203,5300,6402800
2015-03-10,1214,1220,1207,1212,4600,5578100
2015-03-09,1201,1220,1201,1209,2600,3154600
2015-03-06,1203,1219,1200,1202,7500,9031700
2015-03-05,1201,1220,1201,1202,4800,5800600
2015-03-04,1205,1218,1202,1216,2300,2776800
2015-03-03,1201,1214,1200,1204,8600,10359100
2015-03-02,1205,1214,1201,1210,6900,8329500
2015-02-27,1225,1225,1205,1214,3600,4357400
2015-02-26,1220,1231,1208,1213,4800,5846700
2015-02-25,1265,1265,1222,1225,5900,7307600
2015-02-24,1275,1275,1220,1235,10700,13253800
2015-02-23,1276,1276,1239,1268,17400,21961500
2015-02-20,1245,1270,1243,1246,16700,20923300
2015-02-19,1340,1343,1220,1249,73200,93866100
2015-02-18,1208,1225,1200,1211,6900,8375500
2015-02-17,1239,1239,1191,1208,6900,8401300
2015-02-16,1196,1196,1177,1186,11400,13524300
2015-02-13,1224,1224,1190,1193,13500,16249900
2015-02-12,1200,1225,1200,1200,34100,41061000
2015-02-10,1216,1254,1216,1246,6200,7693700
2015-02-09,1230,1239,1225,1230,3600,4429700
2015-02-06,1225,1226,1213,1216,5000,6088400
2015-02-05,1220,1224,1212,1219,4700,5716900
2015-02-04,1210,1232,1209,1232,4700,5726300
2015-02-03,1234,1238,1204,1214,8700,10608500
2015-02-02,1220,1255,1215,1226,12400,15286500
2015-01-30,1270,1303,1201,1235,29000,36347300
2015-01-29,1323,1323,1276,1276,26200,33923200
2015-01-28,1341,1344,1300,1315,25700,34209900
2015-01-27,1343,1344,1320,1330,11000,14722500
2015-01-26,1296,1320,1296,1320,3500,4577100
2015-01-23,1333,1333,1297,1308,16200,21376700
2015-01-22,1305,1320,1290,1307,17000,22193700
2015-01-21,1284,1310,1280,1300,27600,35682600
2015-01-20,1279,1284,1278,1284,3600,4617700
2015-01-19,1278,1299,1276,1279,3300,4241900
2015-01-16,1271,1294,1270,1278,12500,16011500
2015-01-15,1284,1298,1281,1296,9000,11648400
2015-01-14,1284,1299,1284,1297,7500,9718900
2015-01-13,1300,1300,1283,1296,18000,23307100
2015-01-09,1295,1295,1255,1281,7700,9854700
2015-01-08,1280,1295,1276,1288,6200,7978300
2015-01-07,1286,1291,1262,1279,5600,7176200
2015-01-06,1290,1300,1240,1286,14200,18248000
2015-01-05,1260,1300,1250,1298,16700,21317000
2014-12-30,1260,1270,1240,1268,12600,15820500
2014-12-29,1229,1269,1229,1258,21900,27240100
2014-12-26,1206,1225,1206,1225,11700,14256300
2014-12-25,1210,1222,1191,1200,27300,32949100
2014-12-24,1224,1224,1193,1208,8600,10423000
2014-12-22,1192,1215,1192,1204,9800,11785900
2014-12-19,1222,1226,1213,1222,5000,6105400
2014-12-18,1190,1233,1187,1218,15700,18955400
2014-12-17,1178,1186,1176,1178,15900,18741400
2014-12-16,1191,1200,1181,1196,10400,12367900
