3658-T,東証1部,イーブック,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,774,787,774,782,3000,2343700
2015-10-01,770,785,763,784,9800,7590200
2015-09-30,763,769,761,765,5200,3976600
2015-09-29,785,785,752,752,10500,7987800
2015-09-28,780,789,772,780,7900,6189600
2015-09-25,761,780,761,780,9400,7235500
2015-09-24,780,781,755,757,13600,10411900
2015-09-18,793,797,788,788,5500,4350600
2015-09-17,779,793,779,793,7100,5585100
2015-09-16,798,798,783,784,7100,5587700
2015-09-15,800,803,792,794,5000,3977700
2015-09-14,807,807,791,796,13000,10400300
2015-09-11,819,819,805,810,18400,14993100
2015-09-10,800,800,783,795,18000,14262500
2015-09-09,777,793,750,785,54200,41777700
2015-09-08,800,830,790,804,12200,9833500
2015-09-07,780,816,775,800,12500,9883800
2015-09-04,820,824,787,796,20700,16605100
2015-09-03,859,859,820,825,10100,8407800
2015-09-02,807,840,807,827,15400,12695100
2015-09-01,867,874,837,837,13200,11296300
2015-08-31,880,880,847,867,16300,14035800
2015-08-28,888,900,861,888,15700,13882400
2015-08-27,810,855,810,843,79000,65238200
2015-08-26,806,820,785,809,59200,47416800
2015-08-25,750,858,750,761,69100,54471900
2015-08-24,900,912,864,870,83500,74849900
2015-08-21,939,946,922,923,29500,27637300
2015-08-20,959,966,956,957,10900,10482600
2015-08-19,988,988,960,971,10200,9942400
2015-08-18,960,984,953,982,10300,9945600
2015-08-17,971,983,960,967,13400,13049200
2015-08-14,979,985,960,971,14700,14327500
2015-08-13,971,992,971,980,15500,15237900
2015-08-12,958,1059,957,986,82900,82939000
2015-08-11,945,964,943,958,17200,16372700
2015-08-10,938,944,930,943,15400,14433600
2015-08-07,942,950,938,943,11000,10370600
2015-08-06,947,947,938,941,7400,6968700
2015-08-05,940,948,935,941,14700,13817500
2015-08-04,946,949,938,944,9900,9337700
2015-08-03,942,948,942,945,41100,38744900
2015-07-31,949,949,933,942,22700,21352600
2015-07-30,970,970,930,953,33000,31372200
2015-07-29,975,979,965,967,8300,8044400
2015-07-28,976,982,967,977,11200,10906200
2015-07-27,987,992,981,981,8100,7974200
2015-07-24,982,993,982,987,8000,7914600
2015-07-23,990,994,982,990,6900,6819900
2015-07-22,995,999,983,990,7500,7428900
2015-07-21,993,1004,991,998,17200,17165200
2015-07-17,985,996,982,991,11200,11064300
2015-07-16,990,996,990,995,10300,10235800
2015-07-15,983,997,982,993,43100,42478700
2015-07-14,971,990,971,987,16100,15811700
2015-07-13,964,973,961,968,10300,9975500
2015-07-10,970,970,956,956,10500,10130000
2015-07-09,960,966,901,954,50600,47409500
2015-07-08,983,997,971,971,24800,24351300
2015-07-07,983,1003,983,998,6300,6277600
2015-07-06,1000,1000,979,983,14500,14345200
2015-07-03,1000,1000,990,990,10100,10042000
2015-07-02,996,999,989,998,8200,8150600
2015-07-01,997,997,981,990,8600,8517200
2015-06-30,988,1013,960,972,47200,46178300
2015-06-29,980,1005,980,983,23700,23377300
2015-06-26,1002,1029,1002,1015,13500,13646800
2015-06-25,1020,1023,1003,1003,18700,18948300
2015-06-24,1005,1022,1002,1019,23300,23643300
2015-06-23,1000,1008,989,1001,22600,22604200
2015-06-22,998,1006,996,1001,13600,13615200
2015-06-19,986,1000,986,995,13700,13630000
2015-06-18,990,995,985,986,12700,12564100
2015-06-17,994,1001,990,990,14600,14522900
2015-06-16,1004,1009,982,993,50300,50038000
2015-06-15,1002,1011,1000,1008,22100,22223200
2015-06-12,1017,1017,1010,1012,23200,23522300
2015-06-11,1015,1019,1011,1015,14800,15015200
2015-06-10,1005,1030,1003,1010,57600,58258700
2015-06-09,1070,1084,1059,1060,21200,22633400
2015-06-08,1088,1088,1068,1070,21000,22661900
2015-06-05,1043,1085,1043,1080,27000,28850700
2015-06-04,1056,1060,1042,1054,19200,20245300
2015-06-03,1042,1055,1031,1052,19300,20175800
2015-06-02,1040,1043,1029,1040,17000,17602600
2015-06-01,1040,1044,1028,1037,10500,10889400
2015-05-29,1050,1050,1030,1041,10800,11241500
2015-05-28,1063,1064,1024,1027,19200,19972000
2015-05-27,1026,1059,1026,1056,18800,19585800
2015-05-26,1050,1050,1026,1026,8300,8598700
2015-05-25,1010,1049,1005,1047,31600,32475200
2015-05-22,1005,1015,1005,1010,11800,11924300
2015-05-21,1015,1019,1005,1005,14400,14536500
2015-05-20,1005,1014,1005,1011,13400,13527800
2015-05-19,1011,1011,1000,1004,15200,15239700
2015-05-18,1010,1010,999,1004,19000,19042300
2015-05-15,1010,1010,1004,1006,8400,8454300
2015-05-14,1015,1020,1005,1006,12200,12345300
2015-05-13,1012,1017,1009,1014,9100,9214600
2015-05-12,1010,1018,1005,1011,8800,8886800
2015-05-11,1018,1031,1010,1012,13200,13444400
2015-05-08,1013,1031,1012,1018,41800,42520100
2015-05-07,1005,1020,1001,1012,27100,27299300
2015-05-01,1031,1032,1007,1009,22700,23062400
2015-04-30,1054,1064,1030,1035,39100,40915900
2015-04-28,1070,1076,1055,1061,22000,23364700
2015-04-27,1073,1081,1062,1063,22900,24490400
2015-04-24,1099,1105,1076,1083,37000,40325900
2015-04-23,1056,1096,1052,1092,68700,73831800
2015-04-22,1070,1075,1050,1061,40600,43061000
2015-04-21,1080,1084,1066,1078,28200,30299900
2015-04-20,1057,1081,1053,1062,43300,46289300
2015-04-17,1065,1078,1043,1065,67100,70954700
2015-04-16,1087,1107,1069,1075,82400,89446900
2015-04-15,1125,1130,1085,1100,72100,79349700
2015-04-14,1147,1147,1110,1121,70100,78435500
2015-04-13,1163,1165,1110,1129,136500,154028400
2015-04-10,1243,1243,1150,1170,220300,260408300
2015-04-09,1367,1419,1215,1260,1292700,1718066400
2015-04-08,1127,1127,1127,1127,32000,36064000
2015-04-07,982,984,974,977,25700,25114700
2015-04-06,980,989,975,984,8100,7951900
2015-04-03,998,998,984,997,12400,12302800
2015-04-02,975,992,970,991,11500,11292300
2015-04-01,980,983,971,979,10300,10077300
2015-03-31,995,998,982,982,9200,9112400
2015-03-30,990,990,973,981,8700,8526800
2015-03-27,983,990,975,977,21400,20947000
2015-03-26,996,997,981,983,24600,24263400
2015-03-25,997,1009,997,998,9300,9293200
2015-03-24,996,1011,990,1004,12700,12703600
2015-03-23,1011,1016,995,1002,14700,14724900
2015-03-20,981,998,980,996,16600,16465300
2015-03-19,983,998,981,981,19400,19122700
2015-03-18,990,993,985,990,22900,22640900
