3661-T,東証1部,エムアップ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,590,605,590,599,18800,11197000
2015-10-01,591,603,590,598,21300,12726400
2015-09-30,599,609,582,596,27900,16618100
2015-09-29,611,614,597,599,14800,8933500
2015-09-28,638,638,622,627,11000,6944600
2015-09-25,630,634,614,627,9400,5868000
2015-09-24,637,637,619,621,10100,6338900
2015-09-18,651,651,630,641,19700,12586500
2015-09-17,650,650,637,647,11400,7347200
2015-09-16,643,656,642,646,12400,8014600
2015-09-15,640,650,637,642,11800,7615400
2015-09-14,641,658,634,634,14500,9355100
2015-09-11,632,640,620,640,21400,13538600
2015-09-10,607,616,599,612,17300,10529100
2015-09-09,585,609,575,609,45400,27033300
2015-09-08,589,590,570,574,13200,7635600
2015-09-07,605,605,583,589,16000,9433100
2015-09-04,614,614,580,586,20000,11846200
2015-09-03,602,627,602,604,9700,5902600
2015-09-02,591,619,589,604,22500,13562400
2015-09-01,635,635,600,610,22600,13995900
2015-08-31,634,639,631,636,12600,7990300
2015-08-28,620,641,620,634,24100,15196100
2015-08-27,620,633,613,617,22200,13757100
2015-08-26,564,613,564,605,45300,26649500
2015-08-25,560,621,538,567,126300,71957700
2015-08-24,670,670,600,600,88000,55815000
2015-08-21,701,704,687,690,56100,39102100
2015-08-20,710,716,708,712,15700,11220500
2015-08-19,725,725,708,710,10200,7258500
2015-08-18,720,727,712,727,17000,12236100
2015-08-17,700,721,696,716,59000,41715000
2015-08-14,725,733,721,730,19000,13826900
2015-08-13,723,728,715,724,23600,17048000
2015-08-12,730,736,719,725,21400,15536500
2015-08-11,731,737,727,735,17600,12910300
2015-08-10,730,736,726,733,11600,8491400
2015-08-07,722,738,722,730,66600,48242000
2015-08-06,730,730,723,725,8700,6316500
2015-08-05,722,735,722,722,16000,11635900
2015-08-04,721,726,721,725,6700,4847500
2015-08-03,728,731,722,724,10800,7842500
2015-07-31,729,729,723,729,5400,3920100
2015-07-30,720,728,720,727,22600,16325900
2015-07-29,729,735,723,732,13400,9789000
2015-07-28,720,736,716,732,15700,11390000
2015-07-27,741,741,730,731,64900,47915100
2015-07-24,749,749,741,742,10000,7444900
2015-07-23,742,748,742,748,11000,8186400
2015-07-22,749,749,740,742,8000,5940900
2015-07-21,749,757,749,751,15600,11752800
2015-07-17,739,751,738,747,33900,25344900
2015-07-16,735,739,726,735,15200,11170100
2015-07-15,740,743,732,735,10700,7885700
2015-07-14,730,748,730,740,20400,15057600
2015-07-13,709,727,707,720,12700,9102500
2015-07-10,704,717,704,708,26900,19048000
2015-07-09,712,715,690,713,60800,42816000
2015-07-08,736,736,724,725,55900,40650100
2015-07-07,732,740,731,736,14600,10731300
2015-07-06,740,740,725,726,32100,23470800
2015-07-03,756,756,742,744,13800,10295700
2015-07-02,750,756,748,752,19400,14598200
2015-07-01,736,750,736,747,17800,13219500
2015-06-30,740,742,737,739,30800,22755900
2015-06-29,745,746,740,740,38800,28803200
2015-06-26,760,764,753,756,17500,13236200
2015-06-25,759,770,751,760,62500,47554500
2015-06-24,756,759,751,759,24100,18238000
2015-06-23,758,759,753,756,25200,19047300
2015-06-22,752,757,750,756,15700,11843500
2015-06-19,747,754,747,753,16900,12678300
2015-06-18,757,760,747,747,27600,20716800
2015-06-17,758,762,756,756,10600,8029900
2015-06-16,757,758,751,752,23900,18031400
2015-06-15,763,767,755,756,32600,24791200
2015-06-12,762,767,760,766,29800,22752500
2015-06-11,752,762,752,762,15700,11917100
2015-06-10,751,763,751,754,16300,12320100
2015-06-09,763,763,750,750,43400,32706900
2015-06-08,767,769,758,760,32300,24639000
2015-06-05,767,767,760,760,36000,27422600
2015-06-04,770,770,765,767,20400,15642900
2015-06-03,770,772,764,766,41200,31586100
2015-06-02,771,773,770,770,21400,16500100
2015-06-01,780,783,771,774,27700,21486600
2015-05-29,772,779,771,776,22200,17215200
2015-05-28,775,780,771,776,50500,39133700
2015-05-27,790,821,777,785,168600,135057900
2015-05-26,790,790,781,784,40000,31476500
2015-05-25,798,799,789,792,39100,31053600
2015-05-22,790,793,786,792,23700,18714600
2015-05-21,790,803,785,790,95600,75928800
2015-05-20,784,792,784,787,35500,27991200
2015-05-19,779,785,766,784,41300,32198700
2015-05-18,774,798,752,782,99200,77191300
2015-05-15,779,779,762,767,53000,40825200
2015-05-14,772,775,761,765,23500,18023400
2015-05-13,756,774,756,771,21100,16189900
2015-05-12,769,772,750,766,34700,26523600
2015-05-11,759,780,759,772,34400,26524400
2015-05-08,750,765,750,759,39900,30295600
2015-05-07,752,758,748,751,26300,19735000
2015-05-01,762,764,749,752,59000,44569400
2015-04-30,775,780,766,767,40900,31519000
2015-04-28,781,785,778,785,25400,19857900
2015-04-27,772,788,771,781,60700,47346100
2015-04-24,774,775,769,772,23400,18065300
2015-04-23,763,775,758,770,59000,45128200
2015-04-22,768,769,760,769,36700,28126100
2015-04-21,770,779,769,770,32900,25426000
2015-04-20,780,780,764,768,38800,29976900
2015-04-17,781,793,781,783,29500,23143000
2015-04-16,783,796,780,785,34300,26865600
2015-04-15,776,788,776,783,26700,20929800
2015-04-14,774,786,774,780,33300,25982700
2015-04-13,787,788,776,781,41700,32528500
2015-04-10,787,795,785,789,41700,32896700
2015-04-09,810,814,791,792,74900,60184400
2015-04-08,795,811,783,791,105700,84028300
2015-04-07,796,817,786,792,109600,87257100
2015-04-06,800,828,786,797,252000,202700600
2015-04-03,872,881,813,816,1160400,975747100
2015-04-02,830,890,821,890,1197200,1036702600
2015-04-01,756,767,735,740,36600,27294100
2015-03-31,756,768,756,765,20900,15941700
2015-03-30,760,769,755,757,12400,9434100
2015-03-27,755,784,753,765,33200,25500500
2015-03-26,787,793,780,781,32700,25633100
2015-03-25,803,809,798,801,25100,20147000
2015-03-24,800,804,792,802,15500,12375200
2015-03-23,792,808,792,804,25400,20361100
2015-03-20,771,795,771,790,19600,15413300
2015-03-19,784,784,771,776,23300,18064400
2015-03-18,781,792,780,784,26800,21024000
2015-03-17,815,815,781,789,43000,34020400
2015-03-16,814,820,795,801,60900,49246100
2015-03-13,801,814,793,793,70300,56594100
2015-03-12,800,804,790,800,47000,37562200
2015-03-11,775,802,768,796,47400,37454800
2015-03-10,788,803,775,777,85700,67755600
2015-03-09,775,783,770,782,47300,36701100
2015-03-06,765,768,758,766,27800,21249800
2015-03-05,776,776,765,765,25600,19736100
2015-03-04,762,776,760,766,43100,33112800
2015-03-03,761,772,757,763,30900,23543300
2015-03-02,759,767,752,763,31200,23644000
2015-02-27,759,768,757,759,54500,41548300
2015-02-26,762,768,757,759,26200,19930800
2015-02-25,765,767,756,761,40400,30732800
2015-02-24,756,767,756,763,25500,19452100
2015-02-23,765,769,758,763,38400,29286200
2015-02-20,777,782,760,762,55100,42307800
2015-02-19,761,775,761,773,31600,24306900
2015-02-18,761,784,761,767,69600,53583500
2015-02-17,794,794,756,761,95300,73117200
2015-02-16,820,837,785,788,303700,244980000
2015-02-13,775,825,771,799,258300,204944000
2015-02-12,730,740,703,732,63500,46393800
2015-02-10,718,737,711,728,31600,22924700
2015-02-09,706,717,706,710,22700,16175600
2015-02-06,704,713,701,706,10200,7217600
2015-02-05,715,717,700,712,17300,12323400
2015-02-04,710,719,703,715,14700,10495900
2015-02-03,709,721,699,706,46000,32799700
2015-02-02,713,720,695,696,27000,19094900
2015-01-30,714,717,705,709,26200,18602600
2015-01-29,700,730,700,706,55500,39580200
2015-01-28,701,710,696,701,36000,25278800
2015-01-27,700,700,688,695,10700,7425300
2015-01-26,671,700,671,694,22700,15603500
2015-01-23,691,691,677,680,26800,18247100
2015-01-22,695,701,685,693,11800,8175700
2015-01-21,691,715,688,700,17700,12408400
2015-01-20,673,699,673,699,10800,7448500
2015-01-19,668,683,668,678,15000,10151700
2015-01-16,690,690,671,675,47400,32244300
2015-01-15,700,703,695,695,56300,39285400
2015-01-14,710,722,710,710,42000,29920300
2015-01-13,714,724,707,718,37800,27093200
2015-01-09,712,739,710,724,74500,53974800
2015-01-08,704,717,704,709,26500,18793900
2015-01-07,702,714,701,706,20500,14484100
2015-01-06,708,713,701,710,34000,24015000
2015-01-05,713,718,700,708,28000,19836600
2014-12-30,721,722,682,718,89400,63072100
2014-12-29,672,747,672,722,216200,153927000
2014-12-26,640,664,640,660,48800,32159000
2014-12-25,650,656,639,640,79400,51222500
2014-12-24,668,668,656,656,53900,35602700
2014-12-22,680,680,660,670,37000,24728400
2014-12-19,666,682,664,680,44400,29825300
2014-12-18,655,670,655,662,46800,30982600
2014-12-17,653,665,648,648,43800,28583200
2014-12-16,670,674,664,665,34400,22975600
2014-12-15,677,695,675,676,32000,21836700
2014-12-12,674,684,671,673,53600,36169600
2014-12-11,650,685,648,684,82100,54521500
2014-12-10,657,665,652,660,139100,91357900
2014-12-09,716,721,681,687,83200,58540000
2014-12-08,743,745,718,725,53000,38624900
2014-12-05,746,746,739,743,22900,16972600
2014-12-04,743,755,740,743,19800,14733900
2014-12-03,750,755,738,747,25900,19316500
2014-12-02,745,769,744,755,37100,28014300
2014-12-01,749,750,744,747,26600,19886600
2014-11-28,745,752,745,750,10600,7932300
2014-11-27,751,753,740,748,29400,21913700
2014-11-26,740,759,740,756,24100,18126100
2014-11-25,750,751,735,751,19300,14404200
