3769-T,東証1部,GMOPG,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,4570,4665,4495,4650,188800,869314500
2015-10-01,4650,4685,4450,4515,239100,1082137500
2015-09-30,4405,4650,4365,4600,298300,1362744500
2015-09-29,4460,4460,4310,4335,267000,1171895500
2015-09-28,4535,4700,4375,4595,365700,1679329500
2015-09-25,4465,4535,4210,4425,375200,1634052000
2015-09-24,4275,4580,4235,4535,416200,1876824500
2015-09-18,4270,4415,4270,4320,224000,972510500
2015-09-17,4200,4380,4175,4340,308100,1321370500
2015-09-16,4075,4240,4055,4190,330900,1381075000
2015-09-15,4050,4160,4005,4005,155800,631739000
2015-09-14,4035,4225,3990,4025,319300,1306581500
2015-09-11,3820,4030,3795,3995,209800,825925000
2015-09-10,3880,3915,3775,3890,230000,886768500
2015-09-09,3805,4045,3730,4045,403200,1573020000
2015-09-08,4050,4070,3635,3655,367400,1393699500
2015-09-07,4220,4230,4005,4030,291700,1194118500
2015-09-04,4340,4415,4150,4325,457500,1973525500
2015-09-03,4300,4385,4230,4285,275400,1179606000
2015-09-02,4050,4335,4040,4160,406200,1702859000
2015-09-01,4080,4335,4065,4180,478600,2017517000
2015-08-31,4080,4145,4000,4095,212300,866535000
2015-08-28,3895,4095,3845,4065,377300,1496916500
2015-08-27,3690,3790,3605,3615,165700,612071000
2015-08-26,3550,3590,3420,3550,181200,635097000
2015-08-25,3430,3685,3240,3470,340900,1197153000
2015-08-24,3580,3710,3515,3515,381000,1363097000
2015-08-21,3670,3755,3665,3695,171000,632724500
2015-08-20,3865,3925,3820,3845,121700,470840000
2015-08-19,3965,3965,3850,3865,106900,415485500
2015-08-18,4150,4155,3920,3995,141100,567089500
2015-08-17,3945,4165,3940,4055,206800,840520000
2015-08-14,3890,3995,3875,3910,109900,432985500
2015-08-13,3870,3930,3775,3875,146900,564270500
2015-08-12,3930,3965,3860,3905,100100,391177500
2015-08-11,4020,4095,3950,3955,168500,676343500
2015-08-10,3900,4045,3895,3985,172500,688840000
2015-08-07,3850,3875,3765,3835,238300,911496000
2015-08-06,3910,3980,3845,3875,292100,1140323500
2015-08-05,4065,4070,3940,3980,148000,591227500
2015-08-04,4115,4145,4010,4075,146500,598344000
2015-08-03,4080,4160,4055,4110,145200,595443500
2015-07-31,4160,4160,4040,4065,208900,853500500
2015-07-30,4305,4365,4115,4120,267800,1125146500
2015-07-29,4360,4475,4310,4370,135100,592025000
2015-07-28,4200,4425,4195,4350,184300,797387500
2015-07-27,4480,4490,4295,4325,184900,809760000
2015-07-24,4650,4650,4495,4540,148000,676345000
2015-07-23,4395,4660,4395,4545,223600,1015103500
2015-07-22,4510,4530,4405,4455,188700,840040000
2015-07-21,4490,4570,4400,4540,257000,1153396500
2015-07-17,4340,4490,4260,4490,297300,1309485500
2015-07-16,4135,4300,4090,4290,287100,1204787500
2015-07-15,4060,4155,4030,4125,134800,555102000
2015-07-14,4120,4130,4000,4025,105900,427545500
2015-07-13,4120,4180,3975,4025,184900,750921500
2015-07-10,3925,4115,3860,4100,301300,1212410000
2015-07-09,3595,3950,3485,3895,322900,1210917500
2015-07-08,3830,3885,3680,3710,154800,581130500
2015-07-07,3905,3925,3835,3860,73300,283140000
