3950-T,東証1部,ザ･パック,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2652,2812,2652,2812,27400,75428200
2015-10-01,2661,2681,2570,2652,13700,36213800
2015-09-30,2550,2664,2550,2636,14400,37410200
2015-09-29,2627,2660,2536,2551,19200,49686800
2015-09-28,2686,2690,2641,2657,12800,34169600
2015-09-25,2635,2645,2573,2645,18400,48239500
2015-09-24,2686,2720,2558,2585,24100,63230200
2015-09-18,2750,2750,2669,2686,22700,61399300
2015-09-17,2711,2750,2687,2750,24500,66600900
2015-09-16,2702,2720,2626,2662,13500,36057800
2015-09-15,2659,2698,2651,2686,9100,24351500
2015-09-14,2669,2719,2633,2659,10600,28200000
2015-09-11,2703,2727,2643,2663,34300,92397500
2015-09-10,2551,2659,2551,2650,15000,39320300
2015-09-09,2600,2661,2528,2601,22900,59356800
2015-09-08,2572,2661,2542,2570,10600,27316500
2015-09-07,2539,2585,2496,2584,8100,20629100
2015-09-04,2597,2674,2541,2558,24200,62611700
2015-09-03,2634,2788,2568,2574,18100,48243600
2015-09-02,2530,2639,2512,2622,35000,90877000
2015-09-01,2722,2734,2586,2608,21100,56209700
2015-08-31,2647,2763,2604,2763,18300,49330100
2015-08-28,2578,2661,2522,2658,12800,33553900
2015-08-27,2515,2551,2434,2478,33100,82627600
2015-08-26,2410,2505,2401,2467,23000,56423000
2015-08-25,2450,2640,2403,2403,27200,67107500
2015-08-24,2552,2600,2499,2516,13900,35268700
2015-08-21,2661,2699,2600,2602,18700,49299500
2015-08-20,2798,2803,2702,2728,11600,31903400
2015-08-19,2838,2838,2783,2793,7600,21319900
2015-08-18,2807,2840,2776,2833,12400,34960000
2015-08-17,2799,2820,2772,2807,12100,33892300
2015-08-14,2753,2765,2747,2763,7600,20950700
2015-08-13,2731,2765,2731,2747,9500,26092300
2015-08-12,2731,2770,2721,2755,8400,23145900
2015-08-11,2738,2800,2720,2771,21100,58382400
2015-08-10,2672,2757,2670,2738,24800,67341400
2015-08-07,2605,2688,2600,2672,30100,79995700
2015-08-06,2567,2634,2567,2605,17600,45782700
2015-08-05,2547,2588,2542,2567,19300,49543000
2015-08-04,2540,2547,2499,2547,12100,30567700
2015-08-03,2540,2541,2517,2534,6000,15188800
2015-07-31,2530,2548,2522,2544,7600,19279800
2015-07-30,2508,2522,2494,2517,6600,16574600
2015-07-29,2537,2537,2484,2508,6200,15536000
2015-07-28,2451,2549,2420,2521,16600,41467800
2015-07-27,2510,2510,2420,2450,19200,47102000
2015-07-24,2546,2546,2509,2517,14200,35956200
2015-07-23,2499,2530,2497,2530,13400,33725100
2015-07-22,2498,2507,2475,2493,20000,49874700
2015-07-21,2505,2505,2481,2496,8700,21715700
2015-07-17,2499,2499,2463,2468,6200,15366900
2015-07-16,2470,2493,2463,2483,15000,37213100
2015-07-15,2420,2472,2407,2470,13900,34095100
2015-07-14,2417,2422,2387,2416,14900,35929100
2015-07-13,2352,2371,2338,2360,13800,32541300
2015-07-10,2306,2346,2305,2317,17500,40539500
2015-07-09,2325,2325,2275,2300,20500,47034600
2015-07-08,2421,2422,2370,2375,19000,45442200
2015-07-07,2440,2451,2416,2430,8100,19711500
