4021-T,東証1部,日産化,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2655,2736,2642,2705,445600,1204517200
2015-10-01,2630,2701,2606,2659,627600,1668240800
2015-09-30,2618,2639,2569,2619,705600,1847369500
2015-09-29,2626,2635,2533,2536,1016200,2610126300
2015-09-28,2735,2738,2657,2676,539800,1451245100
2015-09-25,2652,2695,2609,2690,869100,2307752800
2015-09-24,2651,2696,2632,2632,720100,1906964100
2015-09-18,2739,2782,2705,2741,640600,1758894100
2015-09-17,2759,2809,2753,2789,563800,1568506600
2015-09-16,2712,2728,2685,2716,679300,1838628100
2015-09-15,2740,2751,2685,2703,626800,1704175500
2015-09-14,2744,2764,2685,2693,492800,1334564500
2015-09-11,2720,2743,2704,2729,1961800,5340244000
2015-09-10,2691,2731,2651,2722,557100,1505476500
2015-09-09,2622,2769,2590,2769,1433700,3879680100
2015-09-08,2612,2614,2518,2522,567200,1445754200
2015-09-07,2583,2640,2556,2592,686100,1779256200
2015-09-04,2692,2692,2572,2607,620800,1631236400
2015-09-03,2713,2748,2675,2682,577700,1560864800
2015-09-02,2619,2713,2605,2663,792500,2120608500
2015-09-01,2790,2801,2693,2693,723000,1974145800
2015-08-31,2807,2862,2771,2794,800400,2245205600
2015-08-28,2789,2855,2751,2845,972500,2748260700
2015-08-27,2700,2757,2672,2726,876100,2384620700
2015-08-26,2546,2673,2535,2667,1575900,4105363200
2015-08-25,2620,2711,2556,2564,1490500,3913773600
2015-08-24,2837,2870,2705,2714,1174600,3253960200
2015-08-21,2868,2900,2852,2856,844200,2423494000
2015-08-20,2865,2961,2865,2918,774600,2258647100
2015-08-19,2930,2932,2861,2865,458000,1318054100
2015-08-18,2972,2984,2934,2945,267100,789228100
2015-08-17,2917,2966,2911,2962,344800,1016824700
2015-08-14,2924,2940,2886,2902,506400,1475259700
2015-08-13,2892,2951,2877,2936,858000,2509150600
2015-08-12,2900,2920,2841,2851,586900,1682475500
2015-08-11,2967,2998,2895,2936,482200,1416948800
2015-08-10,2955,2970,2901,2952,892300,2622520000
2015-08-07,3005,3045,2995,3025,662300,2002554300
2015-08-06,2919,3060,2905,3015,1353800,4059125600
2015-08-05,2749,2915,2700,2877,1628800,4620987900
2015-08-04,2692,2736,2687,2699,577500,1562267000
2015-08-03,2699,2728,2678,2721,458900,1242068200
2015-07-31,2744,2753,2712,2723,771400,2100900400
2015-07-30,2728,2799,2722,2773,702700,1945863700
2015-07-29,2753,2772,2703,2716,661600,1801878700
2015-07-28,2746,2749,2687,2718,819300,2222506200
2015-07-27,2808,2812,2743,2760,609700,1687595100
2015-07-24,2860,2868,2833,2839,334000,950436800
2015-07-23,2888,2905,2859,2872,475100,1365210500
2015-07-22,2885,2894,2866,2877,482900,1391063300
2015-07-21,2849,2921,2842,2908,650100,1882274600
2015-07-17,2836,2852,2814,2834,446200,1263957900
2015-07-16,2831,2834,2797,2827,503900,1419311300
2015-07-15,2859,2866,2809,2821,639700,1810867800
2015-07-14,2828,2867,2813,2855,663500,1891053100
2015-07-13,2787,2810,2756,2803,651800,1816937100
2015-07-10,2776,2796,2723,2773,1110200,3074091400
2015-07-09,2700,2762,2641,2762,999200,2711237600
2015-07-08,2844,2855,2735,2735,997100,2761723300
2015-07-07,2823,2865,2812,2859,709500,2017808200
2015-07-06,2855,2860,2783,2794,965700,2717804800
2015-07-03,2802,2892,2801,2888,983200,2812557400
2015-07-02,2773,2813,2759,2806,704800,1972643600
2015-07-01,2725,2761,2717,2748,610800,1676580200
2015-06-30,2709,2725,2685,2703,520100,1404694200
2015-06-29,2769,2779,2707,2709,720500,1971316500
2015-06-26,2800,2810,2767,2808,561400,1568311600
2015-06-25,2809,2814,2772,2774,476700,1327887000
2015-06-24,2800,2830,2782,2809,628900,1764993400
2015-06-23,2707,2795,2698,2795,831200,2299372300
2015-06-22,2688,2710,2665,2689,585600,1573346600
2015-06-19,2624,2710,2624,2690,1397000,3750958200
2015-06-18,2646,2655,2585,2589,1188600,3112090600
2015-06-17,2597,2654,2597,2650,1198000,3150970700
2015-06-16,2649,2661,2617,2644,748500,1977669900
2015-06-15,2647,2661,2623,2653,712600,1886180700
2015-06-12,2649,2680,2629,2670,1871100,4971515200
2015-06-11,2614,2650,2613,2649,974000,2569742400
2015-06-10,2670,2675,2580,2586,1674600,4375382000
2015-06-09,2741,2745,2698,2700,499700,1361484400
2015-06-08,2789,2792,2748,2757,564000,1560853500
2015-06-05,2736,2767,2726,2758,519000,1427377900
2015-06-04,2749,2798,2737,2764,1277100,3537602300
2015-06-03,2713,2726,2686,2691,928900,2506933000
2015-06-02,2729,2761,2719,2740,552300,1515230400
2015-06-01,2710,2738,2698,2729,670300,1822049800
2015-05-29,2712,2730,2686,2706,1307000,3545426700
2015-05-28,2774,2779,2734,2743,754000,2073777400
2015-05-27,2743,2772,2720,2772,764400,2108709100
2015-05-26,2760,2764,2731,2754,692200,1904278100
2015-05-25,2769,2780,2746,2760,538800,1486052900
2015-05-22,2750,2770,2728,2769,635500,1751542400
2015-05-21,2740,2779,2725,2750,846000,2331731200
