4031-T,東証1部,片倉コープ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,251,252,240,244,140000,34461000
2015-10-01,258,258,250,251,76000,19288000
2015-09-30,251,254,250,252,41000,10308000
2015-09-29,259,259,245,249,69000,17163000
2015-09-28,256,266,252,260,34000,8805000
2015-09-25,250,253,247,251,115000,28765000
2015-09-24,254,257,250,250,109000,27554000
2015-09-18,264,264,259,262,26000,6803000
2015-09-17,263,266,261,264,25000,6570000
2015-09-16,262,263,260,262,13000,3392000
2015-09-15,264,264,262,262,15000,3946000
2015-09-14,264,265,261,261,15000,3930000
2015-09-11,255,263,255,261,55000,14167000
2015-09-10,255,262,253,261,59000,15214000
2015-09-09,255,259,254,259,55000,14097000
2015-09-08,262,263,249,250,53000,13452000
2015-09-07,260,263,247,261,53000,13575000
2015-09-04,271,271,261,264,37000,9831000
2015-09-03,275,279,270,270,22000,6051000
2015-09-02,269,270,267,268,26000,6975000
2015-09-01,282,282,260,269,61000,16573000
2015-08-31,281,283,270,282,38000,10655000
2015-08-28,268,282,268,281,58000,15953000
2015-08-27,265,277,265,273,33000,8962000
2015-08-26,259,264,250,262,96000,24663000
2015-08-25,263,268,250,264,109000,28303000
2015-08-24,303,303,261,270,83000,23314000
2015-08-21,310,312,303,303,37000,11438000
2015-08-20,306,312,306,312,22000,6768000
2015-08-19,313,314,310,312,10000,3121000
2015-08-18,308,314,308,314,29000,9020000
2015-08-17,313,313,310,312,13000,4052000
2015-08-14,313,313,308,310,4000,1240000
2015-08-13,307,313,307,310,28000,8674000
2015-08-12,308,311,304,307,24000,7368000
2015-08-11,312,313,312,313,3000,938000
2015-08-10,311,315,305,312,27000,8375000
2015-08-07,311,313,308,312,42000,13064000
2015-08-06,320,321,303,311,37000,11455000
2015-08-05,323,325,312,316,22000,7007000
2015-08-04,320,324,320,323,13000,4183000
2015-08-03,321,325,321,324,21000,6782000
2015-07-31,314,327,305,320,78000,24630000
2015-07-30,315,319,310,314,27000,8489000
2015-07-29,321,321,313,314,12000,3781000
2015-07-28,315,315,312,313,34000,10689000
2015-07-27,325,330,314,318,31000,9905000
2015-07-24,335,335,324,324,57000,18816000
2015-07-23,325,333,325,332,93000,30488000
2015-07-22,320,329,316,325,101000,32472000
2015-07-21,314,322,314,320,63000,20141000
2015-07-17,309,320,307,311,49000,15324000
2015-07-16,306,306,303,304,7000,2130000
2015-07-15,305,308,301,306,23000,7022000
2015-07-14,310,310,304,305,17000,5207000
2015-07-13,299,308,299,302,45000,13635000
2015-07-10,300,300,288,293,46000,13538000
2015-07-09,298,300,282,300,97000,28444000
2015-07-08,309,309,299,299,68000,20675000
2015-07-07,316,317,310,310,64000,20030000
2015-07-06,316,322,305,309,66000,20685000
2015-07-03,314,320,312,312,160000,50321000
2015-07-02,342,351,316,320,335000,111275000
2015-07-01,312,372,307,343,1035000,356954000
2015-06-30,297,310,293,310,54000,16214000
2015-06-29,294,294,289,289,58000,16936000
2015-06-26,304,315,303,303,107000,32929000
2015-06-25,297,299,290,299,98000,29087000
2015-06-24,289,294,289,293,115000,33572000
2015-06-23,286,288,286,288,10000,2869000
2015-06-22,285,288,285,286,10000,2867000
2015-06-19,287,288,285,285,10000,2862000
2015-06-18,286,286,286,286,3000,858000
2015-06-17,286,288,286,288,3000,860000
2015-06-16,289,289,286,286,7000,2011000
2015-06-15,286,288,286,288,8000,2290000
2015-06-12,287,288,286,288,27000,7750000
2015-06-11,290,290,287,287,13000,3747000
2015-06-10,287,289,287,288,10000,2876000
2015-06-09,289,291,286,286,45000,12946000
2015-06-08,290,292,289,289,24000,6964000
2015-06-05,292,293,288,288,104000,30060000
2015-06-04,292,292,292,292,2000,584000
2015-06-03,292,292,290,290,9000,2616000
2015-06-02,292,295,292,293,8000,2346000
2015-06-01,293,293,291,292,9000,2629000
2015-05-29,289,293,289,291,15000,4356000
2015-05-28,292,292,291,291,7000,2038000
2015-05-27,293,293,292,292,9000,2634000
2015-05-26,293,294,290,293,13000,3801000
2015-05-25,293,293,293,293,24000,7032000
2015-05-22,290,293,289,293,28000,8156000
2015-05-21,294,294,290,290,8000,2338000
2015-05-20,291,292,288,292,11000,3195000
2015-05-19,291,291,288,291,9000,2609000
2015-05-18,288,296,288,291,25000,7310000
2015-05-15,294,294,288,288,22000,6369000
2015-05-14,292,292,290,290,27000,7835000
2015-05-13,290,292,290,292,19000,5527000
2015-05-12,290,292,290,290,14000,4077000
