4042-T,東証1部,東ソー,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,591,605,586,600,2707000,1617119000
2015-10-01,580,602,579,596,3732000,2219294000
2015-09-30,564,578,557,573,6575000,3722510000
2015-09-29,574,576,559,560,5807000,3286055000
2015-09-28,581,597,580,589,3349000,1973925000
2015-09-25,573,598,568,596,5460000,3191472000
2015-09-24,584,585,563,574,6510000,3726086000
2015-09-18,602,603,586,596,5315000,3156998000
2015-09-17,603,614,599,612,5381000,3274479000
2015-09-16,588,594,580,593,3685000,2170814000
2015-09-15,583,592,579,582,2741000,1603892000
2015-09-14,590,590,569,576,3176000,1832169000
2015-09-11,583,592,580,582,5698000,3329333000
2015-09-10,592,595,578,592,5665000,3333482000
2015-09-09,571,597,568,596,8515000,4970227000
2015-09-08,542,562,537,549,9212000,5090375000
2015-09-07,522,546,516,544,10538000,5662475000
2015-09-04,531,531,508,525,9194000,4767721000
2015-09-03,536,540,521,522,7055000,3754100000
2015-09-02,508,535,507,523,10852000,5682500000
2015-09-01,553,556,512,515,13685000,7224608000
2015-08-31,570,587,563,573,6079000,3476344000
2015-08-28,555,572,552,566,5109000,2886060000
2015-08-27,549,551,537,539,4397000,2389864000
2015-08-26,511,541,509,536,7134000,3755807000
2015-08-25,507,536,498,509,7776000,4011858000
2015-08-24,555,560,530,531,9267000,5036236000
2015-08-21,585,588,572,575,4443000,2576407000
2015-08-20,600,610,596,604,3866000,2335094000
2015-08-19,612,616,600,601,4689000,2845979000
2015-08-18,615,620,610,612,4235000,2600067000
2015-08-17,611,617,605,617,3105000,1897960000
2015-08-14,616,619,608,611,3062000,1876091000
2015-08-13,612,617,609,617,5871000,3605580000
2015-08-12,621,623,609,614,4776000,2937774000
2015-08-11,630,638,626,631,6024000,3806025000
2015-08-10,616,622,608,620,3994000,2459665000
2015-08-07,620,624,615,621,4093000,2539918000
2015-08-06,626,628,616,623,3956000,2463457000
2015-08-05,611,629,603,624,6200000,3833598000
2015-08-04,642,642,610,611,9070000,5620230000
2015-08-03,657,657,642,646,5393000,3494559000
2015-07-31,643,663,637,647,8725000,5655068000
2015-07-30,635,644,632,643,5354000,3420927000
2015-07-29,634,638,627,632,5105000,3228213000
2015-07-28,640,652,624,627,14806000,9384385000
2015-07-27,662,673,646,651,13885000,9102628000
2015-07-24,650,666,647,662,8611000,5658451000
2015-07-23,654,660,640,647,6711000,4357830000
2015-07-22,636,659,635,654,28832000,18562256000
2015-07-21,663,664,643,646,9081000,5906308000
2015-07-17,660,666,656,660,4089000,2696481000
2015-07-16,654,662,647,659,6221000,4075267000
2015-07-15,650,662,645,650,8263000,5397610000
2015-07-14,630,648,629,648,18324000,11693126000
2015-07-13,655,666,639,639,15803000,10222127000
2015-07-10,661,662,647,652,6254000,4090628000
2015-07-09,647,668,637,666,8053000,5251904000
2015-07-08,688,690,665,665,7616000,5117116000
2015-07-07,707,708,688,693,6819000,4744060000
2015-07-06,723,730,696,697,12559000,8901602000
2015-07-03,792,793,777,783,2442000,1911736000
2015-07-02,787,801,781,795,4792000,3800785000
2015-07-01,761,777,761,776,2650000,2039332000
2015-06-30,767,773,755,761,3918000,2983731000
2015-06-29,758,779,755,766,3772000,2899028000
2015-06-26,788,789,774,776,4312000,3362540000
2015-06-25,803,807,790,790,4022000,3197450000
2015-06-24,815,818,803,809,4635000,3754776000
2015-06-23,797,829,796,818,8411000,6853715000
2015-06-22,777,780,768,774,1927000,1491159000
2015-06-19,769,782,767,780,3629000,2822256000
2015-06-18,768,772,763,763,2461000,1886754000
2015-06-17,780,781,765,770,2566000,1981015000
2015-06-16,779,781,772,778,2112000,1641103000
2015-06-15,780,792,773,776,3380000,2645491000
2015-06-12,775,785,767,784,4756000,3689792000
2015-06-11,770,774,766,772,2990000,2302932000
2015-06-10,777,778,758,760,3851000,2945358000
2015-06-09,777,782,770,772,4241000,3290858000
2015-06-08,782,790,776,782,4240000,3320696000
2015-06-05,772,776,760,775,4045000,3114787000
2015-06-04,755,778,755,764,5741000,4410930000
2015-06-03,747,760,746,759,3282000,2476523000
2015-06-02,751,756,747,752,3125000,2348322000
2015-06-01,740,751,737,748,3303000,2464304000
2015-05-29,761,761,743,744,6743000,5043539000
2015-05-28,761,763,755,763,4288000,3259952000
2015-05-27,759,762,751,761,3184000,2415851000
2015-05-26,764,767,757,760,2525000,1921842000
2015-05-25,764,776,764,770,2697000,2077610000
2015-05-22,758,765,754,764,2218000,1683914000
2015-05-21,754,759,748,759,2424000,1829614000
2015-05-20,760,765,751,755,3447000,2604069000
2015-05-19,755,759,747,753,5342000,4021654000
2015-05-18,751,763,748,756,3920000,2953529000
2015-05-15,753,763,747,750,3514000,2649587000
2015-05-14,750,759,746,751,3999000,3006741000
2015-05-13,730,757,730,751,5786000,4332369000
2015-05-12,730,744,720,736,9396000,6873378000
