4044-T,東証1部,セ硝子,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,542,553,539,543,1034000,565022000
2015-10-01,526,545,522,543,1614000,863237000
2015-09-30,494,525,494,522,2218000,1142239000
2015-09-29,486,504,481,488,3203000,1571834000
2015-09-28,464,472,459,470,633000,296581000
2015-09-25,466,472,457,470,826000,383976000
2015-09-24,461,467,456,462,576000,266420000
2015-09-18,470,479,463,469,662000,311230000
2015-09-17,473,478,473,476,515000,245004000
2015-09-16,477,477,470,473,386000,182448000
2015-09-15,481,482,470,471,442000,209875000
2015-09-14,479,494,469,475,618000,293793000
2015-09-11,459,479,458,474,793000,369704000
2015-09-10,463,478,463,475,730000,344100000
2015-09-09,460,475,459,475,445000,208262000
2015-09-08,454,460,445,446,442000,199813000
2015-09-07,453,469,449,458,660000,302493000
2015-09-04,471,473,454,457,1291000,595073000
2015-09-03,471,480,470,471,520000,246462000
2015-09-02,465,491,465,471,843000,400680000
2015-09-01,492,497,479,479,866000,422560000
2015-08-31,502,509,495,502,679000,340725000
2015-08-28,499,506,492,506,749000,375744000
2015-08-27,496,500,485,487,1020000,502480000
2015-08-26,490,495,482,490,1010000,493559000
2015-08-25,498,517,488,488,1264000,633097000
2015-08-24,529,542,517,517,1019000,537866000
2015-08-21,550,558,544,547,1208000,664001000
2015-08-20,555,571,552,554,584000,326981000
2015-08-19,561,562,553,554,424000,235415000
2015-08-18,564,567,561,565,288000,162466000
2015-08-17,559,564,556,564,478000,268253000
2015-08-14,561,564,551,560,468000,262001000
2015-08-13,562,568,557,567,633000,357115000
2015-08-12,581,581,563,567,641000,365353000
2015-08-11,588,590,581,584,1088000,636615000
2015-08-10,567,581,557,580,1113000,635779000
2015-08-07,562,567,557,567,944000,533265000
2015-08-06,555,565,552,562,1305000,730328000
2015-08-05,538,556,528,553,1150000,630158000
2015-08-04,533,539,526,538,1068000,572120000
2015-08-03,522,539,512,536,1263000,671043000
2015-07-31,514,522,512,522,561000,290670000
2015-07-30,508,518,508,514,515000,264383000
2015-07-29,503,514,491,513,561000,283795000
2015-07-28,500,506,496,502,469000,234570000
2015-07-27,510,511,502,503,498000,251962000
2015-07-24,514,517,510,512,423000,217420000
2015-07-23,516,517,512,517,253000,130436000
2015-07-22,515,519,512,516,447000,230977000
2015-07-21,522,525,519,520,326000,169906000
2015-07-17,522,525,517,520,395000,205573000
2015-07-16,525,525,518,524,491000,256570000
2015-07-15,520,526,520,525,704000,368331000
2015-07-14,514,518,512,515,439000,225847000
2015-07-13,508,511,505,507,316000,160617000
2015-07-10,505,508,494,503,750000,376732000
2015-07-09,500,505,486,503,871000,432472000
2015-07-08,522,526,510,510,606000,311545000
2015-07-07,536,539,525,527,740000,391690000
2015-07-06,522,528,518,521,507000,265104000
2015-07-03,536,542,531,532,412000,220621000
2015-07-02,537,544,534,537,729000,391443000
2015-07-01,519,535,512,528,1177000,621020000
2015-06-30,520,522,510,513,673000,345382000
2015-06-29,532,543,522,522,1005000,532028000
2015-06-26,539,553,532,550,816000,443163000
2015-06-25,542,544,537,540,507000,273911000
2015-06-24,542,547,538,540,912000,494634000
2015-06-23,532,538,529,537,1054000,562627000
2015-06-22,529,530,523,527,525000,276545000
2015-06-19,527,528,521,524,612000,320838000
2015-06-18,527,529,518,518,645000,336924000
2015-06-17,534,537,526,529,845000,448597000
2015-06-16,536,538,527,529,818000,434187000
2015-06-15,540,542,532,536,517000,277569000
2015-06-12,562,562,547,548,875000,486682000
2015-06-11,553,561,552,555,552000,307010000
2015-06-10,557,558,547,550,721000,397583000
2015-06-09,563,567,555,557,748000,418248000
2015-06-08,560,568,558,566,1109000,625224000
2015-06-05,552,559,550,557,937000,520540000
2015-06-04,543,568,543,556,2118000,1182817000
2015-06-03,525,539,525,535,756000,403670000
2015-06-02,531,540,528,536,844000,452478000
2015-06-01,528,534,525,527,924000,489009000
