4112-T,東証1部,保土谷,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,159,160,158,159,64000,10141000
2015-10-01,158,161,158,159,90000,14335000
2015-09-30,156,160,156,158,92000,14558000
2015-09-29,162,162,154,155,149000,23441000
2015-09-28,164,164,162,163,92000,15037000
2015-09-25,160,163,159,163,129000,20795000
2015-09-24,162,163,160,160,186000,29913000
2015-09-18,162,163,161,163,168000,27256000
2015-09-17,163,163,159,163,163000,26345000
2015-09-16,161,161,158,159,55000,8765000
2015-09-15,158,160,157,159,63000,10018000
2015-09-14,160,160,158,158,90000,14315000
2015-09-11,163,163,158,161,212000,34185000
2015-09-10,157,163,157,162,114000,18190000
2015-09-09,157,162,156,162,320000,50617000
2015-09-08,155,157,153,153,106000,16454000
2015-09-07,155,156,151,154,206000,31727000
2015-09-04,159,160,156,157,154000,24196000
2015-09-03,162,164,159,159,185000,29857000
2015-09-02,157,161,156,159,166000,26320000
2015-09-01,163,164,158,159,243000,39269000
2015-08-31,165,165,161,163,204000,33270000
2015-08-28,160,164,160,164,276000,44676000
2015-08-27,161,161,158,158,248000,39616000
2015-08-26,158,159,154,158,363000,56971000
2015-08-25,153,158,147,153,706000,107861000
2015-08-24,161,163,157,157,922000,147684000
2015-08-21,170,170,164,165,1076000,179135000
2015-08-20,171,172,170,170,193000,32986000
2015-08-19,171,172,171,171,163000,27934000
2015-08-18,173,174,171,173,195000,33646000
2015-08-17,172,173,171,173,205000,35342000
2015-08-14,173,173,171,173,206000,35437000
2015-08-13,170,173,170,173,359000,61649000
2015-08-12,172,172,170,171,198000,33852000
2015-08-11,172,174,170,172,447000,76899000
2015-08-10,172,172,171,172,104000,17843000
2015-08-07,170,173,169,172,343000,58805000
2015-08-06,168,170,168,169,315000,53345000
2015-08-05,168,169,167,167,256000,42987000
2015-08-04,168,169,167,168,539000,90494000
2015-08-03,172,172,165,168,1858000,311896000
2015-07-31,177,178,176,177,275000,48716000
2015-07-30,177,179,177,178,448000,79496000
2015-07-29,179,180,176,177,637000,113083000
2015-07-28,178,179,175,178,1049000,185574000
2015-07-27,183,183,177,178,667000,119886000
2015-07-24,182,186,179,181,2815000,514799000
2015-07-23,178,183,177,182,723000,129841000
2015-07-22,179,180,178,178,486000,86798000
2015-07-21,181,182,178,179,546000,98118000
2015-07-17,176,180,175,179,472000,83710000
2015-07-16,177,177,173,175,480000,84122000
2015-07-15,177,179,176,177,410000,72438000
2015-07-14,177,179,176,177,268000,47559000
2015-07-13,176,177,175,176,297000,52201000
2015-07-10,175,177,173,174,299000,52476000
2015-07-09,176,176,171,175,573000,99255000
2015-07-08,183,183,176,177,650000,116499000
2015-07-07,184,184,182,183,276000,50560000
2015-07-06,186,186,182,182,332000,61051000
2015-07-03,188,188,184,186,263000,48767000
2015-07-02,189,189,187,187,250000,46922000
2015-07-01,186,189,185,188,293000,54925000
2015-06-30,186,186,183,185,720000,132618000
2015-06-29,188,188,182,185,801000,148534000
2015-06-26,194,194,189,192,527000,100922000
2015-06-25,191,195,190,193,508000,97877000
2015-06-24,192,192,189,190,551000,104575000
2015-06-23,190,192,189,192,534000,101661000
2015-06-22,191,191,190,190,227000,43171000
2015-06-19,191,192,190,191,242000,46110000
2015-06-18,195,195,189,189,595000,113308000
2015-06-17,196,197,194,195,312000,60802000
2015-06-16,196,198,194,196,322000,63100000
2015-06-15,197,199,194,197,304000,59747000
2015-06-12,199,200,195,197,438000,86514000
2015-06-11,200,200,197,199,445000,88386000
2015-06-10,200,201,197,201,350000,69751000
2015-06-09,201,201,199,199,280000,56075000
2015-06-08,202,202,201,201,311000,62710000
2015-06-05,203,205,202,202,372000,75653000
2015-06-04,202,204,201,203,462000,93677000
2015-06-03,201,202,201,202,231000,46523000
2015-06-02,203,203,200,201,221000,44527000
2015-06-01,203,204,201,203,198000,40077000
2015-05-29,202,204,202,203,289000,58587000
2015-05-28,202,203,201,202,251000,50654000
2015-05-27,201,203,200,202,285000,57395000
2015-05-26,202,202,201,202,226000,45491000
2015-05-25,202,203,201,202,202000,40824000
2015-05-22,202,203,201,202,147000,29705000
2015-05-21,202,203,201,202,234000,47277000
2015-05-20,205,206,201,202,308000,62453000
2015-05-19,203,205,202,205,206000,41980000
2015-05-18,205,205,202,203,242000,49201000
2015-05-15,208,208,204,206,197000,40480000
2015-05-14,209,211,204,208,664000,137883000
2015-05-13,206,210,205,210,376000,77870000
2015-05-12,204,208,204,208,309000,63655000
2015-05-11,203,206,202,205,131000,26755000
2015-05-08,198,202,197,201,124000,24670000
2015-05-07,199,201,197,198,126000,25064000
2015-05-01,201,203,200,200,49000,9832000
2015-04-30,202,204,201,201,123000,24928000
2015-04-28,204,205,203,205,77000,15694000
2015-04-27,203,203,201,202,102000,20666000
2015-04-24,202,203,201,202,84000,16970000
2015-04-23,203,204,201,202,212000,42877000
2015-04-22,202,204,201,203,76000,15380000
2015-04-21,201,203,201,202,36000,7274000
2015-04-20,201,203,201,201,78000,15728000
2015-04-17,203,205,202,202,98000,19959000
2015-04-16,205,205,203,204,66000,13449000
2015-04-15,203,205,203,205,52000,10613000
2015-04-14,204,205,202,203,105000,21358000
2015-04-13,204,205,202,204,64000,13008000
2015-04-10,205,206,202,203,160000,32530000
2015-04-09,209,209,206,206,101000,20900000
2015-04-08,205,209,204,209,155000,32045000
2015-04-07,202,205,202,205,111000,22620000
2015-04-06,202,203,200,202,63000,12703000
2015-04-03,203,203,200,202,90000,18107000
2015-04-02,201,202,199,202,140000,28033000
2015-04-01,201,201,198,201,137000,27408000
2015-03-31,205,205,201,202,69000,13950000
2015-03-30,205,205,201,201,87000,17592000
2015-03-27,203,207,201,204,140000,28589000
2015-03-26,205,206,204,205,175000,35832000
2015-03-25,206,208,205,207,102000,21069000
2015-03-24,205,206,203,205,101000,20688000
2015-03-23,206,207,204,206,121000,24864000
2015-03-20,204,206,202,205,131000,26757000
2015-03-19,208,208,204,204,136000,27971000
2015-03-18,207,210,206,209,217000,45086000
2015-03-17,208,208,205,207,130000,26864000
2015-03-16,207,209,206,206,146000,30240000
2015-03-13,207,208,206,207,231000,47766000
2015-03-12,205,208,204,206,158000,32562000
2015-03-11,205,206,204,205,175000,35865000
2015-03-10,206,209,205,206,188000,38877000
2015-03-09,204,207,204,205,107000,21990000
2015-03-06,207,208,204,206,147000,30299000
2015-03-05,204,206,204,205,119000,24406000
2015-03-04,204,205,203,204,142000,28978000
2015-03-03,211,211,203,206,266000,54890000
2015-03-02,210,212,209,210,140000,29455000
2015-02-27,212,214,209,210,488000,103185000
2015-02-26,214,216,211,213,344000,73069000
2015-02-25,210,215,208,213,783000,165827000
2015-02-24,209,217,208,210,1040000,220538000
2015-02-23,207,211,205,209,390000,81311000
2015-02-20,206,213,205,207,798000,166429000
2015-02-19,198,208,198,208,854000,174684000
2015-02-18,200,200,198,198,164000,32680000
2015-02-17,198,200,197,200,159000,31627000
2015-02-16,198,199,197,198,191000,37779000
2015-02-13,199,199,196,198,152000,30017000
2015-02-12,197,200,196,197,284000,56100000
2015-02-10,194,197,194,196,146000,28565000
2015-02-09,192,195,191,195,218000,42164000
2015-02-06,192,193,191,192,155000,29776000
2015-02-05,191,193,191,191,120000,23015000
2015-02-04,191,193,190,193,217000,41655000
2015-02-03,194,194,190,190,181000,34724000
2015-02-02,192,195,190,192,304000,58438000
2015-01-30,194,195,191,192,176000,33928000
2015-01-29,196,196,192,193,331000,64228000
2015-01-28,194,198,194,197,319000,62467000
2015-01-27,193,195,192,194,421000,81566000
2015-01-26,191,193,190,192,315000,60296000
2015-01-23,201,202,191,192,1201000,235298000
2015-01-22,206,206,192,195,1880000,374399000
2015-01-21,191,222,189,207,6156000,1259776000
2015-01-20,186,192,186,192,294000,55679000
2015-01-19,184,186,183,185,117000,21561000
2015-01-16,186,186,183,186,128000,23603000
2015-01-15,185,188,185,188,88000,16391000
2015-01-14,188,189,185,185,173000,32338000
2015-01-13,188,188,187,188,85000,15956000
2015-01-09,191,192,188,189,161000,30579000
2015-01-08,191,193,191,191,64000,12263000
2015-01-07,189,194,187,192,256000,48812000
2015-01-06,190,191,189,190,117000,22235000
2015-01-05,190,193,190,191,123000,23530000
2014-12-30,193,193,190,190,201000,38405000
2014-12-29,193,193,191,193,153000,29418000
2014-12-26,191,193,190,193,132000,25276000
2014-12-25,190,191,188,190,408000,77345000
2014-12-24,193,194,190,190,232000,44286000
2014-12-22,192,193,187,193,352000,66902000
2014-12-19,192,193,190,192,167000,31983000
2014-12-18,190,192,188,190,279000,53110000
2014-12-17,190,191,187,188,357000,67407000
2014-12-16,196,197,189,190,381000,73303000
2014-12-15,199,203,197,198,519000,103799000
2014-12-12,201,204,197,198,999000,199577000
2014-12-11,197,211,194,204,3978000,807400000
2014-12-10,188,193,187,193,532000,100607000
2014-12-09,191,192,189,189,204000,38802000
2014-12-08,192,193,191,192,290000,55583000
2014-12-05,192,193,191,192,137000,26320000
2014-12-04,195,195,192,194,146000,28296000
2014-12-03,197,197,193,194,179000,34980000
2014-12-02,194,197,194,197,96000,18788000
2014-12-01,194,198,192,197,342000,66957000
2014-11-28,194,195,192,194,117000,22618000
2014-11-27,195,195,192,192,135000,26166000
2014-11-26,193,195,192,194,214000,41481000
2014-11-25,189,193,189,192,157000,30009000
2014-11-21,188,190,186,189,273000,51285000
2014-11-20,192,192,187,188,315000,59333000
2014-11-19,191,193,191,191,139000,26655000
2014-11-18,189,191,189,191,116000,22067000
2014-11-17,191,192,189,189,59000,11233000
2014-11-14,193,194,191,191,57000,10967000
2014-11-13,190,191,189,191,98000,18628000
2014-11-12,192,196,189,189,277000,53551000
2014-11-11,194,195,193,194,78000,15112000
2014-11-10,191,193,190,193,80000,15312000
2014-11-07,194,194,191,191,86000,16533000
2014-11-06,195,195,193,193,104000,20141000
2014-11-05,193,195,192,194,122000,23586000
2014-11-04,201,201,194,194,305000,60038000
2014-10-31,196,201,195,198,438000,86532000
2014-10-30,196,196,193,194,156000,30402000
2014-10-29,192,196,192,194,160000,31039000
