4204-T,東証1部,積水化,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1271,1279,1250,1271,2006000,2538942500
2015-10-01,1263,1280,1244,1270,1990000,2517377200
2015-09-30,1240,1260,1232,1253,2417000,3022020000
2015-09-29,1233,1243,1202,1210,2158000,2620631000
2015-09-28,1274,1287,1252,1262,1602000,2028437000
2015-09-25,1232,1260,1223,1258,2816000,3501784000
2015-09-24,1267,1267,1231,1231,2874000,3582492000
2015-09-18,1301,1304,1268,1277,2178000,2791403000
2015-09-17,1303,1317,1300,1313,1179000,1543628000
2015-09-16,1311,1311,1286,1294,1417000,1833954000
2015-09-15,1307,1322,1289,1289,1382000,1798194000
2015-09-14,1307,1316,1291,1294,2105000,2742579000
2015-09-11,1340,1358,1313,1318,3060000,4079109000
2015-09-10,1288,1330,1285,1325,1739000,2279812000
2015-09-09,1270,1318,1265,1316,2197000,2840567000
2015-09-08,1253,1269,1227,1228,2518000,3140786000
2015-09-07,1256,1289,1250,1272,2136000,2712149000
2015-09-04,1300,1328,1257,1263,3050000,3897671000
2015-09-03,1291,1312,1287,1291,2038000,2645190000
2015-09-02,1248,1279,1243,1251,2626000,3305628000
2015-09-01,1322,1328,1274,1274,2218000,2881391000
2015-08-31,1338,1358,1331,1339,1996000,2676103000
2015-08-28,1348,1366,1343,1357,1893000,2564827000
2015-08-27,1309,1345,1309,1323,2237000,2975578000
2015-08-26,1265,1301,1264,1292,3611000,4629447000
2015-08-25,1251,1311,1246,1265,4710000,6031754000
2015-08-24,1320,1337,1298,1301,4058000,5325351000
2015-08-21,1360,1383,1351,1356,2832000,3859616000
2015-08-20,1410,1420,1391,1391,2028000,2844799000
2015-08-19,1429,1442,1410,1411,1896000,2696399000
2015-08-18,1445,1452,1433,1436,1437000,2071746000
2015-08-17,1425,1453,1419,1445,1845000,2659137000
2015-08-14,1416,1421,1398,1410,1573000,2220893000
2015-08-13,1404,1427,1404,1420,2986000,4228930000
2015-08-12,1424,1442,1398,1403,3513000,4967306000
2015-08-11,1400,1428,1399,1424,3574000,5063392000
2015-08-10,1373,1381,1364,1380,1935000,2659768000
2015-08-07,1366,1391,1361,1387,1968000,2718176000
2015-08-06,1369,1385,1358,1367,2571000,3518890000
2015-08-05,1339,1368,1339,1361,3448000,4688360000
2015-08-04,1346,1357,1324,1330,4976000,6643479000
2015-08-03,1370,1378,1357,1361,3387000,4622879000
2015-07-31,1382,1389,1363,1377,4365000,6015127000
2015-07-30,1426,1460,1378,1417,3820000,5418405000
2015-07-29,1423,1443,1411,1426,2366000,3378598000
2015-07-28,1407,1432,1396,1423,1359000,1925187000
2015-07-27,1445,1448,1423,1435,1482000,2124588000
2015-07-24,1459,1459,1447,1452,1069000,1553129000
2015-07-23,1474,1477,1462,1469,910000,1336630000
2015-07-22,1482,1482,1455,1464,1603000,2347651000
2015-07-21,1497,1499,1477,1485,1505000,2236890000
2015-07-17,1500,1506,1480,1487,3478000,5185924000
2015-07-16,1500,1507,1481,1503,2989000,4476903000
2015-07-15,1490,1510,1483,1494,2008000,3003018000
