4216-T,東証1部,旭有機,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,220,220,217,220,25000,5477000
2015-10-01,217,219,216,219,93000,20233000
2015-09-30,216,220,215,219,51000,11114000
2015-09-29,218,220,215,215,80000,17394000
2015-09-28,224,224,220,221,63000,14013000
2015-09-25,220,223,219,223,62000,13722000
2015-09-24,220,222,219,219,126000,27727000
2015-09-18,223,224,222,222,142000,31595000
2015-09-17,226,227,225,225,57000,12886000
2015-09-16,225,227,224,226,73000,16427000
2015-09-15,228,228,225,225,50000,11317000
2015-09-14,228,229,226,226,56000,12738000
2015-09-11,228,229,225,228,152000,34640000
2015-09-10,221,226,221,226,64000,14291000
2015-09-09,225,226,221,225,104000,23217000
2015-09-08,224,224,220,220,73000,16193000
2015-09-07,222,224,220,222,71000,15722000
2015-09-04,229,230,224,224,86000,19487000
2015-09-03,232,235,229,229,82000,19063000
2015-09-02,230,234,228,232,91000,21035000
2015-09-01,237,237,231,231,106000,24776000
2015-08-31,241,244,238,240,65000,15644000
2015-08-28,242,242,236,241,120000,28776000
2015-08-27,233,237,230,234,174000,40835000
2015-08-26,229,229,221,226,118000,26542000
2015-08-25,227,234,220,221,192000,43265000
2015-08-24,236,239,227,228,255000,59608000
2015-08-21,251,251,246,246,218000,54166000
2015-08-20,252,253,252,252,68000,17157000
2015-08-19,255,256,253,253,102000,25938000
2015-08-18,257,259,256,257,81000,20827000
2015-08-17,255,257,255,257,46000,11783000
2015-08-14,255,256,253,254,89000,22637000
2015-08-13,256,257,255,255,63000,16092000
2015-08-12,258,261,256,257,92000,23755000
2015-08-11,258,262,257,258,110000,28504000
2015-08-10,259,259,254,259,311000,79837000
2015-08-07,258,261,256,257,461000,118955000
2015-08-06,258,261,257,259,166000,42976000
2015-08-05,257,258,255,256,160000,41055000
2015-08-04,256,261,256,260,150000,38692000
2015-08-03,259,261,256,257,154000,39783000
2015-07-31,255,255,252,253,103000,26110000
2015-07-30,256,256,254,254,76000,19428000
2015-07-29,258,258,253,253,98000,24995000
2015-07-28,257,260,255,258,188000,48371000
2015-07-27,260,261,259,260,191000,49657000
2015-07-24,263,264,260,260,63000,16475000
2015-07-23,259,263,259,263,122000,31781000
2015-07-22,259,261,257,257,81000,20947000
2015-07-21,260,263,258,261,79000,20586000
2015-07-17,260,261,259,261,42000,10920000
2015-07-16,258,261,258,259,51000,13220000
2015-07-15,259,261,258,258,103000,26679000
2015-07-14,256,260,256,258,164000,42183000
2015-07-13,252,255,252,255,43000,10907000
2015-07-10,254,256,251,252,168000,42496000
2015-07-09,251,257,250,256,234000,59053000
2015-07-08,258,260,253,253,127000,32502000
2015-07-07,262,263,257,261,196000,50934000
2015-07-06,256,257,254,254,90000,22968000
2015-07-03,257,259,256,256,64000,16436000
2015-07-02,258,263,255,257,170000,43915000
2015-07-01,260,260,257,257,47000,12159000
2015-06-30,258,259,256,258,175000,45081000
2015-06-29,262,263,259,260,130000,33894000
2015-06-26,267,267,265,265,79000,21019000
2015-06-25,270,270,266,267,89000,23805000
2015-06-24,268,272,267,270,140000,37713000
2015-06-23,264,268,263,268,117000,31109000
2015-06-22,262,264,262,264,91000,23925000
2015-06-19,266,267,261,261,210000,55328000
2015-06-18,267,267,264,264,106000,28143000
2015-06-17,267,269,266,267,69000,18454000
2015-06-16,269,269,267,267,64000,17151000
2015-06-15,267,269,267,269,63000,16884000
2015-06-12,271,271,267,267,208000,56157000
2015-06-11,269,271,268,268,164000,44108000
2015-06-10,275,275,268,268,149000,40365000
2015-06-09,275,275,269,269,182000,49315000
2015-06-08,278,279,276,276,98000,27138000
2015-06-05,278,281,277,279,125000,34824000
2015-06-04,281,282,277,278,299000,83627000
2015-06-03,270,276,267,275,186000,50590000
2015-06-02,271,273,269,270,111000,30072000
2015-06-01,268,271,267,271,156000,42028000
2015-05-29,266,269,266,268,116000,31010000
2015-05-28,268,272,266,266,293000,78649000
2015-05-27,268,270,268,269,80000,21518000
2015-05-26,270,270,268,269,54000,14555000
2015-05-25,267,270,267,270,75000,20161000
2015-05-22,270,270,266,267,131000,35073000
2015-05-21,269,270,266,270,109000,29298000
2015-05-20,269,270,266,269,106000,28426000
2015-05-19,267,269,266,269,114000,30470000
2015-05-18,266,268,262,267,271000,71961000
2015-05-15,272,274,272,274,99000,27054000
2015-05-14,273,274,271,272,91000,24802000
2015-05-13,272,274,271,273,69000,18823000
2015-05-12,271,273,270,272,110000,29885000
2015-05-11,273,274,271,272,135000,36809000
2015-05-08,272,273,271,273,55000,14974000
2015-05-07,271,272,270,270,46000,12471000
2015-05-01,271,272,270,271,93000,25182000
2015-04-30,274,275,272,273,81000,22102000
2015-04-28,274,276,273,275,139000,38130000
2015-04-27,273,275,272,274,80000,21946000
2015-04-24,274,275,268,271,129000,35045000
2015-04-23,271,277,271,274,128000,35088000
2015-04-22,270,272,268,271,74000,19978000
2015-04-21,270,271,268,269,69000,18583000
2015-04-20,270,270,265,269,111000,29712000
2015-04-17,273,273,269,270,157000,42533000
2015-04-16,274,275,272,275,82000,22462000
2015-04-15,275,276,272,275,106000,29078000
2015-04-14,273,275,272,275,107000,29284000
2015-04-13,274,274,270,270,128000,34806000
2015-04-10,272,274,270,273,258000,70136000
2015-04-09,267,272,267,268,183000,49378000
2015-04-08,265,266,263,266,148000,39137000
2015-04-07,261,263,260,261,63000,16459000
2015-04-06,263,263,259,260,97000,25295000
2015-04-03,265,265,259,261,150000,39357000
2015-04-02,257,266,256,261,174000,45322000
2015-04-01,257,258,255,257,119000,30547000
2015-03-31,263,264,258,259,152000,39591000
2015-03-30,268,268,259,263,124000,32577000
2015-03-27,261,267,261,263,113000,29771000
2015-03-26,271,271,266,266,188000,50498000
2015-03-25,272,273,270,270,219000,59402000
2015-03-24,274,275,273,273,95000,25986000
2015-03-23,274,275,271,274,161000,43995000
2015-03-20,276,277,273,273,250000,68660000
2015-03-19,275,278,275,275,113000,31175000
2015-03-18,279,279,275,275,168000,46398000
2015-03-17,278,280,277,277,171000,47529000
2015-03-16,279,283,276,277,116000,32294000
2015-03-13,278,282,277,281,326000,91043000
2015-03-12,278,280,275,278,199000,55375000
2015-03-11,274,276,272,275,139000,38196000
2015-03-10,278,279,273,274,184000,50713000
2015-03-09,276,277,273,277,162000,44538000
2015-03-06,278,280,275,276,248000,68798000
2015-03-05,281,281,277,278,152000,42419000
2015-03-04,281,281,277,278,143000,39930000
2015-03-03,278,282,278,279,157000,43993000
2015-03-02,278,281,275,278,167000,46422000
2015-02-27,284,284,278,280,361000,101237000
2015-02-26,282,283,280,282,210000,59131000
2015-02-25,286,287,280,281,388000,109458000
2015-02-24,290,290,282,286,199000,56991000
2015-02-23,291,292,288,289,95000,27487000
2015-02-20,289,293,288,289,173000,50082000
2015-02-19,288,292,288,292,127000,36911000
2015-02-18,294,294,287,288,186000,53876000
2015-02-17,293,293,289,292,113000,32879000
2015-02-16,292,293,290,292,115000,33588000
2015-02-13,294,295,291,293,213000,62484000
2015-02-12,291,294,290,291,265000,77428000
2015-02-10,284,290,283,288,147000,42153000
2015-02-09,280,287,280,287,124000,35233000
2015-02-06,283,285,280,283,136000,38505000
2015-02-05,281,281,278,279,85000,23790000
2015-02-04,276,281,276,281,130000,36256000
2015-02-03,284,284,274,276,210000,58691000
2015-02-02,278,282,277,280,242000,67628000
2015-01-30,292,293,290,292,83000,24192000
2015-01-29,293,294,288,288,145000,42149000
2015-01-28,292,295,292,294,128000,37555000
2015-01-27,292,295,289,295,205000,59878000
2015-01-26,290,295,289,293,152000,44407000
2015-01-23,287,291,286,290,114000,32962000
2015-01-22,286,288,281,287,161000,45808000
2015-01-21,283,288,282,286,142000,40575000
2015-01-20,280,283,279,281,87000,24443000
2015-01-19,277,278,273,278,88000,24229000
2015-01-16,278,278,272,275,117000,32155000
2015-01-15,276,279,275,279,115000,31880000
2015-01-14,280,281,275,277,197000,54751000
2015-01-13,282,282,274,280,248000,68840000
2015-01-09,287,288,284,285,125000,35672000
2015-01-08,287,289,284,285,116000,33152000
2015-01-07,287,292,285,285,122000,35068000
2015-01-06,290,291,285,287,298000,85846000
2015-01-05,288,295,287,293,184000,53572000
2014-12-30,291,292,286,286,89000,25706000
2014-12-29,290,293,287,291,180000,52287000
2014-12-26,282,289,282,288,117000,33391000
2014-12-25,285,285,281,284,215000,60886000
2014-12-24,291,291,281,285,389000,110446000
2014-12-22,283,287,282,286,218000,61991000
2014-12-19,286,290,284,287,282000,80755000
2014-12-18,290,293,283,283,358000,103211000
2014-12-17,280,289,280,285,206000,58590000
2014-12-16,291,291,285,287,210000,60362000
2014-12-15,294,295,290,291,187000,54790000
2014-12-12,299,303,298,298,248000,74417000
2014-12-11,297,302,290,301,356000,105697000
2014-12-10,297,302,296,300,378000,113028000
2014-12-09,298,304,295,301,380000,114371000
2014-12-08,300,307,299,304,458000,138731000
2014-12-05,295,298,293,298,274000,81222000
2014-12-04,291,292,285,291,336000,97195000
2014-12-03,298,298,289,293,317000,93104000
