4229-T,東証1部,群栄化,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,279,286,279,286,26000,7336000
2015-10-01,273,292,273,286,65000,18413000
2015-09-30,274,277,273,274,57000,15633000
2015-09-29,279,279,272,272,47000,12913000
2015-09-28,280,288,279,283,48000,13588000
2015-09-25,280,284,278,284,85000,23840000
2015-09-24,287,288,280,280,79000,22385000
2015-09-18,293,293,289,289,42000,12189000
2015-09-17,294,294,290,293,83000,24301000
2015-09-16,294,294,289,290,20000,5817000
2015-09-15,293,293,290,290,37000,10794000
2015-09-14,294,294,289,290,20000,5809000
2015-09-11,296,296,286,288,139000,40765000
2015-09-10,289,293,288,290,127000,36841000
2015-09-09,286,294,286,294,72000,20892000
2015-09-08,289,291,282,283,50000,14226000
2015-09-07,282,288,278,288,77000,21790000
2015-09-04,292,293,284,284,62000,17783000
2015-09-03,298,298,290,291,47000,13783000
2015-09-02,291,298,291,292,62000,18272000
2015-09-01,307,307,298,299,92000,27827000
2015-08-31,305,306,300,306,49000,14869000
2015-08-28,305,308,300,308,85000,25936000
2015-08-27,300,308,296,297,72000,21661000
2015-08-26,287,294,287,294,105000,30478000
2015-08-25,288,294,282,283,177000,50897000
2015-08-24,306,313,296,296,164000,49811000
2015-08-21,323,324,315,316,83000,26480000
2015-08-20,329,334,328,328,36000,11883000
2015-08-19,333,333,330,330,41000,13589000
2015-08-18,337,337,334,334,51000,17092000
2015-08-17,338,338,334,337,79000,26588000
2015-08-14,336,340,336,338,61000,20545000
2015-08-13,337,339,336,339,42000,14161000
2015-08-12,337,341,337,339,28000,9503000
2015-08-11,342,344,339,341,90000,30802000
2015-08-10,342,342,338,341,73000,24864000
2015-08-07,334,341,334,340,65000,22064000
2015-08-06,340,340,334,338,34000,11469000
2015-08-05,338,340,334,337,45000,15215000
2015-08-04,337,339,334,339,83000,27936000
2015-08-03,338,339,330,334,63000,21120000
2015-07-31,322,336,322,336,168000,55693000
2015-07-30,325,325,321,325,28000,9069000
2015-07-29,322,323,319,319,64000,20508000
2015-07-28,325,325,322,322,43000,13888000
2015-07-27,330,330,324,325,53000,17342000
2015-07-24,331,331,328,330,25000,8247000
2015-07-23,327,331,323,331,54000,17729000
2015-07-22,325,328,322,323,54000,17546000
2015-07-21,331,332,326,328,30000,9859000
2015-07-17,331,332,325,327,37000,12159000
2015-07-16,327,331,325,331,62000,20264000
2015-07-15,330,330,323,327,125000,40951000
2015-07-14,325,328,321,328,88000,28600000
2015-07-13,316,325,316,322,59000,18907000
2015-07-10,315,316,311,311,73000,22832000
2015-07-09,316,318,306,317,140000,43873000
2015-07-08,326,328,320,320,116000,37504000
2015-07-07,327,331,327,328,25000,8226000
2015-07-06,331,331,325,325,80000,26220000
2015-07-03,335,335,331,331,75000,24893000
2015-07-02,337,337,332,335,51000,17047000
2015-07-01,335,336,333,334,29000,9693000
2015-06-30,335,335,330,333,75000,24935000
2015-06-29,336,336,331,331,120000,39965000
2015-06-26,339,339,337,338,51000,17251000
2015-06-25,338,340,337,337,53000,17933000
