4231-T,東証1部,タイガポリ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,649,666,649,658,11200,7366700
2015-10-01,655,665,641,652,14000,9153100
2015-09-30,637,655,637,650,7700,4980900
2015-09-29,638,643,627,628,11800,7462200
2015-09-28,653,664,646,649,12400,8090700
2015-09-25,645,653,638,653,17900,11583800
2015-09-24,651,659,643,644,19500,12658400
2015-09-18,671,676,654,659,13100,8690400
2015-09-17,655,675,653,671,21000,13974100
2015-09-16,654,660,645,655,19100,12458800
2015-09-15,656,667,652,653,15200,9994200
2015-09-14,680,680,654,654,14400,9524100
2015-09-11,670,690,661,671,32400,21812000
2015-09-10,672,681,648,671,21900,14611200
2015-09-09,667,693,663,687,19300,13115100
2015-09-08,651,678,649,649,12800,8434300
2015-09-07,661,673,646,653,16000,10526800
2015-09-04,683,683,648,661,20700,13714700
2015-09-03,680,693,671,675,13600,9243600
2015-09-02,676,695,668,675,16300,11076300
2015-09-01,711,720,682,686,25800,18035200
2015-08-31,729,730,699,713,17800,12727600
2015-08-28,694,731,694,719,44300,31442700
2015-08-27,710,710,666,673,21200,14528700
2015-08-26,659,699,652,692,62500,41558900
2015-08-25,662,694,639,653,57300,38623500
2015-08-24,765,774,702,707,41200,30037900
2015-08-21,783,795,765,765,16100,12439200
2015-08-20,809,815,791,798,21400,17196600
2015-08-19,808,811,793,809,9200,7411300
2015-08-18,809,814,803,809,6600,5347500
2015-08-17,803,810,795,804,9700,7791900
2015-08-14,785,802,785,794,13600,10808200
2015-08-13,803,810,775,789,30700,24221100
2015-08-12,827,832,796,803,35600,28868400
2015-08-11,842,842,796,826,37600,30993800
2015-08-10,827,843,827,836,19600,16379100
2015-08-07,805,846,805,825,48900,40423100
2015-08-06,800,826,799,820,82300,66887600
2015-08-05,752,870,752,800,335500,275584300
2015-08-04,749,751,741,748,18700,13960400
2015-08-03,750,750,741,748,24600,18336300
2015-07-31,745,750,742,748,11900,8890000
2015-07-30,755,755,741,747,22200,16573000
2015-07-29,768,775,750,752,14200,10742800
2015-07-28,758,776,752,767,15400,11766900
2015-07-27,770,770,764,764,13200,10120900
2015-07-24,777,779,772,772,7100,5507900
2015-07-23,786,787,769,774,20200,15716200
2015-07-22,783,788,783,786,13600,10664900
2015-07-21,790,790,782,783,23400,18358000
2015-07-17,794,794,784,792,9300,7356800
2015-07-16,792,796,780,794,15400,12134200
2015-07-15,800,800,785,790,14100,11146300
2015-07-14,795,805,788,796,33300,26554000
2015-07-13,775,789,774,783,19900,15551700
2015-07-10,763,779,756,763,40700,31240200
2015-07-09,739,750,720,748,38100,28055100
2015-07-08,792,792,769,769,22400,17439300
2015-07-07,794,798,792,793,14600,11591900
2015-07-06,805,805,778,785,44800,35570100
2015-07-03,828,828,810,812,26900,21906100
2015-07-02,830,839,827,833,10600,8822300
2015-07-01,817,834,811,826,14700,12105800
2015-06-30,832,837,800,819,25000,20522100
2015-06-29,860,860,832,836,40200,34129500
2015-06-26,853,866,849,865,22100,19013700
2015-06-25,846,857,840,846,28000,23768200
2015-06-24,827,850,825,846,34500,28928200
2015-06-23,831,838,815,822,63000,51915300
2015-06-22,844,848,802,828,41200,34068000
2015-06-19,840,844,830,841,31300,26251000
2015-06-18,856,856,823,833,37600,31434100
2015-06-17,879,879,853,860,22700,19593700
2015-06-16,889,889,870,879,16300,14325000
2015-06-15,896,899,888,891,29400,26262400
2015-06-12,876,882,876,882,22500,19737500
2015-06-11,875,899,870,876,18700,16500300
2015-06-10,870,888,862,872,35200,30785500
2015-06-09,890,901,878,878,23800,21123900
2015-06-08,902,909,890,898,32200,28974700
2015-06-05,903,903,891,898,33300,29918200
2015-06-04,897,909,897,904,75500,68042500
2015-06-03,883,896,875,896,48300,42962600
2015-06-02,876,882,875,881,53000,46540800
2015-06-01,872,876,869,875,57400,50116600
2015-05-29,859,868,856,865,34200,29553900
2015-05-28,865,865,855,855,12200,10466700
2015-05-27,855,864,853,863,19000,16320700
2015-05-26,866,867,850,854,28500,24488800
2015-05-25,855,863,853,861,33900,29070000
2015-05-22,852,855,850,852,31200,26613000
2015-05-21,856,856,847,847,19800,16862600
2015-05-20,849,856,847,849,25500,21691000
2015-05-19,838,847,835,844,44500,37456800
2015-05-18,830,836,829,836,20700,17254600
2015-05-15,817,826,816,825,16100,13236900
2015-05-14,826,826,817,819,22700,18637700
2015-05-13,836,836,824,826,13800,11423100
2015-05-12,820,840,815,836,54000,44733600
2015-05-11,838,845,815,818,69100,57471400
2015-05-08,802,820,800,814,25500,20658700
2015-05-07,804,805,800,800,21500,17234600
2015-05-01,809,810,802,808,24100,19440800
2015-04-30,817,818,802,813,37200,30195600
2015-04-28,800,808,799,805,24100,19330100
2015-04-27,802,806,800,803,23100,18523600
2015-04-24,801,804,801,802,23500,18857400
2015-04-23,817,817,804,805,21000,17002300
2015-04-22,811,815,808,813,26600,21577900
2015-04-21,812,814,805,811,28200,22788000
2015-04-20,810,818,806,810,24600,19970000
2015-04-17,825,828,818,818,39400,32408500
2015-04-16,829,834,822,826,29100,24055900
2015-04-15,831,832,825,831,18500,15303600
2015-04-14,822,838,822,828,16400,13560900
2015-04-13,823,824,819,821,16700,13721300
2015-04-10,831,832,819,822,35200,29000300
2015-04-09,834,835,820,823,24000,19828000
2015-04-08,829,833,823,825,26500,21929800
2015-04-07,820,833,819,820,54800,45005500
2015-04-06,850,850,829,835,11400,9577600
2015-04-03,849,857,846,855,13200,11249500
2015-04-02,819,856,818,851,23800,20005200
2015-04-01,816,850,805,819,37800,30917700
2015-03-31,831,838,825,829,18600,15438300
2015-03-30,823,838,821,830,23900,19777300
2015-03-27,847,859,793,821,64600,53489100
2015-03-26,863,868,853,854,27300,23466000
2015-03-25,868,872,868,871,20600,17908900
2015-03-24,878,878,862,868,28700,24967800
2015-03-23,875,880,874,878,12000,10518400
2015-03-20,880,885,868,876,31400,27499600
2015-03-19,872,885,860,880,22300,19497200
2015-03-18,875,885,860,880,26200,22907500
2015-03-17,878,886,870,877,35300,31035400
2015-03-16,861,883,861,874,29600,25803800
2015-03-13,880,881,864,874,38600,33811700
2015-03-12,859,879,859,875,41000,35655600
2015-03-11,846,860,846,858,44600,38213300
2015-03-10,855,860,847,849,19700,16810000
2015-03-09,842,853,836,845,22000,18593700
2015-03-06,856,857,825,842,60400,50802200
2015-03-05,880,880,850,858,63800,55466900
2015-03-04,841,852,833,850,37500,31524800
2015-03-03,855,861,849,849,17800,15208100
2015-03-02,860,866,852,856,18000,15462800
2015-02-27,878,878,855,865,24700,21463000
2015-02-26,870,884,860,871,27500,23962100
2015-02-25,884,890,848,876,26300,23030800
2015-02-24,870,882,865,880,33400,29232600
2015-02-23,888,898,843,855,60400,52570200
2015-02-20,880,887,850,871,52600,45832500
2015-02-19,835,874,835,869,58500,50230500
2015-02-18,818,842,817,820,53400,44182300
2015-02-17,820,826,812,822,30100,24696900
2015-02-16,805,830,805,819,57800,47053600
2015-02-13,837,850,812,825,62500,51671500
2015-02-12,860,880,845,847,57600,49420600
2015-02-10,850,889,848,860,80900,69839500
2015-02-09,784,920,783,856,259800,224308600
2015-02-06,770,780,767,780,14800,11443800
2015-02-05,780,783,769,770,14200,11018200
2015-02-04,774,786,774,786,15400,12039300
2015-02-03,780,781,768,772,20100,15542200
2015-02-02,773,780,767,771,10300,7961000
2015-01-30,776,788,776,783,13300,10394000
2015-01-29,777,780,771,775,11900,9242600
2015-01-28,763,775,760,775,16200,12505200
2015-01-27,759,763,745,763,8800,6663000
2015-01-26,745,752,730,745,7600,5659700
2015-01-23,758,768,754,759,16700,12704300
2015-01-22,750,755,743,754,10000,7501600
2015-01-21,767,767,735,739,14300,10653000
2015-01-20,753,767,748,764,17800,13518500
2015-01-19,747,755,747,755,8900,6696900
2015-01-16,721,755,721,740,19800,14683200
2015-01-15,713,740,713,736,13800,10029000
2015-01-14,739,747,722,723,10600,7795400
2015-01-13,749,749,700,739,18200,13301700
2015-01-09,749,759,741,749,32700,24555700
2015-01-08,749,749,735,741,11900,8828300
2015-01-07,732,748,732,742,12900,9571500
2015-01-06,746,748,732,733,22100,16400800
2015-01-05,766,779,745,752,30000,22679300
2014-12-30,773,778,764,773,14200,10969300
2014-12-29,780,780,765,773,19600,15169500
2014-12-26,752,772,752,770,22200,16931500
2014-12-25,760,762,750,757,21300,16100300
2014-12-24,753,768,750,756,57100,43207700
2014-12-22,746,750,745,750,16400,12276400
2014-12-19,751,751,735,745,21100,15690300
2014-12-18,755,755,741,745,23400,17488600
2014-12-17,705,760,705,740,51100,37640900
2014-12-16,710,748,710,715,45100,32423300
2014-12-15,741,742,710,725,24400,17778900
2014-12-12,701,745,701,741,41100,29528400
2014-12-11,693,710,681,701,52600,36607700
2014-12-10,727,727,702,702,35800,25563200
2014-12-09,749,759,740,742,18700,14058500
2014-12-08,734,749,728,748,19400,14356900
2014-12-05,725,735,725,730,37800,27546100
2014-12-04,713,725,713,725,29700,21368000
2014-12-03,722,722,705,711,18600,13362000
2014-12-02,723,725,715,720,18500,13327800
2014-12-01,717,723,716,719,34700,24965200
2014-11-28,700,714,699,709,50800,35794600
2014-11-27,700,702,698,698,7500,5249400
2014-11-26,704,704,686,700,15300,10719900
2014-11-25,702,704,692,704,17500,12263300
2014-11-21,692,704,688,701,9700,6749900
2014-11-20,704,705,686,688,17800,12436300
2014-11-19,702,705,700,704,19000,13354700
2014-11-18,693,710,683,705,38700,27129100
2014-11-17,700,700,690,693,14400,10023500
2014-11-14,703,703,690,698,23500,16410200
2014-11-13,691,703,691,701,19100,13281800
2014-11-12,705,708,676,691,46200,32311700
2014-11-11,705,708,697,702,18300,12874500
2014-11-10,689,706,688,703,33800,23644800
2014-11-07,691,691,683,687,6100,4197400
2014-11-06,686,692,675,682,23500,16103400
2014-11-05,689,689,677,683,17400,11860100
2014-11-04,690,694,678,689,35900,24714200
2014-10-31,660,676,656,675,29400,19690800
2014-10-30,674,674,662,663,19800,13225600
2014-10-29,659,675,651,669,14100,9390000
2014-10-28,660,660,646,649,9400,6145600
2014-10-27,653,662,633,658,13100,8509100
2014-10-24,667,671,648,653,12400,8202600
2014-10-23,670,675,662,666,18900,12600900
2014-10-22,653,667,653,666,19500,12906900
2014-10-21,659,660,651,653,13400,8800100
2014-10-20,668,668,649,659,25600,16951700
2014-10-17,641,645,625,638,18300,11628800
2014-10-16,626,653,616,646,39900,25631300
2014-10-15,607,638,607,628,13300,8312300
2014-10-14,588,620,588,610,35400,21343100
2014-10-10,610,629,600,618,27600,17075100
2014-10-09,659,659,638,638,12400,7985800
2014-10-08,650,665,649,651,23900,15641700
2014-10-07,679,680,669,670,19900,13477300
2014-10-06,651,678,651,668,21600,14439500
2014-10-03,640,681,640,648,21600,14138400
2014-10-02,670,671,635,644,33300,21758900
2014-10-01,693,697,687,688,17800,12306400
2014-09-30,687,695,687,693,11300,7814300
2014-09-29,682,698,682,695,23800,16503000
2014-09-26,689,694,688,690,6600,4555300
2014-09-25,687,700,685,700,24000,16625500
