4238-T,東証1部,ミライアル,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1083,1105,1065,1091,13600,14700300
2015-10-01,1085,1108,1068,1098,18700,20306400
2015-09-30,1084,1100,1084,1085,16600,18086600
2015-09-29,1080,1101,1080,1084,17900,19475400
2015-09-28,1100,1116,1090,1104,18700,20570100
2015-09-25,1110,1119,1065,1095,18800,20453200
2015-09-24,1108,1126,1100,1110,12600,14007300
2015-09-18,1144,1144,1112,1121,5000,5612700
2015-09-17,1124,1146,1124,1144,7200,8207500
2015-09-16,1116,1126,1106,1124,6400,7151300
2015-09-15,1083,1121,1083,1101,10100,11121500
2015-09-14,1081,1093,1067,1074,17500,18925200
2015-09-11,1070,1105,1070,1076,34300,36905000
2015-09-10,1053,1091,1051,1070,34700,37032800
2015-09-09,1148,1149,1087,1143,18900,21548100
2015-09-08,1123,1137,1107,1107,9800,10935500
2015-09-07,1110,1140,1095,1123,10000,11138400
2015-09-04,1130,1142,1113,1114,15100,16918300
2015-09-03,1112,1134,1102,1106,17800,19863600
2015-09-02,1118,1139,1107,1114,13500,15061200
2015-09-01,1168,1168,1141,1141,6100,7007800
2015-08-31,1178,1178,1151,1169,8400,9822200
2015-08-28,1128,1140,1120,1136,11500,13053700
2015-08-27,1086,1104,1083,1089,15000,16375900
2015-08-26,1027,1067,1024,1066,26300,27405400
2015-08-25,1049,1085,1016,1023,29800,31010600
2015-08-24,1183,1187,1109,1109,41800,48365700
2015-08-21,1243,1243,1211,1212,26600,32724900
2015-08-20,1263,1266,1255,1255,11000,13857700
2015-08-19,1265,1269,1264,1264,4200,5313100
2015-08-18,1273,1274,1267,1270,10100,12838300
2015-08-17,1273,1273,1267,1269,3500,4443000
2015-08-14,1261,1273,1261,1268,4000,5071100
2015-08-13,1260,1270,1260,1264,7500,9484000
2015-08-12,1264,1266,1260,1261,11500,14506700
2015-08-11,1279,1279,1266,1267,14000,17813200
2015-08-10,1266,1277,1264,1274,6300,7989500
2015-08-07,1264,1285,1258,1266,14400,18218100
2015-08-06,1264,1275,1264,1268,15500,19671600
2015-08-05,1260,1277,1260,1271,5600,7084300
2015-08-04,1276,1276,1264,1272,10700,13572000
2015-08-03,1284,1285,1270,1271,7900,10064900
2015-07-31,1277,1279,1268,1274,11400,14507100
2015-07-30,1281,1317,1275,1283,15400,19850900
2015-07-29,1280,1282,1272,1277,12200,15588300
2015-07-28,1278,1288,1276,1280,15400,19709600
2015-07-27,1285,1285,1280,1282,10100,12954300
2015-07-24,1287,1290,1280,1283,12300,15785500
2015-07-23,1300,1300,1285,1291,12500,16121600
2015-07-22,1305,1307,1297,1300,9200,11980800
2015-07-21,1321,1324,1303,1306,19800,25939200
2015-07-17,1326,1335,1312,1324,8600,11379500
2015-07-16,1329,1329,1321,1326,6700,8875600
2015-07-15,1325,1338,1320,1329,14400,19135700
2015-07-14,1321,1325,1308,1318,13200,17369900
2015-07-13,1300,1331,1287,1295,9700,12573100
2015-07-10,1307,1311,1280,1287,24000,30999200
2015-07-09,1350,1350,1270,1310,53800,70640700
2015-07-08,1367,1368,1351,1351,22100,29998800
2015-07-07,1380,1380,1366,1368,7100,9734700
2015-07-06,1375,1377,1363,1363,13800,18874100
2015-07-03,1380,1390,1380,1388,10100,13983500
2015-07-02,1390,1394,1377,1380,14900,20644300
2015-07-01,1383,1392,1378,1384,10100,13989100
2015-06-30,1368,1383,1363,1382,25600,35157800
2015-06-29,1382,1385,1367,1367,46900,64406500
2015-06-26,1399,1400,1385,1394,38200,53155500
2015-06-25,1404,1409,1397,1398,27900,39069300
