4307-T,東証1部,NRI,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,4550,4600,4485,4585,411600,1881352000
2015-10-01,4635,4645,4490,4585,764200,3488513500
2015-09-30,4635,4650,4555,4575,467100,2145604000
2015-09-29,4545,4600,4435,4470,569800,2565585500
2015-09-28,4600,4715,4555,4665,549400,2559178500
2015-09-25,4945,5080,4930,5070,607600,3048676000
2015-09-24,4870,5020,4860,4875,532600,2619675500
2015-09-18,4810,4875,4755,4825,790600,3808346000
2015-09-17,4890,4900,4785,4880,351100,1700316500
2015-09-16,4925,4930,4800,4820,323500,1567419500
2015-09-15,4840,4925,4800,4875,537000,2621154500
2015-09-14,4700,4835,4655,4790,565600,2705785000
2015-09-11,4600,4670,4555,4610,790700,3648927500
2015-09-10,4655,4660,4540,4610,473300,2181127000
2015-09-09,4640,4730,4605,4725,357500,1674695500
2015-09-08,4745,4765,4460,4485,586100,2670762000
2015-09-07,4705,4805,4660,4785,563600,2677126000
2015-09-04,4790,4835,4695,4750,874800,4166958500
2015-09-03,4700,4790,4695,4720,426400,2020912000
2015-09-02,4585,4800,4580,4665,416900,1957609500
2015-09-01,4880,4900,4690,4690,396300,1887267500
2015-08-31,4920,4935,4835,4925,357600,1754793000
2015-08-28,4900,4945,4830,4930,592000,2900637500
2015-08-27,4825,4840,4680,4715,416600,1979784000
2015-08-26,4435,4730,4435,4690,893000,4103687500
2015-08-25,4315,4595,4260,4435,843900,3758723500
2015-08-24,4530,4755,4530,4540,771700,3562844500
2015-08-21,4970,4970,4880,4880,452600,2222481500
2015-08-20,5080,5170,5050,5070,213600,1089445000
2015-08-19,5120,5180,5110,5110,222900,1144367000
2015-08-18,5160,5190,5140,5150,150900,777872000
2015-08-17,5190,5240,5170,5190,239900,1245837000
2015-08-14,5100,5170,5100,5150,229800,1181477000
2015-08-13,5150,5190,5120,5130,383500,1973586000
2015-08-12,5160,5200,5120,5160,324500,1675219000
2015-08-11,5200,5200,5130,5170,285100,1473736000
2015-08-10,5160,5220,5160,5200,299700,1556223000
2015-08-07,5200,5200,5120,5180,263200,1356576000
2015-08-06,5240,5240,5160,5190,412000,2142428000
2015-08-05,5170,5230,5150,5190,601400,3122906000
2015-08-04,5160,5170,5090,5120,312000,1602548000
2015-08-03,5080,5150,5040,5140,227200,1162212000
2015-07-31,5120,5140,5040,5090,340200,1730410000
2015-07-30,5170,5190,5080,5090,289300,1477101000
2015-07-29,5110,5200,5110,5140,482000,2483406000
2015-07-28,5050,5150,5000,5070,463700,2356364000
2015-07-27,5200,5240,5090,5140,586200,3032258000
2015-07-24,5150,5160,5100,5130,225900,1160637000
2015-07-23,5140,5180,5130,5140,313100,1613896000
2015-07-22,5140,5150,5050,5090,280700,1431179000
2015-07-21,5110,5140,5080,5130,285000,1458831000
2015-07-17,5080,5120,5070,5100,254800,1298678000
2015-07-16,5000,5130,4990,5100,842200,4271029500
2015-07-15,4935,4995,4930,4950,446000,2210132500
2015-07-14,4900,4935,4830,4930,649900,3184810000
2015-07-13,4735,4900,4725,4895,478500,2313229000
2015-07-10,4650,4765,4620,4640,307500,1436507500
2015-07-09,4535,4665,4515,4650,369400,1697706000
2015-07-08,4785,4860,4660,4675,528500,2509527000
2015-07-07,4765,4810,4740,4775,416900,1993013000
2015-07-06,4710,4785,4700,4725,249900,1183887000
2015-07-03,4775,4795,4755,4780,210600,1005827000
2015-07-02,4800,4825,4770,4800,339100,1626910000
2015-07-01,4805,4830,4750,4795,284100,1360780500
2015-06-30,4710,4830,4710,4790,389200,1861516500
2015-06-29,4725,4795,4720,4765,317100,1510641000
2015-06-26,4855,4895,4830,4840,261600,1269288500
2015-06-25,4920,4920,4855,4855,294700,1439023500
2015-06-24,4960,4960,4925,4945,393300,1945245500
2015-06-23,4960,4970,4920,4960,434600,2153325000
2015-06-22,4825,4905,4820,4900,443500,2170125500
2015-06-19,4910,4915,4875,4880,286200,1400073500
2015-06-18,4820,4855,4770,4825,284700,1373316500
2015-06-17,4850,4880,4825,4865,268300,1304147500
2015-06-16,4850,4860,4795,4800,205300,988916500
2015-06-15,4820,4880,4820,4870,177700,863677500
2015-06-12,4815,4905,4810,4880,510900,2478259000
2015-06-11,4735,4800,4715,4795,310000,1478484000
2015-06-10,4735,4745,4680,4695,306300,1441565500
2015-06-09,4825,4825,4715,4720,272100,1294948500
2015-06-08,4865,4870,4815,4830,218100,1053767500
2015-06-05,4870,4870,4820,4860,312300,1514486500
2015-06-04,4940,4940,4880,4920,395300,1942358500
2015-06-03,4950,4980,4900,4940,566500,2795971500
2015-06-02,4900,4965,4880,4915,556700,2744666500
2015-06-01,4780,4885,4780,4880,339000,1643303500
2015-05-29,4805,4855,4765,4775,578200,2770905500
2015-05-28,4840,4900,4825,4860,360500,1753856500
2015-05-27,4900,4900,4790,4840,403500,1949530500
2015-05-26,4900,4900,4875,4900,240800,1179069500
2015-05-25,4910,4945,4895,4945,204000,1003979000
2015-05-22,4900,4925,4850,4885,196800,959728000
2015-05-21,4905,4905,4865,4875,315900,1542254000
2015-05-20,4870,4950,4850,4935,467300,2292600500
2015-05-19,4830,4865,4810,4830,375000,1813503000
2015-05-18,4825,4845,4780,4800,251700,1209932500
2015-05-15,4780,4830,4770,4800,319900,1533035500
2015-05-14,4780,4805,4725,4740,253900,1205873000
2015-05-13,4785,4810,4765,4805,456700,2188803000
2015-05-12,4800,4815,4745,4810,315600,1511989500
2015-05-11,4770,4835,4730,4800,522900,2510345500
2015-05-08,4780,4795,4700,4750,313600,1487563500
2015-05-07,4690,4785,4675,4755,545900,2591560000
2015-05-01,4735,4735,4660,4690,379100,1776613000
2015-04-30,4770,4790,4710,4745,605300,2873890000
2015-04-28,4800,4885,4770,4795,530500,2550116500
2015-04-27,4770,4850,4750,4805,685000,3288830000
2015-04-24,4630,4775,4625,4725,1422100,6728765500
2015-04-23,4540,4570,4495,4560,397400,1804702000
2015-04-22,4635,4635,4550,4555,325900,1492444000
2015-04-21,4545,4670,4490,4625,419700,1934652500
2015-04-20,4415,4535,4415,4530,327700,1475041500
2015-04-17,4460,4495,4380,4455,481200,2143880500
2015-04-16,4545,4560,4465,4505,350700,1578467000
2015-04-15,4540,4575,4490,4545,497600,2260930000
2015-04-14,4600,4625,4585,4600,318000,1463380000
2015-04-13,4630,4630,4570,4585,429800,1974050000
2015-04-10,4600,4610,4550,4595,523900,2406681000
2015-04-09,4620,4645,4600,4625,475000,2195989500
2015-04-08,4645,4650,4605,4615,719700,3333678000
2015-04-07,4650,4715,4595,4615,559000,2589566000
2015-04-06,4535,4620,4520,4595,298400,1367396500
2015-04-03,4450,4580,4450,4570,371800,1692408500
2015-04-02,4355,4505,4355,4460,397300,1767781000
2015-04-01,4515,4560,4345,4350,849600,3752362500
2015-03-31,4600,4645,4510,4520,674400,3082339000
2015-03-30,4420,4550,4415,4510,435400,1958167500
2015-03-27,4445,4530,4425,4490,570200,2556000500
2015-03-26,4600,4600,4490,4495,300800,1357954500
2015-03-25,4565,4605,4545,4600,388100,1781124500
2015-03-24,4515,4560,4495,4540,560100,2534343000
2015-03-23,4590,4615,4550,4570,397900,1821158000
2015-03-20,4565,4615,4540,4595,691400,3172333500
2015-03-19,4675,4690,4500,4590,556900,2549557000
2015-03-18,4550,4630,4535,4605,445000,2043902500
2015-03-17,4450,4525,4430,4505,494000,2217305000
2015-03-16,4400,4430,4385,4400,521600,2297429000
2015-03-13,4400,4450,4375,4390,699900,3078852500
2015-03-12,4355,4440,4335,4410,456400,2008048000
2015-03-11,4290,4350,4275,4300,350800,1513253000
2015-03-10,4330,4390,4305,4320,439700,1906633000
2015-03-09,4275,4300,4240,4265,250900,1072003000
2015-03-06,4270,4300,4230,4275,526600,2251323000
2015-03-05,4130,4265,4110,4255,438300,1849385000
2015-03-04,4185,4185,4110,4135,266200,1101472500
2015-03-03,4200,4210,4175,4195,304000,1276309500
2015-03-02,4180,4210,4165,4195,626300,2623283500
2015-02-27,4160,4200,4140,4185,601500,2512213500
2015-02-26,4125,4145,4075,4145,410100,1690174000
2015-02-25,4150,4170,4100,4115,309500,1275359500
2015-02-24,4125,4150,4095,4145,202600,836588000
2015-02-23,4175,4190,4085,4110,198300,816898500
2015-02-20,4140,4150,4100,4140,172400,712946500
2015-02-19,4080,4135,4080,4120,200900,826437500
2015-02-18,4055,4105,4045,4080,346300,1411568500
2015-02-17,4000,4045,3980,4005,317200,1274690500
2015-02-16,4055,4085,3985,3985,321500,1291167500
2015-02-13,4085,4085,3980,4015,572800,2302708500
2015-02-12,4160,4190,4085,4100,397700,1643237500
2015-02-10,4075,4135,4070,4110,401200,1646782000
2015-02-09,4100,4135,4075,4100,257000,1053285000
2015-02-06,4050,4110,4045,4090,416000,1700146000
2015-02-05,4025,4035,3980,4005,384500,1541197500
2015-02-04,4050,4075,3965,4005,490200,1968418500
2015-02-03,4025,4050,3950,3975,439000,1751081000
2015-02-02,3960,4045,3925,3995,497700,1981907500
2015-01-30,3960,4105,3960,4025,790000,3188446500
2015-01-29,3865,3940,3855,3905,238800,931140000
2015-01-28,3855,3940,3835,3925,322000,1254234500
2015-01-27,3800,3890,3795,3890,437900,1685822000
2015-01-26,3725,3775,3725,3775,217600,818192000
2015-01-23,3825,3825,3760,3780,257500,973000000
2015-01-22,3790,3790,3750,3780,323800,1220128500
2015-01-21,3780,3820,3760,3805,320600,1218431000
2015-01-20,3715,3800,3705,3800,378800,1431025000
2015-01-19,3610,3695,3605,3690,389700,1429983500
2015-01-16,3575,3670,3575,3670,385700,1402279000
