4318-T,東証1部,クイック,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,873,879,852,871,19300,16698200
2015-10-01,862,887,862,882,28300,24812300
2015-09-30,838,875,838,850,12300,10466400
2015-09-29,836,851,814,828,39200,32320800
2015-09-28,834,853,824,848,26600,22375700
2015-09-25,850,859,822,859,38000,31943500
2015-09-24,842,851,834,840,34400,28885200
2015-09-18,859,866,853,864,18700,16076700
2015-09-17,861,870,857,866,14700,12679300
2015-09-16,877,877,856,862,14300,12353400
2015-09-15,892,892,869,871,25600,22449900
2015-09-14,878,890,853,882,32000,28112100
2015-09-11,866,898,866,878,40500,35415600
2015-09-10,852,872,846,866,14600,12577200
2015-09-09,820,862,820,862,21500,18063900
2015-09-08,823,836,805,805,19000,15497600
2015-09-07,840,844,806,831,27600,22891900
2015-09-04,864,864,834,842,40800,34497500
2015-09-03,879,880,859,863,25800,22403700
2015-09-02,861,891,861,863,42500,36980600
2015-09-01,919,920,897,900,53200,48196300
2015-08-31,930,932,917,930,27100,25128900
2015-08-28,930,950,920,930,28400,26328900
2015-08-27,927,935,903,912,38900,35799100
2015-08-26,887,902,876,891,38600,34247600
2015-08-25,880,935,838,882,66900,59456800
2015-08-24,950,973,907,907,73800,69561400
2015-08-21,986,989,970,976,45700,44741800
2015-08-20,1029,1029,1002,1009,27200,27548500
2015-08-19,1048,1048,1028,1034,50000,51732100
2015-08-18,1025,1057,1016,1042,66000,68576900
2015-08-17,992,1024,992,1023,82100,82950600
2015-08-14,980,990,973,986,42800,41977100
2015-08-13,978,991,974,984,37600,36934600
2015-08-12,995,998,985,987,31700,31363400
2015-08-11,1005,1005,992,996,31000,30937900
2015-08-10,966,1002,966,999,53900,53434500
2015-08-07,988,988,971,975,53900,52566600
2015-08-06,996,998,987,987,69100,68536700
2015-08-05,1001,1007,988,997,85100,84887800
2015-08-04,999,1004,976,994,89800,88962200
2015-08-03,1006,1039,990,999,173600,174237500
2015-07-31,1122,1129,1111,1126,54100,60669800
2015-07-30,1126,1126,1108,1117,23300,25992800
2015-07-29,1121,1122,1100,1118,26300,29359500
2015-07-28,1084,1120,1066,1109,30300,33345800
2015-07-27,1101,1122,1101,1101,24800,27418700
2015-07-24,1117,1119,1099,1117,27900,30931300
2015-07-23,1132,1142,1098,1121,49700,55508700
2015-07-22,1146,1148,1124,1131,41600,47129000
2015-07-21,1162,1168,1153,1160,38100,44210400
2015-07-17,1156,1159,1143,1154,45700,52680000
2015-07-16,1134,1165,1116,1156,78200,89311100
2015-07-15,1119,1136,1105,1109,33100,37078100
2015-07-14,1087,1137,1087,1108,63400,70377100
2015-07-13,1047,1077,1046,1070,37300,39607900
2015-07-10,1055,1090,1027,1038,75500,79198200
2015-07-09,1033,1081,951,1068,135200,137562500
2015-07-08,1130,1130,1072,1073,57800,63111900
2015-07-07,1110,1132,1110,1123,32800,36761700
2015-07-06,1097,1120,1071,1101,48800,53660800
2015-07-03,1122,1122,1102,1109,34900,38793400
2015-07-02,1125,1150,1121,1124,55700,63338700
