4337-T,東証1部,ぴあ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2062,2079,2062,2075,3400,7039500
2015-10-01,2077,2090,2058,2062,5100,10554100
2015-09-30,2041,2080,2040,2052,9900,20296100
2015-09-29,2100,2105,2037,2040,13800,28463500
2015-09-28,2100,2129,2100,2105,8300,17503100
2015-09-25,2102,2131,2102,2131,11900,25155800
2015-09-24,2126,2138,2101,2102,13100,27716800
2015-09-18,2153,2153,2140,2148,4700,10094600
2015-09-17,2165,2165,2129,2153,5500,11798700
2015-09-16,2195,2201,2115,2128,14600,31449300
2015-09-15,2200,2211,2190,2195,4500,9895200
2015-09-14,2242,2265,2205,2211,9200,20578300
2015-09-11,2200,2240,2200,2234,16800,37131100
2015-09-10,2259,2259,2215,2232,8400,18792000
2015-09-09,2206,2269,2206,2269,15200,34008800
2015-09-08,2198,2220,2181,2181,9500,20833100
2015-09-07,2201,2220,2183,2198,11900,26161500
2015-09-04,2258,2258,2202,2203,10900,24233700
2015-09-03,2265,2270,2245,2258,8600,19406100
2015-09-02,2251,2280,2232,2253,9400,21211100
2015-09-01,2360,2360,2249,2268,18400,42175100
2015-08-31,2344,2366,2308,2366,7800,18333300
2015-08-28,2360,2368,2324,2344,9800,22914600
2015-08-27,2324,2337,2295,2316,14100,32644000
2015-08-26,2130,2266,2130,2256,16000,35550100
2015-08-25,2032,2270,2026,2129,22400,47301100
2015-08-24,2236,2259,2186,2186,17700,39268100
2015-08-21,2335,2349,2294,2294,13000,30075600
2015-08-20,2364,2397,2356,2356,6900,16348500
2015-08-19,2396,2396,2365,2365,7900,18781800
2015-08-18,2420,2420,2396,2404,3300,7926100
2015-08-17,2405,2425,2405,2420,7800,18857800
2015-08-14,2400,2404,2390,2404,6400,15351000
2015-08-13,2403,2403,2381,2402,5900,14130200
2015-08-12,2406,2416,2400,2403,4200,10100500
2015-08-11,2408,2418,2404,2415,7800,18811500
2015-08-10,2394,2415,2371,2408,7700,18439100
2015-08-07,2400,2410,2386,2394,7700,18467300
2015-08-06,2401,2418,2395,2407,6900,16587800
2015-08-05,2410,2418,2409,2409,5000,12060700
