4345-T,東証1部,シーティーエス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,701,715,701,703,29700,20984100
2015-10-01,723,735,703,713,47700,34366500
2015-09-30,730,737,716,716,56600,41202500
2015-09-29,720,729,702,715,250300,179336800
2015-09-28,732,749,726,731,78300,57748800
2015-09-25,719,731,692,731,67200,47832100
2015-09-24,709,726,704,714,38600,27621500
2015-09-18,713,727,709,727,21900,15697700
2015-09-17,707,713,703,713,11300,7991100
2015-09-16,702,709,702,705,13500,9517300
2015-09-15,708,713,702,707,10900,7714400
2015-09-14,725,725,700,706,29200,20856400
2015-09-11,710,734,700,716,38700,27807900
2015-09-10,690,710,690,710,25000,17438800
2015-09-09,694,714,694,701,26000,18276800
2015-09-08,666,693,666,674,20300,13834700
2015-09-07,675,686,665,673,34700,23309700
2015-09-04,708,709,686,688,37500,25993800
2015-09-03,715,715,706,708,6300,4483200
2015-09-02,695,713,689,701,24500,17170600
2015-09-01,718,718,705,706,33500,23816300
2015-08-31,740,745,714,718,36500,26460700
2015-08-28,734,738,723,736,38300,28057100
2015-08-27,710,730,700,706,37300,26502500
2015-08-26,670,697,668,689,46100,31555600
2015-08-25,655,701,653,660,149100,99835100
2015-08-24,763,773,715,715,98900,73481600
2015-08-21,780,785,768,778,75300,58456600
2015-08-20,805,808,790,793,51400,40992100
2015-08-19,820,827,809,818,64600,52916900
2015-08-18,805,826,801,820,137300,111917700
2015-08-17,805,812,785,796,410000,328045900
2015-08-14,736,748,734,745,18200,13487500
2015-08-13,728,739,726,736,17800,13007700
2015-08-12,723,733,723,732,23600,17175100
2015-08-11,724,729,722,722,23600,17089100
2015-08-10,721,729,721,724,27600,19997400
2015-08-07,711,735,711,716,27400,19653400
2015-08-06,719,722,710,711,62800,44936900
2015-08-05,710,728,710,719,56000,40007700
2015-08-04,741,741,717,723,57700,41895900
2015-08-03,756,758,731,745,85400,64136000
2015-07-31,774,787,773,776,16100,12495500
2015-07-30,770,793,769,770,37900,29245300
2015-07-29,783,786,772,774,18400,14329000
2015-07-28,790,791,780,782,57200,44796900
2015-07-27,802,806,795,795,20900,16728500
2015-07-24,828,828,802,806,14000,11424800
2015-07-23,807,839,794,816,41800,33844100
2015-07-22,810,811,805,805,18200,14706600
2015-07-21,820,825,806,809,30200,24589100
2015-07-17,785,819,784,809,31000,24742600
