4461-T,東証1部,一工薬,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,348,359,346,355,262000,92598000
2015-10-01,349,350,345,350,174000,60519000
2015-09-30,348,351,345,347,188000,65476000
2015-09-29,356,356,339,342,486000,167396000
2015-09-28,360,366,357,361,157000,56491000
2015-09-25,368,370,352,359,426000,153263000
2015-09-24,377,380,365,368,573000,213443000
2015-09-18,377,395,370,380,2345000,896915000
2015-09-17,367,372,365,367,555000,204261000
2015-09-16,367,369,359,364,423000,154318000
2015-09-15,355,362,353,359,443000,158287000
2015-09-14,357,358,343,349,391000,136225000
2015-09-11,355,363,353,358,792000,283630000
2015-09-10,345,351,337,350,721000,249418000
2015-09-09,345,364,339,359,950000,331329000
2015-09-08,327,407,326,335,2422000,855312000
2015-09-07,330,334,326,327,241000,79217000
2015-09-04,345,345,329,333,361000,121036000
2015-09-03,355,355,343,345,285000,99303000
2015-09-02,340,357,339,346,387000,134312000
2015-09-01,368,372,354,356,397000,144255000
2015-08-31,360,373,352,372,568000,208554000
2015-08-28,345,367,345,362,353000,125910000
2015-08-27,346,351,340,345,333000,115156000
2015-08-26,334,343,329,341,372000,125511000
2015-08-25,347,360,329,329,969000,331873000
2015-08-24,333,377,330,359,1301000,457126000
2015-08-21,359,359,345,345,356000,124660000
2015-08-20,358,372,356,363,677000,246588000
2015-08-19,353,354,351,352,68000,23964000
2015-08-18,352,357,352,356,69000,24456000
2015-08-17,357,358,355,356,92000,32798000
2015-08-14,355,356,347,355,302000,106662000
2015-08-13,344,349,344,348,234000,81096000
2015-08-12,350,353,347,350,179000,62581000
2015-08-11,356,356,353,353,128000,45361000
2015-08-10,354,355,352,355,73000,25821000
2015-08-07,357,359,352,354,218000,77468000
2015-08-06,356,360,356,359,141000,50434000
2015-08-05,359,362,357,357,122000,43801000
2015-08-04,364,364,356,359,129000,46346000
2015-08-03,369,370,365,366,92000,33796000
2015-07-31,371,372,366,370,167000,61707000
2015-07-30,364,368,362,363,143000,52117000
2015-07-29,365,368,363,367,87000,31823000
2015-07-28,363,369,363,368,179000,65316000
2015-07-27,369,375,365,366,166000,61313000
2015-07-24,371,376,364,374,475000,175578000
2015-07-23,367,367,363,365,66000,24104000
2015-07-22,360,367,360,367,134000,48836000
2015-07-21,361,364,358,362,108000,38993000
2015-07-17,357,364,357,362,249000,89860000
2015-07-16,359,359,352,356,179000,63641000
2015-07-15,363,363,351,360,274000,98143000
2015-07-14,357,361,356,360,145000,52017000
2015-07-13,354,356,353,355,111000,39351000
2015-07-10,352,355,343,347,258000,89970000
2015-07-09,350,357,341,353,252000,87733000
2015-07-08,365,365,353,353,199000,70814000
2015-07-07,362,368,358,365,186000,67598000
2015-07-06,358,363,354,356,212000,75943000
2015-07-03,369,370,360,360,131000,47927000
2015-07-02,370,371,366,369,142000,52371000
2015-07-01,363,369,359,367,142000,51798000
2015-06-30,360,363,347,360,371000,131780000
2015-06-29,355,364,355,360,173000,61987000
2015-06-26,373,375,367,368,126000,46581000
2015-06-25,377,379,373,374,103000,38627000
2015-06-24,379,379,376,378,113000,42670000
2015-06-23,373,379,373,379,103000,38681000
2015-06-22,371,378,371,375,102000,38199000
2015-06-19,367,377,367,372,111000,41319000
2015-06-18,370,375,367,369,144000,53352000
2015-06-17,376,377,370,370,184000,68580000
2015-06-16,377,380,376,376,84000,31680000
2015-06-15,377,382,376,379,97000,36677000
2015-06-12,380,382,377,379,167000,63395000
2015-06-11,377,381,377,380,70000,26601000
2015-06-10,376,381,375,377,119000,44942000
2015-06-09,381,381,377,377,201000,76230000
2015-06-08,384,385,380,382,93000,35610000
2015-06-05,380,385,379,382,212000,80938000
2015-06-04,386,386,381,383,247000,94662000
2015-06-03,370,384,370,384,444000,168778000
2015-06-02,370,377,370,372,127000,47490000
2015-06-01,369,372,369,371,113000,41910000
2015-05-29,363,371,363,368,182000,66874000
2015-05-28,361,364,361,363,160000,58044000
2015-05-27,360,362,359,360,72000,25929000
2015-05-26,361,364,357,362,159000,57387000
2015-05-25,357,363,357,361,165000,59449000
2015-05-22,358,361,357,361,221000,79367000
2015-05-21,360,360,355,356,250000,89462000
2015-05-20,355,360,355,359,224000,79995000
2015-05-19,354,357,353,355,158000,56036000
2015-05-18,356,356,354,356,150000,53269000
2015-05-15,358,360,355,356,96000,34264000
2015-05-14,361,361,357,358,166000,59570000
2015-05-13,358,360,357,360,113000,40530000
2015-05-12,360,360,355,359,132000,47378000
2015-05-11,359,360,355,358,270000,96607000
2015-05-08,349,355,349,353,238000,83789000
2015-05-07,348,350,342,348,420000,145589000
2015-05-01,361,364,346,348,1147000,403596000
2015-04-30,389,389,359,361,935000,346199000
2015-04-28,389,391,389,390,102000,39757000
2015-04-27,389,392,389,389,121000,47283000
2015-04-24,389,391,389,390,123000,47911000
2015-04-23,388,392,388,389,163000,63570000
2015-04-22,393,393,387,390,165000,64312000
2015-04-21,389,396,389,392,94000,36841000
2015-04-20,387,394,387,391,205000,80045000
2015-04-17,390,393,387,392,310000,121264000
2015-04-16,387,389,385,389,149000,57688000
2015-04-15,385,388,385,387,132000,50972000
2015-04-14,384,386,383,386,162000,62317000
2015-04-13,385,385,382,385,82000,31460000
2015-04-10,394,394,384,386,187000,72530000
2015-04-09,386,391,386,390,302000,117638000
2015-04-08,384,386,383,384,169000,64958000
2015-04-07,380,384,379,383,161000,61582000
2015-04-06,382,382,378,379,143000,54269000
2015-04-03,384,385,381,383,150000,57499000
2015-04-02,381,383,378,382,140000,53365000
2015-04-01,385,386,377,379,469000,178346000
2015-03-31,389,389,385,387,263000,101752000
2015-03-30,395,396,385,386,407000,158412000
2015-03-27,406,406,395,396,402000,160737000
2015-03-26,412,414,410,411,635000,261551000
2015-03-25,413,415,410,415,652000,268933000
2015-03-24,408,414,407,412,460000,189154000
2015-03-23,405,409,405,408,299000,121602000
2015-03-20,404,406,402,405,240000,97143000
2015-03-19,405,405,402,404,144000,58099000
2015-03-18,404,405,401,405,135000,54476000
2015-03-17,406,406,403,404,191000,77268000
2015-03-16,404,404,402,404,227000,91580000
2015-03-13,407,407,403,404,344000,139434000
2015-03-12,400,406,400,404,620000,250072000
2015-03-11,393,399,391,396,381000,150641000
2015-03-10,396,400,391,394,500000,197479000
2015-03-09,395,398,391,396,463000,182965000
2015-03-06,402,404,400,400,343000,137836000
2015-03-05,399,405,399,401,332000,133448000
2015-03-04,403,403,397,399,446000,177748000
2015-03-03,409,412,402,403,575000,234241000
2015-03-02,408,413,406,409,523000,213978000
2015-02-27,413,413,405,408,557000,227790000
2015-02-26,412,415,410,413,342000,140849000
2015-02-25,418,418,412,413,349000,144852000
2015-02-24,412,419,412,415,921000,382381000
2015-02-23,408,410,407,409,484000,197690000
2015-02-20,408,408,405,406,523000,212331000
2015-02-19,407,408,403,407,658000,267098000
2015-02-18,410,411,403,406,1192000,485313000
2015-02-17,396,405,394,404,923000,370262000
2015-02-16,394,398,392,396,796000,314977000
2015-02-13,390,395,388,393,440000,172230000
2015-02-12,394,396,391,393,553000,217422000
2015-02-10,381,395,381,394,1154000,449780000
2015-02-09,381,383,380,382,314000,119775000
2015-02-06,379,379,375,376,206000,77637000
2015-02-05,381,381,375,376,203000,76764000
2015-02-04,381,381,377,381,288000,109244000
2015-02-03,384,387,376,376,465000,177326000
2015-02-02,385,391,381,382,1064000,410713000
2015-01-30,381,385,373,377,379000,143046000
2015-01-29,381,382,376,378,518000,196272000
2015-01-28,375,389,373,387,999000,381031000
2015-01-27,370,376,369,375,848000,316403000
2015-01-26,364,365,361,365,254000,92181000
2015-01-23,365,367,360,367,213000,77651000
2015-01-22,361,364,360,363,169000,61186000
2015-01-21,366,366,360,361,144000,52134000
2015-01-20,360,367,360,365,247000,89835000
2015-01-19,361,363,357,361,296000,106823000
2015-01-16,360,360,351,356,381000,135607000
2015-01-15,365,368,361,363,409000,148706000
2015-01-14,370,370,364,366,304000,111836000
2015-01-13,366,371,363,368,391000,143117000
2015-01-09,379,379,370,373,542000,202882000
2015-01-08,380,381,376,379,502000,189978000
2015-01-07,379,384,377,379,368000,139789000
2015-01-06,385,387,378,379,563000,215181000
2015-01-05,384,395,384,393,751000,293880000
2014-12-30,381,384,380,381,259000,98936000
2014-12-29,386,392,382,386,614000,237903000
2014-12-26,380,388,377,387,356000,136313000
2014-12-25,378,380,374,379,411000,155109000
2014-12-24,385,386,380,381,481000,184273000
2014-12-22,385,385,379,384,338000,129140000
2014-12-19,386,387,380,383,469000,179525000
2014-12-18,377,388,377,379,701000,268302000
2014-12-17,369,383,369,374,399000,149798000
2014-12-16,374,376,368,370,457000,169312000
2014-12-15,387,387,376,377,334000,127211000
2014-12-12,381,390,380,385,781000,300953000
2014-12-11,380,380,373,379,411000,154805000
2014-12-10,379,385,376,381,751000,285439000
2014-12-09,383,387,381,381,767000,293890000
2014-12-08,399,399,390,393,830000,327733000
2014-12-05,399,399,391,396,950000,375552000
2014-12-04,392,399,387,399,2367000,930918000
2014-12-03,382,389,377,386,5010000,1917627000
2014-12-02,378,380,376,376,958000,361432000
2014-12-01,376,381,376,378,664000,251267000
2014-11-28,376,379,375,375,718000,270484000
2014-11-27,377,379,375,375,669000,252303000
2014-11-26,387,391,378,379,2496000,957197000
2014-11-25,371,391,370,386,2763000,1061344000
2014-11-21,374,374,362,364,1183000,434535000
2014-11-20,379,380,377,378,417000,157872000
2014-11-19,387,389,381,381,375000,144142000
2014-11-18,378,390,376,384,649000,247021000
2014-11-17,382,384,379,380,633000,241403000
2014-11-14,389,391,373,383,1844000,709234000
2014-11-13,414,414,410,413,142000,58620000
2014-11-12,421,423,417,418,202000,85062000
2014-11-11,425,429,422,423,184000,78100000
2014-11-10,413,434,410,427,578000,244579000
2014-11-07,417,417,412,413,131000,54267000
2014-11-06,420,421,412,412,202000,84174000
2014-11-05,421,422,414,416,225000,93973000
2014-11-04,420,436,417,421,435000,184614000
2014-10-31,409,415,409,413,410000,168695000
2014-10-30,398,408,398,408,126000,51054000
2014-10-29,400,404,397,403,173000,69502000
2014-10-28,394,399,388,398,188000,74118000
2014-10-27,394,399,394,396,142000,56248000
2014-10-24,401,402,391,392,240000,95185000
2014-10-23,398,401,397,399,101000,40247000
2014-10-22,393,401,392,399,208000,82681000
2014-10-21,401,401,386,390,172000,67662000
2014-10-20,393,400,390,399,157000,62073000
2014-10-17,383,393,380,382,286000,110008000
2014-10-16,389,395,384,384,365000,142069000
2014-10-15,400,406,399,405,146000,58666000
2014-10-14,394,402,392,395,251000,99763000
2014-10-10,401,407,398,405,381000,153412000
2014-10-09,430,433,412,414,372000,156411000
2014-10-08,428,429,424,428,133000,56863000
2014-10-07,435,444,433,434,429000,188066000
2014-10-06,425,435,425,432,212000,91339000
2014-10-03,416,426,416,422,180000,75900000
2014-10-02,418,425,418,420,279000,117479000
2014-10-01,440,440,433,433,332000,144679000
2014-09-30,447,448,437,441,272000,120508000
2014-09-29,451,451,446,448,190000,84966000
2014-09-26,448,453,447,449,281000,126557000
2014-09-25,450,453,447,452,365000,164284000
