4527-T,東証1部,ロート,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1855,1872,1838,1850,415800,769600700
2015-10-01,1873,1873,1820,1864,479800,889323300
2015-09-30,1827,1868,1819,1833,515000,944282800
2015-09-29,1851,1851,1802,1811,618600,1123915900
2015-09-28,1884,1914,1857,1874,633500,1191074900
2015-09-25,1900,1927,1846,1879,1451800,2730976600
2015-09-24,1766,1832,1754,1770,895200,1598376900
2015-09-18,1769,1800,1753,1773,718000,1277192500
2015-09-17,1773,1780,1735,1769,504800,888175300
2015-09-16,1793,1808,1751,1766,615300,1086086200
2015-09-15,1793,1808,1770,1784,412500,737673200
2015-09-14,1831,1838,1793,1793,549700,995835800
2015-09-11,1769,1842,1765,1829,751200,1355194000
2015-09-10,1803,1820,1766,1787,856600,1531723400
2015-09-09,1828,1856,1796,1856,569900,1046181500
2015-09-08,1852,1859,1760,1764,661200,1186221800
2015-09-07,1869,1893,1840,1860,628500,1172500100
2015-09-04,1922,1927,1860,1877,552800,1041133300
2015-09-03,1937,1975,1918,1924,553400,1073936400
2015-09-02,1900,1964,1887,1912,1187400,2285418700
2015-09-01,2081,2081,2001,2003,349600,711878900
2015-08-31,2090,2100,2041,2097,455900,946337800
2015-08-28,2102,2109,2051,2090,456400,947957200
2015-08-27,2050,2091,2047,2061,403900,835322500
2015-08-26,1992,2046,1988,2019,505400,1018468900
2015-08-25,1938,2079,1931,1983,682400,1366726600
2015-08-24,2076,2127,2028,2029,592900,1223005300
2015-08-21,2136,2157,2112,2130,545400,1167761700
2015-08-20,2190,2240,2188,2194,403000,892249500
2015-08-19,2225,2251,2193,2199,491100,1088282100
2015-08-18,2284,2305,2236,2247,438000,991488300
2015-08-17,2245,2284,2242,2265,420800,951812500
2015-08-14,2206,2270,2203,2233,387800,868223600
2015-08-13,2160,2202,2160,2196,521000,1138404200
2015-08-12,2263,2270,2160,2176,799400,1753232000
2015-08-11,2300,2314,2241,2275,543300,1233220300
2015-08-10,2220,2293,2220,2286,1106100,2507950100
2015-08-07,2237,2237,2158,2185,997700,2176518200
2015-08-06,2311,2358,2291,2300,560600,1303014700
2015-08-05,2314,2325,2255,2310,526900,1210962100
2015-08-04,2263,2335,2263,2298,712500,1641480800
2015-08-03,2209,2254,2185,2250,685200,1525933700
2015-07-31,2190,2213,2159,2200,562400,1230874300
2015-07-30,2239,2242,2167,2173,624700,1367670600
2015-07-29,2180,2221,2160,2216,624500,1367824000
2015-07-28,2133,2197,2131,2179,561400,1213506600
2015-07-27,2168,2188,2136,2140,951600,2057972200
2015-07-24,2200,2235,2166,2171,1145200,2522304800
2015-07-23,2180,2212,2172,2200,914300,2002540700
2015-07-22,2177,2191,2151,2180,977700,2123551000
2015-07-21,2132,2208,2132,2183,534200,1166253100
2015-07-17,2142,2158,2109,2116,490900,1046366500
2015-07-16,2098,2160,2098,2142,680600,1456556000
2015-07-15,2059,2115,2057,2095,625700,1311940300
2015-07-14,2048,2064,2032,2043,394700,808573700
2015-07-13,2001,2030,1977,2027,333200,669917600
2015-07-10,1966,2047,1966,1987,663400,1326907300
2015-07-09,1913,1959,1900,1950,681800,1311599600
2015-07-08,2048,2048,1970,1972,1045800,2090287700
2015-07-07,2058,2063,2032,2051,356100,729815800
2015-07-06,2011,2060,2009,2028,437100,889002400
2015-07-03,2068,2070,2036,2041,377700,772503900
2015-07-02,2024,2075,2009,2066,539600,1110811800
2015-07-01,2012,2021,1997,2018,456200,917427000
2015-06-30,2009,2042,2000,2022,625900,1264333300
2015-06-29,1967,2039,1962,2015,859000,1728994000
2015-06-26,2013,2024,1998,2007,397500,798458200
2015-06-25,2009,2028,1998,2014,500200,1006322300
2015-06-24,2013,2083,2013,2029,896400,1829172700
2015-06-23,2014,2032,1989,2006,1061400,2133303100
2015-06-22,1962,2014,1960,2010,719800,1438304300
2015-06-19,1934,1964,1909,1963,1102500,2142977600
2015-06-18,1849,1948,1845,1934,1592500,3023008400
2015-06-17,1840,1872,1840,1857,1313800,2439229900
2015-06-16,1840,1856,1833,1838,844800,1556147200
2015-06-15,1837,1853,1825,1833,1036500,1900148700
2015-06-12,1830,1846,1818,1825,1216900,2226662900
2015-06-11,1828,1843,1810,1826,796400,1452828000
2015-06-10,1808,1816,1777,1801,1485900,2666712600
2015-06-09,1808,1835,1803,1808,1113000,2019784700
2015-06-08,1867,1883,1803,1809,833500,1522908200
2015-06-05,1796,1820,1793,1810,897000,1623694900
2015-06-04,1789,1794,1767,1791,470000,838187600
2015-06-03,1795,1815,1771,1790,745600,1331965800
2015-06-02,1790,1809,1785,1798,827200,1488487900
2015-06-01,1761,1784,1750,1779,697200,1233303700
2015-05-29,1767,1772,1748,1757,887700,1562292900
2015-05-28,1780,1780,1748,1766,529400,931265700
2015-05-27,1780,1795,1769,1778,662500,1179178200
2015-05-26,1780,1791,1768,1774,407700,724879500
2015-05-25,1785,1798,1774,1794,361900,647415300
2015-05-22,1779,1798,1754,1776,625200,1107453100
2015-05-21,1778,1790,1755,1763,588800,1041771300
2015-05-20,1750,1780,1740,1772,815500,1438751700
2015-05-19,1673,1760,1673,1730,1180500,2039310100
2015-05-18,1670,1713,1668,1713,993700,1683602700
2015-05-15,1650,1681,1617,1663,2100500,3471512900
2015-05-14,1784,1795,1764,1779,478500,849687700
2015-05-13,1764,1784,1753,1784,505400,896290700
2015-05-12,1758,1769,1739,1761,386800,677437300
2015-05-11,1743,1776,1743,1770,592800,1045952800
2015-05-08,1726,1739,1714,1725,458300,791216600
2015-05-07,1702,1742,1694,1728,625800,1077641000
2015-05-01,1717,1727,1702,1716,352400,603574000
2015-04-30,1712,1741,1708,1724,466500,804889800
2015-04-28,1739,1743,1718,1726,253700,438209900
2015-04-27,1725,1742,1711,1738,386600,668987800
2015-04-24,1740,1740,1701,1724,528900,907006100
2015-04-23,1747,1747,1723,1729,406600,703805800
2015-04-22,1759,1759,1731,1747,458600,799760700
2015-04-21,1728,1746,1719,1739,677100,1175427500
2015-04-20,1730,1740,1710,1715,326500,561978100
2015-04-17,1726,1741,1714,1723,397600,686914300
2015-04-16,1730,1737,1708,1735,839700,1447786600
2015-04-15,1730,1733,1714,1719,591900,1018398600
2015-04-14,1721,1764,1720,1743,843000,1471840700
2015-04-13,1729,1739,1708,1715,743500,1280399500
2015-04-10,1725,1734,1707,1715,663200,1139995600
2015-04-09,1697,1723,1688,1719,1610900,2750802400
2015-04-08,1708,1708,1673,1681,1341000,2264815500
2015-04-07,1700,1709,1678,1698,1253600,2125098600
2015-04-06,1678,1708,1669,1681,918100,1546740000
2015-04-03,1699,1716,1687,1703,422500,718198000
2015-04-02,1696,1711,1688,1698,946600,1608967600
2015-04-01,1709,1715,1665,1686,919200,1553773600
2015-03-31,1735,1735,1705,1708,453900,779107900
2015-03-30,1716,1725,1694,1715,469800,804675500
2015-03-27,1694,1731,1656,1717,699000,1197625400
2015-03-26,1720,1728,1701,1711,592000,1013903700
2015-03-25,1734,1734,1714,1730,441900,761227000
2015-03-24,1720,1745,1712,1740,473400,821328600
2015-03-23,1720,1733,1710,1721,498500,857150900
2015-03-20,1696,1717,1691,1712,494600,844003500
2015-03-19,1691,1704,1681,1696,539400,914720700
2015-03-18,1677,1696,1665,1691,462000,778581200
2015-03-17,1689,1699,1672,1682,414200,697721900
2015-03-16,1670,1692,1663,1681,469700,789316700
2015-03-13,1710,1710,1675,1677,945100,1600550700
2015-03-12,1694,1724,1692,1703,719500,1228584700
2015-03-11,1681,1698,1674,1686,645000,1088024700
2015-03-10,1660,1685,1659,1670,583600,975466900
2015-03-09,1652,1665,1635,1650,488800,808255400
2015-03-06,1626,1668,1625,1660,946700,1564173700
2015-03-05,1590,1624,1589,1615,1012900,1631966500
2015-03-04,1568,1594,1560,1579,893500,1411377400
2015-03-03,1526,1565,1521,1555,1496000,2321856400
2015-03-02,1504,1522,1502,1519,953000,1443344500
2015-02-27,1500,1517,1483,1487,1228600,1837396300
2015-02-26,1496,1504,1487,1493,901900,1347529700
2015-02-25,1530,1530,1485,1495,1097100,1643114600
2015-02-24,1530,1532,1513,1524,781900,1190469700
2015-02-23,1537,1539,1518,1530,602500,919684000
2015-02-20,1520,1544,1517,1534,663900,1016032000
2015-02-19,1525,1529,1516,1520,450800,685643800
2015-02-18,1535,1544,1512,1515,725400,1105088700
2015-02-17,1528,1535,1510,1519,574800,872618400
2015-02-16,1547,1547,1506,1525,659700,1005533500
2015-02-13,1545,1560,1529,1537,861300,1327185700
2015-02-12,1519,1552,1511,1538,755800,1160852200
2015-02-10,1477,1493,1461,1484,1337300,1975745100
2015-02-09,1480,1506,1450,1492,1678700,2493832400
2015-02-06,1570,1582,1540,1554,796100,1237275700
2015-02-05,1571,1589,1540,1548,540800,841522500
2015-02-04,1603,1607,1572,1581,512500,810997800
2015-02-03,1649,1655,1596,1603,829400,1347064800
2015-02-02,1572,1629,1569,1626,616600,994497100
2015-01-30,1590,1608,1587,1589,375800,600020500
2015-01-29,1566,1597,1565,1585,372300,590742700
2015-01-28,1543,1592,1535,1585,798600,1255979900
2015-01-27,1531,1551,1530,1543,394800,608053900
2015-01-26,1497,1524,1490,1520,239400,362790600
2015-01-23,1504,1516,1482,1512,532600,800614900
2015-01-22,1535,1537,1477,1491,921100,1374174500
2015-01-21,1526,1550,1525,1549,671900,1035169100
2015-01-20,1500,1526,1494,1526,427100,647986400
2015-01-19,1495,1517,1490,1509,368300,553965300
2015-01-16,1458,1489,1445,1489,692300,1016172700
2015-01-15,1480,1498,1473,1486,454900,674377400
2015-01-14,1471,1488,1456,1480,285900,422138400
2015-01-13,1461,1485,1461,1484,193500,285878300
2015-01-09,1489,1502,1462,1475,346500,511690100
2015-01-08,1461,1484,1460,1480,376500,554899400
2015-01-07,1432,1456,1432,1447,624600,902668300
2015-01-06,1481,1484,1430,1432,1048600,1522979800
2015-01-05,1508,1522,1495,1498,501000,753479000
2014-12-30,1518,1527,1504,1505,309900,469476100
2014-12-29,1538,1539,1501,1517,277000,420608800
2014-12-26,1531,1545,1523,1537,189900,291870700
2014-12-25,1530,1530,1513,1518,269000,409139800
2014-12-24,1550,1550,1525,1541,285700,438880000
2014-12-22,1552,1552,1528,1534,235400,361851500
2014-12-19,1560,1574,1547,1553,505200,786818300
2014-12-18,1513,1542,1513,1529,527300,807621500
2014-12-17,1475,1498,1470,1491,609000,906006000
2014-12-16,1489,1502,1480,1481,619700,921211500
2014-12-15,1490,1512,1484,1500,287200,431168800
2014-12-12,1480,1510,1480,1490,803300,1198444200
2014-12-11,1485,1503,1480,1489,737100,1096330800
2014-12-10,1500,1506,1494,1496,447400,670898300
2014-12-09,1501,1517,1500,1514,395000,596841900
2014-12-08,1541,1541,1509,1509,664600,1006583300
2014-12-05,1533,1549,1522,1542,394500,607460900
2014-12-04,1570,1570,1500,1534,637000,982926000
2014-12-03,1585,1585,1565,1570,322300,506833200
2014-12-02,1570,1583,1562,1579,519900,818668000
2014-12-01,1548,1586,1540,1576,639700,1007213600
2014-11-28,1525,1547,1521,1545,370400,570021800
2014-11-27,1535,1545,1516,1534,357600,548177800
2014-11-26,1539,1552,1536,1540,374400,576831700
2014-11-25,1549,1556,1536,1536,440800,681193800
2014-11-21,1560,1573,1528,1545,527500,814119200
2014-11-20,1522,1556,1510,1551,714500,1100270100
2014-11-19,1510,1528,1510,1517,406400,617501000
2014-11-18,1488,1512,1487,1507,845500,1269150800
2014-11-17,1550,1555,1470,1476,1468300,2190678800
2014-11-14,1561,1571,1542,1558,821900,1279478400
2014-11-13,1561,1587,1554,1560,774700,1214622800
2014-11-12,1573,1577,1533,1552,1126200,1745575600
2014-11-11,1553,1584,1548,1581,483400,759474600
2014-11-10,1565,1567,1548,1553,262100,407160300
2014-11-07,1555,1573,1550,1568,244000,381748300
2014-11-06,1573,1580,1542,1553,414700,647539900
2014-11-05,1577,1593,1567,1573,828400,1306159400
2014-11-04,1619,1624,1582,1593,738900,1180498300
2014-10-31,1548,1598,1541,1587,708800,1114091600
2014-10-30,1549,1549,1532,1540,660200,1017518900
2014-10-29,1538,1550,1521,1550,497500,766348000
2014-10-28,1550,1557,1531,1533,365100,563472400
2014-10-27,1547,1553,1538,1548,300000,464071500
2014-10-24,1522,1545,1513,1542,344200,528473800
2014-10-23,1521,1524,1496,1511,604800,913384200
2014-10-22,1487,1525,1477,1520,692200,1046672400
2014-10-21,1490,1507,1460,1462,509900,751291300
2014-10-20,1475,1494,1464,1483,834700,1235106500
2014-10-17,1487,1492,1445,1445,728500,1066462100
2014-10-16,1488,1510,1472,1488,746800,1116806200
2014-10-15,1512,1515,1479,1494,676700,1012160500
2014-10-14,1530,1532,1503,1509,969300,1468834200
2014-10-10,1489,1547,1489,1547,2158200,3297587200
2014-10-09,1488,1489,1474,1484,671600,996888700
2014-10-08,1461,1488,1442,1475,1340400,1969303800
2014-10-07,1485,1490,1475,1484,825800,1225657700
2014-10-06,1493,1494,1472,1480,794600,1177162000
2014-10-03,1458,1486,1448,1484,1197900,1766470900
2014-10-02,1470,1475,1448,1456,1216900,1777370900
2014-10-01,1474,1492,1461,1476,1109800,1642760600
2014-09-30,1466,1476,1453,1471,846200,1239884600
2014-09-29,1468,1472,1444,1466,632800,925928600
2014-09-26,1434,1490,1431,1474,1262600,1847601000
2014-09-25,1440,1442,1420,1441,900000,1290628100
