4530-T,東証1部,久光薬,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,3995,4000,3890,3945,224600,883907000
2015-10-01,4030,4080,3975,4040,249700,1006646000
2015-09-30,3880,4055,3880,3990,418400,1660376500
2015-09-29,3980,3980,3815,3825,258200,995509500
2015-09-28,4115,4140,4025,4065,224600,914136000
2015-09-25,3950,4055,3940,4005,228800,911189000
2015-09-24,4020,4150,3970,3975,278900,1125332500
2015-09-18,4050,4095,4020,4020,333500,1347006000
2015-09-17,4130,4135,4040,4085,185500,756093500
2015-09-16,4235,4245,4085,4120,143200,590663000
2015-09-15,4215,4250,4165,4210,125000,526539500
2015-09-14,4215,4260,4145,4160,169100,708755000
2015-09-11,4125,4225,4110,4200,304500,1268500000
2015-09-10,4195,4230,4145,4195,193000,807914500
2015-09-09,4225,4300,4190,4300,398700,1694553000
2015-09-08,4200,4205,4105,4120,353000,1465304000
2015-09-07,4145,4200,4095,4190,306400,1274824000
2015-09-04,4235,4265,4185,4215,515600,2176825000
2015-09-03,4140,4300,4140,4225,560100,2385965000
2015-09-02,3960,4195,3905,4120,600300,2464346000
2015-09-01,4150,4150,4030,4030,577400,2357679500
2015-08-31,4160,4245,4105,4205,439800,1841620500
2015-08-28,4120,4175,4095,4150,196000,811475000
2015-08-27,4100,4160,4010,4035,221300,900397000
2015-08-26,4085,4165,4050,4090,404400,1656007500
2015-08-25,3930,4155,3930,4005,440700,1789104500
2015-08-24,4235,4260,4095,4095,400400,1668616500
2015-08-21,4445,4470,4350,4350,183800,804777000
2015-08-20,4635,4705,4520,4525,214500,982561500
2015-08-19,4770,4775,4620,4625,190200,888273500
2015-08-18,4760,4825,4745,4790,134800,645625500
2015-08-17,4700,4760,4685,4740,137200,648015000
2015-08-14,4665,4725,4635,4685,115700,542152500
2015-08-13,4605,4660,4580,4655,172500,799584500
2015-08-12,4665,4690,4580,4640,153100,708427500
2015-08-11,4715,4715,4605,4655,175300,814263500
2015-08-10,4630,4695,4615,4670,153900,717128500
2015-08-07,4655,4670,4590,4610,170100,784317000
2015-08-06,4715,4785,4680,4705,237000,1121316500
2015-08-05,4645,4700,4605,4675,169700,791534000
2015-08-04,4555,4675,4555,4660,160500,743989500
2015-08-03,4525,4560,4490,4545,125000,566780500
2015-07-31,4475,4550,4460,4510,262100,1184021000
2015-07-30,4570,4575,4460,4475,200700,902762500
2015-07-29,4550,4580,4520,4560,159100,724319500
2015-07-28,4510,4595,4490,4560,218000,991972500
2015-07-27,4585,4590,4510,4530,217600,988502500
2015-07-24,4565,4620,4550,4585,186700,853858500
2015-07-23,4545,4600,4515,4565,204900,935796000
2015-07-22,4580,4610,4515,4525,253500,1149522500
2015-07-21,4660,4675,4610,4635,174000,807788500
2015-07-17,4600,4655,4600,4640,297500,1378997500
2015-07-16,4570,4595,4535,4570,252300,1152569000
2015-07-15,4470,4540,4450,4515,264800,1192855000
2015-07-14,4550,4570,4460,4490,463100,2091038500
2015-07-13,4555,4600,4485,4500,471400,2132638500
2015-07-10,4810,4880,4735,4750,214800,1030310500
2015-07-09,4700,4790,4665,4750,318200,1502332000
2015-07-08,4915,5020,4830,4830,193600,944369500
2015-07-07,4865,5040,4845,4975,231600,1151433000
2015-07-06,4740,4835,4740,4780,110100,527763500
2015-07-03,4845,4845,4770,4830,151500,729981500
2015-07-02,4855,4855,4795,4820,128000,616869000
2015-07-01,4765,4790,4695,4775,163400,776451000
2015-06-30,4750,4860,4720,4755,280800,1342183000
2015-06-29,4750,4810,4700,4705,426700,2022646000
2015-06-26,4955,4985,4895,4915,174100,858889500
2015-06-25,4990,5050,4945,4955,210700,1050387500
2015-06-24,5100,5120,5030,5060,223100,1132145000
2015-06-23,5000,5100,4955,5070,185300,936044500
2015-06-22,4915,4985,4870,4960,221500,1093520000
2015-06-19,4900,5000,4875,4985,423600,2094171000
2015-06-18,4785,4890,4785,4865,172500,838092000
2015-06-17,4830,4930,4740,4805,218500,1047785000
2015-06-16,4830,4865,4800,4825,183400,885009000
2015-06-15,4790,4890,4785,4865,146000,708186000
2015-06-12,4780,4830,4780,4810,330900,1587425000
2015-06-11,4800,4845,4670,4765,374700,1781431000
2015-06-10,4960,5040,4550,4730,1012900,4826471000
2015-06-09,4950,5020,4940,4960,277400,1380528500
2015-06-08,4970,5030,4940,4940,213100,1060677500
