4543-T,東証1部,テルモ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,3350,3375,3310,3365,1060400,3556390500
2015-10-01,3415,3435,3365,3400,1648300,5614246000
2015-09-30,3365,3385,3270,3370,1577800,5280316500
2015-09-29,3340,3370,3215,3240,2182900,7136690500
2015-09-28,3495,3520,3375,3395,1746000,5974482500
2015-09-25,3315,3465,3305,3465,3616900,12299208000
2015-09-24,3140,3225,3140,3175,1112900,3544066000
2015-09-18,3285,3290,3185,3210,1414100,4559357500
2015-09-17,3280,3300,3250,3270,970500,3175836500
2015-09-16,3300,3310,3245,3280,893000,2928719000
2015-09-15,3260,3295,3235,3250,943300,3077124000
2015-09-14,3290,3300,3210,3215,1097000,3550603000
2015-09-11,3240,3295,3230,3250,3944800,12795224500
2015-09-10,3200,3275,3190,3255,1348900,4363639500
2015-09-09,3150,3340,3135,3340,2465200,8057079500
2015-09-08,3135,3135,2983,2994,1648700,4981837800
2015-09-07,3120,3175,3080,3140,1354300,4236374000
2015-09-04,3215,3220,3105,3135,1416400,4464460500
2015-09-03,3250,3290,3180,3190,1299200,4186456500
2015-09-02,3115,3225,3110,3140,1470300,4665100500
2015-09-01,3300,3300,3165,3165,1456000,4674575000
2015-08-31,3305,3335,3270,3315,1497000,4949252000
2015-08-28,3350,3360,3315,3340,1702500,5688138500
2015-08-27,3240,3300,3225,3255,1398600,4556080000
2015-08-26,3100,3185,3075,3160,2360400,7389149500
2015-08-25,3170,3310,3125,3135,2715400,8677333500
2015-08-24,3315,3375,3225,3240,2504300,8218042000
2015-08-21,3475,3475,3385,3385,1791800,6129900000
2015-08-20,3480,3560,3475,3500,1574700,5544680500
2015-08-19,3535,3580,3470,3480,1521800,5329041500
2015-08-18,3615,3620,3555,3560,776600,2778768500
2015-08-17,3585,3630,3575,3605,908800,3271252500
2015-08-14,3560,3630,3550,3590,1937300,6945905500
2015-08-13,3500,3580,3475,3565,1624500,5743651500
2015-08-12,3530,3565,3455,3500,2476600,8670640000
2015-08-11,3600,3630,3500,3560,1607100,5722918500
2015-08-10,3540,3615,3520,3590,1530800,5484589000
2015-08-07,3600,3620,3560,3595,1319700,4734964000
2015-08-06,3525,3635,3510,3610,3012300,10772216000
2015-08-05,3360,3575,3360,3535,5188500,18077786500
2015-08-04,3115,3175,3115,3130,1093600,3433797000
2015-08-03,3180,3195,3145,3185,788900,2499731000
2015-07-31,3220,3250,3195,3200,965900,3102935000
2015-07-30,3200,3265,3195,3250,1572300,5093510500
2015-07-29,3180,3195,3145,3190,839700,2666852000
2015-07-28,3115,3165,3090,3150,1220700,3820576500
2015-07-27,3140,3160,3100,3115,1011000,3159137000
2015-07-24,3180,3195,3160,3185,741300,2359150000
2015-07-23,3150,3190,3135,3180,874700,2772494000
2015-07-22,3115,3135,3090,3110,626500,1952838500
2015-07-21,3115,3150,3100,3145,717800,2244138000
2015-07-17,3075,3115,3070,3110,609800,1892950500
2015-07-16,3100,3120,3080,3085,984500,3045603000
2015-07-15,3060,3095,3055,3090,773000,2382852000
2015-07-14,3080,3100,3060,3070,956300,2946547000
2015-07-13,3045,3065,3030,3055,992700,3029024500
2015-07-10,3025,3065,2985,3025,2923400,8856893500
2015-07-09,2915,3030,2900,3020,2385300,7059734900
2015-07-08,3065,3065,2990,2990,2148200,6475425500
2015-07-07,3055,3090,3050,3070,1154100,3543101000
2015-07-06,3030,3065,3010,3030,2133800,6475919000
2015-07-03,3070,3100,3055,3100,1859800,5741020500
2015-07-02,3030,3070,3000,3045,1637200,4981465500
2015-07-01,2950,2993,2934,2985,1091500,3237498800
2015-06-30,2890,2941,2884,2937,1586100,4634302000
2015-06-29,2920,2950,2893,2895,2157500,6290436600
2015-06-26,2970,3010,2951,2992,1022400,3051309100
2015-06-25,2975,2990,2957,2962,904700,2685580700
2015-06-24,2980,3025,2972,3000,1970200,5911781600
2015-06-23,2900,2968,2893,2966,2065600,6076964300
2015-06-22,2851,2900,2846,2895,1140000,3293007200
2015-06-19,2896,2920,2853,2865,2359300,6782707600
2015-06-18,2866,2891,2838,2840,1440900,4115909200
2015-06-17,2845,2893,2844,2880,2467200,7083508200
2015-06-16,2836,2846,2802,2806,1168400,3289833100
2015-06-15,2800,2855,2791,2850,1658700,4703183800
2015-06-12,2819,2825,2789,2819,3261600,9189887000
2015-06-11,2749,2788,2741,2788,1327800,3683891000
2015-06-10,2745,2765,2728,2729,1607600,4410706400
2015-06-09,2768,2781,2748,2750,1321400,3651107600
2015-06-08,2792,2804,2773,2778,1044100,2906215800
2015-06-05,2758,2793,2750,2792,1074000,2983407200
2015-06-04,2763,2772,2741,2758,1771400,4892636000
2015-06-03,2754,2767,2733,2758,2734400,7522199800
2015-06-02,2774,2795,2750,2753,3508000,9703419500
2015-06-01,2820,2826,2786,2816,1734800,4870465100
2015-05-29,2840,2853,2826,2826,2716100,7705679000
2015-05-28,2876,2877,2834,2842,1960000,5575962400
2015-05-27,2871,2874,2852,2870,1753700,5025060000
2015-05-26,2870,2884,2851,2876,2019200,5797888500
