4549-T,東証1部,栄研化,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2003,2019,1967,2000,125600,249726500
2015-10-01,2040,2079,2008,2034,63500,129240800
2015-09-30,1980,2040,1976,2037,68200,137993100
2015-09-29,1920,1952,1902,1930,92300,178619400
2015-09-28,2015,2015,1930,1952,79400,156426700
2015-09-25,1998,2034,1985,2012,56600,113465500
2015-09-24,2000,2054,1983,1994,70500,142187300
2015-09-18,2068,2070,2032,2037,52000,106582800
2015-09-17,2069,2093,2054,2069,40300,83301700
2015-09-16,2098,2098,2050,2068,47700,98861000
2015-09-15,2060,2107,2060,2077,82300,171943700
2015-09-14,2081,2120,2050,2050,68900,143209400
2015-09-11,2076,2138,2065,2109,108900,228318600
2015-09-10,2142,2160,2111,2121,120900,257513200
2015-09-09,2190,2222,2152,2197,66100,144658900
2015-09-08,2125,2195,2090,2140,104900,225717900
2015-09-07,2069,2123,2045,2117,53500,112071100
2015-09-04,2143,2155,2065,2081,33800,70754200
2015-09-03,2180,2232,2129,2134,73600,158984300
2015-09-02,2120,2229,2120,2164,81500,176871600
2015-09-01,2279,2279,2162,2163,56400,124414700
2015-08-31,2266,2280,2218,2279,62200,140302300
2015-08-28,2233,2233,2174,2230,60000,132831400
2015-08-27,2160,2194,2138,2149,41200,89091800
2015-08-26,2100,2176,2077,2087,91400,191980600
2015-08-25,2000,2200,2000,2076,154800,327938200
2015-08-24,2231,2281,2105,2147,87600,193202600
2015-08-21,2358,2376,2325,2334,71200,167620300
2015-08-20,2400,2432,2379,2384,59000,141968200
2015-08-19,2457,2462,2399,2400,83200,201802300
2015-08-18,2527,2529,2451,2460,77000,190479700
2015-08-17,2500,2529,2481,2519,39200,98338900
2015-08-14,2518,2551,2516,2535,42200,106973700
2015-08-13,2503,2539,2476,2518,41200,103155000
2015-08-12,2490,2540,2483,2521,65900,165912300
2015-08-11,2532,2564,2436,2491,129700,321453100
2015-08-10,2561,2564,2513,2528,78900,199713400
2015-08-07,2543,2567,2530,2551,63900,162853500
2015-08-06,2533,2613,2533,2579,98500,255193400
2015-08-05,2493,2543,2493,2527,91300,230360400
2015-08-04,2483,2501,2460,2493,67900,169020400
2015-08-03,2479,2500,2450,2476,46200,114370400
2015-07-31,2420,2478,2417,2447,88200,216335100
2015-07-30,2401,2433,2399,2406,58600,141090800
2015-07-29,2438,2443,2401,2423,57000,137741600
2015-07-28,2339,2445,2335,2413,92700,223181900
2015-07-27,2490,2490,2350,2352,142800,340767700
2015-07-24,2410,2482,2410,2461,61800,151687100
2015-07-23,2440,2480,2428,2442,60400,148103700
2015-07-22,2430,2450,2421,2423,50200,122230200
2015-07-21,2433,2466,2430,2451,35500,87158000
2015-07-17,2459,2470,2412,2427,45700,111300100
2015-07-16,2465,2483,2451,2458,39100,96392100
2015-07-15,2485,2485,2436,2456,73200,179632200
2015-07-14,2482,2498,2456,2466,48300,119426200
2015-07-13,2376,2449,2374,2433,44000,106723100
2015-07-10,2389,2425,2341,2355,70100,166893700
2015-07-09,2336,2371,2270,2367,77900,180783300
2015-07-08,2396,2410,2356,2376,117100,279169900
2015-07-07,2385,2433,2380,2396,78500,188882300
2015-07-06,2366,2403,2338,2350,134700,319191100
2015-07-03,2475,2475,2372,2379,235200,563233100
2015-07-02,2450,2497,2450,2475,60900,150860600
2015-07-01,2450,2462,2421,2446,151600,371281400
2015-06-30,2428,2480,2428,2449,84100,206512600
2015-06-29,2420,2494,2410,2443,115600,284273900
2015-06-26,2524,2544,2505,2524,79700,201561000
2015-06-25,2542,2577,2541,2558,64900,166200200
2015-06-24,2563,2596,2562,2576,71300,183749600
2015-06-23,2600,2605,2552,2603,63100,163015500
2015-06-22,2565,2587,2553,2581,34400,88518400
2015-06-19,2545,2584,2538,2564,69300,177838800
2015-06-18,2570,2580,2540,2548,32000,81912500
2015-06-17,2598,2599,2540,2564,56200,144319800
2015-06-16,2624,2624,2562,2572,61200,157812200
2015-06-15,2669,2669,2608,2629,113700,299939200
2015-06-12,2544,2599,2544,2571,108100,277061600
2015-06-11,2582,2605,2578,2594,33100,85787500
2015-06-10,2543,2596,2539,2569,45200,116218600
2015-06-09,2600,2610,2552,2554,42000,108075100
2015-06-08,2601,2621,2580,2610,48600,126736900
2015-06-05,2590,2635,2590,2622,52300,137007800
2015-06-04,2693,2693,2592,2608,153600,403138200
2015-06-03,2624,2713,2624,2703,126700,339807200
2015-06-02,2670,2722,2661,2674,117100,315099300
2015-06-01,2630,2680,2621,2661,99900,264625000
2015-05-29,2611,2667,2611,2632,122100,322958600
2015-05-28,2597,2636,2585,2611,115500,301992500
2015-05-27,2550,2565,2535,2544,47400,120799100
2015-05-26,2600,2610,2556,2566,78900,203272600
2015-05-25,2600,2635,2570,2586,89400,231559700
2015-05-22,2561,2636,2557,2586,116700,302849300
2015-05-21,2699,2735,2570,2582,271100,709672800
2015-05-20,2537,2699,2536,2670,348000,916847700
2015-05-19,2388,2447,2369,2437,94900,230662200
2015-05-18,2336,2409,2334,2357,85300,201123400
2015-05-15,2400,2412,2337,2360,87000,206546100
2015-05-14,2393,2415,2353,2392,94800,226581300
2015-05-13,2333,2430,2333,2396,140000,335663100
2015-05-12,2321,2365,2305,2363,79100,184602400
2015-05-11,2313,2371,2310,2357,122400,286335900
2015-05-08,2248,2308,2244,2296,86500,197610200
2015-05-07,2260,2320,2240,2268,175800,400266700
2015-05-01,2327,2327,2243,2281,162500,370287300
2015-04-30,2411,2411,2313,2374,188300,442046200
2015-04-28,2355,2419,2316,2411,228600,544171100
2015-04-27,2350,2363,2340,2354,45300,106617500
2015-04-24,2344,2359,2328,2350,90700,212363400
2015-04-23,2355,2363,2336,2344,59400,139484700
2015-04-22,2355,2379,2330,2357,60100,141554700
2015-04-21,2332,2354,2327,2352,45400,106318900
2015-04-20,2307,2380,2307,2328,67100,157273700
2015-04-17,2350,2363,2302,2347,111600,261708800
2015-04-16,2380,2390,2306,2382,156300,369171300
2015-04-15,2404,2433,2377,2396,167900,403504600
2015-04-14,2345,2404,2330,2394,165600,392210600
2015-04-13,2350,2351,2320,2343,124500,291455000
2015-04-10,2310,2369,2310,2350,234000,548793800
2015-04-09,2231,2305,2210,2293,298000,677900400
2015-04-08,2200,2234,2155,2206,487700,1069466800
2015-04-07,2029,2123,2019,2123,341100,712494600
2015-04-06,2003,2040,2001,2036,126400,256116800
2015-04-03,1995,2011,1981,2005,210000,419959800
2015-04-02,1989,1998,1969,1987,118600,235293000
2015-04-01,1983,2000,1962,1978,205900,408474300
2015-03-31,1965,2000,1938,1970,155900,306959600
2015-03-30,1904,1942,1888,1937,117800,226351900
2015-03-27,1918,1937,1881,1886,141400,269735700
2015-03-26,1960,1962,1918,1957,125400,243733900
2015-03-25,1948,1964,1932,1960,120100,234616700
2015-03-24,1910,1949,1910,1941,92000,178274700
2015-03-23,1925,1936,1902,1923,70800,136066500
2015-03-20,1905,1934,1884,1917,107500,205315700
2015-03-19,1932,1940,1912,1923,87800,169175700
2015-03-18,1941,1955,1926,1952,74400,144681900
2015-03-17,1934,1972,1927,1933,113100,219935500
2015-03-16,1926,1949,1910,1934,73300,141958200
2015-03-13,1930,1937,1903,1927,180000,346956400
2015-03-12,1899,1922,1893,1914,86200,164598000
2015-03-11,1866,1924,1866,1901,87800,166819200
2015-03-10,1910,1928,1881,1900,125600,239248900
2015-03-09,1870,1929,1859,1910,134200,255869200
2015-03-06,1892,1899,1882,1891,84700,160287300
2015-03-05,1866,1895,1866,1879,112900,212397900
2015-03-04,1887,1906,1835,1887,153500,288147700
2015-03-03,1867,1908,1853,1885,168600,317725000
2015-03-02,1829,1868,1829,1849,71900,132910400
2015-02-27,1820,1845,1819,1829,80200,146700700
2015-02-26,1832,1850,1827,1833,116600,214361400
2015-02-25,1811,1847,1795,1823,107700,196087600
2015-02-24,1800,1810,1780,1791,125900,225570000
2015-02-23,1820,1821,1790,1800,85100,153355400
2015-02-20,1777,1829,1777,1819,139300,252948100
2015-02-19,1755,1784,1755,1771,92600,164224800
2015-02-18,1764,1764,1745,1756,99000,173995900
2015-02-17,1744,1758,1734,1748,51900,90694800
2015-02-16,1740,1756,1737,1744,47800,83512500
2015-02-13,1746,1748,1735,1738,120000,209000800
2015-02-12,1744,1765,1734,1746,79900,139854100
2015-02-10,1740,1753,1710,1739,96300,166373000
2015-02-09,1746,1749,1732,1747,59400,103416900
2015-02-06,1727,1759,1727,1735,62700,109435400
2015-02-05,1751,1762,1722,1734,147800,257454300
2015-02-04,1769,1783,1750,1752,156900,276430800
2015-02-03,1825,1825,1762,1767,211600,377689700
2015-02-02,1811,1833,1806,1827,60600,110416400
2015-01-30,1839,1843,1811,1833,136000,248518100
2015-01-29,1842,1845,1817,1822,125000,229105800
2015-01-28,1874,1899,1828,1854,256900,477996700
2015-01-27,1925,1946,1916,1930,131000,252543700
2015-01-26,1900,1923,1883,1913,81700,155310600
2015-01-23,1934,1934,1909,1913,71100,136353800
2015-01-22,1915,1931,1908,1930,76000,145930400
2015-01-21,1932,1932,1902,1915,114500,219207900
2015-01-20,1911,1958,1907,1951,133900,260196400
2015-01-19,1929,1929,1901,1915,48800,93464200
2015-01-16,1919,1927,1874,1924,70500,134463900
2015-01-15,1890,1971,1889,1943,144200,280464700
2015-01-14,1898,1912,1885,1893,91500,173745600
2015-01-13,1852,1894,1852,1890,68300,128158000
2015-01-09,1882,1898,1865,1874,58000,108845700
2015-01-08,1847,1882,1847,1874,50600,94341600
2015-01-07,1873,1884,1846,1847,76500,142175900
2015-01-06,1924,1950,1881,1886,125300,239704500
2015-01-05,1936,1976,1936,1956,128600,251764700
2014-12-30,1960,1960,1926,1951,97300,189152300
2014-12-29,1960,1960,1923,1959,224600,437039500
2014-12-26,1900,1952,1861,1948,393700,754073200
2014-12-25,1805,1919,1786,1906,529300,996972200
2014-12-24,1816,1824,1806,1818,57500,104474500
2014-12-22,1801,1826,1801,1816,39300,71320500
2014-12-19,1830,1844,1813,1822,57000,103965300
2014-12-18,1800,1828,1795,1813,103100,186703100
2014-12-17,1780,1797,1774,1781,62700,111914500
2014-12-16,1815,1815,1782,1795,104700,188181600
2014-12-15,1802,1838,1801,1819,58600,106666800
2014-12-12,1827,1848,1815,1815,81700,149187800
2014-12-11,1820,1852,1801,1847,166700,304007500
2014-12-10,1851,1851,1820,1825,88400,162089500
2014-12-09,1841,1866,1840,1850,80100,148269300
2014-12-08,1858,1870,1847,1850,90500,167921600
2014-12-05,1849,1882,1835,1872,225500,418731000
2014-12-04,1879,1879,1851,1857,118100,219979500
2014-12-03,1873,1882,1859,1863,115000,214979700
2014-12-02,1860,1882,1852,1877,116000,217057100
2014-12-01,1870,1888,1860,1868,122300,229248000
2014-11-28,1850,1876,1831,1854,143800,266785500
2014-11-27,1870,1872,1825,1828,151900,281102200
2014-11-26,1850,1900,1839,1858,272800,509829100
2014-11-25,1851,1861,1835,1848,96600,178668500
2014-11-21,1816,1857,1815,1849,160900,296607000
2014-11-20,1852,1859,1817,1825,333600,610137900
2014-11-19,1896,1898,1840,1847,404800,753535800
2014-11-18,1929,1950,1911,1917,191400,368037400
2014-11-17,1972,1972,1901,1907,163700,314183700
2014-11-14,1985,1985,1945,1975,141000,278024100
2014-11-13,1946,1970,1930,1959,175400,342771600
2014-11-12,1910,1954,1908,1926,165500,319831100
2014-11-11,1917,1917,1901,1913,64700,123539100
2014-11-10,1920,1922,1894,1912,64000,122027600
2014-11-07,1899,1928,1894,1921,107300,205336100
2014-11-06,1919,1940,1881,1899,181100,346208100
2014-11-05,1875,1924,1874,1915,245100,466249800
2014-11-04,1928,1940,1869,1889,331200,626619700
2014-10-31,1930,1948,1900,1928,255500,492064400
2014-10-30,1888,1913,1869,1910,193000,366256100
2014-10-29,1889,1912,1850,1888,226200,425767000
2014-10-28,1932,1977,1861,1879,364100,694409500
2014-10-27,1892,1970,1846,1917,527800,1009212700
2014-10-24,1851,2028,1815,1904,1041900,2005880000
2014-10-23,1824,1877,1814,1830,188400,346938600
2014-10-22,1838,1865,1816,1848,251800,462508300
2014-10-21,1894,1926,1840,1849,329600,617469000
2014-10-20,1949,1979,1860,1894,470000,896846200
2014-10-17,1950,2020,1880,1919,1277400,2473729300
2014-10-16,1909,2197,1909,2081,2886800,5984386000
2014-10-15,2032,2050,1855,1869,793800,1518344000
2014-10-14,1815,2100,1783,1992,1075300,2100786800
2014-10-10,1817,1830,1799,1815,70000,126846700
2014-10-09,1900,1920,1857,1862,87900,164622800
2014-10-08,1883,1935,1882,1899,125200,239282100
2014-10-07,1869,1985,1860,1903,226300,434938800
2014-10-06,1899,1933,1838,1871,188600,355110900
2014-10-03,1820,1879,1820,1875,130300,241319300
2014-10-02,1860,1889,1798,1820,130700,240112800
2014-10-01,1881,1895,1865,1865,46000,86537300
2014-09-30,1875,1886,1832,1876,72100,134231200
