4550-T,東証1部,日水薬,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1313,1313,1279,1289,20300,26203600
2015-10-01,1310,1317,1292,1313,14100,18406300
2015-09-30,1308,1320,1297,1302,18400,24015400
2015-09-29,1331,1342,1295,1295,18400,24191700
2015-09-28,1356,1363,1347,1363,9300,12627000
2015-09-25,1353,1369,1343,1368,14600,19846500
2015-09-24,1353,1368,1352,1353,13900,18841800
2015-09-18,1353,1375,1353,1368,22000,30055900
2015-09-17,1354,1361,1351,1358,12800,17353000
2015-09-16,1370,1370,1352,1355,13800,18727900
2015-09-15,1363,1377,1356,1357,13500,18412400
2015-09-14,1368,1377,1355,1358,22400,30570800
2015-09-11,1322,1347,1322,1341,19700,26185200
2015-09-10,1342,1347,1330,1339,8800,11753600
2015-09-09,1324,1360,1324,1355,16300,21905900
2015-09-08,1324,1324,1300,1301,17300,22580500
2015-09-07,1315,1342,1306,1321,12800,16880700
2015-09-04,1356,1365,1324,1326,13100,17564900
2015-09-03,1358,1365,1349,1353,7500,10172900
2015-09-02,1336,1366,1336,1352,15700,21291400
2015-09-01,1382,1383,1342,1350,24000,32613200
2015-08-31,1387,1405,1369,1382,14700,20364200
2015-08-28,1379,1385,1357,1376,14300,19596400
2015-08-27,1360,1379,1355,1361,22000,30077400
2015-08-26,1324,1344,1301,1335,22600,29886000
2015-08-25,1300,1387,1288,1326,41600,55232500
2015-08-24,1370,1386,1333,1333,37900,51488000
2015-08-21,1400,1404,1385,1387,28700,40046000
2015-08-20,1431,1439,1416,1419,16800,24004400
2015-08-19,1466,1471,1438,1444,17200,25058500
2015-08-18,1454,1470,1450,1466,13300,19428400
2015-08-17,1442,1453,1442,1451,8500,12309900
2015-08-14,1430,1450,1430,1443,14100,20333600
2015-08-13,1440,1457,1426,1444,23800,34241800
2015-08-12,1461,1465,1437,1445,12000,17422500
2015-08-11,1470,1477,1443,1466,17000,24895200
2015-08-10,1450,1460,1440,1460,18400,26785600
2015-08-07,1444,1450,1437,1448,14000,20236700
2015-08-06,1444,1458,1444,1450,19500,28315700
2015-08-05,1442,1452,1423,1441,20900,30057200
2015-08-04,1446,1451,1436,1442,27400,39607900
2015-08-03,1442,1461,1433,1446,22800,33032600
2015-07-31,1420,1449,1420,1440,37900,54393300
2015-07-30,1408,1417,1380,1414,16200,22813200
2015-07-29,1390,1405,1390,1400,8100,11332100
2015-07-28,1382,1402,1377,1390,14000,19413100
2015-07-27,1414,1414,1394,1396,10400,14616500
2015-07-24,1410,1415,1400,1414,17300,24377400
2015-07-23,1401,1411,1401,1410,9100,12802400
2015-07-22,1402,1410,1395,1398,10700,14991100
2015-07-21,1421,1422,1407,1415,8000,11311500
2015-07-17,1412,1420,1411,1420,15700,22245200
2015-07-16,1402,1410,1402,1409,13700,19268700
2015-07-15,1394,1405,1391,1402,14000,19572400
2015-07-14,1400,1400,1387,1394,15500,21610100
2015-07-13,1374,1379,1360,1378,11000,15087300
2015-07-10,1350,1370,1347,1350,21100,28623900
2015-07-09,1343,1343,1300,1333,46500,61508700
2015-07-08,1386,1389,1358,1358,30500,41912700
2015-07-07,1381,1400,1380,1385,14900,20673100
2015-07-06,1396,1396,1380,1380,13600,18840600
2015-07-03,1410,1417,1395,1397,22600,31751100
2015-07-02,1391,1410,1391,1399,11300,15811400
2015-07-01,1393,1410,1392,1399,10200,14277700
2015-06-30,1380,1407,1379,1398,17700,24585100
2015-06-29,1379,1400,1372,1384,22500,31145200
2015-06-26,1412,1412,1404,1409,16400,23090800
2015-06-25,1397,1410,1397,1406,21800,30631700
2015-06-24,1398,1409,1395,1401,23200,32531900
2015-06-23,1396,1408,1396,1408,11900,16687300
2015-06-22,1405,1407,1394,1402,9400,13177100
