4617-T,東証1部,中国塗,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,756,780,740,770,212000,162285000
2015-10-01,758,768,753,762,274000,208562000
2015-09-30,716,756,716,755,380000,280522000
2015-09-29,740,740,703,703,499000,356504000
2015-09-28,748,769,741,763,329000,250462000
2015-09-25,760,764,738,755,418000,313373000
2015-09-24,780,785,758,758,368000,281797000
2015-09-18,791,797,773,780,403000,315619000
2015-09-17,792,814,792,798,194000,155283000
2015-09-16,793,805,793,805,168000,134185000
2015-09-15,793,802,790,795,138000,109681000
2015-09-14,817,823,784,790,111000,88079000
2015-09-11,787,824,787,817,260000,209250000
2015-09-10,788,811,779,800,136000,108194000
2015-09-09,802,816,790,807,251000,201191000
2015-09-08,776,806,776,776,185000,145796000
2015-09-07,777,787,766,780,195000,151419000
2015-09-04,800,806,780,799,487000,387429000
2015-09-03,785,800,776,781,546000,428950000
2015-09-02,784,793,762,765,349000,270563000
2015-09-01,809,810,791,799,364000,291815000
2015-08-31,805,845,800,820,500000,411601000
2015-08-28,785,820,785,794,433000,345901000
2015-08-27,774,785,763,766,339000,261043000
2015-08-26,761,771,749,760,472000,358393000
2015-08-25,731,780,730,740,579000,435795000
2015-08-24,857,865,790,791,367000,301864000
2015-08-21,906,913,884,884,243000,218373000
2015-08-20,940,945,924,926,264000,246776000
2015-08-19,932,948,917,939,313000,292942000
2015-08-18,921,939,916,936,198000,184139000
2015-08-17,917,928,910,915,177000,162099000
2015-08-14,900,925,884,915,430000,391608000
2015-08-13,860,906,860,900,504000,445722000
2015-08-12,894,894,875,876,238000,209462000
2015-08-11,891,902,889,895,262000,234456000
2015-08-10,882,891,876,891,194000,171580000
2015-08-07,883,893,881,886,279000,247224000
2015-08-06,891,898,881,890,234000,208420000
2015-08-05,879,890,875,884,240000,211964000
2015-08-04,889,893,877,879,337000,297377000
2015-08-03,912,927,886,902,281000,253849000
2015-07-31,888,934,882,898,534000,484624000
2015-07-30,876,888,875,881,270000,237545000
2015-07-29,891,891,870,876,228000,200146000
2015-07-28,882,888,871,882,438000,386036000
2015-07-27,901,906,887,888,252000,225139000
2015-07-24,921,925,907,911,279000,255356000
2015-07-23,945,947,922,928,245000,227440000
2015-07-22,950,956,932,945,246000,232436000
2015-07-21,985,985,947,949,226000,216605000
2015-07-17,1006,1006,970,973,257000,252899000
2015-07-16,993,1015,983,1011,320000,320342000
2015-07-15,975,984,965,984,206000,201489000
2015-07-14,958,965,944,964,149000,142767000
2015-07-13,960,967,933,934,146000,137815000
2015-07-10,958,964,939,946,247000,234847000
2015-07-09,950,960,925,947,481000,452662000
2015-07-08,970,983,952,952,289000,278076000
2015-07-07,957,988,957,977,183000,178332000
2015-07-06,951,962,942,948,192000,182379000
2015-07-03,981,988,969,977,164000,160391000
2015-07-02,960,986,960,978,443000,432186000
2015-07-01,924,964,919,958,722000,686577000
2015-06-30,906,915,904,910,163000,148078000
2015-06-29,929,934,910,911,194000,178122000
2015-06-26,937,941,934,940,96000,89915000
2015-06-25,949,953,935,937,162000,152694000
2015-06-24,934,954,931,952,472000,444711000
2015-06-23,919,931,919,930,247000,228938000
2015-06-22,912,920,911,919,157000,143741000
2015-06-19,925,931,904,906,418000,382391000
2015-06-18,932,940,919,920,287000,266051000
2015-06-17,924,936,910,932,431000,397769000
2015-06-16,941,944,917,923,452000,418716000
2015-06-15,967,967,947,950,150000,143042000
2015-06-12,981,981,959,963,317000,308062000
2015-06-11,949,978,949,973,308000,298596000
2015-06-10,956,958,950,953,231000,220258000
2015-06-09,954,960,951,954,205000,195840000
2015-06-08,961,972,961,968,117000,113054000
2015-06-05,971,979,956,970,322000,310929000
2015-06-04,998,1000,974,978,280000,275116000
2015-06-03,971,990,971,987,248000,244131000
2015-06-02,991,991,973,976,387000,378863000
2015-06-01,971,985,969,984,334000,326213000
2015-05-29,958,974,954,973,275000,266277000
2015-05-28,973,974,953,959,593000,568825000
2015-05-27,955,972,948,963,507000,487940000
2015-05-26,957,969,944,946,376000,358715000
2015-05-25,948,955,938,952,392000,371998000
2015-05-22,955,958,933,941,472000,444555000
2015-05-21,968,972,947,952,546000,522854000
2015-05-20,982,989,954,960,752000,724033000
2015-05-19,991,998,980,983,337000,332746000
2015-05-18,1006,1018,998,1003,160000,160870000
2015-05-15,1001,1017,997,1005,362000,364728000
2015-05-14,1013,1016,998,999,321000,322384000
2015-05-13,1038,1050,1017,1024,400000,410318000
2015-05-12,1060,1064,1051,1054,231000,244188000
2015-05-11,1098,1116,1073,1078,627000,685629000
2015-05-08,1054,1109,1046,1100,563000,608886000
2015-05-07,1033,1089,1032,1058,562000,597539000
2015-05-01,1029,1032,1019,1029,176000,180605000
2015-04-30,1051,1061,1041,1044,341000,357687000
2015-04-28,1078,1087,1066,1070,184000,197306000
2015-04-27,1071,1089,1069,1078,197000,212314000
2015-04-24,1095,1095,1078,1082,101000,109415000
2015-04-23,1081,1092,1079,1086,113000,122836000
2015-04-22,1089,1097,1082,1087,135000,146915000
2015-04-21,1055,1076,1054,1075,134000,143095000
2015-04-20,1085,1085,1054,1062,199000,211578000
2015-04-17,1101,1102,1078,1085,218000,236737000
2015-04-16,1110,1135,1106,1111,287000,320217000
2015-04-15,1106,1117,1099,1105,203000,224709000
2015-04-14,1094,1108,1090,1107,172000,189200000
2015-04-13,1084,1098,1065,1094,251000,272974000
2015-04-10,1075,1077,1058,1073,159000,169899000
2015-04-09,1079,1082,1070,1074,136000,146173000
2015-04-08,1080,1085,1073,1078,183000,197183000
2015-04-07,1069,1087,1066,1080,227000,244330000
2015-04-06,1084,1088,1072,1076,228000,245845000
2015-04-03,1086,1093,1075,1088,99000,107152000
2015-04-02,1084,1095,1077,1082,277000,300595000
2015-04-01,1076,1094,1064,1074,246000,264171000
2015-03-31,1105,1105,1080,1087,228000,249105000
2015-03-30,1095,1120,1084,1103,395000,435835000
2015-03-27,1075,1106,1070,1080,282000,306382000
2015-03-26,1088,1095,1077,1088,259000,281343000
2015-03-25,1107,1116,1086,1099,282000,309520000
2015-03-24,1102,1115,1098,1107,241000,266202000
2015-03-23,1129,1133,1104,1114,423000,471371000
2015-03-20,1100,1121,1094,1117,286000,317734000
2015-03-19,1118,1127,1094,1101,416000,459202000
2015-03-18,1141,1144,1114,1127,390000,441067000
2015-03-17,1131,1175,1123,1154,784000,899890000
2015-03-16,1069,1119,1058,1115,975000,1069912000
2015-03-13,1059,1059,1044,1056,473000,498572000
2015-03-12,1039,1056,1034,1054,309000,323606000
2015-03-11,1001,1040,1000,1030,380000,388266000
2015-03-10,1018,1020,1001,1014,374000,378437000
2015-03-09,1023,1028,1007,1016,414000,420517000
2015-03-06,1040,1048,1016,1023,419000,432457000
2015-03-05,1031,1043,1022,1039,359000,370257000
2015-03-04,1022,1039,1010,1036,289000,297626000
2015-03-03,1024,1031,1009,1022,256000,262018000
2015-03-02,1005,1024,1005,1016,261000,264906000
2015-02-27,1000,1025,998,1022,376000,382468000
2015-02-26,992,1004,985,1002,273000,271292000
2015-02-25,1000,1001,988,992,390000,387282000
2015-02-24,996,1020,987,1004,479000,479242000
2015-02-23,987,996,979,990,273000,269307000
2015-02-20,961,984,953,981,394000,382547000
2015-02-19,931,950,927,948,376000,354447000
2015-02-18,895,928,895,924,510000,468622000
2015-02-17,892,901,881,891,550000,489840000
2015-02-16,930,935,899,901,416000,378230000
2015-02-13,943,951,930,934,376000,353480000
2015-02-12,949,960,932,937,374000,352965000
2015-02-10,955,967,927,934,389000,364741000
2015-02-09,997,998,944,950,458000,440841000
2015-02-06,1000,1001,987,993,286000,284133000
2015-02-05,1028,1032,983,986,310000,311196000
2015-02-04,1030,1047,1026,1028,205000,211755000
2015-02-03,1053,1056,1016,1022,357000,370077000
2015-02-02,1035,1070,1023,1051,608000,639973000
