4634-T,東証1部,洋インキHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,447,454,447,450,443000,199439000
2015-10-01,443,453,441,450,591000,264854000
2015-09-30,430,440,430,437,615000,268474000
2015-09-29,436,440,425,427,805000,346506000
2015-09-28,441,448,436,443,582000,257757000
2015-09-25,447,449,436,447,902000,399636000
2015-09-24,447,455,442,442,780000,346998000
2015-09-18,463,463,451,453,1103000,500577000
2015-09-17,469,475,463,466,665000,311381000
2015-09-16,466,467,458,465,526000,243791000
2015-09-15,459,466,456,459,626000,288823000
2015-09-14,462,462,451,454,405000,184164000
2015-09-11,458,463,454,454,708000,323826000
2015-09-10,452,463,450,461,662000,302998000
2015-09-09,457,462,452,459,884000,402644000
2015-09-08,443,453,441,445,673000,301079000
2015-09-07,438,445,433,441,637000,280432000
2015-09-04,444,445,434,440,1004000,441354000
2015-09-03,442,452,441,443,726000,323929000
2015-09-02,440,449,435,439,1081000,477309000
2015-09-01,456,458,444,445,932000,418672000
2015-08-31,469,469,457,461,982000,452381000
2015-08-28,454,472,454,471,2741000,1277025000
2015-08-27,452,464,450,461,1349000,619420000
2015-08-26,444,449,438,448,2065000,915388000
2015-08-25,462,466,440,440,2023000,915033000
2015-08-24,472,478,469,470,1089000,514310000
2015-08-21,485,486,480,480,741000,357785000
2015-08-20,492,496,488,491,532000,260979000
2015-08-19,497,500,493,493,645000,319119000
2015-08-18,501,506,497,504,508000,255189000
2015-08-17,495,499,493,498,515000,255445000
2015-08-14,498,498,493,496,430000,213188000
2015-08-13,497,501,494,498,839000,417606000
2015-08-12,505,507,500,502,706000,355377000
2015-08-11,511,514,506,513,696000,355157000
2015-08-10,495,511,495,507,955000,481997000
2015-08-07,506,518,504,515,1061000,542491000
2015-08-06,495,512,495,506,1017000,512147000
2015-08-05,485,494,481,492,773000,378433000
2015-08-04,488,488,483,485,731000,354792000
2015-08-03,493,493,489,491,408000,200224000
2015-07-31,494,496,492,494,630000,311412000
2015-07-30,485,495,484,492,750000,368279000
2015-07-29,482,485,477,484,501000,241233000
2015-07-28,479,483,474,480,528000,252700000
2015-07-27,482,482,477,480,558000,267632000
2015-07-24,489,490,486,488,490000,239384000
2015-07-23,484,490,483,490,591000,287368000
2015-07-22,489,490,481,481,747000,361909000
2015-07-21,500,500,491,491,582000,287584000
2015-07-17,494,498,490,496,623000,307870000
2015-07-16,491,493,485,492,465000,227452000
2015-07-15,492,493,486,489,647000,316717000
2015-07-14,484,492,483,489,869000,424380000
2015-07-13,480,482,476,479,904000,433485000
2015-07-10,478,480,469,472,1422000,671283000
2015-07-09,478,479,467,478,1211000,573415000
2015-07-08,491,491,482,482,1282000,622111000
2015-07-07,487,493,486,491,1011000,495785000
2015-07-06,488,489,483,484,992000,481799000
2015-07-03,492,494,488,492,612000,300938000
2015-07-02,496,497,490,492,888000,437426000
2015-07-01,494,495,488,489,1042000,511118000
2015-06-30,490,500,488,491,2178000,1074460000
2015-06-29,502,504,485,487,3638000,1792375000
2015-06-26,528,529,516,517,1334000,693065000
2015-06-25,535,536,525,525,1512000,802106000
2015-06-24,533,541,531,537,1513000,811676000
2015-06-23,528,532,524,528,809000,426913000
2015-06-22,530,532,525,528,771000,406930000
2015-06-19,527,532,526,532,990000,524772000
2015-06-18,529,529,521,521,703000,367622000
2015-06-17,526,527,522,525,638000,334717000
2015-06-16,523,525,521,522,522000,272783000
2015-06-15,528,528,522,525,543000,284453000
2015-06-12,529,531,525,527,776000,409874000
2015-06-11,528,529,524,527,560000,294894000
2015-06-10,531,532,524,524,801000,422208000
2015-06-09,537,537,525,527,1629000,863717000
2015-06-08,554,554,541,541,1330000,724592000
2015-06-05,548,558,545,549,1572000,863515000
2015-06-04,564,567,560,562,462000,260157000
2015-06-03,564,571,564,566,318000,180262000
2015-06-02,570,577,566,568,450000,256739000
2015-06-01,562,571,561,570,445000,252738000
2015-05-29,563,569,561,569,512000,290061000
2015-05-28,560,568,559,563,927000,522889000
2015-05-27,553,557,551,556,918000,508744000
2015-05-26,542,554,542,552,530000,291436000
2015-05-25,555,555,543,545,1260000,687933000
2015-05-22,549,553,548,549,397000,218223000
2015-05-21,552,554,547,549,615000,338837000
2015-05-20,550,556,549,554,910000,503283000
2015-05-19,544,545,541,544,1044000,567183000
2015-05-18,535,541,525,538,2340000,1250078000
2015-05-15,569,573,565,569,416000,236595000
2015-05-14,569,573,564,566,384000,217725000
2015-05-13,576,577,572,573,448000,257576000
2015-05-12,581,581,574,581,316000,182859000
2015-05-11,580,588,580,581,339000,197660000
2015-05-08,571,576,569,572,320000,183166000
2015-05-07,564,580,561,575,560000,321267000
2015-05-01,565,571,564,565,387000,219015000
2015-04-30,570,575,566,571,762000,434665000
2015-04-28,573,579,573,575,449000,258150000
2015-04-27,576,580,571,574,283000,162910000
2015-04-24,580,581,575,577,329000,190138000
2015-04-23,584,584,577,579,475000,275216000
2015-04-22,587,589,582,585,475000,278271000
2015-04-21,570,583,570,583,715000,414154000
2015-04-20,573,579,567,573,756000,434031000
2015-04-17,580,580,570,575,724000,416210000
2015-04-16,567,581,565,580,1325000,763119000
2015-04-15,558,565,555,560,734000,412536000
2015-04-14,548,559,547,558,468000,259988000
2015-04-13,552,553,543,548,786000,430584000
2015-04-10,555,556,550,553,478000,264780000
2015-04-09,557,557,548,553,1069000,590135000
2015-04-08,562,565,557,557,448000,251024000
2015-04-07,552,557,552,556,767000,425509000
2015-04-06,556,557,549,553,789000,436027000
2015-04-03,566,570,560,563,427000,240540000
2015-04-02,552,573,552,566,969000,547363000
2015-04-01,563,567,553,554,924000,514381000
2015-03-31,573,576,563,563,677000,384370000
2015-03-30,570,572,564,570,583000,331463000
2015-03-27,576,585,565,570,693000,397549000
2015-03-26,583,587,579,586,707000,412746000
2015-03-25,592,597,581,587,1125000,659507000
2015-03-24,596,596,581,587,853000,500712000
2015-03-23,603,603,593,597,642000,383738000
2015-03-20,600,606,595,603,652000,392485000
2015-03-19,601,604,595,598,382000,228761000
2015-03-18,609,609,602,607,429000,259386000
2015-03-17,594,613,593,608,808000,488663000
2015-03-16,591,594,587,591,619000,365387000
2015-03-13,596,600,591,596,821000,489942000
2015-03-12,587,594,582,592,457000,269617000
2015-03-11,580,588,578,585,626000,365304000
2015-03-10,595,598,586,587,488000,287274000
2015-03-09,596,600,591,592,488000,289884000
2015-03-06,595,604,595,603,533000,320698000
2015-03-05,591,602,590,596,628000,374522000
2015-03-04,588,592,580,589,649000,381049000
2015-03-03,593,599,591,593,454000,269869000
2015-03-02,590,596,587,593,415000,245488000
2015-02-27,592,600,585,590,849000,503093000
2015-02-26,584,590,582,588,560000,328728000
2015-02-25,580,588,578,585,746000,435683000
2015-02-24,576,583,572,582,796000,460658000
2015-02-23,578,583,576,578,821000,475484000
2015-02-20,569,575,566,575,737000,421359000
2015-02-19,561,572,561,571,871000,494677000
2015-02-18,559,578,559,565,1543000,874373000
2015-02-17,560,561,553,557,645000,358528000
2015-02-16,559,564,554,558,851000,476235000
2015-02-13,567,573,552,559,1188000,666075000
2015-02-12,555,566,553,554,672000,374310000
2015-02-10,549,554,547,549,616000,338638000
2015-02-09,553,557,546,549,446000,245575000
2015-02-06,545,550,542,548,658000,359640000
2015-02-05,542,548,542,543,463000,251928000
2015-02-04,543,555,542,549,955000,524453000
2015-02-03,548,553,539,544,793000,433053000
2015-02-02,555,557,549,550,558000,308184000
2015-01-30,552,561,551,555,740000,411635000
2015-01-29,555,563,553,554,708000,394555000
2015-01-28,555,565,555,561,1036000,580003000
2015-01-27,566,570,555,560,937000,527662000
2015-01-26,543,557,543,554,720000,397073000
2015-01-23,547,552,544,549,866000,474919000
2015-01-22,549,551,541,543,838000,455813000
2015-01-21,563,563,549,552,754000,418515000
2015-01-20,556,563,553,563,869000,484806000
2015-01-19,556,556,551,552,553000,306209000
2015-01-16,559,560,549,552,686000,379072000
2015-01-15,563,578,563,573,949000,543049000
2015-01-14,563,573,556,557,987000,556321000
2015-01-13,559,565,547,563,1012000,562209000
2015-01-09,568,572,561,569,578000,328387000
2015-01-08,568,575,568,569,560000,319795000
2015-01-07,559,574,559,568,591000,335917000
2015-01-06,583,585,566,568,938000,538762000
2015-01-05,594,603,591,597,399000,238398000
2014-12-30,603,603,595,595,211000,126359000
2014-12-29,598,604,594,601,460000,275922000
2014-12-26,589,599,587,598,369000,219799000
2014-12-25,600,600,591,593,327000,194923000
2014-12-24,592,599,591,599,486000,289563000
2014-12-22,592,592,583,587,520000,305397000
2014-12-19,595,597,587,597,918000,544120000
2014-12-18,581,588,580,585,1141000,667288000
2014-12-17,549,573,549,564,773000,433923000
2014-12-16,550,555,549,553,603000,332811000
2014-12-15,566,570,557,557,599000,336733000
2014-12-12,573,577,569,569,1149000,658033000
2014-12-11,566,581,565,579,788000,452623000
2014-12-10,593,596,578,578,751000,439640000
2014-12-09,602,611,602,603,441000,267373000
2014-12-08,610,618,606,612,771000,473251000
2014-12-05,613,613,601,610,1051000,639550000
2014-12-04,605,613,605,612,863000,526156000
2014-12-03,595,605,593,603,904000,543675000
2014-12-02,576,593,575,590,626000,367000000
2014-12-01,569,579,568,579,643000,369768000
2014-11-28,560,571,560,570,365000,207017000
2014-11-27,561,564,558,559,345000,193502000
2014-11-26,567,572,564,565,543000,308179000
2014-11-25,569,572,563,571,738000,419385000
2014-11-21,563,565,555,564,587000,329287000
2014-11-20,559,569,557,565,820000,462632000
2014-11-19,550,560,550,556,684000,380357000
2014-11-18,542,552,542,551,357000,195516000
2014-11-17,548,550,536,540,806000,437080000
2014-11-14,552,555,545,553,958000,528367000
2014-11-13,538,548,533,547,775000,420651000
2014-11-12,537,547,534,536,1204000,651035000
2014-11-11,530,534,527,531,838000,445058000
2014-11-10,507,529,507,528,1270000,659270000
2014-11-07,511,522,510,517,895000,463042000
2014-11-06,514,518,505,506,1436000,731717000
2014-11-05,520,531,518,530,1057000,556243000
2014-11-04,524,524,513,520,1216000,633324000
2014-10-31,500,511,496,510,949000,478334000
2014-10-30,484,497,481,493,1345000,662138000
2014-10-29,480,485,478,481,483000,232301000
2014-10-28,478,478,471,476,461000,219223000
2014-10-27,475,480,474,478,304000,145058000
2014-10-24,474,474,464,471,565000,265141000
2014-10-23,466,469,462,464,604000,281288000
2014-10-22,466,472,465,471,706000,330879000
2014-10-21,477,480,461,462,1108000,517551000
2014-10-20,475,485,475,483,506000,242983000
2014-10-17,477,479,466,466,741000,349471000
2014-10-16,470,478,469,474,688000,326314000
2014-10-15,468,482,468,481,515000,245992000
2014-10-14,466,477,466,472,500000,236415000
2014-10-10,486,488,481,482,503000,243470000
2014-10-09,504,506,498,498,423000,211587000
2014-10-08,499,507,497,504,650000,326511000
2014-10-07,506,509,502,502,506000,255990000
2014-10-06,509,514,508,511,679000,347089000
2014-10-03,500,505,500,501,870000,436733000
2014-10-02,502,508,497,499,1001000,503677000
2014-10-01,513,517,508,509,1061000,542827000
2014-09-30,521,521,510,512,634000,325472000
