4641-T,東証1部,アルプス技,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2181,2200,2150,2181,42400,92387900
2015-10-01,2188,2228,2170,2197,30500,67137200
2015-09-30,2130,2176,2126,2160,26200,56508200
2015-09-29,2136,2146,2107,2117,34400,73141000
2015-09-28,2168,2194,2144,2186,15500,33736900
2015-09-25,2155,2196,2125,2168,32600,70231500
2015-09-24,2122,2177,2122,2157,26300,56853200
2015-09-18,2207,2239,2158,2164,80700,176361900
2015-09-17,2231,2258,2166,2247,38200,84898300
2015-09-16,2308,2308,2186,2193,57700,128327700
2015-09-15,2389,2389,2280,2284,71700,166041800
2015-09-14,2318,2420,2314,2389,104600,247032200
2015-09-11,2170,2297,2170,2268,42300,94258300
2015-09-10,2190,2206,2151,2202,33500,73045400
2015-09-09,2188,2250,2152,2247,43000,94951000
2015-09-08,2211,2223,2088,2097,57100,121908700
2015-09-07,2190,2244,2163,2204,45600,100160900
2015-09-04,2320,2366,2188,2227,46900,104889700
2015-09-03,2354,2388,2294,2306,42200,98283000
2015-09-02,2285,2388,2263,2319,74400,173763000
2015-09-01,2426,2426,2326,2336,59100,140443000
2015-08-31,2500,2500,2421,2452,39400,96444300
2015-08-28,2533,2533,2461,2513,53900,134294500
2015-08-27,2405,2483,2405,2453,72700,177606200
2015-08-26,2285,2365,2255,2356,52400,121570700
2015-08-25,2172,2392,2172,2253,103300,235905400
2015-08-24,2351,2447,2271,2272,130000,307059700
2015-08-21,2512,2558,2501,2501,62800,158289600
2015-08-20,2609,2656,2576,2610,56300,147419800
2015-08-19,2705,2715,2615,2636,45300,120373900
2015-08-18,2746,2800,2706,2713,41700,113945200
2015-08-17,2798,2816,2739,2751,65200,181227800
2015-08-14,2628,2799,2625,2769,122500,336588400
2015-08-13,2648,2671,2605,2652,63900,168067200
2015-08-12,2693,2722,2620,2675,87500,233852900
2015-08-11,2776,2785,2681,2720,124900,339984500
2015-08-10,2813,2816,2735,2792,91200,253618200
2015-08-07,2871,2961,2811,2842,194700,557629200
2015-08-06,2932,3080,2932,3080,112800,343977500
2015-08-05,3000,3070,2931,2938,73600,218931800
2015-08-04,3005,3070,2990,3000,60800,184186800
2015-08-03,2996,3020,2935,3005,53200,158573700
2015-07-31,2974,3020,2933,3015,52100,155678500
2015-07-30,2987,3045,2919,2968,127900,381748200
2015-07-29,2946,2967,2907,2944,43600,127843300
2015-07-28,2830,2965,2817,2938,79700,231413000
2015-07-27,2956,2982,2874,2880,84800,247099300
2015-07-24,3045,3055,2970,2988,48100,144271500
2015-07-23,3040,3055,2956,3045,62000,187172200
2015-07-22,3050,3075,2990,3010,70300,212437500
2015-07-21,2937,3080,2937,3070,128300,390271200
2015-07-17,2949,2949,2900,2937,66000,192695800
2015-07-16,2875,2970,2875,2953,126700,372323300
2015-07-15,2850,2869,2791,2858,65200,184651900
2015-07-14,2888,2958,2788,2814,147700,421107900
2015-07-13,2750,2848,2713,2847,133200,374505100
2015-07-10,2700,2867,2629,2651,254100,700243200
2015-07-09,2606,2665,2472,2660,105400,272649400
2015-07-08,2642,2693,2570,2673,178900,475110900
2015-07-07,2537,2645,2537,2633,93800,244951000
2015-07-06,2535,2585,2503,2527,68600,174535200
2015-07-03,2662,2662,2575,2586,46600,121080600
2015-07-02,2633,2684,2563,2648,94900,250061900
2015-07-01,2454,2636,2435,2634,177300,455591900
2015-06-30,2385,2448,2377,2436,58400,140851300
2015-06-29,2391,2454,2370,2408,91600,220874200
2015-06-26,2488,2525,2470,2485,55400,138259600
2015-06-25,2560,2588,2526,2538,52000,133138900
2015-06-24,2598,2598,2557,2573,47500,122161800
2015-06-23,2600,2624,2565,2585,68200,176315800
2015-06-22,2588,2636,2552,2585,62700,162527400
2015-06-19,2572,2654,2564,2600,134800,352126800
2015-06-18,2471,2566,2471,2546,100300,255891300
2015-06-17,2498,2499,2445,2480,35900,88585000
2015-06-16,2558,2576,2417,2483,122100,303722400
2015-06-15,2511,2565,2503,2562,84000,213827200
2015-06-12,2475,2527,2452,2516,134300,334422900
2015-06-11,2385,2445,2384,2431,91800,221773000
2015-06-10,2336,2373,2334,2365,31700,74790800
2015-06-09,2369,2372,2326,2336,36000,84603700
2015-06-08,2375,2398,2366,2390,46900,111897500
2015-06-05,2352,2370,2351,2366,26700,62968000
2015-06-04,2360,2370,2347,2366,31600,74546500
2015-06-03,2345,2362,2333,2342,36500,85607500
2015-06-02,2307,2347,2299,2330,51600,120006100
2015-06-01,2284,2307,2284,2300,21000,48225400
2015-05-29,2301,2323,2281,2284,55900,128208500
2015-05-28,2330,2330,2295,2304,41300,95217300
2015-05-27,2329,2341,2318,2325,37600,87495700
2015-05-26,2339,2365,2329,2340,27300,63873900
2015-05-25,2366,2368,2325,2347,26600,62250900
2015-05-22,2364,2364,2320,2343,26700,62461100
2015-05-21,2400,2420,2360,2364,46200,110167900
2015-05-20,2280,2400,2273,2396,124500,294534900
2015-05-19,2290,2302,2270,2279,32400,74001300
2015-05-18,2295,2324,2284,2286,28500,65447000
2015-05-15,2240,2310,2240,2292,61000,139801800
2015-05-14,2250,2274,2244,2244,27500,61940200
2015-05-13,2276,2279,2251,2268,27300,61801600
2015-05-12,2270,2280,2253,2276,23400,53025300
2015-05-11,2310,2317,2255,2287,67400,154428600
2015-05-08,2230,2263,2230,2248,32700,73550300
2015-05-07,2211,2250,2203,2243,31300,69909400
2015-05-01,2259,2259,2179,2217,65900,145747100
2015-04-30,2309,2312,2250,2253,64600,146861600
2015-04-28,2285,2319,2275,2306,36200,83427600
2015-04-27,2303,2323,2281,2291,21000,48305100
2015-04-24,2305,2318,2270,2303,36600,84208600
2015-04-23,2315,2323,2275,2292,35500,81610000
2015-04-22,2315,2317,2287,2313,30800,70995800
2015-04-21,2259,2308,2241,2290,37000,84349500
