4651-T,東証1部,サニックス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,258,261,257,259,108400,28068800
2015-10-01,254,259,253,257,102300,26180900
2015-09-30,250,258,250,254,117700,29894600
2015-09-29,253,257,248,248,153000,38354000
2015-09-28,258,259,253,256,102700,26343400
2015-09-25,250,254,249,253,203900,51141900
2015-09-24,260,264,248,248,383300,97440200
2015-09-18,262,265,261,261,186500,48917400
2015-09-17,267,270,260,268,368800,97524200
2015-09-16,270,272,266,267,125600,33663800
2015-09-15,273,276,267,268,154900,41964800
2015-09-14,274,278,270,271,113100,30884200
2015-09-11,269,277,269,275,145900,39746900
2015-09-10,270,275,269,272,172900,46891300
2015-09-09,282,282,272,277,160600,44492000
2015-09-08,273,276,270,270,140100,38108900
2015-09-07,274,284,272,275,145800,40415000
2015-09-04,286,289,279,282,175700,49897700
2015-09-03,292,296,286,287,132800,38586500
2015-09-02,289,300,288,289,189300,55372900
2015-09-01,320,320,299,302,222700,68596700
2015-08-31,313,319,303,318,211800,66371500
2015-08-28,300,315,300,305,376900,115032800
2015-08-27,287,300,287,297,461600,135812000
2015-08-26,270,288,270,283,299600,83541100
2015-08-25,269,300,264,276,774900,216285000
2015-08-24,313,321,291,293,813700,247812400
2015-08-21,331,336,321,321,491400,161909700
2015-08-20,341,343,338,338,159200,54171300
2015-08-19,342,345,340,343,179700,61403600
2015-08-18,345,349,342,343,189600,65069300
2015-08-17,351,352,345,347,169000,58646800
2015-08-14,352,354,348,352,159400,55913500
2015-08-13,348,363,348,354,117200,41357700
2015-08-12,358,358,351,351,127300,44935700
2015-08-11,356,364,340,358,523700,184911000
2015-08-10,360,364,355,364,151500,54390000
2015-08-07,356,360,355,357,100200,35851200
2015-08-06,353,363,353,361,131300,47083900
2015-08-05,350,356,348,353,146100,51407200
2015-08-04,355,358,351,352,244800,86482500
2015-08-03,368,371,356,359,291000,104937900
2015-07-31,367,374,366,369,233300,86149000
2015-07-30,371,378,363,366,472400,174149200
2015-07-29,395,403,369,375,643400,250063800
2015-07-28,385,396,383,393,436800,170560700
2015-07-27,388,394,382,392,495400,191667200
2015-07-24,370,392,367,392,1196300,461410700
2015-07-23,376,377,364,366,286700,105465900
2015-07-22,385,385,370,377,606000,229597600
2015-07-21,355,385,355,385,1193100,447223900
2015-07-17,348,355,344,351,317600,110894200
2015-07-16,341,347,340,344,117500,40309500
2015-07-15,344,347,340,342,123000,42133200
2015-07-14,344,349,342,344,223300,77100600
2015-07-13,340,346,337,338,175600,59850200
2015-07-10,346,348,339,341,201700,68869000
2015-07-09,350,350,331,348,394500,134888900
2015-07-08,353,355,351,353,288700,101666900
2015-07-07,352,357,352,356,116800,41439700
2015-07-06,355,358,352,353,156800,55563100
2015-07-03,368,368,359,360,152700,55296800
2015-07-02,366,368,362,365,144900,52810100
2015-07-01,351,372,350,368,431300,154988500
2015-06-30,353,357,350,353,456600,160711800
2015-06-29,363,369,355,357,606600,218628300
2015-06-26,373,373,369,370,322400,119678800
2015-06-25,377,377,372,372,412000,154091100
2015-06-24,380,380,377,378,210200,79570200
2015-06-23,377,380,377,380,197200,74660600
2015-06-22,379,383,376,379,359200,136377700
2015-06-19,382,383,379,382,289800,110349000
2015-06-18,382,385,382,382,137600,52718500
2015-06-17,382,389,382,383,162200,62412900
2015-06-16,382,384,381,383,200200,76529200
2015-06-15,384,384,381,383,222900,85261300
2015-06-12,384,385,383,384,286000,109881500
2015-06-11,384,386,383,386,285700,109902300
2015-06-10,386,391,384,384,352300,135827700
2015-06-09,386,388,384,384,335500,129192100
2015-06-08,384,394,382,386,357500,138320300
2015-06-05,385,387,383,384,248200,95487000
2015-06-04,387,390,386,386,209800,81259800
2015-06-03,387,393,386,388,265400,103191400
2015-06-02,385,393,385,387,338800,131614300
2015-06-01,390,394,384,385,505900,196979000
2015-05-29,392,393,382,382,1088100,418804400
2015-05-28,405,408,392,393,390700,155916600
2015-05-27,397,403,392,394,552400,219265400
2015-05-26,397,402,395,397,315600,125502800
2015-05-25,406,409,399,401,527200,212107800
2015-05-22,417,420,405,406,422200,173341700
2015-05-21,424,433,415,417,520000,219988200
2015-05-20,419,425,415,425,236300,99013900
2015-05-19,420,429,413,419,385400,161357500
2015-05-18,425,426,412,414,554100,231350000
2015-05-15,439,448,424,426,806600,347316000
2015-05-14,455,474,440,441,2443900,1118755400
2015-05-13,438,453,432,439,1492200,658284100
2015-05-12,448,473,423,470,3734800,1682722900
2015-05-11,512,520,433,436,9261300,4430897500
2015-05-08,372,454,372,454,8666100,3707215700
2015-05-07,372,375,372,374,163900,61132700
2015-05-01,376,378,372,373,339000,126783500
2015-04-30,377,380,375,377,275300,103919300
2015-04-28,379,386,376,376,655900,248747800
2015-04-27,373,380,373,378,275200,103726600
2015-04-24,374,375,373,374,143100,53522000
2015-04-23,372,376,372,373,205000,76732300
2015-04-22,375,377,371,372,264400,98735600
2015-04-21,374,377,372,374,343600,128687000
2015-04-20,371,375,371,371,271800,101200000
2015-04-17,380,381,373,375,426500,160940400
2015-04-16,379,381,377,380,249000,94479000
2015-04-15,380,383,376,380,444800,168866300
2015-04-14,381,386,381,386,311400,119424900
2015-04-13,384,384,380,382,181800,69290100
2015-04-10,386,387,381,384,158000,60598400
2015-04-09,391,391,384,386,218600,84571300
2015-04-08,387,392,385,388,373400,145077400
2015-04-07,383,387,380,386,267500,102966200
2015-04-06,382,384,379,383,286100,109194400
2015-04-03,378,382,378,380,220000,83585800
2015-04-02,379,383,376,378,273300,103469100
2015-04-01,373,383,372,378,439200,165770800
2015-03-31,375,381,374,378,282900,106628600
2015-03-30,370,377,367,375,297600,110468700
2015-03-27,370,373,369,371,401900,148967300
2015-03-26,371,374,370,372,343800,127851000
2015-03-25,377,379,374,374,434100,163064900
2015-03-24,378,383,375,377,420900,159253700
2015-03-23,393,399,378,380,780700,302637900
2015-03-20,375,391,374,389,958400,368651900
2015-03-19,371,377,370,375,328500,122401800
2015-03-18,379,380,371,373,434600,163041600
