4666-T,東証1部,パーク24,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2328,2355,2306,2321,560400,1304653700
2015-10-01,2256,2309,2256,2301,783000,1790906000
2015-09-30,2234,2263,2215,2246,791700,1776407200
2015-09-29,2256,2259,2205,2233,843200,1879360200
2015-09-28,2211,2281,2203,2272,880400,1986081400
2015-09-25,2180,2223,2166,2203,799200,1752568800
2015-09-24,2189,2217,2159,2159,643300,1403962300
2015-09-18,2212,2225,2177,2190,825200,1812439900
2015-09-17,2193,2208,2142,2200,805700,1755905500
2015-09-16,2310,2310,2172,2178,1017900,2250708700
2015-09-15,2300,2312,2270,2270,451100,1031598600
2015-09-14,2287,2343,2266,2288,504000,1162476600
2015-09-11,2205,2312,2204,2287,768100,1732612600
2015-09-10,2234,2265,2210,2252,770600,1731799200
2015-09-09,2300,2317,2172,2261,1651300,3675353600
2015-09-08,2330,2355,2257,2260,662500,1516442600
2015-09-07,2348,2361,2311,2353,470800,1101944900
2015-09-04,2427,2427,2345,2365,547900,1303458400
2015-09-03,2413,2440,2386,2403,442500,1068412700
2015-09-02,2340,2443,2320,2391,823800,1973472400
2015-09-01,2351,2435,2337,2396,1239900,2976488200
2015-08-31,2402,2403,2352,2380,608000,1441500500
2015-08-28,2400,2405,2342,2352,751700,1777925500
2015-08-27,2337,2400,2337,2362,737900,1748747800
2015-08-26,2255,2308,2241,2304,925600,2110002500
2015-08-25,2176,2279,2123,2208,970900,2149536800
2015-08-24,2256,2313,2225,2226,856100,1930937100
2015-08-21,2348,2386,2301,2350,853000,2012124100
2015-08-20,2417,2466,2386,2418,620800,1510968000
2015-08-19,2400,2468,2375,2447,949000,2308723200
2015-08-18,2450,2485,2442,2480,586800,1446402000
2015-08-17,2398,2497,2398,2466,1195400,2942769800
2015-08-14,2354,2365,2334,2359,401200,943484700
2015-08-13,2362,2375,2338,2367,365800,864111200
2015-08-12,2417,2417,2360,2367,636200,1512094400
2015-08-11,2405,2427,2384,2412,628000,1510533300
2015-08-10,2353,2407,2338,2405,387100,923729200
2015-08-07,2357,2362,2322,2349,300900,704625700
2015-08-06,2396,2408,2356,2356,541700,1288733700
2015-08-05,2400,2422,2363,2387,878400,2097816100
2015-08-04,2350,2391,2341,2374,596300,1412769600
2015-08-03,2238,2335,2231,2334,907400,2092261300
2015-07-31,2272,2285,2246,2255,589900,1333419100
2015-07-30,2296,2315,2252,2273,778300,1776579000
2015-07-29,2271,2289,2229,2279,640400,1449172300
2015-07-28,2227,2252,2189,2245,728500,1623283000
2015-07-27,2231,2242,2204,2226,949600,2112631600
2015-07-24,2199,2239,2198,2228,649400,1445957700
2015-07-23,2201,2229,2193,2198,580000,1281413200
2015-07-22,2180,2193,2159,2174,523800,1141035000
2015-07-21,2143,2183,2137,2181,613000,1327756500
2015-07-17,2132,2135,2108,2121,467500,990308200
2015-07-16,2141,2156,2121,2132,1246900,2657373400
2015-07-15,2198,2234,2198,2211,527500,1166853200
2015-07-14,2197,2204,2172,2197,644600,1414424500
2015-07-13,2119,2162,2110,2153,522800,1119498400
2015-07-10,2119,2134,2086,2086,641800,1352324300
2015-07-09,2102,2106,2066,2094,993800,2070412800
