4680-T,東証1部,ラウンドワン,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,470,479,467,471,947300,446125500
2015-10-01,485,486,470,474,1129600,536169800
2015-09-30,481,486,478,481,984600,474657300
2015-09-29,492,494,468,472,2253400,1076158900
2015-09-28,515,516,503,506,1206200,615109600
2015-09-25,527,531,521,529,1019400,536093900
2015-09-24,536,541,522,523,1107500,583482100
2015-09-18,541,545,535,545,820600,444308700
2015-09-17,559,560,542,545,1130800,618815500
2015-09-16,569,569,555,562,708600,396909100
2015-09-15,566,578,563,571,1450400,830114600
2015-09-14,554,565,553,564,665500,372997000
2015-09-11,542,557,542,555,567900,312958600
2015-09-10,537,554,532,552,492000,268580700
2015-09-09,543,544,531,544,664100,356880300
2015-09-08,538,545,531,532,428500,230090000
2015-09-07,532,539,520,536,668800,355613200
2015-09-04,541,548,533,541,1157700,624540900
2015-09-03,529,558,527,538,2058500,1121472700
2015-09-02,515,524,510,516,594100,307338800
2015-09-01,547,547,521,522,1233700,653299900
2015-08-31,543,550,540,547,662200,361038300
2015-08-28,535,543,532,538,877400,471315200
2015-08-27,529,534,517,522,803700,419911000
2015-08-26,502,518,501,516,777600,397218100
2015-08-25,495,524,481,498,1455400,733413400
2015-08-24,535,544,516,516,1130800,596291500
2015-08-21,545,548,536,548,976000,531062600
2015-08-20,550,554,548,550,361300,199148600
2015-08-19,553,555,548,552,1016900,560680400
2015-08-18,556,558,552,555,751900,417190800
2015-08-17,562,564,553,559,990200,552688900
2015-08-14,563,567,561,562,473400,266739800
2015-08-13,565,570,557,568,1475700,831309300
2015-08-12,569,570,565,567,620300,352016200
2015-08-11,569,573,567,568,974900,554707000
2015-08-10,563,567,558,567,926700,522940300
2015-08-07,561,574,561,564,1976400,1119477400
2015-08-06,586,588,561,561,3380400,1926216400
2015-08-05,623,628,613,615,694500,429983200
2015-08-04,613,624,613,623,593800,368393400
2015-08-03,613,622,613,618,692200,426943400
2015-07-31,607,612,602,610,523800,318167900
2015-07-30,605,613,599,613,606000,367504900
2015-07-29,601,609,600,607,406300,245654100
2015-07-28,601,604,598,601,551900,331605900
2015-07-27,607,615,606,608,459100,279875500
2015-07-24,610,613,605,607,455700,276820600
2015-07-23,610,614,606,613,333300,203309400
2015-07-22,615,618,608,609,612500,374796100
2015-07-21,620,620,608,619,343300,211137100
2015-07-17,613,625,612,620,530500,328521700
2015-07-16,620,620,611,613,460600,282513500
