4696-T,東証1部,ワタベ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,469,472,466,468,12400,5813300
2015-10-01,464,471,464,469,3400,1594200
2015-09-30,477,477,463,469,8300,3917800
2015-09-29,472,481,465,465,17300,8127300
2015-09-28,474,498,474,481,6500,3135800
2015-09-25,500,500,477,482,20800,10233900
2015-09-24,490,494,471,473,14800,7182700
2015-09-18,534,534,503,515,14300,7377300
2015-09-17,503,510,493,502,17500,8737100
2015-09-16,510,515,499,506,11400,5749300
2015-09-15,531,531,510,510,7000,3660400
2015-09-14,535,535,519,521,6400,3348600
2015-09-11,545,545,533,538,24800,13396200
2015-09-10,516,539,506,518,31300,16204800
2015-09-09,535,546,534,546,12900,6969200
2015-09-08,554,554,528,530,21200,11390100
2015-09-07,560,563,543,543,25000,13763400
2015-09-04,567,571,550,550,25400,14256000
2015-09-03,566,575,555,557,151300,85357700
2015-09-02,648,648,585,592,73400,43778100
2015-09-01,665,671,638,654,40600,26608900
2015-08-31,661,685,652,685,148800,100739500
2015-08-28,685,687,626,651,133600,89014300
2015-08-27,670,682,670,682,264000,178344700
2015-08-26,669,671,667,670,194500,130083700
2015-08-25,670,675,668,669,194000,129971300
2015-08-24,672,675,669,670,127400,85526200
2015-08-21,676,678,672,672,58000,39093000
2015-08-20,675,683,675,677,140400,95107500
2015-08-19,674,677,674,675,40000,27028900
2015-08-18,675,677,674,677,20800,14063500
2015-08-17,675,676,674,676,76200,51446700
2015-08-14,676,676,674,675,61900,41799800
2015-08-13,676,677,675,676,96600,65298600
2015-08-12,675,678,675,675,43700,29551000
2015-08-11,677,678,674,675,207800,140503000
2015-08-10,680,680,678,679,92800,63028100
2015-08-07,678,680,678,679,92900,63094900
2015-08-06,677,680,676,679,58500,39691300
2015-08-05,674,678,674,676,103500,69948100
2015-08-04,674,675,673,674,85700,57784500
2015-08-03,673,675,673,673,34700,23362000
2015-07-31,675,675,672,672,96600,65141300
2015-07-30,671,675,671,673,78400,52768500
2015-07-29,666,670,665,668,106500,71031700
2015-07-28,665,669,658,660,417400,276857100
2015-07-27,675,675,675,675,195700,132097500
2015-07-24,589,589,555,575,45100,25932500
2015-07-23,544,592,540,589,66000,37496000
2015-07-22,522,547,521,544,43100,23140000
2015-07-21,514,526,514,522,50700,26422800
2015-07-17,513,516,511,514,21300,10953000
2015-07-16,512,516,512,512,17900,9210000
2015-07-15,517,517,510,513,23800,12226200
2015-07-14,515,519,511,512,48100,24786100
2015-07-13,499,511,499,511,18800,9546000
2015-07-10,492,503,492,500,24300,12120800
2015-07-09,486,495,483,492,32100,15725100
2015-07-08,489,495,488,492,21800,10715100
2015-07-07,487,493,487,490,16100,7894600
2015-07-06,486,490,484,484,10800,5244400
2015-07-03,489,495,484,486,10100,4934200
2015-07-02,490,490,482,486,4700,2294000
2015-07-01,480,486,476,486,17100,8229300
2015-06-30,491,491,485,489,11500,5629300
2015-06-29,482,489,473,485,19000,9163600
2015-06-26,489,492,489,489,6200,3040100
2015-06-25,489,494,489,490,5100,2507200
2015-06-24,491,494,489,494,11900,5851000
2015-06-23,488,495,488,492,10000,4906400
2015-06-22,484,485,483,485,4500,2177700
2015-06-19,485,490,482,484,8500,4134000
2015-06-18,489,489,482,485,11100,5402900
