4704-T,東証1部,トレンド,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,4145,4180,4120,4140,517600,2142824000
2015-10-01,4260,4280,4140,4150,1075600,4487471000
2015-09-30,4190,4225,4125,4215,630600,2650141000
2015-09-29,4190,4195,4085,4120,878000,3627764000
2015-09-28,4245,4265,4190,4225,557500,2359072000
2015-09-25,4160,4255,4140,4235,793700,3340638500
2015-09-24,4120,4240,4115,4165,527100,2202891500
2015-09-18,4190,4205,4120,4175,1008100,4207134000
2015-09-17,4360,4360,4200,4260,810000,3444832000
2015-09-16,4315,4335,4270,4320,319400,1377826500
2015-09-15,4305,4340,4260,4280,438900,1882701000
2015-09-14,4330,4360,4260,4290,460000,1977280000
2015-09-11,4225,4320,4215,4295,1917200,8133419500
2015-09-10,4125,4250,4125,4245,765600,3214480500
2015-09-09,4245,4275,4150,4275,1062700,4498468000
2015-09-08,4295,4300,4115,4130,867400,3609225500
2015-09-07,4130,4320,4130,4275,914400,3884807000
2015-09-04,4240,4270,4145,4195,855500,3602076500
2015-09-03,4185,4240,4140,4190,840700,3525034000
2015-09-02,4115,4245,4100,4140,647600,2708433000
2015-09-01,4300,4325,4180,4180,654600,2766071000
2015-08-31,4360,4365,4285,4315,445500,1924760500
2015-08-28,4365,4380,4315,4355,457200,1990633500
2015-08-27,4265,4370,4245,4285,831900,3582690000
2015-08-26,4110,4270,4110,4245,1117900,4699828000
2015-08-25,4180,4390,4125,4155,1724800,7327964500
2015-08-24,4450,4525,4315,4350,1294300,5687208500
2015-08-21,4640,4710,4535,4560,1029800,4741842500
2015-08-20,4675,4745,4640,4715,820100,3855426500
2015-08-19,4715,4815,4655,4665,960800,4533712500
2015-08-18,4700,4715,4640,4700,454300,2130564500
2015-08-17,4755,4775,4655,4680,970500,4568748000
2015-08-14,4760,4850,4715,4775,2086300,9984534000
2015-08-13,4660,4885,4585,4830,1389100,6667104000
2015-08-12,4635,4725,4580,4590,818100,3795695500
2015-08-11,4720,4800,4575,4670,1269400,5919035500
2015-08-10,4555,4715,4555,4695,713400,3335084000
2015-08-07,4550,4620,4520,4610,522000,2393094000
2015-08-06,4575,4625,4515,4520,754300,3428328500
2015-08-05,4485,4610,4445,4605,943600,4305848000
2015-08-04,4525,4550,4465,4505,828600,3735753500
2015-08-03,4570,4655,4535,4570,1341100,6147454500
2015-07-31,4550,4570,4510,4540,465000,2109304500
2015-07-30,4570,4610,4525,4575,1200600,5498475500
2015-07-29,4600,4620,4480,4500,889700,4038269500
2015-07-28,4480,4590,4435,4565,685000,3106397000
2015-07-27,4500,4580,4465,4490,505700,2278855000
2015-07-24,4495,4530,4410,4495,824600,3689190500
2015-07-23,4450,4600,4435,4535,1027200,4650917000
2015-07-22,4405,4480,4340,4445,949800,4205363000
2015-07-21,4385,4490,4370,4475,815600,3619595000
2015-07-17,4350,4385,4340,4385,770100,3363751500
2015-07-16,4275,4350,4250,4335,835600,3604846000
2015-07-15,4200,4265,4200,4250,643500,2727094500
2015-07-14,4180,4220,4140,4195,682600,2858635500
2015-07-13,4075,4170,4050,4140,742800,3059800000
2015-07-10,4025,4150,3980,4070,1253300,5107744500
2015-07-09,3920,4025,3845,4020,1119800,4422631500
2015-07-08,4030,4095,3970,3985,945000,3794704500
2015-07-07,4145,4160,4080,4100,827600,3410121000
2015-07-06,4100,4120,4005,4050,872200,3533504500
2015-07-03,4125,4145,4090,4140,597700,2460119000
2015-07-02,4240,4240,4115,4130,503000,2088872500
2015-07-01,4225,4225,4155,4175,427700,1787457500
2015-06-30,4180,4210,4135,4190,704600,2941885500
2015-06-29,4240,4280,4115,4135,980900,4085054000
2015-06-26,4385,4405,4300,4310,552700,2396087000
2015-06-25,4405,4405,4315,4325,635100,2767371500
2015-06-24,4445,4450,4385,4405,714700,3150068500
2015-06-23,4360,4450,4355,4430,858000,3785097500
2015-06-22,4330,4415,4330,4400,533700,2339144000
2015-06-19,4350,4355,4290,4330,869500,3754687000
2015-06-18,4430,4450,4310,4315,826700,3598233500
2015-06-17,4345,4420,4315,4415,1025100,4491810500
2015-06-16,4365,4370,4330,4345,606900,2641446500
2015-06-15,4315,4415,4315,4355,1006100,4383023000
2015-06-12,4335,4400,4305,4375,2419000,10518673500
2015-06-11,4290,4315,4255,4310,904000,3883227500
2015-06-10,4255,4290,4210,4220,1072600,4546549500
2015-06-09,4330,4335,4220,4220,780100,3332579000
2015-06-08,4415,4430,4385,4395,465000,2048072000
2015-06-05,4365,4390,4345,4365,494900,2160791500
2015-06-04,4400,4440,4350,4365,717500,3151142500
2015-06-03,4335,4365,4320,4350,976300,4241067000
2015-06-02,4440,4450,4370,4390,1715700,7572271500
2015-06-01,4335,4385,4335,4370,624300,2724541000
2015-05-29,4380,4400,4360,4370,908600,3975627000
2015-05-28,4500,4500,4405,4435,592500,2629176500
2015-05-27,4465,4475,4410,4450,570000,2529752000
2015-05-26,4500,4515,4475,4500,597700,2686291000
2015-05-25,4485,4555,4485,4535,798700,3617076000
2015-05-22,4470,4480,4400,4445,574100,2552253500
2015-05-21,4470,4480,4425,4430,527200,2346558000
2015-05-20,4430,4500,4430,4480,805200,3602797500
2015-05-19,4360,4370,4310,4345,552200,2399433000
2015-05-18,4350,4375,4270,4345,701500,3041085000
2015-05-15,4390,4430,4340,4390,715200,3134388500
2015-05-14,4435,4460,4390,4390,791000,3488711000
2015-05-13,4280,4485,4280,4470,1634400,7221433500
2015-05-12,4260,4280,4185,4225,583000,2462016000
2015-05-11,4205,4295,4195,4295,822700,3508193500
2015-05-08,4040,4130,4015,4110,862500,3518930000
2015-05-07,4150,4170,4045,4055,1011200,4132443500
2015-05-01,4130,4215,4130,4200,791000,3300709000
2015-04-30,4120,4145,4065,4065,742200,3042890000
2015-04-28,4215,4240,4185,4190,652800,2743421000
2015-04-27,4220,4245,4175,4205,570900,2407239500
2015-04-24,4205,4255,4155,4160,602000,2525184500
2015-04-23,4230,4245,4170,4210,684100,2877149000
2015-04-22,4235,4280,4215,4245,777500,3303634500
2015-04-21,4180,4295,4175,4180,796000,3348612500
2015-04-20,4055,4200,4050,4125,1001200,4141876000
2015-04-17,4080,4110,4020,4035,658100,2669005500
2015-04-16,4055,4105,4025,4070,670900,2727953000
2015-04-15,4085,4100,4025,4060,530100,2151230000
2015-04-14,4090,4150,4090,4120,391800,1615335500
2015-04-13,4135,4160,4105,4130,566800,2339479000
2015-04-10,4240,4260,4160,4165,1140400,4789086000
2015-04-09,4195,4230,4150,4205,577200,2420433000
2015-04-08,4125,4225,4125,4195,924200,3865815500
2015-04-07,4005,4095,3990,4075,919300,3731917000
2015-04-06,3940,3980,3920,3975,442800,1752979000
2015-04-03,3995,4030,3980,3985,591600,2365313500
2015-04-02,3990,4010,3960,3980,749700,2987374000
2015-04-01,3980,4000,3900,3950,1157400,4571242500
2015-03-31,4030,4065,3960,3960,1094100,4370081000
2015-03-30,3985,4065,3980,4045,1003700,4054204000
2015-03-27,4080,4110,3945,3995,1593200,6407033000
2015-03-26,4105,4125,4075,4100,1009600,4138214000
2015-03-25,4205,4215,4145,4175,1363200,5686693000
2015-03-24,4350,4365,4215,4220,1220900,5214358000
2015-03-23,4350,4375,4310,4315,572000,2481152000
2015-03-20,4225,4330,4215,4315,885100,3796520500
2015-03-19,4205,4215,4155,4190,909100,3802412500
2015-03-18,4200,4265,4190,4250,643900,2719318000
2015-03-17,4230,4230,4185,4200,607600,2555697000
2015-03-16,4240,4280,4225,4230,730100,3096369500
2015-03-13,4180,4255,4140,4225,2520300,10576697500
2015-03-12,4100,4130,4050,4125,810400,3321458500
2015-03-11,4065,4175,4050,4140,823500,3406366500
2015-03-10,4080,4155,4050,4075,1131900,4626127000
2015-03-09,4075,4115,4050,4115,820000,3354847000
2015-03-06,4080,4115,4015,4110,1323300,5402657000
2015-03-05,4005,4105,4000,4090,958400,3901551000
2015-03-04,4080,4165,4055,4105,1494700,6141161000
2015-03-03,4035,4195,4035,4165,1570700,6513100000
2015-03-02,4065,4165,4015,4035,1239300,5021957500
2015-02-27,3995,4070,3985,4070,1448300,5848042000
2015-02-26,3900,4050,3900,3965,1777600,7071745000
2015-02-25,3810,3870,3800,3850,981200,3767736000
2015-02-24,3790,3840,3760,3815,1566400,5951357500
2015-02-23,3700,3745,3665,3725,1322500,4906093500
2015-02-20,3630,3710,3625,3645,1273800,4663888500
2015-02-19,3500,3650,3485,3625,1991100,7139911000
2015-02-18,3410,3415,3365,3400,668200,2269134500
2015-02-17,3390,3405,3380,3390,443900,1505046500
2015-02-16,3390,3410,3360,3375,825500,2796326500
2015-02-13,3380,3425,3365,3390,851600,2881922500
2015-02-12,3445,3460,3390,3400,587200,2006593500
2015-02-10,3385,3410,3370,3390,530300,1797273000
2015-02-09,3390,3425,3375,3415,573600,1953297500
2015-02-06,3320,3380,3300,3380,771300,2585778500
2015-02-05,3270,3315,3270,3290,1345600,4424926000
2015-02-04,3280,3320,3280,3305,587400,1942468000
2015-02-03,3300,3310,3255,3260,858500,2813947500
2015-02-02,3335,3350,3305,3310,490000,1627751000
2015-01-30,3370,3390,3320,3345,673600,2256927500
2015-01-29,3315,3360,3295,3315,906300,3010227500
2015-01-28,3230,3345,3225,3325,814400,2693593500
2015-01-27,3245,3275,3235,3255,560300,1825342000
2015-01-26,3165,3205,3150,3200,786600,2505109500
2015-01-23,3255,3260,3200,3215,763900,2463246500
2015-01-22,3195,3275,3190,3240,1345900,4343734000
2015-01-21,3180,3215,3170,3205,1088200,3475715500
2015-01-20,3160,3200,3160,3180,761900,2423135500
2015-01-19,3150,3170,3135,3155,838700,2642017500
2015-01-16,3105,3140,3080,3125,1435100,4460018000
2015-01-15,3120,3160,3120,3150,807000,2535171500
2015-01-14,3155,3195,3115,3125,1105100,3472858500
2015-01-13,3135,3215,3125,3180,1529200,4837315000
2015-01-09,3150,3165,3120,3140,1594000,5015431000
2015-01-08,3190,3200,3130,3155,1414700,4458682500
2015-01-07,3145,3210,3115,3120,1513900,4753579500
2015-01-06,3280,3285,3155,3160,1559900,4982094500
2015-01-05,3330,3365,3320,3330,728500,2431876500
2014-12-30,3390,3420,3335,3340,860000,2887784500
2014-12-29,3495,3505,3365,3410,1070300,3662844000
2014-12-26,3525,3555,3470,3475,756600,2648491500
2014-12-25,3640,3655,3630,3650,519600,1892180500
2014-12-24,3680,3680,3620,3645,705300,2570130000
2014-12-22,3630,3650,3605,3630,696400,2529895500
2014-12-19,3645,3645,3595,3630,772900,2798044000
2014-12-18,3515,3575,3495,3575,883300,3130345000
2014-12-17,3420,3485,3420,3460,988700,3417646000
2014-12-16,3445,3460,3405,3420,1324000,4530760500
2014-12-15,3460,3550,3455,3515,732500,2569610500
2014-12-12,3530,3560,3520,3525,1909800,6744197000
2014-12-11,3515,3550,3490,3535,576100,2032895500
2014-12-10,3570,3610,3535,3550,599800,2138349000
2014-12-09,3635,3670,3620,3635,405200,1474827000
2014-12-08,3640,3655,3605,3635,484500,1757543000
2014-12-05,3605,3650,3600,3650,487600,1772626000
2014-12-04,3685,3700,3625,3650,681600,2490790500
2014-12-03,3715,3745,3675,3685,946100,3502798000
2014-12-02,3605,3725,3600,3715,990100,3649660000
2014-12-01,3605,3655,3600,3640,508600,1848992500
2014-11-28,3595,3615,3575,3605,637900,2295057500
2014-11-27,3585,3595,3555,3580,635500,2275659000
2014-11-26,3525,3615,3525,3595,759100,2722954500
2014-11-25,3595,3605,3520,3540,1023100,3625498000
2014-11-21,3565,3595,3525,3555,1283700,4559825500
2014-11-20,3605,3625,3585,3595,825600,2975215000
2014-11-19,3585,3605,3555,3555,857800,3063755500
2014-11-18,3605,3630,3570,3605,977000,3515996500
2014-11-17,3675,3675,3530,3555,1078100,3871803500
2014-11-14,3685,3750,3665,3720,2844600,10510858000
2014-11-13,3670,3710,3580,3695,1126400,4139482500
2014-11-12,3740,3800,3730,3740,1234700,4640822000
2014-11-11,3690,3745,3650,3735,1730100,6420269500
2014-11-10,3680,3720,3665,3690,772500,2853913000
2014-11-07,3725,3750,3695,3715,860600,3198234000
2014-11-06,3745,3760,3680,3690,1212100,4502190500
2014-11-05,3690,3770,3685,3750,1468800,5496097000
2014-11-04,3790,3795,3710,3710,1715300,6430136000
2014-10-31,3550,3720,3525,3675,1448800,5270638000
2014-10-30,3530,3545,3510,3525,464200,1637391500
2014-10-29,3470,3545,3470,3530,638700,2248091000
2014-10-28,3420,3460,3415,3450,396200,1363502000
2014-10-27,3460,3465,3405,3430,413200,1418311500
2014-10-24,3415,3430,3370,3415,555700,1892360500
2014-10-23,3385,3410,3355,3365,423700,1428774500
2014-10-22,3345,3410,3340,3410,763300,2580313000
2014-10-21,3370,3375,3295,3295,811100,2691857000
2014-10-20,3360,3395,3345,3390,852700,2877954000
2014-10-17,3305,3345,3280,3280,803500,2656670500
2014-10-16,3250,3300,3240,3285,1207400,3956849000
2014-10-15,3435,3450,3375,3390,596500,2026743000
2014-10-14,3385,3460,3375,3405,764600,2610155500
2014-10-10,3490,3515,3425,3450,1183300,4108286500
2014-10-09,3545,3555,3500,3515,613800,2161128500
2014-10-08,3520,3560,3520,3540,541300,1917510500
2014-10-07,3580,3600,3530,3560,850400,3030187000
2014-10-06,3580,3645,3580,3635,752900,2727224000
2014-10-03,3545,3565,3500,3565,1279200,4527780500
2014-10-02,3620,3675,3585,3585,1088900,3942391000
