4708-T,東証1部,りらいあ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1188,1188,1164,1177,168500,197931300
2015-10-01,1248,1249,1186,1198,338800,409010100
2015-09-30,1243,1259,1229,1235,214400,266930800
2015-09-29,1240,1257,1240,1243,273400,341595500
2015-09-28,1229,1265,1220,1257,160200,200325600
2015-09-25,1208,1228,1204,1226,191800,233094200
2015-09-24,1230,1243,1198,1199,176200,213162700
2015-09-18,1247,1256,1237,1244,128000,159486300
2015-09-17,1254,1256,1220,1252,154000,191047800
2015-09-16,1250,1254,1228,1247,189000,235359300
2015-09-15,1246,1254,1235,1245,167000,208128200
2015-09-14,1253,1262,1233,1244,159700,199329700
2015-09-11,1265,1269,1234,1253,212200,267161000
2015-09-10,1198,1224,1187,1219,109100,131731600
2015-09-09,1216,1240,1200,1220,191900,233190900
2015-09-08,1165,1197,1160,1186,223600,264810300
2015-09-07,1135,1179,1132,1165,167800,194508600
2015-09-04,1165,1172,1119,1141,153700,175267300
2015-09-03,1150,1184,1150,1156,155400,181575000
2015-09-02,1150,1165,1133,1140,118000,135456200
2015-09-01,1233,1237,1169,1170,256700,306733300
2015-08-31,1233,1242,1203,1239,191500,235062200
2015-08-28,1219,1241,1190,1233,482400,589496000
2015-08-27,1188,1232,1180,1184,185000,221685300
2015-08-26,1166,1187,1141,1171,214000,248160900
2015-08-25,1100,1189,1098,1136,331800,378453900
2015-08-24,1196,1208,1143,1143,265700,312593100
2015-08-21,1240,1263,1235,1236,178200,221853300
2015-08-20,1292,1312,1274,1275,250800,324049700
2015-08-19,1269,1324,1269,1307,504000,656931000
2015-08-18,1217,1265,1214,1263,493600,616926900
2015-08-17,1216,1226,1186,1195,200600,240146300
2015-08-14,1200,1228,1197,1216,190800,231568000
2015-08-13,1187,1211,1181,1207,207500,248283000
2015-08-12,1201,1202,1190,1193,209800,250517500
2015-08-11,1201,1209,1190,1202,230500,276537300
2015-08-10,1193,1215,1188,1200,354600,425150400
2015-08-07,1205,1205,1187,1193,218500,260797600
2015-08-06,1216,1216,1201,1207,181900,219750200
2015-08-05,1210,1221,1200,1209,214100,259270700
2015-08-04,1223,1223,1207,1216,221800,269356700
2015-08-03,1219,1229,1202,1225,278900,339852500
2015-07-31,1271,1272,1263,1266,103000,130582500
2015-07-30,1282,1282,1266,1269,140600,178667600
2015-07-29,1282,1289,1266,1275,122200,156164000
2015-07-28,1280,1286,1262,1271,149200,190182500
2015-07-27,1303,1312,1279,1284,96900,125032900
2015-07-24,1338,1338,1303,1307,116600,153386600
2015-07-23,1327,1344,1327,1341,65700,87944100
2015-07-22,1345,1347,1320,1323,121800,162055900
2015-07-21,1347,1359,1336,1352,149800,202431700
2015-07-17,1326,1353,1317,1343,220500,294662100
2015-07-16,1344,1352,1315,1320,176800,235128000
2015-07-15,1330,1340,1318,1340,98300,131012000
2015-07-14,1341,1345,1309,1322,149700,198199600
2015-07-13,1321,1328,1312,1317,87200,115028600
2015-07-10,1306,1339,1296,1313,243600,320933400
2015-07-09,1320,1320,1270,1295,231800,299039600
2015-07-08,1375,1380,1340,1340,181800,246088200
2015-07-07,1365,1397,1361,1380,160200,221611300
2015-07-06,1365,1374,1347,1352,123500,167601100
2015-07-03,1368,1390,1361,1379,139300,192225400
2015-07-02,1375,1380,1362,1369,187700,257581700
2015-07-01,1369,1391,1351,1368,204600,280339000
2015-06-30,1350,1384,1350,1371,175400,240826100
2015-06-29,1345,1381,1336,1358,200200,272330000
2015-06-26,1392,1397,1367,1379,145400,200591600
2015-06-25,1377,1406,1377,1396,297100,414562700
2015-06-24,1388,1392,1366,1375,234500,322967800
2015-06-23,1420,1425,1375,1387,276900,383589100
2015-06-22,1394,1412,1385,1410,153600,215310400
2015-06-19,1434,1441,1398,1399,226000,318395100
2015-06-18,1441,1474,1432,1433,110100,159102700
2015-06-17,1471,1488,1445,1448,333200,486559000
2015-06-16,1471,1485,1462,1470,197900,291693200
2015-06-15,1481,1490,1471,1479,90700,134114900
2015-06-12,1499,1512,1487,1491,182000,272593600
2015-06-11,1468,1512,1465,1511,147100,220444300
2015-06-10,1490,1494,1458,1465,221000,325870600
2015-06-09,1487,1532,1482,1486,274400,413605900
2015-06-08,1535,1535,1487,1488,142800,214169700
2015-06-05,1503,1536,1473,1527,258300,390424400
2015-06-04,1515,1528,1498,1503,218800,329958400
2015-06-03,1491,1516,1454,1502,292700,436336700
2015-06-02,1490,1544,1470,1538,368200,556649800
2015-06-01,1475,1490,1460,1472,152400,224635300
2015-05-29,1460,1481,1452,1475,192000,282910600
2015-05-28,1461,1469,1450,1466,111600,163062900
2015-05-27,1448,1465,1447,1461,89900,131205400
2015-05-26,1445,1465,1438,1457,119900,174594300
2015-05-25,1470,1483,1449,1457,177400,259346900
2015-05-22,1460,1469,1438,1465,153200,222877500
2015-05-21,1456,1465,1441,1461,148700,216427700
2015-05-20,1435,1467,1427,1456,250600,363073800
2015-05-19,1442,1444,1428,1435,143400,205876600
2015-05-18,1436,1445,1417,1443,185600,266309700
2015-05-15,1404,1432,1400,1428,232600,330461000
2015-05-14,1407,1409,1381,1399,232100,324736400
2015-05-13,1357,1411,1347,1407,358000,497743000
2015-05-12,1330,1357,1322,1352,282100,378759700
2015-05-11,1324,1358,1312,1329,413100,549159600
2015-05-08,1261,1303,1261,1296,112400,145051000
2015-05-07,1254,1289,1254,1269,119000,151529300
2015-05-01,1288,1302,1263,1269,154900,197455700
2015-04-30,1270,1300,1267,1297,166300,213814600
2015-04-28,1294,1295,1274,1285,101200,129795600
2015-04-27,1300,1305,1288,1288,74400,96435200
2015-04-24,1310,1312,1282,1305,187400,243181400
2015-04-23,1321,1331,1302,1311,152300,199989000
2015-04-22,1330,1332,1307,1321,158700,209008600
2015-04-21,1319,1327,1308,1327,140100,184495300
2015-04-20,1319,1327,1310,1318,170500,225048000
2015-04-17,1355,1357,1319,1336,219600,293299400
2015-04-16,1367,1374,1343,1368,197900,268235800
2015-04-15,1382,1394,1349,1352,259800,354198800
2015-04-14,1403,1420,1381,1383,155600,217365100
2015-04-13,1402,1404,1386,1396,160200,223664700
2015-04-10,1399,1405,1389,1398,173800,243081500
2015-04-09,1408,1415,1395,1399,202700,284640200
2015-04-08,1399,1404,1387,1398,165300,231006500
2015-04-07,1397,1403,1380,1392,173700,241998100
2015-04-06,1382,1401,1369,1396,156900,218382800
2015-04-03,1379,1395,1375,1392,126700,176020100
2015-04-02,1357,1394,1357,1368,336200,462750900
2015-04-01,1317,1352,1301,1341,406100,538530100
2015-03-31,1340,1341,1307,1311,225700,298396000
2015-03-30,1361,1361,1323,1333,247100,330878700
2015-03-27,1405,1420,1367,1370,275400,383236400
2015-03-26,1446,1449,1421,1436,239800,344313000
2015-03-25,1448,1466,1446,1458,288100,419806300
2015-03-24,1431,1447,1425,1438,304500,437562600
2015-03-23,1418,1444,1413,1442,309100,441705100
2015-03-20,1414,1433,1404,1405,209700,296161900
2015-03-19,1403,1416,1381,1410,219200,307371200
2015-03-18,1390,1416,1365,1412,308100,431474500
2015-03-17,1401,1404,1396,1399,167000,233811000
2015-03-16,1396,1400,1388,1397,161100,224657800
2015-03-13,1394,1404,1386,1394,395100,550822100
2015-03-12,1400,1407,1387,1394,239100,333624000
2015-03-11,1373,1399,1371,1395,178600,248299000
2015-03-10,1390,1392,1373,1378,193700,267876600
2015-03-09,1371,1387,1360,1384,237900,328003100
2015-03-06,1349,1365,1348,1365,157700,214055400
2015-03-05,1348,1359,1339,1349,197700,266404600
2015-03-04,1345,1353,1334,1348,284000,381547400
2015-03-03,1330,1350,1325,1341,132600,177890600
2015-03-02,1296,1336,1295,1334,164800,218095900
2015-02-27,1297,1305,1280,1297,222200,287800400
2015-02-26,1319,1324,1289,1297,341900,444977100
2015-02-25,1345,1346,1326,1329,176400,235189700
2015-02-24,1354,1358,1337,1340,172500,232008200
2015-02-23,1342,1358,1336,1355,180700,244241500
2015-02-20,1336,1356,1325,1349,349500,468551000
2015-02-19,1348,1348,1319,1331,291100,387745800
2015-02-18,1366,1376,1352,1360,247100,336915100
2015-02-17,1369,1369,1351,1357,155300,211118800
2015-02-16,1350,1370,1344,1367,198000,269732900
2015-02-13,1324,1358,1318,1356,394200,530189800
2015-02-12,1300,1335,1290,1324,374300,495502600
2015-02-10,1284,1293,1273,1286,191900,246718800
2015-02-09,1300,1329,1281,1296,429400,559100100
2015-02-06,1272,1281,1253,1263,275000,348387600
2015-02-05,1290,1296,1271,1271,216900,277297000
2015-02-04,1285,1302,1284,1300,184600,239336400
2015-02-03,1291,1299,1280,1288,215800,277632900
2015-02-02,1290,1300,1273,1297,203900,262942100
2015-01-30,1304,1310,1299,1305,228700,298150700
2015-01-29,1287,1303,1276,1302,226900,294620200
2015-01-28,1301,1307,1293,1300,200300,260418300
2015-01-27,1278,1305,1266,1304,464900,601917000
2015-01-26,1250,1275,1248,1270,246500,312635900
2015-01-23,1264,1264,1239,1258,226000,282384700
2015-01-22,1263,1270,1250,1262,279400,352247500
2015-01-21,1244,1278,1242,1263,425700,535919300
2015-01-20,1230,1246,1219,1245,172300,213681000
2015-01-19,1214,1230,1214,1223,199500,243779300
2015-01-16,1198,1205,1181,1205,232600,277432200
2015-01-15,1190,1206,1187,1201,226800,271956700
2015-01-14,1170,1188,1166,1179,247600,291348600
2015-01-13,1158,1198,1131,1179,380800,443532000
2015-01-09,1142,1170,1141,1164,333100,386596800
2015-01-08,1150,1155,1121,1123,199600,226364300
2015-01-07,1117,1145,1115,1144,317600,361241100
2015-01-06,1103,1122,1101,1117,225800,251704300
2015-01-05,1113,1118,1103,1112,120600,134286900
2014-12-30,1129,1130,1114,1115,66100,73956200
2014-12-29,1110,1123,1109,1121,137000,152733500
2014-12-26,1093,1111,1093,1109,51100,56579100
2014-12-25,1104,1109,1095,1101,99500,109557900
2014-12-24,1117,1120,1102,1107,143900,159251300
2014-12-22,1130,1130,1102,1108,89900,99865900
2014-12-19,1113,1135,1099,1129,479500,540159200
2014-12-18,1063,1089,1062,1076,450200,484951500
2014-12-17,1043,1069,1043,1051,392800,414870000
2014-12-16,1059,1075,1043,1050,502700,532557700
2014-12-15,1085,1088,1070,1075,381700,411316700
2014-12-12,1100,1116,1094,1101,395100,435461000
2014-12-11,1115,1126,1103,1118,205000,228522400
2014-12-10,1120,1128,1116,1122,237700,266799400
2014-12-09,1119,1135,1117,1121,267000,299698800
2014-12-08,1129,1139,1125,1131,178900,202156000
2014-12-05,1117,1129,1117,1129,140300,157867500
2014-12-04,1123,1130,1118,1122,397400,446095100
2014-12-03,1140,1140,1125,1129,206900,233737700
2014-12-02,1140,1147,1117,1141,434500,493024500
2014-12-01,1146,1153,1135,1139,260400,297213400
2014-11-28,1144,1159,1141,1151,233400,268452200
2014-11-27,1150,1166,1146,1149,169300,195417400
2014-11-26,1183,1191,1147,1151,504300,584486200
2014-11-25,1200,1217,1183,1194,543500,650922600
2014-11-21,1192,1205,1166,1194,345600,409900100
2014-11-20,1180,1196,1177,1187,204500,242724400
2014-11-19,1198,1202,1174,1174,311800,369487700
2014-11-18,1179,1208,1175,1206,490100,585914100
2014-11-17,1173,1173,1126,1159,587200,675713900
2014-11-14,1219,1221,1158,1173,615200,728216700
2014-11-13,1216,1225,1171,1206,831200,994031500
2014-11-12,1188,1251,1188,1213,1752600,2140355100
2014-11-11,1168,1175,1141,1166,797600,924819800
2014-11-10,1110,1179,1095,1168,677700,780619300
2014-11-07,1110,1110,1085,1094,201800,221303000
2014-11-06,1118,1125,1047,1106,231800,257839400
2014-11-05,1112,1124,1109,1116,182100,203162800
2014-11-04,1120,1134,1107,1122,530500,595558600
2014-10-31,1082,1108,1073,1102,362300,396416900
2014-10-30,1068,1085,1064,1076,277200,298960300
2014-10-29,1059,1067,1056,1065,114800,122133300
2014-10-28,1061,1066,1047,1059,145900,154526100
2014-10-27,1054,1070,1052,1058,193600,204883700
2014-10-24,1045,1048,1029,1044,176600,183722300
2014-10-23,1041,1042,1016,1028,125400,128712800
2014-10-22,1004,1045,1000,1044,456100,468447000
2014-10-21,1015,1016,970,995,475400,471022100
2014-10-20,1000,1044,1000,1017,441100,447586700
2014-10-17,962,971,940,940,173500,165184000
2014-10-16,976,979,965,969,220800,214379200
2014-10-15,980,992,975,984,146000,143402400
2014-10-14,981,995,973,979,200900,197044800
2014-10-10,1000,1014,996,1000,136100,136307300
2014-10-09,1017,1023,1008,1012,115000,116719800
2014-10-08,1005,1022,1005,1018,152400,154478700
2014-10-07,1017,1030,1017,1022,213100,218075000
2014-10-06,1019,1031,1015,1024,76000,77911500
2014-10-03,1002,1015,1002,1009,91700,92637200
2014-10-02,1016,1029,1003,1008,277500,281187500
2014-10-01,1038,1043,1024,1033,265400,274337900
2014-09-30,1067,1067,1026,1040,244900,255932000
2014-09-29,1062,1068,1054,1061,109300,115997900
2014-09-26,1051,1063,1050,1055,198900,209908900
2014-09-25,1053,1070,1046,1069,211300,224383600
