4718-T,東証1部,早稲アカ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,794,795,789,794,1600,1269800
2015-10-01,790,795,790,794,5200,4121100
2015-09-30,783,796,783,795,3800,3009900
2015-09-29,796,801,780,780,9500,7502900
2015-09-28,804,805,802,803,3200,2568800
2015-09-25,803,805,798,805,5500,4410600
2015-09-24,805,812,800,800,13500,10864400
2015-09-18,807,811,807,807,3600,2909500
2015-09-17,806,812,805,806,6700,5409400
2015-09-16,807,807,802,804,6700,5386700
2015-09-15,810,813,804,806,11300,9125800
2015-09-14,816,817,808,808,7200,5855600
2015-09-11,811,822,811,820,6000,4876700
2015-09-10,811,813,807,809,4500,3642300
2015-09-09,810,817,802,817,10000,8067000
2015-09-08,803,805,802,802,3600,2891300
2015-09-07,807,817,803,803,4900,3947500
2015-09-04,822,822,806,807,5500,4463300
2015-09-03,832,832,818,818,4500,3713500
2015-09-02,825,825,818,818,10700,8794100
2015-09-01,836,844,832,832,5600,4691400
2015-08-31,845,845,837,839,5700,4786100
2015-08-28,850,855,842,846,2600,2199600
2015-08-27,832,842,832,837,1100,920500
2015-08-26,832,860,824,827,8000,6645500
2015-08-25,820,850,805,832,12300,10222600
2015-08-24,840,855,832,832,22100,18619200
2015-08-21,863,866,855,855,7600,6529900
2015-08-20,862,875,860,873,5000,4336500
2015-08-19,873,873,867,868,3900,3388300
2015-08-18,880,880,875,878,3600,3157400
2015-08-17,875,888,872,880,7700,6786600
2015-08-14,872,882,861,871,10700,9346400
2015-08-13,855,874,851,869,11600,9990300
2015-08-12,854,865,847,858,11300,9633400
2015-08-11,858,864,846,858,15900,13596700
2015-08-10,864,874,850,860,17700,15205800
2015-08-07,870,877,868,869,3900,3393600
2015-08-06,875,876,871,873,5000,4369100
2015-08-05,875,879,868,878,3800,3326300
2015-08-04,879,879,874,877,3500,3070100
2015-08-03,886,886,861,880,6600,5813900
2015-07-31,885,893,881,886,4800,4252000
2015-07-30,890,890,881,885,8700,7702300
2015-07-29,885,890,883,888,6600,5847800
2015-07-28,885,890,883,883,7900,7002600
2015-07-27,887,891,883,888,5100,4521400
2015-07-24,887,893,883,885,7100,6301000
2015-07-23,883,887,880,887,6400,5657800
2015-07-22,878,882,870,878,3000,2630900
2015-07-21,884,889,878,878,9100,8046400
2015-07-17,881,888,878,882,14300,12629200
2015-07-16,869,878,868,871,3900,3396300
2015-07-15,879,879,868,869,3800,3315400
2015-07-14,873,875,870,873,2500,2181300
2015-07-13,851,875,851,865,7900,6861800
2015-07-10,850,857,846,851,6500,5536400
2015-07-09,842,854,841,848,8200,6929000
2015-07-08,867,870,856,856,5900,5082800
2015-07-07,870,870,866,867,2700,2343900
2015-07-06,865,868,860,862,8300,7160200
2015-07-03,872,886,867,868,4100,3573300
2015-07-02,872,875,868,872,4400,3834100
2015-07-01,874,874,863,870,7700,6682900
2015-06-30,874,875,865,874,6300,5478600
2015-06-29,864,881,862,866,10200,8855000
2015-06-26,878,899,873,874,10300,9100900
2015-06-25,875,887,875,878,3100,2729200
2015-06-24,889,889,877,883,6800,6015800
2015-06-23,875,897,874,882,13800,12191300
2015-06-22,855,876,855,871,21800,18977400
2015-06-19,853,861,853,857,4600,3940800
2015-06-18,856,865,855,856,7200,6193600
2015-06-17,859,859,855,856,1100,942000
2015-06-16,855,856,854,855,1600,1368500
