4762-T,東証1部,エックスネット,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1455,1475,1443,1465,6200,9044900
2015-10-01,1461,1465,1456,1465,1600,2340100
2015-09-30,1462,1462,1450,1455,1700,2477100
2015-09-29,1470,1488,1448,1453,5900,8601100
2015-09-28,1476,1486,1476,1486,300,444300
2015-09-25,1491,1504,1490,1504,3600,5388900
2015-09-24,1493,1540,1493,1516,4900,7441800
2015-09-18,1492,1499,1480,1493,2700,4020100
2015-09-17,1479,1495,1479,1492,1900,2828400
2015-09-16,1489,1489,1475,1477,2900,4302300
2015-09-15,1499,1500,1483,1489,2000,2981400
2015-09-14,1500,1500,1491,1491,1100,1645900
2015-09-11,1500,1500,1489,1491,4100,6140500
2015-09-10,1461,1504,1461,1482,2400,3533700
2015-09-09,1468,1494,1468,1491,8000,11814600
2015-09-08,1459,1475,1457,1457,6100,8948800
2015-09-07,1497,1505,1432,1478,7200,10625300
2015-09-04,1520,1520,1480,1497,8400,12636100
2015-09-03,1510,1525,1510,1513,2100,3184700
2015-09-02,1500,1528,1500,1510,3800,5741300
2015-09-01,1531,1542,1522,1528,2700,4143500
2015-08-31,1530,1534,1522,1531,2700,4129600
2015-08-28,1528,1538,1500,1524,6000,9123500
2015-08-27,1550,1550,1519,1527,3300,5084000
2015-08-26,1471,1585,1471,1518,9200,14149200
2015-08-25,1460,1530,1460,1468,6200,9232700
2015-08-24,1533,1567,1500,1502,9200,14056900
2015-08-21,1560,1585,1545,1548,6900,10742200
2015-08-20,1575,1599,1574,1575,1900,3001600
2015-08-19,1591,1602,1576,1584,10100,16071200
2015-08-18,1591,1618,1591,1599,2100,3358800
2015-08-17,1600,1620,1600,1603,3200,5153400
2015-08-14,1600,1600,1582,1593,5700,9067500
2015-08-13,1582,1629,1582,1588,3600,5753500
2015-08-12,1605,1605,1582,1590,2000,3191700
2015-08-11,1592,1616,1592,1604,10000,16075400
2015-08-10,1570,1592,1570,1592,5600,8863200
2015-08-07,1567,1569,1565,1567,1300,2037000
2015-08-06,1585,1585,1564,1567,6100,9584500
2015-08-05,1586,1589,1573,1573,7300,11507300
2015-08-04,1587,1588,1581,1586,3700,5865400
2015-08-03,1588,1588,1568,1577,2200,3461800
2015-07-31,1584,1589,1573,1588,3300,5222400
2015-07-30,1572,1595,1572,1584,10700,16948000
2015-07-29,1566,1609,1556,1559,13800,21795600
2015-07-28,1560,1579,1560,1566,2100,3298600
2015-07-27,1565,1584,1561,1561,7800,12219400
2015-07-24,1574,1574,1553,1568,2000,3130600
2015-07-23,1560,1575,1560,1574,6600,10343700
2015-07-22,1562,1562,1556,1556,1700,2651300
