4801-T,東証1部,セントラルSP,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2325,2338,2311,2313,6000,13925600
2015-10-01,2308,2340,2305,2325,7900,18305300
2015-09-30,2345,2345,2303,2303,5400,12544300
2015-09-29,2377,2382,2297,2297,18100,42002200
2015-09-28,2400,2400,2363,2377,44100,105452400
2015-09-25,2430,2448,2410,2448,37700,91587100
2015-09-24,2440,2447,2416,2431,24100,58686000
2015-09-18,2402,2447,2390,2442,16300,39410300
2015-09-17,2387,2405,2382,2402,13000,31061900
2015-09-16,2422,2423,2382,2387,13000,31186400
2015-09-15,2399,2419,2391,2396,8000,19199600
2015-09-14,2412,2423,2395,2396,13100,31538300
2015-09-11,2355,2435,2355,2425,19200,45702400
2015-09-10,2391,2411,2388,2395,8100,19419400
2015-09-09,2390,2424,2370,2424,12100,28958100
2015-09-08,2350,2389,2322,2323,11500,27003300
2015-09-07,2350,2365,2318,2365,14300,33525800
2015-09-04,2453,2455,2355,2367,18000,43037700
2015-09-03,2500,2500,2429,2432,10500,25840000
2015-09-02,2390,2496,2388,2429,23600,57515000
2015-09-01,2572,2572,2456,2465,20800,52207800
2015-08-31,2578,2578,2545,2570,12100,31051000
2015-08-28,2550,2550,2520,2543,14800,37588000
2015-08-27,2480,2509,2471,2493,14300,35610200
2015-08-26,2355,2448,2353,2430,22500,54058600
2015-08-25,2250,2454,2203,2355,52700,121841400
2015-08-24,2423,2483,2352,2358,37100,89877800
2015-08-21,2480,2560,2465,2523,26800,67499800
2015-08-20,2560,2590,2540,2540,13200,33771800
2015-08-19,2608,2632,2591,2591,21900,57239100
2015-08-18,2588,2608,2586,2608,12600,32741000
2015-08-17,2550,2589,2550,2588,9000,23179800
2015-08-14,2537,2583,2535,2560,15100,38584000
2015-08-13,2545,2565,2524,2535,13000,32973200
2015-08-12,2595,2595,2534,2550,14400,36822400
2015-08-11,2592,2600,2583,2593,13100,33964100
2015-08-10,2522,2619,2522,2611,39200,101577000
2015-08-07,2521,2521,2482,2495,10000,25019500
2015-08-06,2502,2529,2501,2514,19700,49517100
2015-08-05,2462,2505,2462,2495,20000,49840000
2015-08-04,2453,2468,2447,2464,12100,29715200
2015-08-03,2480,2487,2430,2453,26300,64887700
2015-07-31,2400,2490,2399,2490,48400,118526500
2015-07-30,2350,2400,2346,2400,28000,66532100
2015-07-29,2347,2349,2338,2347,8500,19927900
2015-07-28,2302,2348,2300,2341,14500,33642000
2015-07-27,2339,2350,2300,2323,23000,53679700
2015-07-24,2340,2344,2331,2339,7700,18004700
2015-07-23,2330,2342,2326,2342,5600,13060600
2015-07-22,2344,2344,2323,2328,6000,14006100
2015-07-21,2344,2350,2340,2344,9600,22506100
2015-07-17,2345,2345,2335,2344,7200,16864700
2015-07-16,2315,2345,2315,2342,16200,37829400
2015-07-15,2309,2324,2301,2318,14900,34480100
2015-07-14,2310,2320,2302,2310,17200,39736600
2015-07-13,2285,2285,2250,2282,11000,24999200
2015-07-10,2275,2287,2257,2265,14000,31800700
2015-07-09,2260,2260,2201,2245,29900,66728400
2015-07-08,2308,2324,2280,2280,17800,40928100
2015-07-07,2313,2314,2307,2314,5800,13411000
2015-07-06,2303,2303,2286,2288,11900,27303400
2015-07-03,2315,2319,2303,2304,6100,14106500
2015-07-02,2320,2320,2309,2317,6700,15524700
2015-07-01,2304,2318,2290,2315,10500,24228000
2015-06-30,2280,2305,2280,2299,12700,29084900
2015-06-29,2290,2298,2280,2292,18400,42125700
2015-06-26,2320,2326,2310,2310,6000,13894600
2015-06-25,2320,2333,2320,2321,7400,17201600
2015-06-24,2318,2339,2318,2327,13900,32362700
2015-06-23,2311,2330,2310,2329,9800,22767600
2015-06-22,2325,2333,2301,2327,8300,19266200
2015-06-19,2325,2340,2305,2316,11900,27629600
2015-06-18,2335,2338,2312,2325,12100,28162100
2015-06-17,2297,2335,2296,2326,22200,51493600
2015-06-16,2274,2310,2274,2302,21400,49156200
2015-06-15,2275,2289,2273,2281,5700,12988900
2015-06-12,2273,2300,2273,2283,23300,53037100
2015-06-11,2295,2299,2283,2296,5900,13517400
2015-06-10,2281,2299,2272,2286,6800,15546600
2015-06-09,2293,2295,2281,2281,7500,17176400
2015-06-08,2276,2299,2270,2293,14900,34063500
