4820-T,東証1部,EMシステムズ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2321,2331,2281,2317,4700,10858500
2015-10-01,2262,2348,2212,2321,11400,26342200
2015-09-30,2156,2240,2118,2240,4900,10789200
2015-09-29,2128,2178,2112,2130,9600,20490300
2015-09-28,2190,2190,2140,2175,6100,13258900
2015-09-25,2140,2161,2061,2160,14000,29725700
2015-09-24,2033,2033,2010,2019,2900,5856800
2015-09-18,2055,2092,2011,2070,3400,7009900
2015-09-17,2097,2110,2051,2086,3900,8093000
2015-09-16,2090,2090,2066,2072,2000,4154100
2015-09-15,2044,2099,2044,2090,2600,5397400
2015-09-14,2075,2077,2029,2044,3300,6788800
2015-09-11,2063,2088,2041,2070,6800,14045000
2015-09-10,1972,2100,1972,2013,4500,9175700
2015-09-09,1976,2038,1976,2006,2400,4817400
2015-09-08,1977,1995,1953,1953,4100,8078000
2015-09-07,1954,2004,1921,1985,4900,9624700
2015-09-04,2040,2040,1954,1954,6600,13078500
2015-09-03,2056,2106,2020,2020,6600,13522800
2015-09-02,2016,2110,1970,2048,9200,18761600
2015-09-01,2180,2183,2042,2042,10600,22612000
2015-08-31,2152,2191,2152,2189,3600,7808400
2015-08-28,2124,2185,2124,2178,4900,10559500
2015-08-27,2097,2160,2097,2111,7500,15941200
2015-08-26,1978,2118,1978,2051,15500,31802200
2015-08-25,1912,2071,1912,1978,27200,54348900
2015-08-24,2119,2233,2007,2011,26500,56385100
2015-08-21,2305,2318,2245,2278,7500,17181000
2015-08-20,2327,2331,2231,2305,7300,16875100
2015-08-19,2333,2340,2318,2320,4700,10940700
2015-08-18,2315,2340,2310,2334,7200,16788400
2015-08-17,2320,2340,2290,2308,11300,26218900
2015-08-14,2288,2314,2288,2297,4900,11288600
2015-08-13,2268,2316,2268,2283,9700,22232500
2015-08-12,2310,2312,2255,2269,10600,24121800
2015-08-11,2330,2354,2300,2324,21200,49434600
2015-08-10,2255,2311,2255,2294,7600,17424700
2015-08-07,2256,2295,2254,2270,8300,18862000
2015-08-06,2278,2308,2250,2295,10500,23995900
2015-08-05,2259,2287,2227,2256,6400,14462000
2015-08-04,2288,2293,2250,2259,4100,9325000
2015-08-03,2243,2326,2234,2288,10800,24604800
2015-07-31,2245,2245,2158,2233,10600,23344600
2015-07-30,2192,2255,2192,2222,2900,6460000
2015-07-29,2234,2234,2174,2184,10800,23654400
2015-07-28,2252,2252,2192,2214,11600,25750700
2015-07-27,2274,2274,2214,2253,9700,21923300
2015-07-24,2300,2300,2270,2274,5800,13223100
2015-07-23,2291,2299,2271,2299,3900,8929000
2015-07-22,2271,2290,2270,2270,4800,10909800
2015-07-21,2290,2290,2276,2276,5000,11410800
2015-07-17,2287,2301,2270,2270,4600,10535000
2015-07-16,2265,2280,2250,2278,2800,6345300
2015-07-15,2250,2280,2219,2262,9100,20506000
2015-07-14,2230,2255,2212,2246,4000,8961200
2015-07-13,2244,2244,2198,2216,3100,6879400
2015-07-10,2185,2257,2185,2199,7600,16860300
2015-07-09,2181,2199,2077,2185,16400,35242400
2015-07-08,2281,2310,2211,2222,7800,17621600
2015-07-07,2294,2319,2272,2305,17200,39537500
