4825-T,東証1部,WNIウェザー,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,3805,3925,3780,3910,48900,189278500
2015-10-01,3820,3865,3785,3805,40500,154415000
2015-09-30,3820,3865,3720,3800,65600,247823000
2015-09-29,3960,4000,3765,3790,66100,254849000
2015-09-28,3895,3990,3825,3985,45300,178244000
2015-09-25,3760,3840,3740,3830,29000,109973000
2015-09-24,3805,3865,3750,3760,36400,138029500
2015-09-18,3840,3895,3805,3850,24700,95257500
2015-09-17,3830,3840,3775,3835,21900,83549000
2015-09-16,3900,3900,3760,3810,41800,159077000
2015-09-15,3810,3890,3810,3845,30300,116730000
2015-09-14,3800,3850,3770,3810,38100,145224500
2015-09-11,3765,3860,3700,3805,47600,180137000
2015-09-10,3680,3730,3630,3730,32300,118939500
2015-09-09,3720,3740,3670,3730,38900,144273500
2015-09-08,3685,3755,3580,3600,47100,171705500
2015-09-07,3700,3720,3605,3685,41100,151173500
2015-09-04,3780,3810,3705,3730,39300,147311000
2015-09-03,3810,3905,3790,3800,41100,157679000
2015-09-02,3720,3885,3690,3740,62400,236517000
2015-09-01,3945,3965,3845,3850,43500,170380500
2015-08-31,3990,4005,3945,3995,30700,122313000
2015-08-28,4020,4055,3960,3990,47500,189890000
2015-08-27,3950,3980,3900,3920,36400,143401000
2015-08-26,3930,3930,3755,3850,62700,241601500
2015-08-25,3545,3870,3530,3650,81400,300076000
2015-08-24,3755,3905,3695,3695,80200,303327000
2015-08-21,3985,3990,3865,3890,74500,292430500
2015-08-20,4050,4080,4010,4015,29300,118504500
2015-08-19,4125,4150,4070,4085,31000,127311000
2015-08-18,4210,4210,4150,4175,17500,73055000
2015-08-17,4190,4230,4150,4195,24500,102503000
2015-08-14,4160,4205,4155,4175,38700,161528000
2015-08-13,4235,4240,4150,4225,22400,94135500
2015-08-12,4295,4320,4205,4235,37300,158451500
2015-08-11,4345,4345,4280,4295,21500,92534000
2015-08-10,4240,4330,4240,4320,33600,144347000
2015-08-07,4255,4265,4170,4225,50700,213451500
2015-08-06,4320,4345,4260,4270,34900,150044500
2015-08-05,4265,4325,4265,4315,20400,87735500
2015-08-04,4325,4355,4250,4325,29600,127679000
2015-08-03,4285,4315,4255,4310,21900,93979000
2015-07-31,4285,4285,4210,4245,35400,149959000
2015-07-30,4330,4350,4280,4300,22900,98576500
2015-07-29,4375,4375,4310,4345,22000,95482000
2015-07-28,4255,4360,4225,4345,25700,110559000
2015-07-27,4445,4450,4285,4300,50700,220301000
2015-07-24,4440,4495,4370,4415,38000,167715000
2015-07-23,4265,4445,4265,4445,77000,338778000
2015-07-22,4280,4295,4240,4265,37400,159666000
2015-07-21,4330,4330,4280,4315,33800,145605000
2015-07-17,4330,4330,4280,4320,26300,113286500
2015-07-16,4340,4340,4290,4330,29500,127349000
2015-07-15,4300,4320,4230,4310,34400,147406500
2015-07-14,4300,4310,4250,4280,46800,200191000
2015-07-13,4245,4245,4145,4230,37500,157796500
2015-07-10,4285,4285,4130,4175,88600,371576500
2015-07-09,4030,4250,3940,4245,100700,414229500
2015-07-08,4370,4370,4075,4115,120900,506339500
2015-07-07,4240,4370,4235,4330,82500,356350000
2015-07-06,4120,4300,4120,4210,71700,302352500
2015-07-03,4140,4240,4080,4220,67600,281934000
2015-07-02,4220,4255,4030,4140,164700,684277500
2015-07-01,3945,4190,3910,4185,233100,951260500
2015-06-30,3745,3950,3725,3865,251900,973508000
2015-06-29,3745,3800,3705,3720,71900,270266000
2015-06-26,3800,3885,3800,3885,55100,212482500
2015-06-25,3795,3830,3795,3815,27000,102907500
2015-06-24,3840,3845,3820,3840,27400,105023000
2015-06-23,3900,3900,3795,3840,48100,184721000
2015-06-22,3835,3920,3820,3840,77400,298155000
2015-06-19,3775,3800,3745,3800,54500,206199000
2015-06-18,3785,3795,3745,3775,59600,225165000
2015-06-17,3730,3780,3725,3760,55400,208387500
2015-06-16,3660,3735,3635,3725,109900,408082500
2015-06-15,3620,3650,3615,3635,26200,95300000
2015-06-12,3610,3660,3595,3640,40600,147341500
2015-06-11,3595,3610,3570,3600,31900,114585000
2015-06-10,3590,3610,3570,3575,16200,58014000
2015-06-09,3600,3620,3560,3565,21900,78606500
2015-06-08,3620,3635,3595,3610,31600,114061000
2015-06-05,3625,3640,3580,3640,61400,222182500
2015-06-04,3535,3590,3520,3590,41700,148289500
2015-06-03,3525,3550,3510,3535,34900,123263500
2015-06-02,3570,3575,3510,3525,58000,205166000
2015-06-01,3540,3540,3500,3525,66200,232626500
2015-05-29,3640,3640,3540,3540,138400,492890000
2015-05-28,3670,3715,3575,3600,82700,299531000
2015-05-27,3700,3735,3605,3700,97300,358839500
2015-05-26,3765,3775,3740,3765,120600,453312500
2015-05-25,3785,3795,3755,3770,49100,185217500
2015-05-22,3760,3800,3740,3785,61200,230955000
2015-05-21,3750,3760,3725,3730,44000,164559500
2015-05-20,3755,3755,3700,3750,53600,200108000
2015-05-19,3750,3760,3655,3695,120600,446947000
2015-05-18,3525,3540,3515,3530,19000,67023500
2015-05-15,3450,3545,3435,3535,31800,111434500
2015-05-14,3435,3460,3435,3435,38900,134066500
2015-05-13,3465,3485,3430,3460,45900,158633000
2015-05-12,3505,3515,3465,3510,25400,88689000
2015-05-11,3525,3525,3490,3500,23100,80940500
2015-05-08,3530,3530,3480,3485,26300,91924500
2015-05-07,3475,3535,3470,3505,17800,62281500
2015-05-01,3480,3510,3455,3475,40400,140430500
2015-04-30,3520,3555,3495,3530,62900,221180000
2015-04-28,3595,3600,3555,3590,21300,76152000
2015-04-27,3645,3645,3565,3585,22900,82133500
2015-04-24,3615,3640,3590,3605,23500,84605500
2015-04-23,3660,3685,3620,3630,24000,87653500
2015-04-22,3625,3700,3615,3670,27500,100710000
2015-04-21,3615,3620,3585,3615,20400,73554500
2015-04-20,3625,3630,3520,3595,33600,120819500
2015-04-17,3700,3700,3615,3625,30300,110159000
2015-04-16,3720,3720,3600,3670,33700,122847000
2015-04-15,3790,3790,3700,3705,26100,97732000
2015-04-14,3740,3770,3715,3770,38100,143007500
2015-04-13,3720,3745,3695,3720,33600,125304000
2015-04-10,3715,3715,3670,3715,26600,98440000
2015-04-09,3700,3725,3670,3700,45900,169797500
2015-04-08,3615,3715,3605,3670,70700,259179500
2015-04-07,3600,3620,3550,3580,34200,122401500
2015-04-06,3580,3620,3560,3595,27900,100296000
2015-04-03,3515,3565,3505,3565,19300,68227000
2015-04-02,3485,3530,3455,3520,33800,118531500
2015-04-01,3460,3480,3370,3440,62800,216255500
2015-03-31,3675,3675,3505,3520,81800,293462500
2015-03-30,3530,3610,3530,3585,40100,143251000
2015-03-27,3470,3565,3470,3490,41800,146868500
2015-03-26,3500,3605,3445,3480,67500,235640000
2015-03-25,3580,3600,3435,3530,61300,214564000
2015-03-24,3755,3830,3575,3590,94200,349174500
2015-03-23,3620,3755,3620,3740,69000,255714000
2015-03-20,3565,3650,3530,3615,68300,245939000
2015-03-19,3460,3560,3445,3510,49000,171378500
2015-03-18,3400,3450,3400,3445,21000,72146000
2015-03-17,3430,3450,3365,3410,36400,124229000
2015-03-16,3330,3425,3330,3410,37600,127519000
2015-03-13,3295,3330,3275,3325,61100,201906500
2015-03-12,3250,3250,3230,3250,17800,57707000
2015-03-11,3205,3245,3205,3240,18400,59345500
2015-03-10,3190,3250,3190,3245,21900,70763000
2015-03-09,3210,3220,3180,3190,25000,80100000
2015-03-06,3210,3210,3180,3200,21100,67444500
2015-03-05,3145,3200,3145,3200,30300,96618500
2015-03-04,3175,3175,3120,3135,28000,87891500
2015-03-03,3195,3200,3170,3185,27600,87981500
2015-03-02,3125,3175,3125,3150,34600,108959000
2015-02-27,3100,3120,3100,3110,16900,52550500
2015-02-26,3120,3120,3070,3100,33400,103537500
2015-02-25,3100,3120,3080,3115,19700,61152500
2015-02-24,3090,3110,3085,3110,13300,41261000
2015-02-23,3110,3110,3070,3085,14300,44191500
2015-02-20,3115,3120,3090,3110,13200,41029000
2015-02-19,3110,3120,3100,3120,22100,68748500
2015-02-18,3070,3110,3065,3110,22300,68963000
2015-02-17,3055,3075,3040,3065,14600,44730000
2015-02-16,3060,3090,3030,3060,19600,59984500
2015-02-13,3055,3070,3035,3060,26100,79853500
2015-02-12,3115,3120,2966,3000,50700,154359800
2015-02-10,3100,3115,3085,3115,38900,120847500
2015-02-09,3080,3100,3075,3100,27000,83533500
2015-02-06,3055,3075,3040,3065,38500,117648000
2015-02-05,3050,3080,3035,3065,48900,149465500
2015-02-04,3020,3050,3010,3045,43900,133372000
2015-02-03,3025,3040,3000,3020,44600,134587000
2015-02-02,2987,3035,2961,3035,49300,148279400
2015-01-30,2947,2999,2930,2987,46500,138629500
2015-01-29,2947,2990,2901,2951,56500,166559100
2015-01-28,2878,2948,2876,2937,41700,121432100
2015-01-27,2852,2906,2852,2900,31500,90802900
2015-01-26,2849,2850,2831,2840,15600,44364400
2015-01-23,2862,2862,2831,2850,30000,85327400
2015-01-22,2839,2839,2811,2822,29000,81856600
2015-01-21,2856,2865,2839,2844,29100,82941700
2015-01-20,2842,2858,2834,2836,19000,54018100
2015-01-19,2818,2844,2805,2824,21400,60433100
2015-01-16,2825,2844,2782,2813,37700,105745000
2015-01-15,2873,2880,2812,2833,77200,218944000
2015-01-14,2871,2884,2853,2859,29600,84802300
2015-01-13,2924,2930,2868,2873,41500,119913200
2015-01-09,2980,2986,2913,2923,28000,82299500
2015-01-08,2940,3020,2940,2980,59500,177655400
2015-01-07,2922,2947,2916,2919,38900,113992700
2015-01-06,2911,2980,2911,2950,39100,115530300
2015-01-05,3010,3020,2967,2974,60000,179342000
2014-12-30,3020,3065,2993,2996,39900,120639200
2014-12-29,3040,3075,3000,3020,63500,192905000
2014-12-26,2970,3050,2970,3035,100200,302436900
2014-12-25,2920,2929,2912,2920,29300,85597500
2014-12-24,2917,2933,2892,2904,31000,90149800
2014-12-22,2938,2939,2898,2926,27600,80439700
2014-12-19,2891,2930,2864,2911,48600,141151100
2014-12-18,2855,2899,2838,2891,48100,138688600
2014-12-17,2820,2839,2802,2806,36700,103310300
2014-12-16,2826,2839,2822,2823,22100,62524900
2014-12-15,2856,2880,2825,2845,27800,79475500
2014-12-12,2835,2859,2820,2821,32000,90838900
2014-12-11,2805,2855,2801,2835,27800,78462600
2014-12-10,2850,2853,2818,2829,45000,127487900
2014-12-09,2900,2900,2858,2869,35200,101375200
2014-12-08,2887,2904,2865,2893,34700,100300600
2014-12-05,2874,2890,2860,2890,24600,70788900
2014-12-04,2865,2879,2850,2874,34700,99392200
2014-12-03,2858,2873,2858,2864,38500,110348100
2014-12-02,2844,2852,2830,2850,28100,79854300
2014-12-01,2855,2858,2831,2835,29400,83603000
2014-11-28,2841,2857,2830,2846,38400,109081400
2014-11-27,2888,2899,2841,2849,42900,122622800
2014-11-26,2871,2903,2856,2888,53600,154600000
2014-11-25,2925,2925,2891,2900,90400,262707400
2014-11-21,2880,2906,2870,2892,26800,77413300
2014-11-20,2915,2916,2880,2880,58900,170571700
2014-11-19,2941,2968,2912,2912,28700,84007100
2014-11-18,2902,2942,2902,2936,29100,85056300
2014-11-17,3000,3000,2901,2902,59200,173675500
2014-11-14,3015,3020,2980,3010,22200,66706600
2014-11-13,2980,3025,2960,3015,26100,78231900
2014-11-12,3010,3025,2989,2991,21200,63619800
2014-11-11,3000,3025,2995,3010,15400,46329700
2014-11-10,3010,3035,2990,3010,14900,44864600
2014-11-07,3025,3050,3025,3035,11400,34612500
2014-11-06,3030,3040,2989,3020,23300,70299400
2014-11-05,3065,3080,3005,3005,24300,73700000
2014-11-04,3120,3120,3045,3065,28400,87347500
2014-10-31,3000,3045,2997,3025,44700,134904700
2014-10-30,2996,3005,2965,2975,23500,70151000
2014-10-29,2983,2990,2954,2960,16600,49376000
2014-10-28,2993,2993,2945,2952,17500,51805600
2014-10-27,2998,2999,2961,2973,15300,45694100
2014-10-24,2945,2951,2910,2951,24700,72389800
2014-10-23,2905,2931,2905,2914,9200,26846900
2014-10-22,2894,2934,2894,2921,16800,49048800
2014-10-21,2890,2890,2827,2878,26000,74322700
2014-10-20,2810,2877,2802,2863,23600,67218200
2014-10-17,2840,2841,2748,2755,50300,140258700
