4839-T,東証1部,WOWOW,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,3240,3285,3215,3245,16100,52274500
2015-10-01,3260,3310,3225,3245,20000,65308000
2015-09-30,3195,3285,3195,3260,12400,40301000
2015-09-29,3290,3290,3145,3170,25300,80530500
2015-09-28,3345,3345,3265,3290,31800,105204500
2015-09-25,3305,3390,3270,3360,111300,370319500
2015-09-24,3255,3320,3255,3260,39800,130590500
2015-09-18,3250,3280,3225,3255,30200,98351000
2015-09-17,3230,3255,3230,3250,14400,46704500
2015-09-16,3235,3235,3195,3220,6600,21197000
2015-09-15,3230,3245,3190,3190,14300,46041500
2015-09-14,3325,3325,3190,3190,20800,67347000
2015-09-11,3150,3280,3150,3260,23200,73977000
2015-09-10,3200,3235,3145,3190,20600,65729000
2015-09-09,3155,3220,3140,3220,29100,92888000
2015-09-08,3105,3120,3030,3045,17300,53006000
2015-09-07,3105,3140,3065,3105,21100,65358000
2015-09-04,3250,3255,3130,3145,29600,94288000
2015-09-03,3260,3325,3215,3250,49800,162259000
2015-09-02,3130,3280,3115,3210,31900,102202000
2015-09-01,3350,3355,3270,3270,28800,95336000
2015-08-31,3435,3450,3355,3390,24500,83186500
2015-08-28,3425,3425,3365,3410,30700,104173500
2015-08-27,3280,3345,3255,3325,42800,141681000
2015-08-26,3150,3175,3085,3160,42600,133563000
2015-08-25,2990,3145,2795,2993,93000,276196500
2015-08-24,3400,3400,3005,3020,124300,394909000
2015-08-21,3500,3525,3465,3465,45200,157623000
2015-08-20,3555,3580,3540,3545,25200,89698000
2015-08-19,3620,3620,3545,3550,41900,150081000
2015-08-18,3650,3670,3615,3645,21200,77187000
2015-08-17,3665,3690,3635,3650,22100,80831000
2015-08-14,3690,3705,3660,3675,18500,68145000
2015-08-13,3755,3760,3680,3690,31300,115864000
2015-08-12,3795,3800,3750,3770,17300,65269500
2015-08-11,3800,3845,3785,3795,18700,71319000
2015-08-10,3765,3800,3755,3785,20900,78983000
2015-08-07,3820,3825,3750,3765,42700,161230500
2015-08-06,3860,3875,3840,3850,29000,111895000
2015-08-05,3800,3865,3795,3860,33200,127463000
2015-08-04,3745,3800,3730,3800,14800,55874000
2015-08-03,3605,3775,3605,3770,24900,92611500
2015-07-31,3700,3765,3620,3640,54300,200024500
2015-07-30,3730,3745,3630,3630,27600,101620000
2015-07-29,3770,3790,3685,3695,29700,110437500
2015-07-28,3770,3790,3740,3775,22600,85198000
2015-07-27,3855,3875,3780,3820,36200,138954500
2015-07-24,3830,3875,3830,3855,31300,120552000
2015-07-23,3735,3800,3730,3800,27700,104516000
2015-07-22,3740,3750,3705,3705,17500,65156000
2015-07-21,3700,3750,3670,3735,24900,92566500
2015-07-17,3705,3705,3645,3670,19300,70744500
2015-07-16,3640,3710,3630,3675,22000,80846000
2015-07-15,3700,3700,3615,3640,38400,139912000
2015-07-14,3740,3740,3650,3655,24400,89867500
2015-07-13,3600,3690,3600,3670,17300,63197000
2015-07-10,3640,3645,3530,3565,27400,98302500
2015-07-09,3615,3650,3500,3640,48300,172505000
2015-07-08,3740,3740,3650,3650,25100,92231000
2015-07-07,3795,3820,3730,3740,22800,85958000
2015-07-06,3840,3850,3710,3735,31800,120099500
2015-07-03,3880,3890,3840,3860,17500,67710000
2015-07-02,3835,3885,3825,3865,38600,149041500
2015-07-01,3785,3830,3765,3820,21800,82872500
2015-06-30,3750,3795,3750,3790,20200,76222500
2015-06-29,3800,3815,3730,3790,33800,127901000
2015-06-26,3790,3820,3785,3805,23900,90923500
2015-06-25,3795,3820,3780,3785,18000,68346500
2015-06-24,3830,3830,3780,3815,18800,71599000
2015-06-23,3815,3835,3775,3810,25500,97042500
2015-06-22,3745,3815,3745,3800,22300,84479000
2015-06-19,3690,3745,3685,3745,37400,139445000
2015-06-18,3680,3725,3615,3690,24800,91361500
2015-06-17,3755,3765,3675,3685,32900,121973000
2015-06-16,3840,3840,3770,3770,23800,90151500
2015-06-15,3800,3845,3780,3825,25200,96027500
2015-06-12,3725,3815,3715,3800,79700,300766500
2015-06-11,3685,3720,3685,3710,20900,77448000
2015-06-10,3700,3700,3655,3675,20000,73507500
2015-06-09,3710,3715,3660,3665,34100,125971500
2015-06-08,3655,3700,3635,3690,25600,94141000
2015-06-05,3715,3740,3640,3640,49700,182425500
2015-06-04,3710,3740,3680,3715,35200,130629000
2015-06-03,3660,3750,3645,3730,70900,262395500
2015-06-02,3675,3680,3640,3670,27600,100965000
2015-06-01,3605,3665,3605,3650,29400,107128500
2015-05-29,3610,3625,3580,3595,122100,439145000
2015-05-28,3630,3650,3600,3615,48000,173748500
2015-05-27,3700,3700,3620,3630,48300,175890500
2015-05-26,3700,3720,3665,3695,32900,121386500
2015-05-25,3720,3725,3600,3700,53800,197575000
2015-05-22,3700,3715,3660,3675,24600,90454000
2015-05-21,3705,3725,3660,3675,69400,255960000
2015-05-20,3615,3755,3615,3740,81100,301096000
2015-05-19,3560,3730,3560,3605,134100,488317500
2015-05-18,3605,3715,3545,3645,193300,699083500
2015-05-15,4010,4140,3670,3715,198000,768520500
2015-05-14,3990,4000,3950,3985,22200,88167500
2015-05-13,4000,4000,3945,3980,54700,217186500
2015-05-12,3955,3985,3880,3970,40400,158788500
2015-05-11,3975,4000,3950,3960,33100,131556000
2015-05-08,3875,3970,3855,3930,29900,117269500
2015-05-07,3830,3880,3800,3875,36000,138557500
2015-05-01,3920,3950,3820,3845,94000,364197000
2015-04-30,3925,3995,3905,3980,55400,217919000
2015-04-28,3970,4005,3960,3970,14800,58875500
2015-04-27,4000,4030,3950,3960,23600,93958000
2015-04-24,3975,4010,3950,3995,25500,101609500
2015-04-23,4085,4120,3970,3985,28800,115646500
2015-04-22,4095,4155,4035,4085,30500,124677500
2015-04-21,4000,4125,3975,4120,44900,182401000
2015-04-20,3955,3975,3920,3940,34000,134177500
2015-04-17,4010,4085,3960,4030,47800,191782000
2015-04-16,4075,4090,3985,4080,33100,133562000
2015-04-15,4085,4095,4055,4075,22300,90815000
2015-04-14,4145,4145,4085,4105,23200,95267000
2015-04-13,4165,4225,4070,4165,48700,202394500
2015-04-10,4100,4160,4050,4140,47200,194178500
2015-04-09,4100,4160,4040,4080,65400,266691000
2015-04-08,3895,4100,3895,4085,96400,388026500
2015-04-07,3850,3875,3805,3870,36100,138925000
2015-04-06,3825,3850,3785,3810,37800,143942000
2015-04-03,3935,3935,3780,3825,39900,153428000
2015-04-02,3835,3910,3835,3865,41400,160619500
2015-04-01,3900,3950,3800,3830,58900,227730500
2015-03-31,3780,3895,3770,3840,59200,227936500
2015-03-30,3755,3850,3690,3770,55700,209855500
2015-03-27,3725,3890,3725,3770,61200,232026500
2015-03-26,7620,7620,7490,7510,25000,188391000
2015-03-25,7860,7910,7600,7720,34200,264560000
2015-03-24,7990,8450,7730,7810,65000,519653000
2015-03-23,7680,7890,7670,7770,35000,272333000
2015-03-20,7200,7570,7200,7570,52200,389524000
2015-03-19,7090,7190,6930,7180,34000,240686000
2015-03-18,6800,7020,6800,7010,20100,139048000
2015-03-17,6690,6800,6690,6800,11700,79046000
2015-03-16,6760,6800,6660,6690,12200,82100000
2015-03-13,6700,6790,6690,6750,19200,129236000
2015-03-12,6620,6740,6610,6690,11400,76177000
2015-03-11,6660,6660,6600,6630,10100,66964000
2015-03-10,6720,6830,6630,6650,18200,122296000
2015-03-09,6580,6690,6500,6620,20000,132421000
2015-03-06,6660,6700,6620,6620,16700,111128000
2015-03-05,6760,6770,6670,6710,24900,167298000
2015-03-04,6940,6940,6670,6810,38500,261013000
2015-03-03,6850,7100,6840,6960,61900,432205000
2015-03-02,6460,6810,6460,6720,65900,439231000
2015-02-27,6170,6340,6050,6310,42000,261434000
2015-02-26,6060,6170,6040,6170,13400,81883000
2015-02-25,6270,6270,6030,6060,20800,127343000
2015-02-24,6180,6230,6170,6230,10000,62118000
2015-02-23,6200,6240,6100,6170,12600,77688000
2015-02-20,6080,6150,6080,6120,14700,89844000
2015-02-19,6020,6120,6000,6080,24300,147358000
2015-02-18,5850,5960,5830,5950,27400,161997000
2015-02-17,5740,5850,5690,5820,21500,124430000
2015-02-16,5620,5700,5620,5670,10300,58404000
2015-02-13,5700,5700,5610,5620,7700,43655000
2015-02-12,5670,5720,5640,5690,10900,61926000
2015-02-10,5630,5740,5590,5610,17000,96264000
2015-02-09,5610,5680,5590,5610,8700,48990000
2015-02-06,5700,5710,5640,5650,16300,92455000
2015-02-05,5500,5750,5460,5650,23700,133159000
2015-02-04,5370,5510,5370,5460,17700,96461000
2015-02-03,5320,5500,5250,5400,34000,183147000
2015-02-02,5110,5450,5110,5310,33500,178244000
2015-01-30,4990,5150,4965,5100,16300,82583000
2015-01-29,5010,5060,5010,5010,6100,30639000
2015-01-28,5060,5150,5010,5080,22600,115018000
2015-01-27,5050,5050,5000,5040,8000,40216000
2015-01-26,5000,5020,4965,5010,6000,29961000
2015-01-23,4975,5010,4920,5000,6700,33319500
2015-01-22,5030,5030,4930,4990,5900,29257500
2015-01-21,5050,5050,4960,4970,4700,23498500
2015-01-20,4940,5050,4940,5050,11300,56474500
2015-01-19,4930,4960,4910,4940,3400,16774000
