4922-T,東証1部,コーセー,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,11220,11670,11200,11400,628300,7173298000
2015-10-01,11200,11240,10880,11200,670400,7431342000
2015-09-30,10590,10910,10580,10850,504100,5436504000
2015-09-29,10700,10770,10320,10370,634000,6645153000
2015-09-28,10820,11130,10600,11050,621200,6808906000
2015-09-25,10280,10840,10180,10760,795500,8484448000
2015-09-24,10170,10480,10150,10190,582100,5979637000
2015-09-18,10520,10640,10160,10270,890500,9258513000
2015-09-17,10100,10740,9980,10650,1016200,10643809000
2015-09-16,10360,10390,9630,9950,1022000,10134019000
2015-09-15,10530,10610,10160,10290,495000,5123257000
2015-09-14,10430,10890,10370,10450,588400,6232768000
2015-09-11,9990,10710,9990,10510,779300,8104297000
2015-09-10,10400,10500,9910,10190,852300,8679371000
2015-09-09,10480,10870,10180,10870,1001900,10633711000
2015-09-08,10440,10550,9900,9910,1195600,12055092000
2015-09-07,10850,11080,10470,10590,827400,8834755000
2015-09-04,11500,11590,10900,11030,922200,10276296000
2015-09-03,11240,11950,11090,11790,883900,10280772000
2015-09-02,10730,11380,10550,11120,1162200,12876310000
2015-09-01,11820,12060,11030,11120,1091500,12562789000
2015-08-31,12120,12240,11670,12010,2711000,32426264000
2015-08-28,12000,12050,11650,11920,974400,11579144000
2015-08-27,11840,12050,11540,11620,879400,10356812000
2015-08-26,10770,11370,10750,11360,992000,11073352000
2015-08-25,10050,11470,10020,10560,1791300,19437081000
2015-08-24,10700,11180,10460,10520,1021200,10985381000
2015-08-21,11300,11620,11000,11200,1082700,12168720000
2015-08-20,12010,12150,11710,11770,881800,10478719000
2015-08-19,12180,12270,11890,11910,776600,9347235000
2015-08-18,12790,13110,12330,12430,738500,9344874000
2015-08-17,12450,12630,12360,12620,530900,6631888000
2015-08-14,12460,13020,12340,12570,1062600,13516638000
2015-08-13,12350,12730,11810,12630,1419600,17428043000
2015-08-12,12900,13020,11990,12240,1495200,18472709000
2015-08-11,13480,13660,13050,13200,842200,11194718000
2015-08-10,12600,13670,12410,13620,983000,13082375000
2015-08-07,13380,13390,12650,12930,615600,7939077000
2015-08-06,13200,13380,12960,13150,530700,6982229000
2015-08-05,13370,13550,12820,13000,756300,9902940000
2015-08-04,13000,13520,12910,13360,948200,12586741000
2015-08-03,12320,12980,12110,12910,1321300,16730404000
2015-07-31,12410,12450,11760,12060,716400,8630376000
2015-07-30,12800,12870,12270,12350,800300,10002860000
2015-07-29,12420,12720,12180,12690,584800,7307095000
2015-07-28,11790,12380,11350,12320,948900,11353431000
2015-07-27,12600,12950,11990,12100,1223200,15201464000
2015-07-24,12190,12220,11870,12190,535500,6478774000
2015-07-23,11950,12310,11910,12190,547800,6652249000
2015-07-22,11910,12080,11630,11880,640200,7580137000
2015-07-21,11950,12150,11830,11870,763500,9123786000
2015-07-17,11710,12040,11610,11690,823000,9705900000
2015-07-16,11170,11580,11160,11440,637900,7281548000
2015-07-15,10900,11230,10720,11160,707700,7788250000
2015-07-14,10870,11080,10550,10650,445700,4777243000
2015-07-13,10300,10660,10150,10590,583500,6099988000
2015-07-10,10470,10650,10110,10330,785900,8122892000
2015-07-09,9760,10610,9460,10590,1458400,14763954000
2015-07-08,11100,11240,10220,10510,1109200,11879408000
2015-07-07,10700,11100,10680,11100,724800,7921581000
2015-07-06,10300,10470,10180,10280,639100,6595763000
2015-07-03,10990,11050,10460,10550,684500,7284892000
2015-07-02,10500,10930,10500,10790,637700,6852670000
2015-07-01,10170,10660,10080,10560,663600,6948698000
2015-06-30,9760,10100,9750,10060,431400,4304481000
2015-06-29,9580,9920,9550,9750,328700,3221095000
2015-06-26,9890,9950,9760,9940,300400,2959490000
