4958-T,東証1部,長谷川香,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1611,1611,1571,1581,32100,51075500
2015-10-01,1574,1597,1565,1580,43900,69295500
2015-09-30,1550,1575,1540,1553,34200,53100300
2015-09-29,1553,1561,1526,1527,44300,68119500
2015-09-28,1566,1580,1555,1561,68100,106477900
2015-09-25,1608,1631,1593,1621,139800,224801400
2015-09-24,1643,1690,1637,1648,89200,147392900
2015-09-18,1717,1745,1706,1723,41200,70938000
2015-09-17,1741,1786,1741,1757,25600,44929200
2015-09-16,1777,1777,1745,1759,8900,15713300
2015-09-15,1766,1788,1751,1766,13700,24272500
2015-09-14,1772,1772,1741,1752,9200,16212700
2015-09-11,1762,1785,1753,1772,57200,100874200
2015-09-10,1780,1807,1748,1780,32900,58677600
2015-09-09,1731,1787,1721,1772,27000,47424900
2015-09-08,1738,1739,1685,1685,14000,23864500
2015-09-07,1720,1773,1719,1738,9000,15663300
2015-09-04,1771,1776,1718,1729,24500,42703100
2015-09-03,1761,1787,1740,1753,22400,39440200
2015-09-02,1749,1790,1740,1761,29200,51311700
2015-09-01,1828,1835,1766,1778,32100,57564900
2015-08-31,1849,1849,1775,1828,19000,34464700
2015-08-28,1788,1866,1758,1858,27200,49690200
2015-08-27,1750,1762,1720,1739,27100,47204400
2015-08-26,1665,1780,1665,1740,34500,59126500
2015-08-25,1600,1729,1600,1666,34200,56908500
2015-08-24,1739,1739,1663,1666,27800,47195100
2015-08-21,1783,1810,1775,1778,29400,52499400
2015-08-20,1864,1876,1786,1789,24600,44822900
2015-08-19,1897,1921,1858,1861,39900,75293700
2015-08-18,1834,1840,1825,1828,3700,6774300
2015-08-17,1855,1855,1814,1847,8800,16226200
2015-08-14,1829,1852,1813,1846,12700,23359400
2015-08-13,1801,1826,1795,1814,11500,20852300
2015-08-12,1807,1837,1805,1809,6300,11450300
2015-08-11,1854,1854,1810,1819,10100,18430200
2015-08-10,1840,1855,1808,1834,19600,35959500
2015-08-07,1800,1844,1800,1842,16100,29453000
2015-08-06,1810,1830,1805,1816,15200,27692200
2015-08-05,1804,1819,1791,1799,11400,20604900
2015-08-04,1805,1810,1796,1810,14400,26021600
2015-08-03,1805,1808,1788,1808,7100,12803900
