5017-T,東証1部,富士石油,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,354,355,341,346,257100,89125800
2015-10-01,349,363,349,360,184600,65951300
2015-09-30,339,347,337,347,128400,44065200
2015-09-29,341,342,331,335,192600,64588200
2015-09-28,346,351,343,348,160200,55503700
2015-09-25,343,353,341,351,182000,63193100
2015-09-24,347,350,344,344,145300,50283500
2015-09-18,355,359,352,356,149300,53093200
2015-09-17,351,360,350,356,326100,115905500
2015-09-16,350,352,344,345,183800,63793400
2015-09-15,357,357,346,348,340800,119228400
2015-09-14,368,368,351,357,247700,87991600
2015-09-11,359,371,358,369,226400,82354700
2015-09-10,365,369,358,359,219200,79249800
2015-09-09,359,375,357,375,324500,119755600
2015-09-08,345,355,342,348,284600,99448100
2015-09-07,350,353,343,348,219300,76146800
2015-09-04,372,372,348,355,298800,107106400
2015-09-03,366,378,361,372,339400,126288400
2015-09-02,361,380,356,363,458100,168197500
2015-09-01,382,383,371,372,471600,177381100
2015-08-31,376,387,367,378,538300,203650300
2015-08-28,364,375,364,368,417300,154349500
2015-08-27,355,360,352,355,411600,146487600
2015-08-26,344,357,341,352,463200,161860500
2015-08-25,324,360,315,345,673900,228261700
2015-08-24,375,390,352,356,639700,236082600
2015-08-21,424,424,405,407,464000,191476800
2015-08-20,440,443,430,430,312000,135700900
2015-08-19,450,458,448,451,203600,92097300
2015-08-18,445,451,441,450,132000,59011200
2015-08-17,440,450,435,448,208000,92287500
2015-08-14,441,445,438,441,250200,110379000
2015-08-13,438,453,437,446,364000,162819100
2015-08-12,442,446,430,437,643100,282261800
2015-08-11,445,458,445,450,212100,95817000
2015-08-10,436,446,435,444,193100,85411400
2015-08-07,430,440,430,435,207000,90066300
2015-08-06,434,436,428,431,227300,98224100
2015-08-05,446,447,431,432,320000,139716400
2015-08-04,454,458,446,450,222800,100246500
2015-08-03,466,466,455,459,157800,72504800
2015-07-31,476,476,462,467,140600,65534600
2015-07-30,459,478,459,473,273600,128515600
2015-07-29,450,467,450,458,314300,144167800
2015-07-28,450,455,443,451,165600,74475400
2015-07-27,467,467,455,457,120700,55429000
2015-07-24,471,474,461,467,153500,71654500
2015-07-23,481,482,473,475,77300,36791600
2015-07-22,476,485,473,482,157300,75470000
2015-07-21,481,485,476,478,104100,49881200
2015-07-17,478,478,472,476,84200,39988300
2015-07-16,474,476,465,476,177100,83517300
2015-07-15,488,490,471,477,276900,132272400
2015-07-14,466,484,466,483,301000,144412300
2015-07-13,458,462,457,458,108400,49731600
2015-07-10,462,467,452,455,290400,133148700
2015-07-09,437,455,426,454,435600,191812400
2015-07-08,478,478,452,455,328700,150999700
2015-07-07,476,481,473,477,202500,96400500
2015-07-06,496,496,474,474,345800,166494700
2015-07-03,507,515,500,502,368900,186634900
2015-07-02,496,509,493,504,461900,231935300
2015-07-01,481,494,481,492,248500,121677600
2015-06-30,469,485,469,482,285800,136421900
2015-06-29,471,474,466,471,221800,104285700
2015-06-26,492,495,481,484,356100,173123700
2015-06-25,492,499,491,494,204200,101093600
2015-06-24,499,499,490,492,267200,132004300
2015-06-23,497,497,491,494,209500,103597800
2015-06-22,498,502,484,489,345600,169957700
2015-06-19,497,508,488,497,424900,211326500
2015-06-18,492,498,487,487,454900,222940600
2015-06-17,492,517,491,494,723100,365341000
2015-06-16,486,499,484,492,341100,167657400
2015-06-15,495,496,476,485,662900,321798000
2015-06-12,507,514,501,503,531300,268902300
2015-06-11,507,511,501,507,428300,216662600
2015-06-10,498,509,486,497,563200,282211900
2015-06-09,497,521,496,499,1136300,577077100
2015-06-08,476,504,476,499,718300,354583900
2015-06-05,463,478,461,475,969100,456717900
2015-06-04,447,460,446,459,454400,206639400
2015-06-03,433,449,433,447,447700,198860600
2015-06-02,429,443,426,437,403900,176404400
2015-06-01,427,429,420,427,273700,116261900
2015-05-29,414,432,413,425,648000,274561400
2015-05-28,425,425,408,413,724100,301378800
2015-05-27,398,410,396,409,625000,250554700
2015-05-26,399,402,397,398,279800,111692000
2015-05-25,401,407,397,399,402100,161064400
2015-05-22,399,407,396,402,560600,224239800
2015-05-21,406,409,396,399,711600,285960500
2015-05-20,413,415,406,407,560500,229063900
2015-05-19,425,425,405,420,483800,200368100
2015-05-18,425,430,415,418,276800,116283500
2015-05-15,426,429,415,420,353800,148358600
2015-05-14,443,443,422,427,624800,268638100
2015-05-13,424,473,421,447,998400,444040300
2015-05-12,411,414,394,400,224000,90713600
2015-05-11,414,424,413,413,134700,56234900
2015-05-08,426,427,410,414,285900,118826200
2015-05-07,420,432,420,426,157500,67364700
2015-05-01,426,430,419,420,201100,85427200
2015-04-30,418,429,415,424,178300,75365200
2015-04-28,428,428,419,420,140400,59279700
2015-04-27,422,430,418,423,110800,46997500
2015-04-24,410,422,410,416,98800,41257900
2015-04-23,407,414,407,412,100900,41495300
2015-04-22,410,419,409,409,121900,50498800
2015-04-21,414,418,409,413,96500,39814100
2015-04-20,411,420,406,414,183600,76257200
2015-04-17,417,422,410,410,145000,60315900
2015-04-16,416,424,414,419,256800,107682800
2015-04-15,405,414,404,412,99900,41006800
2015-04-14,402,408,399,403,152700,61812300
2015-04-13,397,403,393,402,103700,41421100
2015-04-10,397,402,394,398,135400,53961400
2015-04-09,407,408,394,394,163800,65157800
2015-04-08,401,407,398,404,229400,92467100
2015-04-07,394,413,394,401,317800,128555500
2015-04-06,398,399,391,396,143000,56622100
2015-04-03,394,399,392,398,108600,43001900
2015-04-02,389,398,389,396,149200,59011900
2015-04-01,385,391,383,386,207500,80177500
2015-03-31,390,403,387,388,213600,84048200
2015-03-30,393,401,390,391,298700,117828200
2015-03-27,401,409,393,395,218300,87186600
2015-03-26,405,409,401,403,220300,89146500
2015-03-25,419,419,405,408,287100,117744000
2015-03-24,423,435,419,422,307300,130878900
2015-03-23,435,437,423,427,295300,126343900
2015-03-20,448,448,437,438,293400,129414100
2015-03-19,446,458,442,451,444800,201192900
2015-03-18,433,450,430,443,475900,211605000
2015-03-17,428,433,424,432,254900,109511400
2015-03-16,445,446,426,429,434200,188698400
2015-03-13,445,459,441,456,597800,269922800
2015-03-12,424,431,424,429,162700,69486900
2015-03-11,427,432,425,425,251900,107662200
2015-03-10,431,435,428,430,232400,100168900
2015-03-09,432,439,429,431,351900,152661900
2015-03-06,434,441,433,438,457400,200084800
2015-03-05,421,434,421,429,462100,197539700
2015-03-04,404,422,404,420,533600,222261800
2015-03-03,404,413,395,403,590000,237627400
2015-03-02,409,425,408,420,317100,132153800
2015-02-27,398,407,392,404,497400,199207100
2015-02-26,390,395,389,393,237400,93201400
2015-02-25,385,393,384,387,201100,78266000
2015-02-24,381,383,378,381,198300,75451500
2015-02-23,387,389,380,383,394100,150968900
2015-02-20,390,392,382,389,247000,95490100
2015-02-19,390,394,385,388,180400,70020900
2015-02-18,400,400,388,390,282000,110543900
2015-02-17,390,402,389,398,347100,137797200
2015-02-16,380,392,379,388,290600,112701900
2015-02-13,373,384,368,382,328800,124701200
2015-02-12,373,373,363,365,147100,53990500
2015-02-10,369,373,364,372,152300,56262600
2015-02-09,369,370,358,363,320000,116401100
2015-02-06,363,373,353,370,404800,146982900
2015-02-05,360,375,352,360,666600,240111500
2015-02-04,361,365,350,361,295200,105985300
2015-02-03,351,359,351,357,144100,51203200
2015-02-02,352,357,349,349,111800,39506300
2015-01-30,355,355,349,352,79400,27898500
2015-01-29,355,357,351,353,85500,30275100
2015-01-28,351,356,347,355,85300,30088900
2015-01-27,353,355,348,355,73100,25782200
2015-01-26,344,353,344,352,144600,50468100
2015-01-23,351,351,345,351,94300,32901200
2015-01-22,348,351,342,349,95600,33222300
2015-01-21,351,352,343,348,152100,53106900
2015-01-20,342,352,335,351,136500,47167700
2015-01-19,341,344,339,339,85000,29062500
2015-01-16,342,343,334,339,291700,98494100
2015-01-15,337,346,336,345,130000,44489700
2015-01-14,337,346,335,337,170800,58127700
2015-01-13,337,338,331,337,130800,43749600
2015-01-09,341,342,336,337,220300,74680400
2015-01-08,342,347,338,342,269800,92437100
2015-01-07,344,350,342,342,275300,95103300
2015-01-06,356,358,352,352,181500,64418200
2015-01-05,365,368,359,364,117700,42841100
2014-12-30,368,373,365,366,83700,30853300
2014-12-29,366,369,362,368,177400,64853800
2014-12-26,356,368,356,367,123900,45108200
2014-12-25,365,365,352,359,281500,100862200
2014-12-24,375,377,365,367,470600,173942700
2014-12-22,362,387,354,379,1377200,512847200
2014-12-19,353,356,345,347,178300,62492100
2014-12-18,337,355,337,345,444700,153746800
2014-12-17,328,341,327,335,353900,118578900
2014-12-16,334,338,325,325,211200,69338600
2014-12-15,334,344,331,342,463900,156629800
2014-12-12,335,340,332,334,392600,131430400
2014-12-11,331,344,315,343,645100,213613000
2014-12-10,327,333,324,331,588000,193941800
2014-12-09,330,336,318,328,951700,311052700
2014-12-08,315,316,313,314,157900,49619300
2014-12-05,316,318,313,316,178000,56190900
2014-12-04,316,318,313,316,191700,60562400
2014-12-03,314,318,312,314,123300,38786300
2014-12-02,309,318,309,314,249100,78233800
2014-12-01,313,315,309,311,326700,101680800
2014-11-28,316,318,313,317,197400,62326600
2014-11-27,320,321,316,317,146800,46765200
2014-11-26,327,327,320,323,188100,60746200
2014-11-25,322,327,322,325,78700,25508700
2014-11-21,316,323,313,323,199000,63537000
2014-11-20,323,323,319,319,87100,27952800
2014-11-19,318,323,316,319,136100,43425200
2014-11-18,317,320,315,318,124100,39376300
2014-11-17,320,322,315,316,117400,37312700
2014-11-14,330,330,317,321,179000,57580900
2014-11-13,326,329,321,326,207600,67575600
2014-11-12,326,327,319,326,399400,129199200
2014-11-11,323,326,319,322,215000,69144700
2014-11-10,318,324,318,323,217900,70019100
2014-11-07,327,328,313,317,262500,83689400
2014-11-06,323,335,314,319,497700,161314000
2014-11-05,305,328,300,321,924700,292513000
2014-11-04,346,346,330,332,297800,100237300
2014-10-31,323,333,320,332,173200,56556300
2014-10-30,316,325,316,318,287500,91679000
2014-10-29,310,321,310,320,168100,53194500
2014-10-28,309,315,308,312,94800,29500400
2014-10-27,306,314,303,313,166300,51546400
2014-10-24,316,319,303,305,330300,102391300
2014-10-23,312,315,311,312,121200,37894200
2014-10-22,314,317,313,315,248300,78135400
2014-10-21,320,322,310,310,246300,77442000
2014-10-20,321,326,317,319,248100,79316400
2014-10-17,318,323,316,319,275900,88093500
2014-10-16,332,334,320,320,159700,51943000
2014-10-15,343,344,335,340,162100,55019900
2014-10-14,339,351,339,340,145700,50014400
2014-10-10,353,356,351,354,160100,56536500
2014-10-09,372,372,360,361,259200,94274500
2014-10-08,363,368,363,366,149700,54674700
2014-10-07,377,377,372,373,127100,47608200
2014-10-06,375,375,366,374,112700,42008600
2014-10-03,361,367,361,365,144100,52500100
2014-10-02,379,379,367,369,177800,65923100
2014-10-01,390,390,383,384,120700,46457800
2014-09-30,390,393,380,388,220600,85442000
2014-09-29,387,390,385,390,105900,41055800
2014-09-26,381,388,377,384,91100,35018300
2014-09-25,380,387,379,387,108400,41625600
