5018-T,東証1部,MORESCO,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1601,1622,1583,1611,14400,23096100
2015-10-01,1581,1615,1581,1602,17600,28108600
2015-09-30,1564,1580,1560,1575,8300,13038000
2015-09-29,1580,1580,1539,1546,30500,47428600
2015-09-28,1600,1600,1565,1587,24200,38346800
2015-09-25,1522,1560,1520,1560,41200,63289000
2015-09-24,1539,1540,1504,1504,32800,49867800
2015-09-18,1566,1578,1534,1546,12700,19638900
2015-09-17,1530,1573,1525,1564,27700,43012600
2015-09-16,1531,1534,1508,1522,16700,25337300
2015-09-15,1508,1539,1508,1531,23800,36391500
2015-09-14,1550,1555,1504,1504,54900,83554900
2015-09-11,1526,1549,1510,1533,52400,80091400
2015-09-10,1528,1541,1520,1528,58600,89512000
2015-09-09,1566,1585,1508,1545,100100,154004900
2015-09-08,1638,1660,1600,1606,17000,27652900
2015-09-07,1606,1666,1606,1638,23200,37827000
2015-09-04,1698,1703,1620,1646,28900,47869200
2015-09-03,1715,1733,1688,1691,13400,22899000
2015-09-02,1710,1731,1666,1694,48900,83100500
2015-09-01,1750,1811,1723,1768,79600,141438100
2015-08-31,1824,1832,1761,1784,44700,80067300
2015-08-28,1824,1855,1810,1840,40900,74890100
2015-08-27,1808,1810,1783,1792,47000,84611500
2015-08-26,1750,1808,1750,1803,144800,254797400
2015-08-25,1680,1869,1680,1718,51800,90145400
2015-08-24,1893,1896,1784,1789,55600,102713200
2015-08-21,1950,1960,1919,1919,47500,92009600
2015-08-20,2001,2003,1976,1981,26700,53057400
2015-08-19,2022,2023,1993,2001,22400,44868600
2015-08-18,1988,2042,1979,2028,40300,81550000
2015-08-17,2010,2010,1973,1988,59700,118746200
2015-08-14,2047,2047,2011,2027,25000,50517600
2015-08-13,2042,2053,2010,2026,25600,51860900
2015-08-12,2079,2080,2022,2042,26400,54215500
2015-08-11,2068,2096,2052,2079,30200,62814300
2015-08-10,2031,2068,2021,2065,26600,54483800
2015-08-07,2050,2070,2020,2030,37000,75518900
