5110-T,東証1部,住友ゴム,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1616,1689,1610,1685,1591300,2649248800
2015-10-01,1653,1664,1623,1642,2735100,4504007800
2015-09-30,1650,1675,1640,1656,1532600,2540469700
2015-09-29,1639,1640,1607,1621,1460500,2366805400
2015-09-28,1679,1679,1639,1656,1241300,2052942100
2015-09-25,1677,1692,1641,1674,1222800,2036093300
2015-09-24,1750,1751,1674,1677,1641500,2782523600
2015-09-18,1771,1771,1733,1755,1819100,3183981800
2015-09-17,1775,1805,1774,1805,1527700,2741192800
2015-09-16,1733,1770,1725,1761,1620800,2848059200
2015-09-15,1683,1741,1676,1705,1463400,2512311100
2015-09-14,1706,1719,1672,1681,648400,1094249800
2015-09-11,1676,1711,1670,1692,1127000,1902489700
2015-09-10,1669,1717,1661,1716,1393400,2370700900
2015-09-09,1627,1712,1627,1709,2263600,3812163400
2015-09-08,1586,1627,1572,1580,942900,1504552600
2015-09-07,1566,1605,1544,1587,1061300,1676740400
2015-09-04,1638,1646,1567,1576,890700,1418656700
2015-09-03,1600,1640,1600,1615,927600,1505424100
2015-09-02,1594,1636,1582,1595,1489700,2401383900
2015-09-01,1701,1704,1619,1624,1756100,2892258900
2015-08-31,1730,1749,1702,1718,1060300,1822152800
2015-08-28,1724,1735,1710,1725,1544500,2662755900
2015-08-27,1661,1708,1653,1684,1739200,2930280500
2015-08-26,1640,1675,1640,1661,1995400,3305225400
2015-08-25,1599,1712,1593,1639,2664700,4402123100
2015-08-24,1701,1721,1659,1666,2125300,3581903100
2015-08-21,1736,1766,1733,1760,2138200,3753787600
2015-08-20,1790,1807,1773,1776,1416100,2525964800
2015-08-19,1822,1831,1802,1811,1254000,2278961000
2015-08-18,1795,1834,1794,1826,1332900,2426903100
2015-08-17,1753,1808,1751,1797,1884600,3373027500
2015-08-14,1732,1753,1727,1742,853500,1485790000
2015-08-13,1725,1751,1722,1746,1486700,2583500900
2015-08-12,1750,1750,1729,1732,1950500,3387731000
2015-08-11,1787,1795,1754,1755,1815700,3213709400
2015-08-10,1774,1786,1752,1783,1227500,2178027600
2015-08-07,1757,1776,1750,1768,1593000,2813656100
2015-08-06,1813,1824,1755,1755,5263600,9334853200
2015-08-05,1890,1911,1872,1909,1196900,2263762800
2015-08-04,1897,1898,1872,1891,1192800,2248261900
2015-08-03,1891,1897,1855,1894,1285600,2419507900
2015-07-31,1815,1870,1815,1870,1398500,2596198300
2015-07-30,1801,1839,1801,1829,3681600,6722498200
2015-07-29,1805,1812,1753,1786,1821000,3233431100
2015-07-28,1800,1805,1769,1796,1531900,2742726500
2015-07-27,1840,1840,1803,1818,1054000,1916303000
2015-07-24,1850,1868,1846,1850,1029500,1908304700
2015-07-23,1837,1870,1817,1863,1518500,2810694700
2015-07-22,1824,1846,1813,1833,1699000,3105761400
2015-07-21,1848,1860,1836,1846,974400,1799902700
2015-07-17,1846,1859,1817,1833,1120200,2052578000
2015-07-16,1858,1862,1841,1862,1246900,2311840900
2015-07-15,1842,1861,1826,1844,2143200,3954403100
2015-07-14,1829,1844,1804,1822,2290400,4175663900
2015-07-13,1790,1805,1770,1796,1816700,3249951400
2015-07-10,1805,1808,1776,1779,1769400,3165390700
2015-07-09,1773,1795,1734,1784,2265900,4000106400
2015-07-08,1873,1876,1809,1809,1936800,3549902500
2015-07-07,1870,1893,1860,1867,1476000,2762939600
2015-07-06,1891,1894,1845,1850,1736900,3228635300
2015-07-03,1919,1924,1909,1915,839600,1608167000
2015-07-02,1925,1937,1905,1906,1238600,2372622800
2015-07-01,1915,1915,1892,1905,1262000,2401504600
2015-06-30,1919,1933,1888,1897,1696700,3229893000
2015-06-29,1906,1916,1895,1906,1713600,3263126300
2015-06-26,1990,1990,1945,1954,1686500,3300138900
2015-06-25,2039,2040,1991,1992,2609000,5228848000
2015-06-24,2050,2073,2049,2056,1414100,2910918000
2015-06-23,2000,2037,1987,2033,1300900,2632816100
2015-06-22,1987,2000,1975,1993,1118100,2221727900
2015-06-19,1972,1992,1959,1983,1854100,3659337500
2015-06-18,1976,1993,1965,1968,1674500,3311406800
2015-06-17,2003,2010,1967,1976,1530200,3036740800
2015-06-16,2011,2025,2001,2001,1383700,2780169500
2015-06-15,2038,2045,2001,2011,2109200,4250923200
2015-06-12,2060,2082,2051,2060,1719500,3546676400
2015-06-11,2042,2064,2040,2053,1806500,3710971100
2015-06-10,2052,2070,2032,2035,2108300,4315318000
2015-06-09,2093,2098,2048,2052,2121000,4382219800
2015-06-08,2115,2120,2091,2104,963900,2027469700
2015-06-05,2121,2123,2073,2101,2308400,4828594500
2015-06-04,2160,2168,2126,2139,1995100,4281295800
2015-06-03,2180,2189,2149,2166,1519600,3289344200
2015-06-02,2168,2212,2163,2194,1739200,3804234300
2015-06-01,2233,2242,2194,2211,1183400,2622719700
2015-05-29,2210,2236,2170,2191,1522400,3341273100
2015-05-28,2187,2205,2177,2196,1427300,3131762200
2015-05-27,2151,2179,2142,2158,1299800,2811129700
2015-05-26,2115,2150,2098,2147,1048800,2231820200
2015-05-25,2138,2145,2101,2115,1006000,2129672600
2015-05-22,2106,2128,2098,2120,870600,1839114100
2015-05-21,2117,2147,2103,2109,1148900,2435595700
2015-05-20,2096,2120,2084,2101,1166000,2455131700
2015-05-19,2061,2093,2056,2073,955800,1986686900
2015-05-18,2040,2060,2038,2059,799600,1640929400
2015-05-15,2055,2074,2035,2042,1125500,2309120100
2015-05-14,2050,2070,2037,2050,1316000,2696929400
2015-05-13,2006,2048,2002,2031,1356600,2747928400
2015-05-12,2025,2025,2001,2023,2021800,4072224700
2015-05-11,2022,2023,2004,2022,2124300,4279692300
2015-05-08,2047,2070,2000,2002,5070600,10223095400
2015-05-07,2148,2198,2130,2197,1529900,3335813400
2015-05-01,2202,2210,2158,2172,1156100,2517128300
2015-04-30,2172,2223,2170,2221,1620200,3572974800
2015-04-28,2186,2188,2150,2171,1560800,3390160700
2015-04-27,2165,2180,2145,2162,1217500,2625542300
2015-04-24,2225,2226,2165,2173,1836300,4013638400
2015-04-23,2251,2266,2206,2228,1460800,3256682400
2015-04-22,2282,2306,2242,2244,1075800,2438204900
2015-04-21,2215,2287,2214,2282,1122300,2534116100
2015-04-20,2175,2203,2156,2188,531600,1160765100
2015-04-17,2227,2255,2202,2206,986100,2197065800
2015-04-16,2209,2236,2199,2232,967800,2146884300
2015-04-15,2207,2222,2198,2208,475300,1049722600
2015-04-14,2216,2249,2212,2213,844700,1878572900
2015-04-13,2241,2255,2194,2216,886300,1964392400
2015-04-10,2270,2272,2228,2252,769600,1731528400
2015-04-09,2235,2276,2223,2261,1061600,2395169300
2015-04-08,2231,2253,2214,2239,1204300,2694257500
2015-04-07,2250,2250,2208,2220,1084000,2409862200
2015-04-06,2270,2270,2222,2243,593400,1328382000
2015-04-03,2231,2270,2147,2270,1133600,2535391400
2015-04-02,2191,2246,2180,2231,1038000,2306426000
2015-04-01,2185,2220,2160,2163,1258200,2746188400
2015-03-31,2297,2313,2208,2218,1454700,3260101600
2015-03-30,2150,2272,2140,2260,1899900,4230560900
2015-03-27,2123,2158,2105,2141,1097700,2340325400
2015-03-26,2171,2172,2121,2123,739100,1575930500
