5142-T,東証1部,アキレス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,146,149,146,147,198000,29203000
2015-10-01,147,148,145,148,276000,40497000
2015-09-30,145,147,144,147,205000,29853000
2015-09-29,148,148,143,143,478000,69541000
2015-09-28,148,149,147,148,281000,41572000
2015-09-25,146,148,145,148,355000,52000000
2015-09-24,146,148,145,145,316000,46157000
2015-09-18,149,149,147,149,174000,25770000
2015-09-17,148,150,148,148,136000,20203000
2015-09-16,149,149,147,148,44000,6514000
2015-09-15,150,150,148,149,180000,26823000
2015-09-14,149,149,147,148,181000,26786000
2015-09-11,148,149,147,149,412000,60947000
2015-09-10,147,148,145,146,321000,47013000
2015-09-09,147,149,145,149,347000,51050000
2015-09-08,146,147,143,143,132000,19130000
2015-09-07,143,147,142,146,492000,70887000
2015-09-04,149,149,145,146,519000,76456000
2015-09-03,148,151,148,149,356000,53128000
2015-09-02,146,151,145,145,584000,86731000
2015-09-01,152,152,148,148,355000,53146000
2015-08-31,152,153,150,153,506000,76700000
2015-08-28,150,154,149,152,471000,71512000
2015-08-27,149,150,147,148,453000,67269000
2015-08-26,143,147,143,147,549000,79600000
2015-08-25,144,151,141,141,699000,101460000
2015-08-24,150,154,146,147,690000,103370000
2015-08-21,155,157,153,153,510000,79009000
2015-08-20,162,162,158,158,248000,39666000
2015-08-19,162,163,161,161,192000,31074000
2015-08-18,164,164,162,163,165000,26937000
2015-08-17,163,164,162,164,355000,57942000
2015-08-14,163,163,161,163,243000,39467000
2015-08-13,161,163,161,163,395000,64028000
2015-08-12,160,163,159,160,877000,141515000
2015-08-11,160,162,159,160,1287000,206385000
2015-08-10,160,160,158,160,414000,66074000
2015-08-07,158,160,157,159,525000,83127000
2015-08-06,156,158,155,158,334000,52353000
2015-08-05,155,156,154,155,254000,39346000
2015-08-04,154,155,153,155,182000,28073000
2015-08-03,154,155,153,154,164000,25265000
2015-07-31,154,155,153,154,206000,31672000
2015-07-30,154,155,153,154,150000,23071000
2015-07-29,154,154,152,153,184000,28066000
2015-07-28,152,154,151,153,251000,38259000
2015-07-27,157,157,153,153,553000,85687000
2015-07-24,155,156,155,156,74000,11503000
2015-07-23,155,156,155,156,105000,16336000
2015-07-22,154,156,154,155,245000,37959000
2015-07-21,155,155,154,155,180000,27820000
2015-07-17,155,156,153,154,436000,67337000
2015-07-16,155,155,154,155,209000,32343000
2015-07-15,158,158,155,156,529000,82871000
2015-07-14,157,157,156,157,179000,28036000
2015-07-13,154,156,153,154,230000,35499000
2015-07-10,155,155,152,152,491000,75641000
2015-07-09,152,153,147,152,997000,150050000
2015-07-08,157,157,153,153,680000,105019000
2015-07-07,156,157,156,156,322000,50464000
2015-07-06,156,157,154,155,427000,66435000
2015-07-03,158,158,157,158,215000,33864000
2015-07-02,160,160,158,158,384000,60913000
2015-07-01,157,158,156,157,260000,40796000
2015-06-30,155,157,154,157,300000,46790000
2015-06-29,155,157,154,155,417000,64822000
2015-06-26,160,160,156,158,481000,75920000
2015-06-25,162,162,159,159,375000,60183000
2015-06-24,160,163,159,162,606000,97994000
2015-06-23,159,162,158,160,462000,73831000
2015-06-22,157,160,156,158,779000,123182000
2015-06-19,157,158,156,156,337000,52762000
2015-06-18,158,158,156,156,357000,55941000
2015-06-17,157,158,156,158,435000,68308000
2015-06-16,158,159,157,157,315000,49734000
2015-06-15,160,160,158,159,364000,57811000
2015-06-12,161,161,159,159,537000,86101000
2015-06-11,160,161,159,160,314000,50225000
2015-06-10,159,160,158,159,473000,75332000
2015-06-09,162,163,159,159,726000,116205000
2015-06-08,163,164,162,162,204000,33212000
2015-06-05,162,163,162,162,367000,59527000
2015-06-04,164,166,164,164,671000,110566000
2015-06-03,163,165,163,164,446000,72885000
2015-06-02,167,167,163,163,712000,117265000
2015-06-01,165,167,164,167,991000,164136000
2015-05-29,163,165,160,165,994000,162058000
2015-05-28,162,163,161,163,405000,65626000
2015-05-27,161,162,160,162,269000,43308000
2015-05-26,161,163,161,161,380000,61470000
2015-05-25,162,163,161,161,413000,66730000
2015-05-22,159,162,158,162,655000,104789000
2015-05-21,161,164,158,158,1279000,206530000
2015-05-20,159,161,158,161,728000,116086000
2015-05-19,159,160,157,159,462000,73121000
2015-05-18,156,160,156,159,478000,75488000
2015-05-15,158,158,155,156,239000,37426000
2015-05-14,159,159,155,156,458000,71787000
2015-05-13,158,160,157,159,299000,47474000
2015-05-12,157,160,157,158,526000,83353000
2015-05-11,157,158,156,156,201000,31494000
2015-05-08,155,156,154,154,563000,87271000
2015-05-07,157,158,154,154,429000,66915000
2015-05-01,156,157,154,156,330000,51277000
2015-04-30,159,160,157,157,586000,92341000
2015-04-28,160,161,159,161,345000,55256000
2015-04-27,159,161,157,161,573000,91173000
2015-04-24,156,159,156,158,546000,85964000
2015-04-23,157,159,155,156,814000,127781000
2015-04-22,155,157,154,155,407000,63420000
2015-04-21,158,158,154,155,1084000,169316000
2015-04-20,160,161,158,158,1966000,313566000
2015-04-17,156,164,155,162,7194000,1150463000
2015-04-16,151,153,151,153,245000,37280000
2015-04-15,151,152,150,151,265000,40048000
2015-04-14,149,151,149,150,189000,28366000
2015-04-13,151,151,150,150,127000,19102000
2015-04-10,153,153,150,151,237000,35961000
2015-04-09,152,153,151,152,169000,25682000
2015-04-08,151,153,151,152,321000,48735000
2015-04-07,150,151,149,150,152000,22827000
2015-04-06,149,150,148,149,121000,18034000
2015-04-03,151,151,149,150,185000,27747000
2015-04-02,149,151,149,151,287000,43082000
2015-04-01,149,150,147,149,379000,56403000
2015-03-31,152,152,150,150,213000,32147000
2015-03-30,152,152,151,151,200000,30317000
2015-03-27,153,154,151,151,366000,55814000
2015-03-26,158,159,156,156,381000,60032000
2015-03-25,159,160,158,158,339000,53813000
2015-03-24,159,161,158,159,357000,56894000
2015-03-23,159,161,159,160,431000,68776000
2015-03-20,156,159,155,158,372000,58396000
2015-03-19,156,156,155,155,178000,27715000
2015-03-18,157,157,155,156,355000,55356000
2015-03-17,158,158,157,157,145000,22861000
2015-03-16,158,158,156,157,206000,32396000
2015-03-13,160,160,158,158,563000,89719000
2015-03-12,155,159,155,159,746000,117552000
2015-03-11,154,155,154,154,133000,20528000
2015-03-10,155,156,154,154,182000,28183000
2015-03-09,154,155,153,154,302000,46502000
2015-03-06,154,155,154,154,331000,51082000
2015-03-05,154,155,153,155,269000,41457000
2015-03-04,155,155,153,153,337000,51894000
2015-03-03,156,157,154,155,689000,107257000
2015-03-02,155,156,154,156,326000,50666000
2015-02-27,155,156,153,154,433000,66839000
2015-02-26,155,155,154,155,196000,30368000
2015-02-25,154,156,153,154,808000,124916000
2015-02-24,152,154,152,154,373000,57014000
2015-02-23,152,153,151,152,467000,70950000
2015-02-20,153,153,151,152,516000,78284000
2015-02-19,152,153,151,153,840000,127804000
2015-02-18,153,153,152,153,290000,44217000
2015-02-17,151,152,151,152,211000,31990000
2015-02-16,151,153,150,151,423000,63872000
2015-02-13,150,151,150,150,199000,29910000
2015-02-12,150,151,149,149,343000,51411000
2015-02-10,153,153,147,147,753000,112588000
2015-02-09,151,152,151,152,132000,19964000
2015-02-06,151,151,150,151,93000,14042000
2015-02-05,151,151,150,150,89000,13388000
2015-02-04,151,152,149,150,291000,43784000
2015-02-03,151,152,149,149,305000,45730000
2015-02-02,151,152,150,151,114000,17220000
2015-01-30,152,153,151,152,161000,24390000
2015-01-29,152,154,150,150,294000,44660000
2015-01-28,151,153,150,153,343000,52099000
2015-01-27,150,152,150,152,156000,23509000
2015-01-26,148,151,148,150,225000,33670000
2015-01-23,148,149,147,149,79000,11721000
2015-01-22,148,148,146,147,190000,27834000
2015-01-21,150,150,147,147,161000,23861000
2015-01-20,148,150,147,150,146000,21749000
2015-01-19,149,149,146,147,120000,17702000
2015-01-16,147,148,145,146,376000,54945000
2015-01-15,147,149,147,149,202000,29792000
2015-01-14,148,149,146,147,245000,36108000
2015-01-13,148,148,146,148,320000,47139000
2015-01-09,151,151,149,149,240000,36054000
2015-01-08,149,153,149,151,290000,43779000
2015-01-07,148,150,148,149,343000,51074000
2015-01-06,151,152,148,148,560000,83686000
2015-01-05,149,152,148,151,472000,71043000
2014-12-30,150,150,148,149,233000,34736000
2014-12-29,149,150,148,149,161000,23982000
2014-12-26,146,149,146,149,190000,28045000
2014-12-25,149,149,146,146,423000,62231000
2014-12-24,148,149,147,149,420000,62162000
2014-12-22,148,148,146,147,229000,33603000
2014-12-19,147,148,145,148,286000,41884000
2014-12-18,145,147,144,145,257000,37386000
2014-12-17,142,145,142,143,496000,71056000
2014-12-16,145,145,142,143,421000,60551000
2014-12-15,148,148,146,146,148000,21762000
2014-12-12,148,149,148,148,384000,56914000
2014-12-11,148,149,146,148,385000,56937000
2014-12-10,150,150,148,149,363000,54248000
2014-12-09,152,154,151,151,299000,45672000
2014-12-08,154,154,152,154,397000,60941000
2014-12-05,155,155,152,154,347000,53221000
2014-12-04,155,156,154,155,291000,45096000
2014-12-03,155,155,154,155,481000,74428000
2014-12-02,150,154,149,154,414000,62676000
2014-12-01,151,151,149,151,427000,64191000
2014-11-28,151,152,150,151,495000,74710000
2014-11-27,152,153,149,151,621000,93880000
2014-11-26,153,154,152,152,225000,34330000
2014-11-25,154,154,152,154,217000,33253000
2014-11-21,153,153,151,153,179000,27219000
2014-11-20,154,154,152,152,193000,29497000
2014-11-19,153,154,153,153,148000,22673000
2014-11-18,152,154,151,154,239000,36554000
2014-11-17,154,154,151,151,158000,24080000
2014-11-14,155,155,153,155,193000,29798000
2014-11-13,151,154,149,153,455000,68891000
2014-11-12,156,156,151,151,387000,59480000
2014-11-11,155,156,154,155,400000,62243000
2014-11-10,152,157,150,156,1098000,169774000
2014-11-07,152,153,150,153,287000,43529000
2014-11-06,151,152,149,151,275000,41533000
2014-11-05,150,152,150,152,233000,35177000
2014-11-04,155,155,151,151,577000,87984000
2014-10-31,149,153,148,152,568000,85114000
2014-10-30,148,149,147,149,488000,72507000
2014-10-29,146,148,145,148,376000,55232000
2014-10-28,145,145,142,144,245000,35190000
2014-10-27,145,145,142,145,252000,36310000
2014-10-24,145,145,142,142,257000,36820000
2014-10-23,141,143,139,142,199000,28150000
2014-10-22,141,141,140,141,204000,28713000
2014-10-21,139,141,138,138,391000,54412000
2014-10-20,137,139,135,138,410000,56153000
2014-10-17,135,137,133,133,497000,67043000
2014-10-16,137,139,133,133,554000,75167000
2014-10-15,140,140,138,139,278000,38675000
2014-10-14,136,141,136,137,539000,74172000
2014-10-10,141,142,140,140,304000,42854000
2014-10-09,147,148,143,143,321000,46506000
2014-10-08,147,147,145,146,228000,33342000
2014-10-07,149,151,148,148,215000,32134000
2014-10-06,149,151,149,149,171000,25604000
2014-10-03,147,149,147,148,161000,23801000
2014-10-02,149,149,146,147,394000,58322000
2014-10-01,154,155,152,152,300000,45896000
2014-09-30,155,155,154,154,288000,44548000
2014-09-29,158,158,155,157,222000,34679000
2014-09-26,156,158,155,156,196000,30703000
2014-09-25,156,157,155,157,345000,53708000
