5186-T,東証1部,ニッタ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2830,2830,2724,2754,126600,349135200
2015-10-01,2900,2904,2850,2871,51900,149153200
2015-09-30,2838,2900,2803,2866,41300,117804400
2015-09-29,2854,2874,2781,2782,49500,138691800
2015-09-28,2936,2941,2802,2856,40600,115758200
2015-09-25,2841,2889,2784,2888,29100,82934000
2015-09-24,2871,2877,2808,2827,31900,90861600
2015-09-18,2950,2953,2917,2921,30100,88212500
2015-09-17,2992,2993,2945,2991,23700,70573500
2015-09-16,2906,2956,2904,2942,22200,65086400
2015-09-15,2915,2950,2880,2884,18100,52773300
2015-09-14,2911,2933,2865,2888,32700,94602400
2015-09-11,2889,2912,2820,2881,59600,171593900
2015-09-10,2839,2858,2786,2839,31400,88671700
2015-09-09,2819,2862,2801,2859,50600,142750400
2015-09-08,2760,2779,2730,2737,26500,72861800
2015-09-07,2755,2811,2717,2760,49000,135021500
2015-09-04,2847,2847,2732,2759,37800,104788900
2015-09-03,2788,2853,2788,2815,30400,85947400
2015-09-02,2805,2806,2747,2771,68100,189238300
2015-09-01,2895,2895,2803,2825,46700,132649400
2015-08-31,2944,2950,2877,2906,61300,178466300
2015-08-28,2876,2943,2826,2931,66000,192068300
2015-08-27,2776,2866,2758,2802,53400,150237400
2015-08-26,2760,2810,2713,2769,55900,154503600
2015-08-25,2700,2927,2665,2767,84100,234067100
2015-08-24,3100,3115,2930,2930,39900,120675000
2015-08-21,3160,3230,3160,3190,34800,111209500
2015-08-20,3385,3385,3290,3300,18800,62326000
2015-08-19,3415,3415,3360,3385,15400,52278500
2015-08-18,3410,3445,3390,3425,20400,69669000
2015-08-17,3360,3405,3320,3395,25300,85286000
2015-08-14,3370,3375,3315,3360,20700,69392000
2015-08-13,3370,3390,3340,3370,22300,74986500
2015-08-12,3475,3475,3390,3395,16800,57555500
2015-08-11,3515,3515,3425,3475,35900,124543500
2015-08-10,3450,3525,3380,3495,85000,293562000
2015-08-07,3205,3275,3205,3255,17900,58046500
2015-08-06,3215,3275,3205,3225,32800,106240000
2015-08-05,3180,3240,3180,3205,18200,58365000
2015-08-04,3160,3190,3145,3180,15100,47860500
2015-08-03,3155,3180,3120,3155,18500,58309500
2015-07-31,3125,3185,3110,3175,18900,59544000
