5187-T,東証1部,クリエート,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,922,928,922,922,6800,6289600
2015-10-01,927,929,924,926,22400,20760500
2015-09-30,925,930,923,923,8400,7778100
2015-09-29,925,932,921,921,37300,34521000
2015-09-28,932,956,921,933,23500,22032900
2015-09-25,925,931,920,925,12600,11645100
2015-09-24,925,928,920,921,16500,15226600
2015-09-18,929,931,922,928,16500,15311800
2015-09-17,935,940,933,935,12900,12071500
2015-09-16,948,948,937,939,5300,4986700
2015-09-15,944,954,944,945,4600,4355900
2015-09-14,959,964,944,944,5800,5544200
2015-09-11,957,959,947,953,15100,14435500
2015-09-10,952,952,936,950,23500,22310400
2015-09-09,941,961,941,954,11300,10735800
2015-09-08,945,945,933,933,4700,4406300
2015-09-07,931,945,920,945,11500,10699700
2015-09-04,945,945,930,931,15200,14180800
2015-09-03,956,956,928,937,20000,18905300
2015-09-02,949,960,943,952,13800,13127100
2015-09-01,970,981,955,957,7400,7142700
2015-08-31,976,985,967,985,7800,7598600
2015-08-28,972,987,968,976,8400,8199300
2015-08-27,952,963,948,955,9500,9075600
2015-08-26,941,962,940,948,13700,12957900
2015-08-25,930,982,925,937,31800,29920700
2015-08-24,991,992,968,968,30900,30365300
2015-08-21,998,1010,992,993,32900,32785100
2015-08-20,1001,1008,999,999,10600,10609900
2015-08-19,1000,1005,1000,1000,4800,4809200
2015-08-18,1005,1010,1004,1007,8700,8761700
2015-08-17,1004,1009,999,1005,9000,9045100
2015-08-14,1000,1003,998,1001,12400,12393300
2015-08-13,998,1004,998,1000,9300,9301600
2015-08-12,1000,1004,998,999,8400,8400600
2015-08-11,1009,1009,999,1002,18300,18344400
2015-08-10,1000,1004,997,1004,21800,21791700
2015-08-07,1000,1005,1000,1001,15600,15631600
2015-08-06,1002,1008,1000,1000,22000,22060000
2015-08-05,1004,1011,1000,1000,53300,53449600
2015-08-04,1028,1028,1004,1007,24800,25055300
2015-08-03,1012,1024,1011,1017,10800,10961400
2015-07-31,1014,1018,1011,1012,2900,2937600
2015-07-30,1010,1020,1010,1014,8000,8115300
2015-07-29,1012,1016,1010,1010,5400,5464500
2015-07-28,1010,1017,1010,1013,7600,7690800
2015-07-27,1017,1035,1011,1014,12500,12744800
2015-07-24,1022,1022,1014,1014,3500,3564900
2015-07-23,1030,1030,1012,1021,9700,9891600
2015-07-22,1025,1027,1013,1023,6000,6127200
2015-07-21,1027,1028,1022,1025,6200,6353900
2015-07-17,1020,1026,1020,1022,3600,3681000
2015-07-16,1027,1028,1020,1026,4100,4203800
2015-07-15,1024,1027,1017,1027,16200,16586300
2015-07-14,1025,1028,1017,1021,8800,8999900
2015-07-13,1009,1021,1004,1015,5600,5683900
2015-07-10,1014,1014,1000,1002,12800,12838100
2015-07-09,1001,1009,999,1003,36600,36643600
2015-07-08,1017,1017,1001,1001,16600,16684000
2015-07-07,1023,1023,1013,1019,9200,9379000
2015-07-06,1010,1017,1007,1012,10600,10716000
2015-07-03,1039,1039,1016,1017,21100,21623900
2015-07-02,1030,1034,1023,1028,5500,5662800
2015-07-01,1013,1031,1010,1021,11400,11648800
2015-06-30,1008,1016,1003,1013,13100,13250400
2015-06-29,1012,1029,1001,1010,24500,24864200
2015-06-26,1044,1044,978,1030,40900,42042300
2015-06-25,1050,1051,1047,1048,22300,23399500
2015-06-24,1050,1071,1048,1050,37900,39881900
2015-06-23,1046,1054,1046,1050,16900,17759700
2015-06-22,1049,1051,1046,1048,18500,19410900
2015-06-19,1042,1050,1041,1046,19600,20487000
2015-06-18,1050,1052,1043,1043,13200,13840500
2015-06-17,1043,1047,1043,1045,10000,10442700
2015-06-16,1043,1049,1043,1044,10300,10775100
2015-06-15,1045,1050,1041,1048,9800,10247100
2015-06-12,1040,1050,1038,1046,32300,33654000
2015-06-11,1042,1047,1041,1043,14300,14932500
2015-06-10,1049,1049,1041,1042,20600,21529300
2015-06-09,1047,1050,1047,1047,11200,11741200
2015-06-08,1050,1054,1045,1047,16100,16892400
2015-06-05,1046,1049,1044,1047,12100,12662900
2015-06-04,1055,1055,1045,1047,19400,20388700
2015-06-03,1050,1050,1045,1045,12300,12881000
2015-06-02,1049,1050,1047,1050,8100,8498600
2015-06-01,1047,1050,1044,1049,13700,14350900
2015-05-29,1050,1052,1047,1047,12500,13116200
2015-05-28,1050,1051,1046,1047,7500,7865300
2015-05-27,1044,1050,1044,1047,5900,6175300
2015-05-26,1050,1050,1044,1047,9600,10056800
2015-05-25,1050,1052,1044,1047,8600,9023400
2015-05-22,1046,1050,1038,1043,11600,12104400
2015-05-21,1050,1056,1034,1037,33400,34879600
2015-05-20,1053,1055,1050,1054,9600,10102500
2015-05-19,1056,1058,1049,1053,28100,29618100
2015-05-18,1049,1053,1040,1049,8100,8479100
2015-05-15,1053,1053,1035,1049,9300,9713400
2015-05-14,1049,1049,1038,1045,8900,9287600
2015-05-13,1045,1047,1040,1047,9800,10232100
2015-05-12,1042,1049,1041,1044,10500,10961000
2015-05-11,1043,1048,1041,1043,8300,8661000
2015-05-08,1035,1055,1035,1042,20400,21264900
2015-05-07,1048,1048,1032,1035,26600,27619500
2015-05-01,1057,1070,1046,1054,16200,17085700
2015-04-30,1065,1065,1052,1062,14800,15633300
2015-04-28,1060,1073,1058,1067,31100,33137100
2015-04-27,1059,1061,1054,1057,15900,16823800
2015-04-24,1055,1055,1047,1052,9800,10322900
2015-04-23,1055,1055,1045,1050,12800,13446600
2015-04-22,1050,1053,1046,1053,14000,14703300
2015-04-21,1043,1050,1043,1050,7100,7433000
2015-04-20,1042,1055,1037,1043,23600,24736000
2015-04-17,1045,1045,1041,1042,9200,9601700
2015-04-16,1042,1046,1042,1045,6900,7198100
2015-04-15,1046,1050,1042,1044,9900,10352100
2015-04-14,1048,1051,1041,1046,27800,29075500
2015-04-13,1050,1050,1044,1046,16700,17487800
2015-04-10,1047,1050,1043,1049,13100,13706200
2015-04-09,1050,1051,1046,1046,21400,22441700
2015-04-08,1048,1052,1040,1050,36000,37749300
2015-04-07,1045,1048,1038,1044,37800,39399700
2015-04-06,1039,1043,1035,1043,18100,18799600
2015-04-03,1026,1038,1026,1038,33600,34779000
2015-04-02,1031,1034,1026,1029,23800,24500600
2015-04-01,1025,1033,1022,1026,24000,24625200
2015-03-31,1020,1029,1020,1024,16400,16808400
2015-03-30,1018,1022,1015,1021,23600,24050500
2015-03-27,1020,1027,1018,1019,31900,32606700
2015-03-26,1028,1030,1018,1020,36600,37450700
2015-03-25,1025,1029,1025,1026,20300,20862600
2015-03-24,1025,1031,1022,1025,20500,21035300
2015-03-23,1025,1039,1023,1026,34200,35161000
2015-03-20,1022,1027,1022,1026,8900,9117800
2015-03-19,1019,1024,1018,1021,13100,13372300
2015-03-18,1018,1025,1018,1019,14400,14701100
2015-03-17,1021,1026,1016,1024,17200,17563100
2015-03-16,1032,1037,1002,1016,44600,45629200
2015-03-13,1037,1037,1028,1032,28500,29477400
2015-03-12,1027,1037,1020,1032,19200,19812600
2015-03-11,1015,1029,1013,1024,16400,16773200
2015-03-10,1011,1022,1011,1019,27900,28385100
2015-03-09,1011,1014,1008,1013,17800,17996000
2015-03-06,1015,1016,1009,1014,16800,17014500
2015-03-05,1014,1016,1008,1013,18900,19135700
2015-03-04,1011,1016,1010,1012,23000,23275300
2015-03-03,1008,1015,1007,1011,23700,23932200
2015-03-02,1005,1010,1003,1008,38500,38737200
2015-02-27,1000,1008,1000,1003,147500,147889600
2015-02-26,1014,1024,1009,1009,44900,45503200
2015-02-25,1021,1033,1013,1013,22300,22741900
2015-02-24,1014,1038,1013,1017,23000,23466500
2015-02-23,1018,1030,1010,1017,26500,27015400
2015-02-20,1038,1038,1030,1036,8400,8688000
2015-02-19,1030,1038,1030,1035,8500,8792400
