5214-T,東証1部,日電硝,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,582,593,576,583,2917000,1701894000
2015-10-01,575,581,564,576,3806000,2185990000
2015-09-30,580,583,570,576,4050000,2337275000
2015-09-29,580,581,565,567,3550000,2028468000
2015-09-28,603,604,589,593,2543000,1505846000
2015-09-25,610,619,587,599,4863000,2902563000
2015-09-24,608,611,594,594,4371000,2622247000
2015-09-18,620,621,607,608,4538000,2768142000
2015-09-17,634,642,619,623,4172000,2612569000
2015-09-16,630,640,622,626,5409000,3398732000
2015-09-15,630,642,621,630,6793000,4289589000
2015-09-14,613,637,613,630,7365000,4640734000
2015-09-11,592,619,591,611,9014000,5433776000
2015-09-10,584,602,582,602,7193000,4278568000
2015-09-09,573,601,570,600,7290000,4298235000
2015-09-08,545,557,543,550,5108000,2812719000
2015-09-07,541,543,530,537,4318000,2313113000
2015-09-04,550,554,540,547,6937000,3788149000
2015-09-03,531,554,530,549,6030000,3307365000
2015-09-02,515,535,511,523,5199000,2736084000
2015-09-01,541,546,522,523,4727000,2509933000
2015-08-31,543,550,535,536,4467000,2412151000
2015-08-28,542,551,533,540,9579000,5173574000
2015-08-27,539,542,525,530,4785000,2542906000
2015-08-26,513,535,505,533,5137000,2690090000
2015-08-25,525,544,510,520,6954000,3672546000
2015-08-24,554,560,537,538,5028000,2742621000
2015-08-21,576,582,566,568,3713000,2128052000
2015-08-20,592,595,586,587,2827000,1666719000
2015-08-19,596,599,587,591,2849000,1687525000
2015-08-18,612,613,596,599,2654000,1595342000
2015-08-17,619,619,607,612,2881000,1761345000
2015-08-14,614,619,607,612,2809000,1723329000
2015-08-13,607,618,603,613,2609000,1594828000
2015-08-12,617,623,606,611,2393000,1465021000
2015-08-11,620,629,616,622,2095000,1302989000
2015-08-10,623,624,613,620,3394000,2102839000
2015-08-07,630,637,626,632,2306000,1457364000
2015-08-06,609,638,605,630,6470000,4066432000
2015-08-05,598,605,591,600,2773000,1663068000
2015-08-04,607,607,588,596,4352000,2597839000
2015-08-03,600,610,593,607,2723000,1644723000
2015-07-31,610,632,597,602,6897000,4203383000
