5218-T,東証1部,オハラ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,585,588,579,585,13500,7878700
2015-10-01,584,585,576,585,12900,7508200
2015-09-30,574,580,571,574,19400,11138400
2015-09-29,583,583,573,574,17000,9802200
2015-09-28,578,588,578,585,19500,11369000
2015-09-25,576,586,570,585,21000,12134200
2015-09-24,579,583,570,572,25000,14368500
2015-09-18,592,592,579,588,21200,12446800
2015-09-17,591,593,582,590,14200,8371500
2015-09-16,597,598,592,592,9500,5647200
2015-09-15,595,597,585,596,17900,10599500
2015-09-14,583,589,582,585,18600,10884600
2015-09-11,589,600,586,591,85700,50745500
2015-09-10,570,580,570,580,8300,4758800
2015-09-09,580,580,575,580,27600,15964600
2015-09-08,576,576,569,571,13900,7948800
2015-09-07,561,573,561,568,12300,6984600
2015-09-04,573,577,566,566,29600,16880700
2015-09-03,571,576,570,573,12700,7275400
2015-09-02,561,575,561,566,20900,11857200
2015-09-01,574,577,566,566,28300,16174600
2015-08-31,575,583,573,575,20000,11528500
2015-08-28,575,575,569,570,24300,13877000
2015-08-27,569,574,565,565,21800,12377300
2015-08-26,559,562,553,557,56500,31443100
2015-08-25,556,585,551,555,103600,57695500
2015-08-24,582,588,562,563,71400,41009700
2015-08-21,597,603,591,591,23500,13972600
2015-08-20,609,609,600,601,10100,6099500
2015-08-19,611,612,608,609,7800,4754800
2015-08-18,610,613,603,610,13700,8349100
2015-08-17,604,608,601,607,16900,10224700
2015-08-14,599,605,598,604,13800,8303700
2015-08-13,600,603,596,599,12400,7428600
2015-08-12,604,606,600,600,11000,6619000
2015-08-11,606,610,601,603,23900,14429700
2015-08-10,607,608,603,606,16300,9881200
2015-08-07,599,606,599,605,17400,10505200
2015-08-06,599,606,599,600,14500,8724100
2015-08-05,602,604,598,601,10000,6011700
2015-08-04,597,602,596,599,9400,5630100
2015-08-03,595,599,595,597,19300,11515100
2015-07-31,593,601,593,601,15000,8970400
2015-07-30,596,601,595,600,14600,8725200
2015-07-29,598,600,592,596,10500,6247800
2015-07-28,599,602,591,598,40800,24364200
2015-07-27,604,605,599,600,16500,9924400
2015-07-24,605,605,600,600,14300,8597400
2015-07-23,601,606,600,605,22800,13756500
2015-07-22,607,607,600,601,15600,9414400
2015-07-21,608,610,601,607,16900,10210900
2015-07-17,606,608,602,603,15200,9184600
2015-07-16,607,607,603,606,17000,10285700
2015-07-15,608,608,603,604,10600,6414500
2015-07-14,612,614,603,605,25600,15580500
2015-07-13,609,610,602,605,15000,9085900
2015-07-10,603,606,589,594,53300,31923200
2015-07-09,608,608,585,596,75700,45131100
2015-07-08,621,622,612,613,36800,22608500
2015-07-07,615,622,615,619,6700,4147100
2015-07-06,620,621,614,615,22900,14134500
2015-07-03,627,627,617,618,28500,17708600
2015-07-02,630,631,625,627,9900,6215700
2015-07-01,622,638,619,627,24900,15563700
2015-06-30,622,629,619,623,32800,20418100
2015-06-29,621,633,621,631,38000,23816500
2015-06-26,640,641,636,638,10900,6966900
2015-06-25,639,641,636,638,15400,9832400
2015-06-24,647,647,641,643,29800,19218000
2015-06-23,638,646,631,646,46500,29765000
2015-06-22,648,648,631,638,38900,24861300
2015-06-19,639,640,632,638,22300,14198900
2015-06-18,635,640,634,636,26700,16995400
2015-06-17,638,645,631,639,36800,23491500
2015-06-16,643,643,635,640,36500,23340100
2015-06-15,645,645,635,642,75500,48378100
2015-06-12,641,649,631,644,368300,236393200
2015-06-11,620,622,611,611,53700,33088400
2015-06-10,618,621,616,616,25400,15698100
2015-06-09,628,628,620,621,39800,24823600
2015-06-08,635,640,626,629,25200,15957900
2015-06-05,640,645,632,634,54000,34427400
2015-06-04,628,660,625,645,90300,57903100
2015-06-03,628,628,624,625,13100,8205800
2015-06-02,616,626,616,626,19700,12238600
2015-06-01,612,621,612,618,15200,9398100
2015-05-29,617,617,615,616,15000,9235800
2015-05-28,612,618,610,615,25500,15657800
2015-05-27,609,617,609,613,12100,7406900
2015-05-26,615,615,610,612,29500,18102200
2015-05-25,606,611,606,609,18200,11063400
2015-05-22,612,613,606,606,40700,24692300
2015-05-21,615,615,611,612,21700,13324700
2015-05-20,613,614,611,613,18700,11455900
2015-05-19,613,613,608,613,44700,27385500
2015-05-18,604,613,604,612,32300,19593200
2015-05-15,613,615,610,611,40800,24942300
2015-05-14,607,616,604,609,41600,25275600
2015-05-13,611,617,605,612,22500,13719900
2015-05-12,616,616,609,611,17800,10884900
2015-05-11,622,622,612,613,15600,9598900
2015-05-08,609,623,609,618,16900,10446600
2015-05-07,610,617,608,610,16600,10132500
2015-05-01,614,614,605,608,25700,15641400
2015-04-30,623,623,612,614,21000,12952200
2015-04-28,625,634,614,622,43900,27417400
2015-04-27,617,626,617,622,12000,7451000
2015-04-24,615,625,612,616,30400,18753400
2015-04-23,615,616,611,612,22200,13620000
2015-04-22,611,615,610,613,14500,8870300
2015-04-21,610,612,608,610,15200,9267900
2015-04-20,608,615,606,611,22600,13793900
2015-04-17,612,613,607,610,9500,5800200
2015-04-16,606,611,604,610,13500,8214700
2015-04-15,609,610,605,607,10900,6622500
2015-04-14,609,610,606,609,23100,14056100
2015-04-13,611,611,604,610,18800,11449400
2015-04-10,603,610,599,607,20800,12573000
2015-04-09,607,607,597,601,18200,10933600
2015-04-08,609,610,600,605,31800,19295600
2015-04-07,595,613,591,607,75900,45773200
2015-04-06,597,598,591,595,13100,7809500
2015-04-03,597,598,592,596,13200,7853500
2015-04-02,593,597,591,596,24800,14761400
2015-04-01,592,597,590,593,41500,24609800
2015-03-31,594,594,589,590,20000,11836900
2015-03-30,593,596,592,595,17100,10161600
2015-03-27,591,597,591,593,21300,12650000
2015-03-26,596,596,590,594,20100,11949800
2015-03-25,598,598,591,596,16500,9811200
2015-03-24,595,598,593,598,61000,36341700
2015-03-23,586,589,580,589,43400,25353500
2015-03-20,588,590,583,584,21400,12563400
2015-03-19,583,588,583,585,18000,10546900
2015-03-18,581,584,581,583,12100,7058800
2015-03-17,584,588,582,583,18100,10568000
2015-03-16,585,588,583,584,23900,13987700
2015-03-13,587,589,582,584,38400,22465500
2015-03-12,584,592,583,587,21600,12705000
2015-03-11,580,589,577,586,17800,10416700
2015-03-10,591,595,579,583,70900,41421100
2015-03-09,595,596,585,590,43800,25878900
2015-03-06,595,595,592,593,20400,12118300
2015-03-05,590,597,590,594,28100,16694100
2015-03-04,589,592,587,590,20000,11786000
2015-03-03,590,593,587,587,10900,6434500
2015-03-02,590,593,586,588,28900,17065300
2015-02-27,593,593,581,589,19000,11204900
2015-02-26,591,591,589,591,34000,20067600
2015-02-25,590,590,585,587,23200,13621200
2015-02-24,584,588,584,587,24100,14125400
2015-02-23,582,585,580,583,35200,20511400
2015-02-20,576,580,576,580,9600,5560500
2015-02-19,578,579,575,576,35000,20217100
2015-02-18,578,580,568,577,52900,30538700
2015-02-17,570,579,570,577,36400,20990700
2015-02-16,571,575,571,573,20800,11917800
2015-02-13,575,575,570,570,22100,12671000
2015-02-12,574,577,570,572,22900,13147100
2015-02-10,571,575,563,571,46700,26668300
2015-02-09,575,576,572,573,45900,26362300
2015-02-06,578,578,575,575,21900,12626400
2015-02-05,569,574,569,574,17500,10001900
2015-02-04,571,571,569,570,18000,10270000
2015-02-03,572,574,566,569,35400,20173800
2015-02-02,561,570,561,569,34100,19264300
2015-01-30,564,565,561,564,16600,9356800
2015-01-29,561,563,557,561,31700,17736800
2015-01-28,560,564,560,561,13800,7751400
2015-01-27,560,563,558,562,17500,9807700
2015-01-26,566,566,554,559,55300,30906900
2015-01-23,565,567,563,566,24200,13682600
2015-01-22,561,563,559,563,10500,5891900
2015-01-21,563,565,559,559,14000,7864900
2015-01-20,564,565,559,563,31500,17666800
2015-01-19,564,564,559,559,20700,11607800
2015-01-16,561,561,557,560,33700,18862600
2015-01-15,559,565,559,564,21100,11829400
2015-01-14,561,564,560,560,28700,16099000
2015-01-13,568,575,561,561,109000,61666000
2015-01-09,565,565,561,562,34000,19128300
2015-01-08,561,567,561,562,38500,21679800
2015-01-07,561,567,561,563,26900,15156700
2015-01-06,572,574,561,562,65100,36984400
2015-01-05,572,579,569,578,42100,24161500
2014-12-30,570,572,567,569,21800,12423100
2014-12-29,562,569,561,567,29800,16848700
2014-12-26,556,560,554,558,42000,23380300
2014-12-25,555,556,553,553,98800,54807800
2014-12-24,560,562,555,556,52300,29179100
2014-12-22,558,561,555,561,46100,25754800
2014-12-19,559,561,556,558,42900,23955600
2014-12-18,555,560,553,554,71000,39433500
2014-12-17,552,556,551,553,55400,30645900
2014-12-16,568,568,550,552,164800,92280500
2014-12-15,571,574,571,571,53100,30373300
2014-12-12,578,579,571,571,184500,106399600
2014-12-11,596,596,586,591,60900,36085900
2014-12-10,588,598,585,595,65300,38670300
2014-12-09,581,600,581,592,85500,50436600
2014-12-08,585,586,582,585,44300,25880300
2014-12-05,579,585,578,584,37900,22057400
2014-12-04,580,582,579,580,37500,21754500
2014-12-03,583,583,577,579,28400,16479300
2014-12-02,577,581,576,580,30300,17522300
2014-12-01,580,582,577,577,39300,22777200
2014-11-28,581,581,577,579,21900,12681500
2014-11-27,581,583,576,577,21800,12636100
2014-11-26,576,590,576,579,64000,37307200
2014-11-25,572,576,572,574,43400,24886600
2014-11-21,572,573,571,572,33400,19108100
2014-11-20,572,575,572,572,25100,14381100
2014-11-19,576,576,572,572,30600,17575400
2014-11-18,572,575,572,575,23700,13609900
2014-11-17,576,577,571,571,66900,38389000
2014-11-14,576,578,575,578,23200,13376300
2014-11-13,573,577,573,576,18000,10339900
2014-11-12,579,580,574,574,37400,21564200
2014-11-11,576,579,576,579,16800,9703500
2014-11-10,576,579,575,579,35000,20207900
2014-11-07,577,578,573,576,36300,20851300
2014-11-06,578,578,572,574,25800,14847500
2014-11-05,573,576,571,575,51100,29280000
2014-11-04,581,585,575,575,62700,36313400
2014-10-31,575,578,573,575,37900,21798500
2014-10-30,578,578,573,573,21400,12302700
2014-10-29,577,579,571,573,63800,36653900
2014-10-28,579,579,575,578,86700,50048900
2014-10-27,585,585,579,580,29000,16844300
2014-10-24,584,587,578,581,26000,15145900
2014-10-23,579,584,579,582,17500,10172900
2014-10-22,578,582,578,581,23900,13851800
2014-10-21,579,580,577,577,9600,5553400
2014-10-20,583,583,573,579,20500,11860100
2014-10-17,577,580,573,573,26900,15488200
2014-10-16,578,581,575,577,26600,15365300
2014-10-15,580,583,579,582,14700,8539400
2014-10-14,575,582,575,578,28700,16578200
2014-10-10,588,588,575,583,86000,49922600
2014-10-09,603,603,591,593,25700,15331200
2014-10-08,597,603,597,601,17900,10742300
2014-10-07,612,612,604,605,42000,25641000
2014-10-06,601,609,601,606,22900,13890900
2014-10-03,593,602,593,600,24600,14717700
2014-10-02,598,600,593,593,32700,19527300
2014-10-01,612,612,605,606,32200,19596200
2014-09-30,607,612,604,611,31600,19191800
2014-09-29,605,609,604,607,27800,16871800
2014-09-26,601,603,599,602,46400,27894400
2014-09-25,596,602,589,600,58600,35055800
