5331-T,東証1部,ノリタケ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,263,265,259,260,219000,57172000
2015-10-01,260,263,255,261,361000,93809000
2015-09-30,250,254,250,252,142000,35746000
2015-09-29,255,258,248,248,208000,52540000
2015-09-28,257,261,257,258,84000,21692000
2015-09-25,263,263,254,260,223000,57584000
2015-09-24,260,263,257,257,199000,51568000
2015-09-18,266,268,265,265,131000,34812000
2015-09-17,269,270,268,270,92000,24760000
2015-09-16,267,268,265,268,79000,21066000
2015-09-15,262,267,262,263,126000,33343000
2015-09-14,266,267,261,263,110000,29005000
2015-09-11,266,267,263,266,239000,63526000
2015-09-10,259,263,258,261,115000,29914000
2015-09-09,260,265,258,265,231000,60180000
2015-09-08,261,261,255,255,183000,47095000
2015-09-07,258,259,255,257,144000,37006000
2015-09-04,261,263,256,258,238000,61693000
2015-09-03,260,263,259,259,132000,34396000
2015-09-02,259,264,259,259,190000,49447000
2015-09-01,271,271,263,263,184000,48958000
2015-08-31,270,272,267,270,133000,35888000
2015-08-28,273,276,268,271,176000,47764000
2015-08-27,266,269,264,264,222000,59000000
2015-08-26,258,262,254,260,415000,106791000
2015-08-25,260,267,254,258,346000,90098000
2015-08-24,268,277,266,266,401000,108529000
2015-08-21,281,286,279,279,230000,64673000
2015-08-20,290,291,287,287,95000,27475000
2015-08-19,292,295,290,290,152000,44349000
2015-08-18,290,297,290,296,192000,56328000
2015-08-17,293,295,292,292,158000,46268000
2015-08-14,293,297,293,295,123000,36296000
2015-08-13,294,297,293,295,151000,44582000
2015-08-12,297,299,295,298,151000,44837000
2015-08-11,302,302,298,300,165000,49509000
2015-08-10,296,301,296,301,268000,80059000
2015-08-07,296,296,292,295,201000,59125000
2015-08-06,296,299,295,297,257000,76358000
2015-08-05,296,297,291,294,739000,217889000
2015-08-04,286,286,283,285,119000,33848000
2015-08-03,286,286,281,284,274000,77548000
2015-07-31,284,290,283,290,189000,54323000
2015-07-30,282,284,280,283,115000,32513000
2015-07-29,281,282,278,280,119000,33371000
2015-07-28,279,284,277,281,195000,54585000
2015-07-27,286,286,280,281,194000,54912000
2015-07-24,282,285,281,281,183000,51696000
2015-07-23,285,292,282,286,557000,159376000
2015-07-22,281,282,279,280,245000,68693000
2015-07-21,281,282,280,280,138000,38807000
2015-07-17,279,280,277,277,162000,45075000
2015-07-16,281,281,277,279,129000,35978000
2015-07-15,279,282,278,281,247000,69198000
2015-07-14,276,277,275,277,186000,51347000
2015-07-13,271,274,269,272,136000,37062000
2015-07-10,271,274,269,270,171000,46393000
2015-07-09,271,272,265,270,275000,74055000
2015-07-08,279,279,272,273,297000,81852000
2015-07-07,280,281,279,279,110000,30815000
2015-07-06,284,284,277,277,495000,138696000
2015-07-03,287,287,284,284,283000,80727000
2015-07-02,287,288,283,283,225000,64147000
2015-07-01,285,288,283,283,409000,116405000
2015-06-30,285,288,283,285,374000,106512000
2015-06-29,292,292,285,287,428000,123710000
2015-06-26,300,300,296,296,168000,49958000
2015-06-25,303,303,298,298,339000,101759000
2015-06-24,305,306,303,304,219000,66686000
2015-06-23,299,306,299,306,262000,79570000
2015-06-22,296,299,296,299,204000,60685000
2015-06-19,299,301,295,295,447000,132967000
2015-06-18,305,305,298,298,205000,61556000
2015-06-17,300,308,299,305,270000,82028000
2015-06-16,303,304,297,299,267000,79963000
2015-06-15,306,307,301,302,211000,63990000
2015-06-12,302,306,302,304,373000,113108000
2015-06-11,305,306,301,302,255000,77266000
2015-06-10,303,308,301,304,195000,59319000
2015-06-09,309,309,304,304,306000,93792000
2015-06-08,310,313,308,309,284000,87956000
2015-06-05,314,316,307,307,389000,120528000
2015-06-04,319,320,312,314,561000,177199000
2015-06-03,298,314,297,313,1139000,349010000
2015-06-02,297,299,295,298,329000,97902000
2015-06-01,299,299,294,297,200000,59343000
2015-05-29,297,298,296,298,218000,64842000
2015-05-28,297,299,296,297,198000,58930000
2015-05-27,293,298,292,297,269000,79612000
2015-05-26,295,295,293,293,164000,48209000
2015-05-25,295,296,293,295,216000,63706000
2015-05-22,291,294,291,293,137000,40077000
2015-05-21,293,294,291,291,156000,45679000
2015-05-20,295,295,291,294,218000,63819000
2015-05-19,293,295,292,294,137000,40179000
2015-05-18,294,294,291,293,211000,61682000
2015-05-15,293,294,291,293,119000,34826000
2015-05-14,294,295,289,291,240000,70105000
2015-05-13,289,296,287,294,543000,159123000
2015-05-12,284,294,281,292,486000,140617000
2015-05-11,284,287,283,285,114000,32513000
2015-05-08,282,282,279,280,108000,30308000
2015-05-07,280,282,278,278,191000,53353000
2015-05-01,282,284,279,279,221000,62185000
2015-04-30,287,288,283,284,160000,45538000
2015-04-28,287,289,285,287,191000,54912000
2015-04-27,287,289,284,288,109000,31237000
2015-04-24,287,287,285,285,125000,35799000
2015-04-23,284,287,284,285,99000,28268000
2015-04-22,283,287,283,286,148000,42214000
2015-04-21,287,288,283,284,163000,46502000
2015-04-20,285,289,285,286,107000,30658000
2015-04-17,287,290,286,286,216000,62150000
2015-04-16,285,288,283,288,146000,41674000
2015-04-15,286,286,282,285,282000,80032000
2015-04-14,285,287,284,287,91000,26011000
2015-04-13,287,289,284,285,126000,36043000
2015-04-10,289,289,286,287,136000,39139000
2015-04-09,285,288,284,287,169000,48399000
2015-04-08,282,285,282,283,146000,41361000
2015-04-07,281,283,281,282,130000,36670000
2015-04-06,283,284,281,281,110000,31068000
2015-04-03,284,284,282,283,109000,30837000
2015-04-02,281,283,280,282,182000,51266000
2015-04-01,281,284,279,280,151000,42378000
2015-03-31,286,287,280,282,146000,41337000
2015-03-30,284,285,281,283,141000,39818000
2015-03-27,286,292,283,284,211000,60476000
2015-03-26,296,296,292,293,220000,64653000
2015-03-25,295,296,293,294,159000,46774000
2015-03-24,295,295,292,294,163000,47841000
2015-03-23,292,296,292,295,231000,67936000
2015-03-20,287,291,287,290,189000,54715000
2015-03-19,291,292,286,287,144000,41568000
2015-03-18,289,292,289,290,156000,45266000
2015-03-17,288,291,285,290,202000,58339000
2015-03-16,287,287,284,286,140000,39952000
2015-03-13,281,289,281,287,441000,125220000
2015-03-12,283,283,280,283,140000,39488000
2015-03-11,279,282,278,281,130000,36429000
2015-03-10,280,282,279,281,140000,39275000
2015-03-09,282,283,277,279,223000,62401000
2015-03-06,280,284,279,282,192000,53965000
