5344-T,東証1部,MARUWA,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2482,2482,2440,2462,18800,46307700
2015-10-01,2465,2484,2428,2466,53800,132432600
2015-09-30,2340,2475,2340,2442,68600,166937400
2015-09-29,2350,2362,2312,2338,65800,154073200
2015-09-28,2372,2404,2348,2354,33500,79107700
2015-09-25,2350,2423,2350,2392,42100,100123100
2015-09-24,2440,2459,2348,2348,101200,240523000
2015-09-18,2528,2578,2452,2459,102800,253922100
2015-09-17,2532,2581,2518,2575,61400,156795000
2015-09-16,2490,2560,2471,2531,63400,160065100
2015-09-15,2528,2567,2483,2499,60700,152745700
2015-09-14,2519,2600,2518,2529,80700,206221200
2015-09-11,2488,2507,2460,2469,28300,70142800
2015-09-10,2410,2465,2390,2452,29700,72331300
2015-09-09,2408,2474,2408,2456,35300,86472800
2015-09-08,2348,2420,2348,2366,29600,70549800
2015-09-07,2339,2377,2300,2354,34600,81140900
2015-09-04,2424,2424,2346,2354,42800,101570000
2015-09-03,2486,2501,2427,2439,34700,85224600
2015-09-02,2408,2457,2381,2417,41500,100651700
2015-09-01,2508,2529,2446,2446,38400,95363200
2015-08-31,2521,2581,2501,2519,42200,106609200
2015-08-28,2535,2564,2506,2542,47600,121040600
2015-08-27,2520,2521,2460,2469,66800,166236100
2015-08-26,2395,2493,2352,2479,80400,194878900
2015-08-25,2400,2578,2330,2388,137600,333901200
2015-08-24,2601,2630,2516,2521,107600,277304800
2015-08-21,2680,2701,2653,2655,53800,143863300
2015-08-20,2752,2796,2731,2767,56300,156306800
2015-08-19,2810,2813,2763,2771,49400,137564200
2015-08-18,2846,2848,2820,2847,20700,58786900
2015-08-17,2831,2841,2805,2830,27200,76785100
2015-08-14,2840,2857,2812,2836,24800,70236200
2015-08-13,2812,2868,2812,2837,29200,83162500
2015-08-12,2836,2868,2834,2834,37800,107592600
2015-08-11,2878,2899,2866,2886,55600,160688300
2015-08-10,2900,2904,2862,2878,35100,101105300
2015-08-07,2838,2932,2837,2908,159300,461292600
2015-08-06,2813,2848,2799,2836,85000,240214000
2015-08-05,2780,2829,2771,2813,61000,171155600
2015-08-04,2829,2830,2735,2763,78100,216015600
2015-08-03,2816,2875,2808,2830,134100,380348200
2015-07-31,2675,2805,2668,2805,205700,569350500
2015-07-30,2611,2635,2601,2618,41900,109479500
2015-07-29,2640,2651,2601,2606,42200,110271700
2015-07-28,2600,2638,2591,2618,57400,149857200
2015-07-27,2650,2667,2622,2630,60900,160701600
2015-07-24,2720,2740,2692,2699,49200,133105700
2015-07-23,2731,2772,2722,2745,75800,208261200
2015-07-22,2771,2789,2746,2752,45100,124445100
2015-07-21,2770,2795,2767,2790,74800,207904200
2015-07-17,2775,2782,2750,2778,57800,159878400
2015-07-16,2795,2796,2764,2776,55800,154710700
2015-07-15,2748,2807,2725,2796,214000,595535300
2015-07-14,2697,2761,2693,2725,148000,402466900
2015-07-13,2702,2720,2631,2635,105700,281023700
2015-07-10,2719,2719,2665,2686,177200,477376200
2015-07-09,2654,2740,2634,2733,181900,487203400
2015-07-08,2721,2725,2694,2702,135600,367212700
2015-07-07,2716,2768,2716,2725,121200,331412000
2015-07-06,2655,2713,2641,2698,107500,287939900
2015-07-03,2680,2725,2665,2705,139400,376507800
2015-07-02,2640,2692,2639,2675,163800,436944900
2015-07-01,2592,2628,2580,2620,86600,225416300
2015-06-30,2580,2597,2556,2590,87200,224205500
2015-06-29,2575,2595,2560,2583,75000,193524000
2015-06-26,2645,2645,2618,2633,39800,104736500
2015-06-25,2660,2664,2624,2625,68800,181358100
2015-06-24,2585,2665,2578,2660,148400,389445400
2015-06-23,2599,2599,2556,2564,162400,416564700
2015-06-22,2567,2585,2565,2584,69600,179087600
2015-06-19,2600,2610,2567,2573,115900,298542100
2015-06-18,2610,2611,2575,2587,97500,252654200
2015-06-17,2625,2625,2605,2612,102400,268059200
2015-06-16,2623,2639,2612,2617,64900,170116400
2015-06-15,2660,2661,2627,2631,92500,244225300
2015-06-12,2666,2679,2638,2660,66400,176341300
2015-06-11,2665,2669,2631,2643,59800,158298200
