5444-T,東証1部,大和工,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2404,2453,2381,2422,290000,701011000
2015-10-01,2425,2461,2403,2446,301400,734633200
2015-09-30,2382,2418,2369,2390,223800,535309600
2015-09-29,2490,2490,2346,2363,442900,1056208100
2015-09-28,2548,2553,2508,2531,211500,535500200
2015-09-25,2511,2584,2507,2579,354100,905014200
2015-09-24,2589,2620,2492,2492,232600,586193900
2015-09-18,2616,2651,2595,2618,299600,785248200
2015-09-17,2693,2703,2624,2650,264600,703428100
2015-09-16,2626,2685,2599,2679,393300,1043255500
2015-09-15,2662,2693,2601,2604,329000,866580200
2015-09-14,2651,2693,2651,2671,310200,828714400
2015-09-11,2700,2720,2654,2698,519300,1399455200
2015-09-10,2730,2805,2722,2790,269800,749177500
2015-09-09,2798,2825,2758,2789,384900,1070988300
2015-09-08,2700,2759,2681,2716,236500,645589400
2015-09-07,2614,2720,2614,2703,260800,700013100
2015-09-04,2682,2708,2595,2621,230500,606060500
2015-09-03,2650,2727,2650,2669,299100,802563000
2015-09-02,2625,2681,2597,2648,405100,1070739200
2015-09-01,2708,2708,2651,2653,243500,652042000
2015-08-31,2774,2775,2696,2732,228800,624801600
2015-08-28,2674,2792,2670,2770,288800,793211100
2015-08-27,2655,2665,2613,2636,272300,718671800
2015-08-26,2665,2682,2589,2637,408000,1070368500
2015-08-25,2670,2749,2607,2677,599000,1609332600
2015-08-24,2754,2784,2695,2702,344000,939916300
2015-08-21,2820,2862,2817,2817,254900,723196200
2015-08-20,2856,2884,2820,2876,317200,907171300
2015-08-19,2904,2914,2853,2863,201100,577996000
2015-08-18,2925,2938,2903,2928,228300,668619700
2015-08-17,2875,2950,2875,2932,325000,949282000
2015-08-14,2836,2836,2793,2825,234900,661246800
2015-08-13,2858,2865,2824,2853,261200,743675000
2015-08-12,2938,2938,2847,2862,360900,1035820500
2015-08-11,2950,3020,2917,2960,382000,1135014800
2015-08-10,2944,2959,2912,2950,360300,1059433000
2015-08-07,2942,2978,2924,2968,251800,746272600
2015-08-06,2890,2956,2864,2930,241900,707023100
