5445-T,東証1部,東京鉄,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,491,499,489,499,43000,21283000
2015-10-01,490,499,486,498,65000,32093000
2015-09-30,487,491,478,490,155000,75258000
2015-09-29,482,493,480,487,117000,56849000
2015-09-28,493,494,485,489,81000,39716000
2015-09-25,481,490,476,490,134000,64698000
2015-09-24,487,495,480,480,131000,63444000
2015-09-18,518,518,490,494,313000,155752000
2015-09-17,512,515,506,512,82000,41865000
2015-09-16,529,529,506,509,64000,32936000
2015-09-15,518,523,504,505,116000,59295000
2015-09-14,546,546,519,520,123000,65096000
2015-09-11,528,540,521,526,215000,113494000
2015-09-10,524,540,520,538,113000,60134000
2015-09-09,520,536,520,534,93000,49288000
2015-09-08,513,529,510,512,107000,55604000
2015-09-07,507,529,501,516,165000,85145000
2015-09-04,541,541,505,509,152000,78544000
2015-09-03,517,540,517,538,152000,81184000
2015-09-02,520,530,505,509,197000,101825000
2015-09-01,559,563,530,531,264000,144078000
2015-08-31,564,568,555,566,237000,133421000
2015-08-28,562,566,549,553,186000,103669000
2015-08-27,540,547,529,532,205000,109769000
2015-08-26,491,521,488,515,393000,197411000
2015-08-25,517,535,495,498,373000,191105000
2015-08-24,568,568,530,536,225000,123544000
2015-08-21,581,597,580,580,170000,99535000
2015-08-20,600,601,595,598,89000,53123000
2015-08-19,605,610,600,608,139000,84183000
2015-08-18,616,623,607,608,118000,72193000
2015-08-17,617,620,606,620,93000,57193000
2015-08-14,609,618,586,614,182000,111133000
2015-08-13,612,615,606,612,115000,70255000
2015-08-12,621,621,606,615,173000,106192000
2015-08-11,620,627,620,627,146000,91100000
2015-08-10,603,618,598,617,126000,76821000
2015-08-07,589,613,589,611,197000,119002000
2015-08-06,597,600,586,593,124000,73526000
2015-08-05,591,602,591,594,120000,71519000
2015-08-04,594,597,589,595,150000,88925000
2015-08-03,595,604,587,594,219000,129448000
2015-07-31,600,616,593,605,223000,134967000
2015-07-30,582,603,582,603,151000,90008000
2015-07-29,588,588,579,582,115000,66991000
2015-07-28,574,580,571,579,117000,67384000
2015-07-27,579,582,569,573,115000,66228000
2015-07-24,588,591,582,588,157000,92114000
2015-07-23,591,592,581,588,133000,77864000
2015-07-22,592,599,589,589,84000,49770000
2015-07-21,605,607,593,596,125000,74790000
2015-07-17,603,609,591,603,314000,188686000
2015-07-16,579,597,575,597,302000,177964000
2015-07-15,582,588,567,569,210000,120257000
2015-07-14,574,585,571,580,146000,84615000
2015-07-13,570,573,564,568,89000,50585000
2015-07-10,565,567,553,563,245000,136868000
2015-07-09,552,559,540,559,252000,138647000
2015-07-08,584,584,564,565,251000,143715000
2015-07-07,603,607,587,587,303000,179858000
2015-07-06,615,615,600,600,102000,61752000
2015-07-03,625,630,613,615,102000,63033000
2015-07-02,616,622,613,620,187000,115513000
2015-07-01,620,630,606,606,317000,194725000
2015-06-30,616,624,616,622,178000,110390000
2015-06-29,611,629,611,622,443000,274717000
2015-06-26,620,632,620,631,247000,154810000
2015-06-25,646,646,627,628,311000,197491000
2015-06-24,648,648,636,642,215000,138009000
2015-06-23,639,647,630,645,325000,208461000
2015-06-22,633,635,626,634,274000,173094000
2015-06-19,627,644,620,639,514000,326026000
2015-06-18,632,637,620,629,513000,322828000
2015-06-17,617,636,616,631,678000,425739000
2015-06-16,605,622,601,617,712000,436679000
2015-06-15,600,615,594,615,1074000,651280000
2015-06-12,571,575,567,572,439000,250812000
2015-06-11,557,561,553,561,220000,122742000
2015-06-10,551,557,548,555,86000,47552000
2015-06-09,560,560,545,547,195000,107416000
2015-06-08,554,559,552,557,130000,72246000
2015-06-05,553,556,550,553,163000,90267000
2015-06-04,554,555,550,554,158000,87274000
2015-06-03,552,559,550,550,321000,177483000
2015-06-02,569,569,560,562,150000,84407000
2015-06-01,572,572,561,565,157000,88764000
2015-05-29,564,574,564,569,218000,124225000
2015-05-28,568,571,562,564,201000,113463000
2015-05-27,556,566,552,565,447000,250857000
2015-05-26,550,557,549,555,241000,133482000
2015-05-25,547,551,546,549,102000,55915000
2015-05-22,549,554,544,547,227000,124659000
2015-05-21,545,551,545,547,242000,132432000
2015-05-20,547,551,546,549,199000,109167000
2015-05-19,551,553,545,550,230000,126317000
2015-05-18,546,553,544,551,234000,128228000
2015-05-15,553,557,551,552,231000,127949000
2015-05-14,540,552,540,548,498000,271957000
2015-05-13,545,548,542,544,309000,168559000
2015-05-12,540,547,538,547,494000,267866000
2015-05-11,536,541,533,537,557000,298609000
2015-05-08,535,535,526,533,710000,376859000
2015-05-07,500,535,496,527,1074000,556374000
2015-05-01,501,501,493,499,257000,127808000
2015-04-30,506,506,498,499,316000,158284000
2015-04-28,505,509,505,506,178000,90180000
2015-04-27,504,509,504,505,122000,61760000
2015-04-24,502,506,502,503,201000,101184000
2015-04-23,507,509,502,504,290000,146631000
2015-04-22,510,510,506,507,159000,80678000
2015-04-21,506,511,503,510,283000,143666000
2015-04-20,507,508,501,506,188000,94971000
2015-04-17,512,513,508,511,264000,134788000
2015-04-16,510,511,505,511,248000,126296000
2015-04-15,506,507,501,506,127000,64125000
2015-04-14,499,507,497,505,263000,132560000
2015-04-13,491,503,486,501,547000,272238000
2015-04-10,494,494,487,491,328000,160841000
2015-04-09,492,492,486,489,314000,153651000
2015-04-08,492,493,486,489,409000,200443000
2015-04-07,479,490,479,488,401000,194851000
2015-04-06,484,484,474,479,304000,145706000
2015-04-03,479,485,477,484,322000,154867000
2015-04-02,478,488,474,479,622000,299621000
2015-04-01,480,480,472,473,539000,256619000
2015-03-31,480,488,475,481,429000,205902000
2015-03-30,493,493,474,477,737000,354247000
2015-03-27,502,502,489,491,461000,228341000
2015-03-26,506,510,505,506,523000,265070000
2015-03-25,506,508,505,506,334000,169136000
2015-03-24,507,511,506,506,309000,156765000
2015-03-23,510,510,505,507,275000,139546000
2015-03-20,510,510,504,507,303000,153399000
2015-03-19,511,513,507,507,215000,109392000
2015-03-18,516,516,509,510,491000,250959000
2015-03-17,520,522,514,516,304000,157085000
2015-03-16,522,523,515,517,325000,168770000
2015-03-13,517,522,516,519,299000,155114000
2015-03-12,512,512,507,512,260000,132654000
2015-03-11,504,511,501,506,321000,162276000
2015-03-10,513,513,503,506,325000,164681000
2015-03-09,521,522,504,507,730000,372508000
2015-03-06,532,534,523,526,444000,234353000
2015-03-05,544,547,539,540,164000,88963000
2015-03-04,546,548,541,544,176000,95705000
2015-03-03,551,552,546,547,180000,98741000
2015-03-02,553,556,548,552,239000,131853000
2015-02-27,553,555,549,551,202000,111604000
2015-02-26,551,555,549,553,171000,94410000
2015-02-25,558,558,547,548,262000,144513000
2015-02-24,552,560,549,559,188000,104552000
2015-02-23,552,557,545,549,306000,168098000
2015-02-20,556,556,550,552,201000,111064000
2015-02-19,562,563,555,557,167000,93236000
2015-02-18,567,571,558,560,235000,132312000
2015-02-17,568,569,560,567,162000,91549000
2015-02-16,575,575,561,565,153000,86594000
2015-02-13,560,567,553,559,165000,92415000
2015-02-12,564,564,550,550,202000,112633000
2015-02-10,556,563,549,554,176000,97876000
2015-02-09,549,554,542,543,214000,116931000
2015-02-06,559,559,544,545,187000,102653000
2015-02-05,556,557,542,547,161000,88291000
2015-02-04,569,573,556,558,286000,160710000
2015-02-03,580,580,557,559,166000,93915000
2015-02-02,585,589,563,570,305000,175074000
2015-01-30,623,625,586,592,454000,275338000
2015-01-29,611,616,607,614,95000,58156000
2015-01-28,609,626,600,616,309000,189187000
2015-01-27,587,615,585,614,393000,235103000
2015-01-26,583,587,581,582,100000,58348000
2015-01-23,589,592,584,588,80000,47092000
2015-01-22,582,592,574,586,150000,87863000
2015-01-21,578,600,564,591,389000,228339000
2015-01-20,544,578,542,576,333000,190051000
2015-01-19,540,546,536,540,62000,33487000
2015-01-16,542,542,530,533,94000,50167000
2015-01-15,536,545,536,540,65000,35052000
2015-01-14,543,546,537,543,68000,36836000
2015-01-13,561,561,541,549,87000,47719000
2015-01-09,563,568,559,561,86000,48396000
2015-01-08,568,570,558,564,135000,76504000
2015-01-07,536,562,536,554,105000,58071000
2015-01-06,561,561,545,546,102000,56368000
2015-01-05,561,569,557,564,103000,58023000
2014-12-30,555,567,555,561,118000,65909000
2014-12-29,560,561,554,555,55000,30624000
2014-12-26,548,560,548,559,99000,55000000
2014-12-25,547,553,545,553,101000,55486000
2014-12-24,550,551,541,550,163000,89175000
2014-12-22,535,545,534,544,142000,76782000
2014-12-19,527,532,521,530,168000,88623000
2014-12-18,527,527,515,518,116000,60581000
2014-12-17,513,517,507,514,95000,48714000
2014-12-16,505,510,492,495,136000,67854000
2014-12-15,521,521,511,515,69000,35597000
2014-12-12,515,521,514,519,94000,48559000
2014-12-11,508,521,505,518,83000,42438000
2014-12-10,516,523,512,517,123000,63666000
2014-12-09,523,539,520,529,124000,65817000
2014-12-08,531,531,525,527,115000,60780000
2014-12-05,525,530,522,525,70000,36784000
2014-12-04,518,524,517,523,93000,48378000
2014-12-03,521,521,514,515,104000,53736000
2014-12-02,522,522,516,519,69000,35790000
2014-12-01,523,523,515,518,104000,53958000
2014-11-28,527,527,515,516,52000,26992000
2014-11-27,527,527,513,517,169000,87669000
2014-11-26,502,533,502,525,346000,180426000
2014-11-25,506,508,503,505,115000,58187000
2014-11-21,500,500,493,496,119000,59095000
2014-11-20,502,502,496,500,110000,54908000
2014-11-19,503,503,498,500,129000,64629000
2014-11-18,499,499,490,496,118000,58418000
2014-11-17,501,505,484,487,168000,83043000
2014-11-14,505,506,500,504,108000,54346000
2014-11-13,503,504,494,502,87000,43422000
2014-11-12,505,511,494,495,194000,97301000
2014-11-11,507,510,501,504,117000,59138000
2014-11-10,503,503,495,501,62000,31042000
2014-11-07,505,505,493,494,82000,40792000
2014-11-06,499,506,491,491,134000,66950000
2014-11-05,500,502,492,495,186000,92460000
2014-11-04,517,527,500,500,340000,172976000
2014-10-31,519,528,510,511,270000,139558000
2014-10-30,512,516,503,503,269000,136504000
2014-10-29,503,525,502,511,146000,74943000
2014-10-28,500,506,494,503,114000,56896000
2014-10-27,497,502,490,500,89000,44198000
2014-10-24,486,488,483,485,62000,30114000
2014-10-23,475,484,475,477,100000,47938000
2014-10-22,488,488,476,483,94000,45267000
2014-10-21,493,493,473,473,127000,61048000
2014-10-20,490,497,485,493,299000,146984000
2014-10-17,490,495,473,474,111000,53474000
2014-10-16,487,497,471,492,280000,135753000
2014-10-15,498,507,495,501,132000,66139000
2014-10-14,491,501,487,497,131000,64762000
2014-10-10,493,502,493,500,260000,129514000
2014-10-09,524,532,513,513,75000,38956000
2014-10-08,510,526,503,524,160000,82413000
2014-10-07,532,532,521,522,129000,67839000
2014-10-06,522,540,522,538,110000,58866000
2014-10-03,515,523,515,521,104000,54026000
2014-10-02,529,530,522,523,122000,64205000
2014-10-01,561,561,532,536,217000,117488000
2014-09-30,555,564,548,561,210000,116817000
2014-09-29,563,563,554,562,160000,89459000
2014-09-26,547,563,546,560,244000,135854000
2014-09-25,544,555,539,555,243000,132985000
